0 errors cleared
t=0 V=3.65529 A=0.00845288 W=0.0308977 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.65528 A=0.00843893 W=0.0308467 mAh_cumul=0.00468829 Wh_cumul=1.7137e-05 
t=3 V=3.68036 A=1.25013 W=4.60093 mAh_cumul=0.351947 Wh_cumul=0.00129517 
t=4 V=3.6827 A=1.24994 W=4.60315 mAh_cumul=0.699152 Wh_cumul=0.00257383 
t=5 V=3.68412 A=1.24989 W=4.60474 mAh_cumul=1.04634 Wh_cumul=0.00385292 
t=6 V=3.68526 A=1.24987 W=4.6061 mAh_cumul=1.39353 Wh_cumul=0.00513239 
t=7 V=3.68629 A=1.24986 W=4.60735 mAh_cumul=1.74071 Wh_cumul=0.00641221 
t=8 V=3.68719 A=1.24986 W=4.60847 mAh_cumul=2.0879 Wh_cumul=0.00769234 
t=9 V=3.68794 A=1.24985 W=4.60937 mAh_cumul=2.43508 Wh_cumul=0.00897272 
t=10 V=3.68877 A=1.24984 W=4.61037 mAh_cumul=2.78225 Wh_cumul=0.0102534 
t=11 V=3.68946 A=1.24985 W=4.61127 mAh_cumul=3.12944 Wh_cumul=0.0115343 
t=12 V=3.69017 A=1.24984 W=4.61212 mAh_cumul=3.47661 Wh_cumul=0.0128154 
t=13 V=3.69082 A=1.24984 W=4.61293 mAh_cumul=3.82379 Wh_cumul=0.0140968 
t=14 V=3.69146 A=1.24984 W=4.61373 mAh_cumul=4.17097 Wh_cumul=0.0153784 
t=15 V=3.692 A=1.24985 W=4.61445 mAh_cumul=4.51815 Wh_cumul=0.0166602 
t=16 V=3.69258 A=1.24984 W=4.61513 mAh_cumul=4.86533 Wh_cumul=0.0179422 
t=17 V=3.69311 A=1.24983 W=4.61576 mAh_cumul=5.2125 Wh_cumul=0.0192243 
t=18 V=3.69363 A=1.24983 W=4.61641 mAh_cumul=5.55968 Wh_cumul=0.0205067 
t=19 V=3.69416 A=1.24981 W=4.617 mAh_cumul=5.90685 Wh_cumul=0.0217892 
t=20 V=3.69464 A=1.24983 W=4.61767 mAh_cumul=6.25402 Wh_cumul=0.0230719 
t=21 V=3.69512 A=1.24983 W=4.61827 mAh_cumul=6.6012 Wh_cumul=0.0243547 
t=22 V=3.69553 A=1.24984 W=4.61882 mAh_cumul=6.94837 Wh_cumul=0.0256377 
t=23 V=3.69595 A=1.24984 W=4.61935 mAh_cumul=7.29555 Wh_cumul=0.0269209 
t=24 V=3.69637 A=1.24983 W=4.61983 mAh_cumul=7.64273 Wh_cumul=0.0282041 
t=25 V=3.69681 A=1.24982 W=4.62035 mAh_cumul=7.9899 Wh_cumul=0.0294876 
t=26 V=3.69722 A=1.24983 W=4.6209 mAh_cumul=8.33707 Wh_cumul=0.0307712 
t=27 V=3.69758 A=1.24983 W=4.62135 mAh_cumul=8.68425 Wh_cumul=0.0320549 
t=28 V=3.69795 A=1.24982 W=4.62177 mAh_cumul=9.03142 Wh_cumul=0.0333387 
t=29 V=3.69833 A=1.24982 W=4.62225 mAh_cumul=9.37859 Wh_cumul=0.0346227 
t=30 V=3.69868 A=1.24983 W=4.62272 mAh_cumul=9.72577 Wh_cumul=0.0359067 
t=31 V=3.69902 A=1.24984 W=4.62318 mAh_cumul=10.0729 Wh_cumul=0.037191 
t=32 V=3.69938 A=1.24983 W=4.6236 mAh_cumul=10.4201 Wh_cumul=0.0384753 
t=33 V=3.69971 A=1.24982 W=4.62397 mAh_cumul=10.7673 Wh_cumul=0.0397597 
t=34 V=3.70002 A=1.24984 W=4.62443 mAh_cumul=11.1145 Wh_cumul=0.0410443 
t=35 V=3.70032 A=1.24982 W=4.62473 mAh_cumul=11.4616 Wh_cumul=0.0423289 
t=36 V=3.70066 A=1.24983 W=4.6252 mAh_cumul=11.8088 Wh_cumul=0.0436137 
t=37 V=3.70093 A=1.24982 W=4.6255 mAh_cumul=12.156 Wh_cumul=0.0448986 
t=38 V=3.70126 A=1.24982 W=4.62591 mAh_cumul=12.5032 Wh_cumul=0.0461836 
t=39 V=3.70153 A=1.24982 W=4.62625 mAh_cumul=12.8503 Wh_cumul=0.0474686 
t=40 V=3.70182 A=1.24982 W=4.62661 mAh_cumul=13.1975 Wh_cumul=0.0487538 
t=41 V=3.70206 A=1.24982 W=4.62691 mAh_cumul=13.5447 Wh_cumul=0.050039 
t=42 V=3.70236 A=1.24983 W=4.62732 mAh_cumul=13.8919 Wh_cumul=0.0513244 
t=43 V=3.70266 A=1.24982 W=4.62766 mAh_cumul=14.239 Wh_cumul=0.0526099 
t=44 V=3.70289 A=1.24982 W=4.62795 mAh_cumul=14.5862 Wh_cumul=0.0538954 
t=45 V=3.70314 A=1.24983 W=4.6283 mAh_cumul=14.9334 Wh_cumul=0.055181 
t=46 V=3.70338 A=1.24981 W=4.62852 mAh_cumul=15.2805 Wh_cumul=0.0564667 
t=47 V=3.70363 A=1.24981 W=4.62883 mAh_cumul=15.6277 Wh_cumul=0.0577525 
t=48 V=3.70388 A=1.24981 W=4.62915 mAh_cumul=15.9749 Wh_cumul=0.0590384 
t=49 V=3.70411 A=1.24981 W=4.62943 mAh_cumul=16.3221 Wh_cumul=0.0603244 
t=50 V=3.70437 A=1.24982 W=4.6298 mAh_cumul=16.6692 Wh_cumul=0.0616104 
t=51 V=3.70458 A=1.24981 W=4.63002 mAh_cumul=17.0164 Wh_cumul=0.0628965 
t=52 V=3.70483 A=1.24981 W=4.63033 mAh_cumul=17.3636 Wh_cumul=0.0641827 
t=53 V=3.70507 A=1.24982 W=4.63067 mAh_cumul=17.7107 Wh_cumul=0.065469 
t=54 V=3.70528 A=1.24982 W=4.63093 mAh_cumul=18.0579 Wh_cumul=0.0667554 
t=55 V=3.70552 A=1.24982 W=4.63123 mAh_cumul=18.4051 Wh_cumul=0.0680419 
t=56 V=3.70574 A=1.24982 W=4.63151 mAh_cumul=18.7523 Wh_cumul=0.0693284 
t=57 V=3.70594 A=1.24983 W=4.63179 mAh_cumul=19.0994 Wh_cumul=0.070615 
t=58 V=3.70619 A=1.24982 W=4.63207 mAh_cumul=19.4466 Wh_cumul=0.0719017 
t=59 V=3.70638 A=1.24982 W=4.63231 mAh_cumul=19.7938 Wh_cumul=0.0731884 
t=60 V=3.70659 A=1.24982 W=4.63257 mAh_cumul=20.1409 Wh_cumul=0.0744753 
t=61 V=3.70682 A=1.24983 W=4.63289 mAh_cumul=20.4881 Wh_cumul=0.0757622 
t=62 V=3.70702 A=1.24982 W=4.63311 mAh_cumul=20.8353 Wh_cumul=0.0770492 
t=63 V=3.70722 A=1.24981 W=4.63332 mAh_cumul=21.1825 Wh_cumul=0.0783362 
t=64 V=3.70742 A=1.24982 W=4.63361 mAh_cumul=21.5296 Wh_cumul=0.0796233 
t=65 V=3.70762 A=1.24981 W=4.63382 mAh_cumul=21.8768 Wh_cumul=0.0809105 
t=66 V=3.70783 A=1.24981 W=4.63408 mAh_cumul=22.224 Wh_cumul=0.0821977 
t=67 V=3.70801 A=1.24982 W=4.63435 mAh_cumul=22.5711 Wh_cumul=0.083485 
t=68 V=3.70819 A=1.24981 W=4.63453 mAh_cumul=22.9183 Wh_cumul=0.0847724 
t=69 V=3.70837 A=1.24981 W=4.63476 mAh_cumul=23.2655 Wh_cumul=0.0860598 
t=70 V=3.70854 A=1.24981 W=4.63497 mAh_cumul=23.6127 Wh_cumul=0.0873473 
t=71 V=3.70872 A=1.24982 W=4.63523 mAh_cumul=23.9598 Wh_cumul=0.0886349 
t=72 V=3.70888 A=1.24982 W=4.63543 mAh_cumul=24.307 Wh_cumul=0.0899225 
t=73 V=3.70908 A=1.24982 W=4.63568 mAh_cumul=24.6542 Wh_cumul=0.0912102 
t=74 V=3.70927 A=1.24983 W=4.63596 mAh_cumul=25.0013 Wh_cumul=0.092498 
t=75 V=3.70946 A=1.24983 W=4.63619 mAh_cumul=25.3485 Wh_cumul=0.0937858 
t=76 V=3.70963 A=1.24982 W=4.63637 mAh_cumul=25.6957 Wh_cumul=0.0950737 
t=77 V=3.70985 A=1.24983 W=4.63668 mAh_cumul=26.0429 Wh_cumul=0.0963616 
t=78 V=3.70999 A=1.24982 W=4.63682 mAh_cumul=26.39 Wh_cumul=0.0976497 
t=79 V=3.7102 A=1.24982 W=4.63708 mAh_cumul=26.7372 Wh_cumul=0.0989377 
t=80 V=3.71036 A=1.24982 W=4.63728 mAh_cumul=27.0844 Wh_cumul=0.100226 
t=81 V=3.71057 A=1.24981 W=4.63751 mAh_cumul=27.4316 Wh_cumul=0.101514 
t=82 V=3.71073 A=1.24982 W=4.63774 mAh_cumul=27.7787 Wh_cumul=0.102802 
t=83 V=3.7109 A=1.24982 W=4.63796 mAh_cumul=28.1259 Wh_cumul=0.104091 
