0 errors cleared
t=0 V=4.19409 A=0.00965727 W=0.0405035 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.19401 A=0.00966653 W=0.0405415 mAh_cumul=0.00537029 Wh_cumul=2.25231e-05 
t=3 V=4.16901 A=1.24928 W=5.20826 mAh_cumul=0.352393 Wh_cumul=0.00146926 
t=4 V=4.16587 A=1.24924 W=5.20417 mAh_cumul=0.699404 Wh_cumul=0.00291487 
t=5 V=4.16392 A=1.24921 W=5.20161 mAh_cumul=1.04641 Wh_cumul=0.00435976 
t=6 V=4.16239 A=1.2492 W=5.19966 mAh_cumul=1.39341 Wh_cumul=0.00580411 
t=7 V=4.16091 A=1.2492 W=5.19781 mAh_cumul=1.74041 Wh_cumul=0.00724794 
t=8 V=4.15965 A=1.24922 W=5.19632 mAh_cumul=2.08741 Wh_cumul=0.00869136 
t=9 V=4.1585 A=1.2492 W=5.1948 mAh_cumul=2.43441 Wh_cumul=0.0101344 
t=10 V=4.15733 A=1.24919 W=5.1933 mAh_cumul=2.78141 Wh_cumul=0.0115769 
t=11 V=4.15627 A=1.24919 W=5.19197 mAh_cumul=3.12841 Wh_cumul=0.0130192 
t=12 V=4.15527 A=1.24919 W=5.19072 mAh_cumul=3.4754 Wh_cumul=0.014461 
t=13 V=4.15434 A=1.2492 W=5.1896 mAh_cumul=3.8224 Wh_cumul=0.0159026 
t=14 V=4.15338 A=1.2492 W=5.1884 mAh_cumul=4.1694 Wh_cumul=0.0173438 
t=15 V=4.15248 A=1.2492 W=5.18728 mAh_cumul=4.5164 Wh_cumul=0.0187847 
t=16 V=4.15157 A=1.24921 W=5.18618 mAh_cumul=4.86341 Wh_cumul=0.0202253 
t=17 V=4.1507 A=1.24921 W=5.1851 mAh_cumul=5.21041 Wh_cumul=0.0216656 
t=18 V=4.1499 A=1.24921 W=5.1841 mAh_cumul=5.55741 Wh_cumul=0.0231057 
t=19 V=4.14915 A=1.2492 W=5.18312 mAh_cumul=5.90441 Wh_cumul=0.0245454 
