0 errors cleared
t=0 V=2.72277 A=0.00625637 W=0.0170347 mAh_cumul=0 Wh_cumul=0 
t=2 V=2.72417 A=0.00626359 W=0.0170631 mAh_cumul=0.00347977 Wh_cumul=9.47949e-06 
t=3 V=2.76858 A=1.25015 W=3.46114 mAh_cumul=0.350744 Wh_cumul=0.000970907 
t=4 V=2.79439 A=1.24993 W=3.49279 mAh_cumul=0.697946 Wh_cumul=0.00194113 
t=5 V=2.80772 A=1.24991 W=3.5094 mAh_cumul=1.04514 Wh_cumul=0.00291596 
t=6 V=2.81851 A=1.24987 W=3.52277 mAh_cumul=1.39233 Wh_cumul=0.00389451 
t=7 V=2.82794 A=1.24987 W=3.53456 mAh_cumul=1.73952 Wh_cumul=0.00487633 
t=8 V=2.83609 A=1.24987 W=3.54474 mAh_cumul=2.0867 Wh_cumul=0.00586098 
t=9 V=2.84383 A=1.24988 W=3.55445 mAh_cumul=2.43389 Wh_cumul=0.00684833 
t=10 V=2.85097 A=1.24986 W=3.56331 mAh_cumul=2.78107 Wh_cumul=0.00783814 
t=11 V=2.85765 A=1.24986 W=3.57166 mAh_cumul=3.12826 Wh_cumul=0.00883026 
t=12 V=2.8639 A=1.24984 W=3.57942 mAh_cumul=3.47544 Wh_cumul=0.00982455 
t=13 V=2.86978 A=1.24984 W=3.58677 mAh_cumul=3.82261 Wh_cumul=0.0108209 
t=14 V=2.87545 A=1.24985 W=3.59388 mAh_cumul=4.16979 Wh_cumul=0.0118192 
t=15 V=2.88083 A=1.24985 W=3.60061 mAh_cumul=4.51697 Wh_cumul=0.0128193 
t=16 V=2.886 A=1.24985 W=3.60707 mAh_cumul=4.86415 Wh_cumul=0.0138213 
t=17 V=2.89085 A=1.24985 W=3.61313 mAh_cumul=5.21134 Wh_cumul=0.0148249 
t=18 V=2.89565 A=1.24985 W=3.61913 mAh_cumul=5.55852 Wh_cumul=0.0158303 
t=19 V=2.90034 A=1.24986 W=3.62502 mAh_cumul=5.9057 Wh_cumul=0.0168372 
t=20 V=2.90471 A=1.24985 W=3.63045 mAh_cumul=6.25288 Wh_cumul=0.0178457 
t=21 V=2.90913 A=1.24985 W=3.63598 mAh_cumul=6.60006 Wh_cumul=0.0188557 
t=22 V=2.9134 A=1.24984 W=3.64128 mAh_cumul=6.94724 Wh_cumul=0.0198671 
t=23 V=2.91758 A=1.24984 W=3.64651 mAh_cumul=7.29442 Wh_cumul=0.0208801 
t=24 V=2.92165 A=1.24984 W=3.6516 mAh_cumul=7.64159 Wh_cumul=0.0218944 
t=25 V=2.92565 A=1.24985 W=3.65662 mAh_cumul=7.98877 Wh_cumul=0.0229101 
t=26 V=2.92957 A=1.24985 W=3.66152 mAh_cumul=8.33595 Wh_cumul=0.0239272 
t=27 V=2.93341 A=1.24984 W=3.66629 mAh_cumul=8.68313 Wh_cumul=0.0249456 
t=28 V=2.9371 A=1.24985 W=3.67093 mAh_cumul=9.03031 Wh_cumul=0.0259653 
t=29 V=2.94084 A=1.24985 W=3.67561 mAh_cumul=9.37749 Wh_cumul=0.0269863 
t=30 V=2.94441 A=1.24986 W=3.6801 mAh_cumul=9.72468 Wh_cumul=0.0280086 
t=31 V=2.9479 A=1.24984 W=3.6844 mAh_cumul=10.0719 Wh_cumul=0.029032 
t=32 V=2.9514 A=1.24984 W=3.68878 mAh_cumul=10.419 Wh_cumul=0.0300567 
t=33 V=2.95478 A=1.24984 W=3.693 mAh_cumul=10.7662 Wh_cumul=0.0310825 
t=34 V=2.95804 A=1.24985 W=3.69711 mAh_cumul=11.1134 Wh_cumul=0.0321095 
t=35 V=2.96141 A=1.24985 W=3.70132 mAh_cumul=11.4606 Wh_cumul=0.0331376 
t=36 V=2.9646 A=1.24985 W=3.70531 mAh_cumul=11.8078 Wh_cumul=0.0341669 
