0 errors cleared
t=0 V=3.65326 A=0.00847075 W=0.0309459 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.65329 A=0.00848047 W=0.0309816 mAh_cumul=0.00471137 Wh_cumul=1.7212e-05 
t=3 V=3.6787 A=1.25025 W=4.59929 mAh_cumul=0.352003 Wh_cumul=0.00129479 
t=4 V=3.68102 A=1.25006 W=4.6015 mAh_cumul=0.699242 Wh_cumul=0.00257299 
t=5 V=3.68236 A=1.25002 W=4.60302 mAh_cumul=1.04647 Wh_cumul=0.0038516 
t=6 V=3.68346 A=1.25001 W=4.60436 mAh_cumul=1.39369 Wh_cumul=0.00513059 
t=7 V=3.68443 A=1.24999 W=4.6055 mAh_cumul=1.74091 Wh_cumul=0.0064099 
t=8 V=3.68534 A=1.24998 W=4.6066 mAh_cumul=2.08813 Wh_cumul=0.00768951 
t=9 V=3.6862 A=1.24999 W=4.60771 mAh_cumul=2.43535 Wh_cumul=0.00896943 
t=10 V=3.68694 A=1.24998 W=4.6086 mAh_cumul=2.78257 Wh_cumul=0.0102496 
t=11 V=3.6876 A=1.24997 W=4.60939 mAh_cumul=3.12978 Wh_cumul=0.01153 
t=12 V=3.68824 A=1.24998 W=4.61023 mAh_cumul=3.477 Wh_cumul=0.0128106 
t=13 V=3.6889 A=1.24998 W=4.61105 mAh_cumul=3.82421 Wh_cumul=0.0140915 
t=14 V=3.68952 A=1.24998 W=4.61183 mAh_cumul=4.17143 Wh_cumul=0.0153725 
t=15 V=3.69009 A=1.24998 W=4.61254 mAh_cumul=4.51865 Wh_cumul=0.0166538 
t=16 V=3.69062 A=1.24998 W=4.6132 mAh_cumul=4.86586 Wh_cumul=0.0179352 
t=17 V=3.69116 A=1.24998 W=4.61388 mAh_cumul=5.21308 Wh_cumul=0.0192169 
t=18 V=3.69166 A=1.24998 W=4.6145 mAh_cumul=5.5603 Wh_cumul=0.0204987 
t=19 V=3.69211 A=1.24997 W=4.61503 mAh_cumul=5.90751 Wh_cumul=0.0217806 
t=20 V=3.69257 A=1.24996 W=4.61556 mAh_cumul=6.25472 Wh_cumul=0.0230627 
t=21 V=3.69302 A=1.24997 W=4.61616 mAh_cumul=6.60194 Wh_cumul=0.024345 
t=22 V=3.69348 A=1.24996 W=4.6167 mAh_cumul=6.94915 Wh_cumul=0.0256274 
t=23 V=3.69388 A=1.24996 W=4.6172 mAh_cumul=7.29636 Wh_cumul=0.02691 
t=24 V=3.69434 A=1.24997 W=4.61781 mAh_cumul=7.64357 Wh_cumul=0.0281927 
t=25 V=3.6947 A=1.24996 W=4.61823 mAh_cumul=7.99078 Wh_cumul=0.0294755 
t=26 V=3.69509 A=1.24997 W=4.61875 mAh_cumul=8.338 Wh_cumul=0.0307585 
t=27 V=3.69544 A=1.24997 W=4.61919 mAh_cumul=8.68521 Wh_cumul=0.0320416 
t=28 V=3.69581 A=1.24996 W=4.61961 mAh_cumul=9.03242 Wh_cumul=0.0333248 
t=29 V=3.69618 A=1.24996 W=4.62008 mAh_cumul=9.37963 Wh_cumul=0.0346082 
t=30 V=3.69653 A=1.24996 W=4.62051 mAh_cumul=9.72684 Wh_cumul=0.0358917 
t=31 V=3.69687 A=1.24996 W=4.62094 mAh_cumul=10.0741 Wh_cumul=0.0371753 
t=32 V=3.69718 A=1.24997 W=4.62136 mAh_cumul=10.4213 Wh_cumul=0.038459 
t=33 V=3.6975 A=1.24997 W=4.62176 mAh_cumul=10.7685 Wh_cumul=0.0397428 
t=34 V=3.69781 A=1.24997 W=4.62215 mAh_cumul=11.1157 Wh_cumul=0.0410267 
t=35 V=3.69812 A=1.24997 W=4.62254 mAh_cumul=11.4629 Wh_cumul=0.0423108 
t=36 V=3.69843 A=1.24997 W=4.62293 mAh_cumul=11.8101 Wh_cumul=0.0435949 
t=37 V=3.6987 A=1.24996 W=4.62323 mAh_cumul=12.1573 Wh_cumul=0.0448791 
t=38 V=3.69901 A=1.24996 W=4.62361 mAh_cumul=12.5045 Wh_cumul=0.0461635 
t=39 V=3.69928 A=1.24995 W=4.62392 mAh_cumul=12.8518 Wh_cumul=0.0474479 
t=40 V=3.69956 A=1.24996 W=4.6243 mAh_cumul=13.199 Wh_cumul=0.0487324 
t=41 V=3.69982 A=1.24997 W=4.62466 mAh_cumul=13.5462 Wh_cumul=0.0500171 
t=42 V=3.70008 A=1.24996 W=4.62495 mAh_cumul=13.8934 Wh_cumul=0.0513018 
t=43 V=3.70031 A=1.24995 W=4.6252 mAh_cumul=14.2406 Wh_cumul=0.0525865 
t=44 V=3.70059 A=1.24996 W=4.62559 mAh_cumul=14.5878 Wh_cumul=0.0538714 
t=45 V=3.70084 A=1.24997 W=4.62594 mAh_cumul=14.935 Wh_cumul=0.0551564 
t=46 V=3.70109 A=1.24996 W=4.62621 mAh_cumul=15.2822 Wh_cumul=0.0564415 
t=47 V=3.70133 A=1.24997 W=4.62655 mAh_cumul=15.6295 Wh_cumul=0.0577266 
t=48 V=3.70156 A=1.24997 W=4.62684 mAh_cumul=15.9767 Wh_cumul=0.0590119 
t=49 V=3.70181 A=1.24997 W=4.62715 mAh_cumul=16.3239 Wh_cumul=0.0602972 
t=50 V=3.70204 A=1.24996 W=4.6274 mAh_cumul=16.6711 Wh_cumul=0.0615826 
t=51 V=3.70225 A=1.24996 W=4.62766 mAh_cumul=17.0183 Wh_cumul=0.062868 
t=52 V=3.70249 A=1.24996 W=4.62796 mAh_cumul=17.3655 Wh_cumul=0.0641536 
t=53 V=3.70269 A=1.24995 W=4.62818 mAh_cumul=17.7127 Wh_cumul=0.0654392 
t=54 V=3.7029 A=1.24996 W=4.62848 mAh_cumul=18.0599 Wh_cumul=0.0667249 
t=55 V=3.70311 A=1.24996 W=4.62874 mAh_cumul=18.4071 Wh_cumul=0.0680106 
t=56 V=3.70332 A=1.24996 W=4.629 mAh_cumul=18.7544 Wh_cumul=0.0692965 
t=57 V=3.70351 A=1.24996 W=4.62924 mAh_cumul=19.1016 Wh_cumul=0.0705824 
t=58 V=3.70372 A=1.24996 W=4.6295 mAh_cumul=19.4488 Wh_cumul=0.0718683 
t=59 V=3.70392 A=1.24996 W=4.62975 mAh_cumul=19.796 Wh_cumul=0.0731544 
t=60 V=3.70414 A=1.24997 W=4.63006 mAh_cumul=20.1432 Wh_cumul=0.0744405 
t=61 V=3.70436 A=1.24995 W=4.63026 mAh_cumul=20.4904 Wh_cumul=0.0757267 
t=62 V=3.70456 A=1.24996 W=4.63055 mAh_cumul=20.8376 Wh_cumul=0.077013 
t=63 V=3.70473 A=1.24996 W=4.63076 mAh_cumul=21.1848 Wh_cumul=0.0782993 
t=64 V=3.70492 A=1.24996 W=4.631 mAh_cumul=21.532 Wh_cumul=0.0795857 
