0 errors cleared
t=0 V=4.19512 A=0.00971674 W=0.0407629 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.19501 A=0.00971297 W=0.040746 mAh_cumul=0.00539609 Wh_cumul=2.26367e-05 
t=3 V=4.17024 A=1.24923 W=5.20959 mAh_cumul=0.352404 Wh_cumul=0.00146974 
t=4 V=4.1673 A=1.24916 W=5.20562 mAh_cumul=0.699393 Wh_cumul=0.00291575 
t=5 V=4.16543 A=1.24915 W=5.20325 mAh_cumul=1.04638 Wh_cumul=0.0043611 
t=6 V=4.1639 A=1.24913 W=5.20125 mAh_cumul=1.39336 Wh_cumul=0.00580589 
t=7 V=4.16253 A=1.24913 W=5.19954 mAh_cumul=1.74034 Wh_cumul=0.00725021 
t=8 V=4.16128 A=1.24915 W=5.19806 mAh_cumul=2.08733 Wh_cumul=0.00869411 
t=9 V=4.16013 A=1.24914 W=5.19658 mAh_cumul=2.43431 Wh_cumul=0.0101376 
t=10 V=4.15907 A=1.24914 W=5.19526 mAh_cumul=2.78129 Wh_cumul=0.0115807 
t=11 V=4.1581 A=1.24914 W=5.19405 mAh_cumul=3.12828 Wh_cumul=0.0130235 
t=12 V=4.1571 A=1.24914 W=5.1928 mAh_cumul=3.47526 Wh_cumul=0.014466 
t=13 V=4.15615 A=1.24914 W=5.19161 mAh_cumul=3.82224 Wh_cumul=0.0159081 
t=14 V=4.15528 A=1.24914 W=5.19053 mAh_cumul=4.16923 Wh_cumul=0.0173499 
t=15 V=4.15446 A=1.24914 W=5.1895 mAh_cumul=4.51621 Wh_cumul=0.0187914 
t=16 V=4.15362 A=1.24914 W=5.18845 mAh_cumul=4.86319 Wh_cumul=0.0202327 
t=17 V=4.15284 A=1.24914 W=5.18748 mAh_cumul=5.21018 Wh_cumul=0.0216736 
t=18 V=4.15201 A=1.24914 W=5.18644 mAh_cumul=5.55716 Wh_cumul=0.0231143 
t=19 V=4.15127 A=1.24914 W=5.18552 mAh_cumul=5.90414 Wh_cumul=0.0245547 
t=20 V=4.15052 A=1.24915 W=5.18462 mAh_cumul=6.25113 Wh_cumul=0.0259949 
t=21 V=4.14978 A=1.24913 W=5.18361 mAh_cumul=6.59811 Wh_cumul=0.0274348 
t=22 V=4.14912 A=1.24915 W=5.18287 mAh_cumul=6.9451 Wh_cumul=0.0288745 
t=23 V=4.14841 A=1.24915 W=5.18199 mAh_cumul=7.29208 Wh_cumul=0.0303139 
t=24 V=4.14778 A=1.24913 W=5.18112 mAh_cumul=7.63906 Wh_cumul=0.0317531 
t=25 V=4.14713 A=1.24914 W=5.18035 mAh_cumul=7.98605 Wh_cumul=0.0331921 
t=26 V=4.14651 A=1.24914 W=5.17957 mAh_cumul=8.33303 Wh_cumul=0.0346309 
t=27 V=4.14591 A=1.24914 W=5.17882 mAh_cumul=8.68001 Wh_cumul=0.0360694 
t=28 V=4.14528 A=1.24915 W=5.17808 mAh_cumul=9.027 Wh_cumul=0.0375078 
t=29 V=4.14469 A=1.24914 W=5.1773 mAh_cumul=9.37398 Wh_cumul=0.0389459 
t=30 V=4.14412 A=1.24913 W=5.17654 mAh_cumul=9.72096 Wh_cumul=0.0403839 
t=31 V=4.14356 A=1.24915 W=5.17593 mAh_cumul=10.0679 Wh_cumul=0.0418216 
t=32 V=4.14307 A=1.24914 W=5.17527 mAh_cumul=10.4149 Wh_cumul=0.0432592 
t=33 V=4.14257 A=1.24915 W=5.17469 mAh_cumul=10.7619 Wh_cumul=0.0446966 
t=34 V=4.14203 A=1.24915 W=5.17402 mAh_cumul=11.1089 Wh_cumul=0.0461338 
t=35 V=4.14153 A=1.24914 W=5.17335 mAh_cumul=11.4559 Wh_cumul=0.0475709 
t=36 V=4.14101 A=1.24915 W=5.17274 mAh_cumul=11.8029 Wh_cumul=0.0490078 
t=37 V=4.14048 A=1.24914 W=5.17204 mAh_cumul=12.1499 Wh_cumul=0.0504444 
t=38 V=4.14 A=1.24915 W=5.17148 mAh_cumul=12.4968 Wh_cumul=0.051881 
t=39 V=4.13946 A=1.24914 W=5.17077 mAh_cumul=12.8438 Wh_cumul=0.0533173 
t=40 V=4.139 A=1.24915 W=5.17023 mAh_cumul=13.1908 Wh_cumul=0.0547535 
t=41 V=4.1385 A=1.24915 W=5.16961 mAh_cumul=13.5378 Wh_cumul=0.0561895 
t=42 V=4.13804 A=1.24915 W=5.16903 mAh_cumul=13.8848 Wh_cumul=0.0576253 
t=43 V=4.13755 A=1.24914 W=5.16838 mAh_cumul=14.2318 Wh_cumul=0.059061 
t=44 V=4.13708 A=1.24915 W=5.16783 mAh_cumul=14.5788 Wh_cumul=0.0604965 
t=45 V=4.1366 A=1.24914 W=5.16719 mAh_cumul=14.9257 Wh_cumul=0.0619318 
t=46 V=4.13615 A=1.24915 W=5.16667 mAh_cumul=15.2727 Wh_cumul=0.063367 
t=47 V=4.13569 A=1.24914 W=5.16606 mAh_cumul=15.6197 Wh_cumul=0.064802 
t=48 V=4.13522 A=1.24915 W=5.16551 mAh_cumul=15.9667 Wh_cumul=0.0662369 
t=49 V=4.13479 A=1.24915 W=5.16497 mAh_cumul=16.3137 Wh_cumul=0.0676716 
t=50 V=4.13436 A=1.24915 W=5.16444 mAh_cumul=16.6607 Wh_cumul=0.0691061 
t=51 V=4.13389 A=1.24915 W=5.16385 mAh_cumul=17.0077 Wh_cumul=0.0705405 
t=52 V=4.13347 A=1.24917 W=5.16341 mAh_cumul=17.3546 Wh_cumul=0.0719748 
t=53 V=4.13305 A=1.24916 W=5.16284 mAh_cumul=17.7016 Wh_cumul=0.0734089 
t=54 V=4.13262 A=1.24914 W=5.16222 mAh_cumul=18.0486 Wh_cumul=0.0748429 
t=55 V=4.13219 A=1.24915 W=5.16173 mAh_cumul=18.3956 Wh_cumul=0.0762767 
t=56 V=4.13176 A=1.24915 W=5.16119 mAh_cumul=18.7426 Wh_cumul=0.0777104 
t=57 V=4.13133 A=1.24916 W=5.16069 mAh_cumul=19.0896 Wh_cumul=0.0791439 
t=58 V=4.1309 A=1.24915 W=5.16011 mAh_cumul=19.4366 Wh_cumul=0.0805773 
t=59 V=4.1305 A=1.24914 W=5.15957 mAh_cumul=19.7835 Wh_cumul=0.0820105 
t=60 V=4.13014 A=1.24914 W=5.15912 mAh_cumul=20.1305 Wh_cumul=0.0834436 
t=61 V=4.12973 A=1.24914 W=5.15861 mAh_cumul=20.4775 Wh_cumul=0.0848765 
t=62 V=4.1293 A=1.24914 W=5.15807 mAh_cumul=20.8245 Wh_cumul=0.0863093 
t=63 V=4.1289 A=1.24915 W=5.15762 mAh_cumul=21.1715 Wh_cumul=0.087742 
t=64 V=4.12849 A=1.24915 W=5.1571 mAh_cumul=21.5185 Wh_cumul=0.0891745 
t=65 V=4.12809 A=1.24916 W=5.15664 mAh_cumul=21.8655 Wh_cumul=0.0906069 
t=66 V=4.12772 A=1.24915 W=5.15614 mAh_cumul=22.2124 Wh_cumul=0.0920392 
t=67 V=4.12734 A=1.24915 W=5.15567 mAh_cumul=22.5594 Wh_cumul=0.0934713 
t=68 V=4.12696 A=1.24916 W=5.15523 mAh_cumul=22.9064 Wh_cumul=0.0949033 
t=69 V=4.12661 A=1.24915 W=5.15475 mAh_cumul=23.2534 Wh_cumul=0.0963352 
