0 errors cleared
t=0 V=2.67524 A=0.00611348 W=0.016355 mAh_cumul=0 Wh_cumul=0 
t=2 V=2.67642 A=0.00611453 W=0.0163651 mAh_cumul=0.00339696 Wh_cumul=9.09169e-06 
t=3 V=2.7212 A=1.25026 W=3.40221 mAh_cumul=0.350691 Wh_cumul=0.000954149 
t=4 V=2.74742 A=1.25005 W=3.43441 mAh_cumul=0.697928 Wh_cumul=0.00190815 
t=5 V=2.76262 A=1.25002 W=3.45333 mAh_cumul=1.04516 Wh_cumul=0.00286741 
t=6 V=2.77514 A=1.25001 W=3.46895 mAh_cumul=1.39238 Wh_cumul=0.00383101 
t=7 V=2.78599 A=1.25 W=3.48249 mAh_cumul=1.7396 Wh_cumul=0.00479837 
t=8 V=2.79585 A=1.24999 W=3.49478 mAh_cumul=2.08682 Wh_cumul=0.00576914 
t=9 V=2.80491 A=1.24997 W=3.50605 mAh_cumul=2.43404 Wh_cumul=0.00674304 
t=10 V=2.81329 A=1.24997 W=3.51653 mAh_cumul=2.78125 Wh_cumul=0.00771986 
t=11 V=2.82108 A=1.24997 W=3.52627 mAh_cumul=3.12846 Wh_cumul=0.00869938 
t=12 V=2.82835 A=1.24997 W=3.53535 mAh_cumul=3.47568 Wh_cumul=0.00968142 
t=13 V=2.83538 A=1.24997 W=3.54414 mAh_cumul=3.82289 Wh_cumul=0.0106659 
t=14 V=2.84196 A=1.24996 W=3.55234 mAh_cumul=4.1701 Wh_cumul=0.0116527 
t=15 V=2.84831 A=1.24996 W=3.56027 mAh_cumul=4.51731 Wh_cumul=0.0126416 
t=16 V=2.85427 A=1.24995 W=3.56769 mAh_cumul=4.86452 Wh_cumul=0.0136327 
t=17 V=2.86009 A=1.24996 W=3.575 mAh_cumul=5.21173 Wh_cumul=0.0146257 
t=18 V=2.86553 A=1.24996 W=3.5818 mAh_cumul=5.55894 Wh_cumul=0.0156207 
t=19 V=2.87078 A=1.24996 W=3.58836 mAh_cumul=5.90616 Wh_cumul=0.0166174 
t=20 V=2.87587 A=1.24997 W=3.59475 mAh_cumul=6.25337 Wh_cumul=0.017616 
t=21 V=2.88075 A=1.24996 W=3.60082 mAh_cumul=6.60058 Wh_cumul=0.0186162 
t=22 V=2.88548 A=1.24996 W=3.60673 mAh_cumul=6.94779 Wh_cumul=0.0196181 
t=23 V=2.88994 A=1.24995 W=3.61228 mAh_cumul=7.295 Wh_cumul=0.0206215 
t=24 V=2.89436 A=1.24995 W=3.61781 mAh_cumul=7.64221 Wh_cumul=0.0216264 
t=25 V=2.89865 A=1.24996 W=3.6232 mAh_cumul=7.98942 Wh_cumul=0.0226329 
t=26 V=2.9028 A=1.24995 W=3.62835 mAh_cumul=8.33663 Wh_cumul=0.0236407 
t=27 V=2.90693 A=1.24997 W=3.63358 mAh_cumul=8.68384 Wh_cumul=0.0246501 
t=28 V=2.91102 A=1.24995 W=3.63863 mAh_cumul=9.03105 Wh_cumul=0.0256608 
t=29 V=2.91501 A=1.24996 W=3.64365 mAh_cumul=9.37826 Wh_cumul=0.0266729 
t=30 V=2.91882 A=1.24995 W=3.64838 mAh_cumul=9.72547 Wh_cumul=0.0276864 
t=31 V=2.92258 A=1.24996 W=3.65311 mAh_cumul=10.0727 Wh_cumul=0.0287011 
t=32 V=2.92631 A=1.24994 W=3.65771 mAh_cumul=10.4199 Wh_cumul=0.0297171 
t=33 V=2.92993 A=1.24996 W=3.6623 mAh_cumul=10.7671 Wh_cumul=0.0307344 
t=34 V=2.93349 A=1.24995 W=3.66672 mAh_cumul=11.1143 Wh_cumul=0.031753 
t=35 V=2.93705 A=1.24994 W=3.67114 mAh_cumul=11.4615 Wh_cumul=0.0327727 
t=36 V=2.94055 A=1.24995 W=3.67554 mAh_cumul=11.8087 Wh_cumul=0.0337937 
t=37 V=2.94392 A=1.24995 W=3.67975 mAh_cumul=12.1559 Wh_cumul=0.0348159 
t=38 V=2.94726 A=1.24996 W=3.68396 mAh_cumul=12.5031 Wh_cumul=0.0358392 
t=39 V=2.95056 A=1.24996 W=3.68808 mAh_cumul=12.8503 Wh_cumul=0.0368637 
t=40 V=2.95384 A=1.24995 W=3.69215 mAh_cumul=13.1976 Wh_cumul=0.0378893 
t=41 V=2.95686 A=1.24995 W=3.69593 mAh_cumul=13.5448 Wh_cumul=0.0389159 
t=42 V=2.96001 A=1.24994 W=3.69983 mAh_cumul=13.892 Wh_cumul=0.0399436 
t=43 V=2.9631 A=1.24995 W=3.70373 mAh_cumul=14.2392 Wh_cumul=0.0409725 
t=44 V=2.9662 A=1.24994 W=3.70757 mAh_cumul=14.5864 Wh_cumul=0.0420023 
