0 errors cleared
t=0 V=3.58837 A=0.00815923 W=0.0292783 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.58838 A=0.00815466 W=0.029262 mAh_cumul=0.00453037 Wh_cumul=1.62567e-05 
t=3 V=3.59898 A=0.427836 W=1.53977 mAh_cumul=0.123374 Wh_cumul=0.000443971 
t=4 V=3.59898 A=0.403463 W=1.45206 mAh_cumul=0.235447 Wh_cumul=0.00084732 
t=5 V=3.59901 A=0.38893 W=1.39976 mAh_cumul=0.343483 Wh_cumul=0.00123614 
t=6 V=3.59898 A=0.375585 W=1.35172 mAh_cumul=0.447812 Wh_cumul=0.00161162 
t=7 V=3.59901 A=0.364775 W=1.31283 mAh_cumul=0.549138 Wh_cumul=0.0019763 
t=8 V=3.59898 A=0.354862 W=1.27714 mAh_cumul=0.647711 Wh_cumul=0.00233106 
t=9 V=3.59899 A=0.346236 W=1.2461 mAh_cumul=0.743888 Wh_cumul=0.0026772 
t=10 V=3.59901 A=0.338179 W=1.21711 mAh_cumul=0.837826 Wh_cumul=0.00301528 
t=11 V=3.59899 A=0.331987 W=1.19482 mAh_cumul=0.930045 Wh_cumul=0.00334718 
t=12 V=3.59903 A=0.324999 W=1.16968 mAh_cumul=1.02032 Wh_cumul=0.00367209 
t=13 V=3.59901 A=0.318136 W=1.14497 mAh_cumul=1.10869 Wh_cumul=0.00399014 
t=14 V=3.59902 A=0.311621 W=1.12153 mAh_cumul=1.19526 Wh_cumul=0.00430167 
t=15 V=3.59901 A=0.305056 W=1.0979 mAh_cumul=1.27999 Wh_cumul=0.00460664 
t=16 V=3.59896 A=0.298916 W=1.07579 mAh_cumul=1.36303 Wh_cumul=0.00490547 
t=17 V=3.59897 A=0.294428 W=1.05964 mAh_cumul=1.44481 Wh_cumul=0.00519982 
t=18 V=3.59898 A=0.290391 W=1.04511 mAh_cumul=1.52547 Wh_cumul=0.00549013 
t=19 V=3.59899 A=0.286261 W=1.03025 mAh_cumul=1.60499 Wh_cumul=0.00577631 
t=20 V=3.59902 A=0.282659 W=1.0173 mAh_cumul=1.68351 Wh_cumul=0.00605889 
t=21 V=3.59906 A=0.279137 W=1.00463 mAh_cumul=1.76105 Wh_cumul=0.00633795 
t=22 V=3.59905 A=0.275062 W=0.989962 mAh_cumul=1.83745 Wh_cumul=0.00661294 
t=23 V=3.59905 A=0.27184 W=0.978366 mAh_cumul=1.91296 Wh_cumul=0.00688471 
t=24 V=3.59904 A=0.26809 W=0.964867 mAh_cumul=1.98743 Wh_cumul=0.00715273 
t=25 V=3.59903 A=0.263216 W=0.947322 mAh_cumul=2.06055 Wh_cumul=0.00741588 
t=26 V=3.59903 A=0.259912 W=0.935431 mAh_cumul=2.13275 Wh_cumul=0.00767572 
t=27 V=3.59903 A=0.25698 W=0.924879 mAh_cumul=2.20413 Wh_cumul=0.00793263 
t=28 V=3.59904 A=0.254018 W=0.914221 mAh_cumul=2.27469 Wh_cumul=0.00818658 
t=29 V=3.59902 A=0.251392 W=0.904765 mAh_cumul=2.34452 Wh_cumul=0.0084379 
t=30 V=3.59901 A=0.247834 W=0.891957 mAh_cumul=2.41336 Wh_cumul=0.00868567 
t=31 V=3.599 A=0.243761 W=0.877296 mAh_cumul=2.48108 Wh_cumul=0.00892936 
t=32 V=3.59896 A=0.241193 W=0.868044 mAh_cumul=2.54807 Wh_cumul=0.00917048 
t=33 V=3.59899 A=0.238885 W=0.859745 mAh_cumul=2.61443 Wh_cumul=0.0094093 
t=34 V=3.59899 A=0.236718 W=0.851946 mAh_cumul=2.68019 Wh_cumul=0.00964595 
t=35 V=3.59902 A=0.235419 W=0.847278 mAh_cumul=2.74558 Wh_cumul=0.00988131 
t=36 V=3.599 A=0.234289 W=0.843206 mAh_cumul=2.81066 Wh_cumul=0.0101155 
t=37 V=3.59905 A=0.232034 W=0.835102 mAh_cumul=2.87511 Wh_cumul=0.0103475 
t=38 V=3.59904 A=0.229093 W=0.824515 mAh_cumul=2.93875 Wh_cumul=0.0105765 
t=39 V=3.59899 A=0.22719 W=0.817655 mAh_cumul=3.00186 Wh_cumul=0.0108037 
t=40 V=3.59902 A=0.22479 W=0.809024 mAh_cumul=3.0643 Wh_cumul=0.0110284 
t=41 V=3.59901 A=0.223553 W=0.804569 mAh_cumul=3.1264 Wh_cumul=0.0112519 
t=42 V=3.59899 A=0.221035 W=0.795503 mAh_cumul=3.1878 Wh_cumul=0.0114729 
t=43 V=3.59899 A=0.218928 W=0.78792 mAh_cumul=3.24861 Wh_cumul=0.0116917 
t=44 V=3.59897 A=0.216518 W=0.779242 mAh_cumul=3.30875 Wh_cumul=0.0119082 
t=45 V=3.59899 A=0.215351 W=0.775046 mAh_cumul=3.36857 Wh_cumul=0.0121235 
t=46 V=3.59897 A=0.213424 W=0.768107 mAh_cumul=3.42786 Wh_cumul=0.0123368 
t=47 V=3.59901 A=0.211821 W=0.762346 mAh_cumul=3.4867 Wh_cumul=0.0125486 
t=48 V=3.59896 A=0.210598 W=0.757934 mAh_cumul=3.5452 Wh_cumul=0.0127591 
t=49 V=3.59897 A=0.208767 W=0.751346 mAh_cumul=3.60319 Wh_cumul=0.0129678 
t=50 V=3.599 A=0.207183 W=0.745652 mAh_cumul=3.66074 Wh_cumul=0.013175 
t=51 V=3.59899 A=0.20583 W=0.74078 mAh_cumul=3.71791 Wh_cumul=0.0133807 
t=52 V=3.599 A=0.205011 W=0.737835 mAh_cumul=3.77486 Wh_cumul=0.0135857 
t=53 V=3.599 A=0.203665 W=0.73299 mAh_cumul=3.83144 Wh_cumul=0.0137893 
t=54 V=3.59902 A=0.202557 W=0.729007 mAh_cumul=3.8877 Wh_cumul=0.0139918 
t=55 V=3.59901 A=0.201474 W=0.725107 mAh_cumul=3.94367 Wh_cumul=0.0141932 
t=56 V=3.59898 A=0.200181 W=0.720447 mAh_cumul=3.99927 Wh_cumul=0.0143933 
t=57 V=3.59901 A=0.199109 W=0.716595 mAh_cumul=4.05458 Wh_cumul=0.0145924 
t=58 V=3.59904 A=0.198585 W=0.714715 mAh_cumul=4.10974 Wh_cumul=0.0147909 
t=59 V=3.59903 A=0.197539 W=0.710949 mAh_cumul=4.16461 Wh_cumul=0.0149884 
t=60 V=3.599 A=0.195825 W=0.704774 mAh_cumul=4.21901 Wh_cumul=0.0151842 
t=61 V=3.59902 A=0.195089 W=0.702129 mAh_cumul=4.2732 Wh_cumul=0.0153792 
t=62 V=3.59901 A=0.193357 W=0.695894 mAh_cumul=4.32691 Wh_cumul=0.0155725 
t=63 V=3.59902 A=0.191303 W=0.688503 mAh_cumul=4.38005 Wh_cumul=0.0157638 
t=64 V=3.59901 A=0.190489 W=0.685572 mAh_cumul=4.43297 Wh_cumul=0.0159542 
t=65 V=3.59905 A=0.189614 W=0.68243 mAh_cumul=4.48564 Wh_cumul=0.0161438 
t=66 V=3.599 A=0.18727 W=0.673985 mAh_cumul=4.53766 Wh_cumul=0.016331 
t=67 V=3.599 A=0.185738 W=0.668471 mAh_cumul=4.58925 Wh_cumul=0.0165167 
t=68 V=3.59899 A=0.184922 W=0.665532 mAh_cumul=4.64062 Wh_cumul=0.0167016 
t=69 V=3.59901 A=0.184339 W=0.663438 mAh_cumul=4.69182 Wh_cumul=0.0168858 
t=70 V=3.59898 A=0.182796 W=0.657879 mAh_cumul=4.7426 Wh_cumul=0.0170686 
t=71 V=3.59897 A=0.180924 W=0.65114 mAh_cumul=4.79285 Wh_cumul=0.0172495 
t=72 V=3.59898 A=0.180507 W=0.649641 mAh_cumul=4.843 Wh_cumul=0.0174299 
t=73 V=3.59897 A=0.178919 W=0.643924 mAh_cumul=4.8927 Wh_cumul=0.0176088 
t=74 V=3.59898 A=0.178207 W=0.641363 mAh_cumul=4.9422 Wh_cumul=0.0177869 
t=75 V=3.59898 A=0.177367 W=0.63834 mAh_cumul=4.99147 Wh_cumul=0.0179643 
t=76 V=3.59898 A=0.176329 W=0.634605 mAh_cumul=5.04045 Wh_cumul=0.0181405 
t=77 V=3.59898 A=0.175236 W=0.630671 mAh_cumul=5.08912 Wh_cumul=0.0183157 
t=78 V=3.59899 A=0.175092 W=0.630154 mAh_cumul=5.13776 Wh_cumul=0.0184908 
