0 errors cleared
t=0 V=3.6159 A=0.0083462 W=0.030179 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.61589 A=0.0083471 W=0.0301822 mAh_cumul=0.00463728 Wh_cumul=1.67679e-05 
t=3 V=3.70342 A=1.30108 W=4.81845 mAh_cumul=0.366048 Wh_cumul=0.00135523 
t=4 V=3.70568 A=1.30088 W=4.82064 mAh_cumul=0.727404 Wh_cumul=0.00269429 
t=5 V=3.70707 A=1.30085 W=4.82234 mAh_cumul=1.08875 Wh_cumul=0.00403383 
t=6 V=3.70826 A=1.30082 W=4.82378 mAh_cumul=1.45009 Wh_cumul=0.00537377 
t=7 V=3.70929 A=1.30082 W=4.82512 mAh_cumul=1.81143 Wh_cumul=0.00671408 
t=8 V=3.71022 A=1.3008 W=4.82625 mAh_cumul=2.17276 Wh_cumul=0.00805471 
t=9 V=3.7111 A=1.30079 W=4.82736 mAh_cumul=2.53409 Wh_cumul=0.00939564 
t=10 V=3.71189 A=1.30078 W=4.82835 mAh_cumul=2.89542 Wh_cumul=0.0107369 
t=11 V=3.71262 A=1.30078 W=4.8293 mAh_cumul=3.25675 Wh_cumul=0.0120783 
t=12 V=3.71339 A=1.30079 W=4.83034 mAh_cumul=3.61808 Wh_cumul=0.0134201 
t=13 V=3.71409 A=1.30079 W=4.83125 mAh_cumul=3.97941 Wh_cumul=0.0147621 
t=14 V=3.7148 A=1.30078 W=4.83214 mAh_cumul=4.34074 Wh_cumul=0.0161044 
t=15 V=3.71547 A=1.30077 W=4.83297 mAh_cumul=4.70206 Wh_cumul=0.0174469 
t=16 V=3.71613 A=1.30077 W=4.83383 mAh_cumul=5.06339 Wh_cumul=0.0187896 
t=17 V=3.71675 A=1.30078 W=4.83467 mAh_cumul=5.42472 Wh_cumul=0.0201325 
t=18 V=3.71732 A=1.30077 W=4.83538 mAh_cumul=5.78604 Wh_cumul=0.0214757 
t=19 V=3.7179 A=1.30079 W=4.83621 mAh_cumul=6.14737 Wh_cumul=0.0228191 
t=20 V=3.71843 A=1.30078 W=4.83686 mAh_cumul=6.5087 Wh_cumul=0.0241627 
t=21 V=3.719 A=1.30077 W=4.83756 mAh_cumul=6.87002 Wh_cumul=0.0255064 
t=22 V=3.71952 A=1.30078 W=4.83828 mAh_cumul=7.23135 Wh_cumul=0.0268504 
t=23 V=3.72003 A=1.30078 W=4.83894 mAh_cumul=7.59268 Wh_cumul=0.0281946 
t=24 V=3.72053 A=1.30076 W=4.83952 mAh_cumul=7.954 Wh_cumul=0.0295389 
t=25 V=3.72099 A=1.30077 W=4.84015 mAh_cumul=8.31533 Wh_cumul=0.0308834 
