0 errors cleared
t=0 V=3.3504 A=0.00773826 W=0.0259263 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.35152 A=0.00774504 W=0.0259577 mAh_cumul=0.0043028 Wh_cumul=1.44209e-05 
t=3 V=3.45857 A=1.30109 W=4.49991 mAh_cumul=0.365717 Wh_cumul=0.0012644 
t=4 V=3.48207 A=1.3009 W=4.52982 mAh_cumul=0.727078 Wh_cumul=0.00252268 
t=5 V=3.48871 A=1.30086 W=4.53832 mAh_cumul=1.08843 Wh_cumul=0.00378333 
t=6 V=3.49304 A=1.30083 W=4.54385 mAh_cumul=1.44977 Wh_cumul=0.00504551 
t=7 V=3.49649 A=1.3008 W=4.54823 mAh_cumul=1.8111 Wh_cumul=0.00630891 
t=8 V=3.49943 A=1.3008 W=4.55206 mAh_cumul=2.17244 Wh_cumul=0.00757337 
t=9 V=3.50197 A=1.30081 W=4.5554 mAh_cumul=2.53377 Wh_cumul=0.00883875 
t=10 V=3.50434 A=1.30081 W=4.55848 mAh_cumul=2.89511 Wh_cumul=0.010105 
t=11 V=3.50641 A=1.3008 W=4.56114 mAh_cumul=3.25644 Wh_cumul=0.011372 
t=12 V=3.50837 A=1.3008 W=4.56369 mAh_cumul=3.61778 Wh_cumul=0.0126397 
t=13 V=3.51032 A=1.30079 W=4.56619 mAh_cumul=3.97911 Wh_cumul=0.0139081 
t=14 V=3.51211 A=1.30079 W=4.56852 mAh_cumul=4.34044 Wh_cumul=0.0151771 
t=15 V=3.51379 A=1.30079 W=4.5707 mAh_cumul=4.70177 Wh_cumul=0.0164467 
t=16 V=3.51539 A=1.30079 W=4.57278 mAh_cumul=5.0631 Wh_cumul=0.0177169 
t=17 V=3.51694 A=1.30078 W=4.57477 mAh_cumul=5.42443 Wh_cumul=0.0189877 
t=18 V=3.5184 A=1.30078 W=4.57666 mAh_cumul=5.78575 Wh_cumul=0.020259 
t=19 V=3.5198 A=1.30078 W=4.57849 mAh_cumul=6.14708 Wh_cumul=0.0215308 
t=20 V=3.52115 A=1.30079 W=4.58028 mAh_cumul=6.50841 Wh_cumul=0.0228031 
t=21 V=3.52242 A=1.30078 W=4.58189 mAh_cumul=6.86974 Wh_cumul=0.0240759 
t=22 V=3.52365 A=1.30077 W=4.58346 mAh_cumul=7.23106 Wh_cumul=0.025349 
t=23 V=3.52481 A=1.30078 W=4.585 mAh_cumul=7.59239 Wh_cumul=0.0266227 
t=24 V=3.52596 A=1.30078 W=4.5865 mAh_cumul=7.95372 Wh_cumul=0.0278967 
t=25 V=3.52704 A=1.30078 W=4.5879 mAh_cumul=8.31505 Wh_cumul=0.0291711 
t=26 V=3.52809 A=1.30077 W=4.58923 mAh_cumul=8.67637 Wh_cumul=0.0304459 
t=27 V=3.5291 A=1.30079 W=4.59062 mAh_cumul=9.0377 Wh_cumul=0.0317211 
t=28 V=3.53006 A=1.30078 W=4.59183 mAh_cumul=9.39903 Wh_cumul=0.0329966 
t=29 V=3.53097 A=1.30078 W=4.59302 mAh_cumul=9.76036 Wh_cumul=0.0342724 
t=30 V=3.53187 A=1.30078 W=4.59419 mAh_cumul=10.1217 Wh_cumul=0.0355486 
t=31 V=3.53272 A=1.30078 W=4.59529 mAh_cumul=10.483 Wh_cumul=0.036825 
t=32 V=3.53358 A=1.30079 W=4.59645 mAh_cumul=10.8443 Wh_cumul=0.0381018 
t=33 V=3.53439 A=1.30078 W=4.59746 mAh_cumul=11.2057 Wh_cumul=0.0393789 
t=34 V=3.53517 A=1.30079 W=4.59851 mAh_cumul=11.567 Wh_cumul=0.0406563 
t=35 V=3.5359 A=1.30078 W=4.59943 mAh_cumul=11.9283 Wh_cumul=0.0419339 
t=36 V=3.53664 A=1.30078 W=4.60039 mAh_cumul=12.2897 Wh_cumul=0.0432118 
t=37 V=3.53732 A=1.30078 W=4.60128 mAh_cumul=12.651 Wh_cumul=0.0444899 
t=38 V=3.53799 A=1.30077 W=4.60211 mAh_cumul=13.0123 Wh_cumul=0.0457683 
t=39 V=3.53864 A=1.30077 W=4.60296 mAh_cumul=13.3736 Wh_cumul=0.0470469 
t=40 V=3.53931 A=1.30076 W=4.60379 mAh_cumul=13.735 Wh_cumul=0.0483257 
t=41 V=3.53991 A=1.30077 W=4.60461 mAh_cumul=14.0963 Wh_cumul=0.0496048 
t=42 V=3.54048 A=1.30077 W=4.60535 mAh_cumul=14.4576 Wh_cumul=0.050884 
t=43 V=3.54107 A=1.30078 W=4.60615 mAh_cumul=14.8189 Wh_cumul=0.0521635 
t=44 V=3.54165 A=1.30078 W=4.60691 mAh_cumul=15.1803 Wh_cumul=0.0534432 
t=45 V=3.54217 A=1.30077 W=4.60755 mAh_cumul=15.5416 Wh_cumul=0.0547231 
t=46 V=3.54271 A=1.30077 W=4.60825 mAh_cumul=15.9029 Wh_cumul=0.0560031 
t=47 V=3.54322 A=1.30077 W=4.60891 mAh_cumul=16.2642 Wh_cumul=0.0572834 
t=48 V=3.5437 A=1.30077 W=4.60954 mAh_cumul=16.6256 Wh_cumul=0.0585638 
t=49 V=3.54418 A=1.30077 W=4.61016 mAh_cumul=16.9869 Wh_cumul=0.0598444 
t=50 V=3.54465 A=1.30076 W=4.61074 mAh_cumul=17.3482 Wh_cumul=0.0611252 
t=51 V=3.54509 A=1.30077 W=4.61135 mAh_cumul=17.7095 Wh_cumul=0.0624061 
t=52 V=3.54552 A=1.30076 W=4.61187 mAh_cumul=18.0709 Wh_cumul=0.0636872 
t=53 V=3.54598 A=1.30077 W=4.6125 mAh_cumul=18.4322 Wh_cumul=0.0649684 
t=54 V=3.54638 A=1.30078 W=4.61306 mAh_cumul=18.7935 Wh_cumul=0.0662499 
t=55 V=3.5468 A=1.30077 W=4.61357 mAh_cumul=19.1548 Wh_cumul=0.0675314 
t=56 V=3.5472 A=1.30077 W=4.61409 mAh_cumul=19.5162 Wh_cumul=0.0688131 
t=57 V=3.54759 A=1.30077 W=4.6146 mAh_cumul=19.8775 Wh_cumul=0.0700949 
t=58 V=3.54798 A=1.30076 W=4.61507 mAh_cumul=20.2388 Wh_cumul=0.0713769 
t=59 V=3.54835 A=1.30076 W=4.61555 mAh_cumul=20.6001 Wh_cumul=0.072659 
t=60 V=3.54871 A=1.30077 W=4.61606 mAh_cumul=20.9615 Wh_cumul=0.0739412 
t=61 V=3.54907 A=1.30077 W=4.61652 mAh_cumul=21.3228 Wh_cumul=0.0752236 
t=62 V=3.54941 A=1.30077 W=4.61697 mAh_cumul=21.6841 Wh_cumul=0.0765061 
t=63 V=3.54978 A=1.30077 W=4.61745 mAh_cumul=22.0454 Wh_cumul=0.0777887 
t=64 V=3.5501 A=1.30077 W=4.61786 mAh_cumul=22.4068 Wh_cumul=0.0790714 
t=65 V=3.55042 A=1.30076 W=4.61824 mAh_cumul=22.7681 Wh_cumul=0.0803543 
t=66 V=3.55078 A=1.30077 W=4.61875 mAh_cumul=23.1294 Wh_cumul=0.0816373 
t=67 V=3.55106 A=1.30078 W=4.61915 mAh_cumul=23.4907 Wh_cumul=0.0829204 
t=68 V=3.5514 A=1.30077 W=4.61955 mAh_cumul=23.8521 Wh_cumul=0.0842036 
t=69 V=3.5517 A=1.30076 W=4.61991 mAh_cumul=24.2134 Wh_cumul=0.0854869 
t=70 V=3.55197 A=1.30079 W=4.62037 mAh_cumul=24.5747 Wh_cumul=0.0867703 
t=71 V=3.55227 A=1.30077 W=4.62069 mAh_cumul=24.936 Wh_cumul=0.0880539 
t=72 V=3.55256 A=1.30077 W=4.62106 mAh_cumul=25.2974 Wh_cumul=0.0893375 
t=73 V=3.55285 A=1.30078 W=4.62148 mAh_cumul=25.6587 Wh_cumul=0.0906212 
t=74 V=3.55312 A=1.30078 W=4.62183 mAh_cumul=26.02 Wh_cumul=0.0919051 
t=75 V=3.55337 A=1.30078 W=4.62215 mAh_cumul=26.3813 Wh_cumul=0.093189 
t=76 V=3.55366 A=1.30077 W=4.62249 mAh_cumul=26.7427 Wh_cumul=0.094473 
t=77 V=3.55393 A=1.30076 W=4.62281 mAh_cumul=27.104 Wh_cumul=0.0957571 
t=78 V=3.55419 A=1.30077 W=4.62318 mAh_cumul=27.4653 Wh_cumul=0.0970414 
t=79 V=3.55442 A=1.30078 W=4.62352 mAh_cumul=27.8266 Wh_cumul=0.0983257 
t=80 V=3.55467 A=1.30078 W=4.62384 mAh_cumul=28.188 Wh_cumul=0.0996101 
t=81 V=3.55492 A=1.30078 W=4.62417 mAh_cumul=28.5493 Wh_cumul=0.100895 
t=82 V=3.55517 A=1.30077 W=4.62446 mAh_cumul=28.9106 Wh_cumul=0.102179 
t=83 V=3.55541 A=1.30077 W=4.62477 mAh_cumul=29.2719 Wh_cumul=0.103464 
t=84 V=3.55562 A=1.30077 W=4.62504 mAh_cumul=29.6333 Wh_cumul=0.104749 
t=85 V=3.55587 A=1.30078 W=4.6254 mAh_cumul=29.9946 Wh_cumul=0.106033 
t=86 V=3.55609 A=1.30077 W=4.62566 mAh_cumul=30.3559 Wh_cumul=0.107318 
t=87 V=3.55631 A=1.30075 W=4.62587 mAh_cumul=30.7172 Wh_cumul=0.108603 
t=88 V=3.55654 A=1.30075 W=4.62617 mAh_cumul=31.0786 Wh_cumul=0.109888 
t=89 V=3.55676 A=1.30076 W=4.62649 mAh_cumul=31.4399 Wh_cumul=0.111173 
t=90 V=3.55698 A=1.30076 W=4.62678 mAh_cumul=31.8012 Wh_cumul=0.112459 
t=91 V=3.55718 A=1.30076 W=4.62704 mAh_cumul=32.1625 Wh_cumul=0.113744 
t=92 V=3.55739 A=1.30076 W=4.62731 mAh_cumul=32.5239 Wh_cumul=0.115029 
t=93 V=3.55759 A=1.30076 W=4.62757 mAh_cumul=32.8852 Wh_cumul=0.116315 
t=94 V=3.55777 A=1.30077 W=4.62784 mAh_cumul=33.2465 Wh_cumul=0.1176 
t=95 V=3.55798 A=1.30077 W=4.62811 mAh_cumul=33.6078 Wh_cumul=0.118886 
t=96 V=3.55817 A=1.30077 W=4.62836 mAh_cumul=33.9692 Wh_cumul=0.120171 
t=97 V=3.55834 A=1.30076 W=4.62855 mAh_cumul=34.3305 Wh_cumul=0.121457 
t=98 V=3.55858 A=1.30077 W=4.62889 mAh_cumul=34.6918 Wh_cumul=0.122743 
t=99 V=3.55872 A=1.30076 W=4.62904 mAh_cumul=35.0531 Wh_cumul=0.124029 
t=100 V=3.5589 A=1.30077 W=4.62931 mAh_cumul=35.4144 Wh_cumul=0.125315 
t=101 V=3.5591 A=1.30078 W=4.62961 mAh_cumul=35.7758 Wh_cumul=0.126601 
t=102 V=3.55926 A=1.30077 W=4.62978 mAh_cumul=36.1371 Wh_cumul=0.127887 
t=103 V=3.55944 A=1.30077 W=4.63001 mAh_cumul=36.4984 Wh_cumul=0.129173 
t=104 V=3.55963 A=1.30077 W=4.63026 mAh_cumul=36.8597 Wh_cumul=0.130459 
t=105 V=3.55982 A=1.30076 W=4.63047 mAh_cumul=37.2211 Wh_cumul=0.131745 
t=106 V=3.55997 A=1.30078 W=4.63074 mAh_cumul=37.5824 Wh_cumul=0.133032 
t=107 V=3.56016 A=1.30077 W=4.63095 mAh_cumul=37.9437 Wh_cumul=0.134318 
t=108 V=3.56032 A=1.30076 W=4.63112 mAh_cumul=38.305 Wh_cumul=0.135604 
t=109 V=3.56049 A=1.30076 W=4.63134 mAh_cumul=38.6664 Wh_cumul=0.136891 
t=110 V=3.56067 A=1.30075 W=4.63154 mAh_cumul=39.0277 Wh_cumul=0.138177 
t=111 V=3.56083 A=1.30077 W=4.63182 mAh_cumul=39.389 Wh_cumul=0.139464 
t=112 V=3.56106 A=1.30077 W=4.63212 mAh_cumul=39.7503 Wh_cumul=0.140751 
t=113 V=3.56123 A=1.30077 W=4.63234 mAh_cumul=40.1117 Wh_cumul=0.142038 
t=114 V=3.5614 A=1.30076 W=4.63253 mAh_cumul=40.473 Wh_cumul=0.143324 
t=115 V=3.56158 A=1.30077 W=4.6328 mAh_cumul=40.8343 Wh_cumul=0.144611 
t=116 V=3.56176 A=1.30077 W=4.63303 mAh_cumul=41.1956 Wh_cumul=0.145898 
t=117 V=3.56192 A=1.30077 W=4.63324 mAh_cumul=41.557 Wh_cumul=0.147185 
t=118 V=3.56208 A=1.30077 W=4.63345 mAh_cumul=41.9183 Wh_cumul=0.148472 
t=119 V=3.56223 A=1.30078 W=4.63368 mAh_cumul=42.2796 Wh_cumul=0.149759 
t=120 V=3.56244 A=1.30077 W=4.63392 mAh_cumul=42.6409 Wh_cumul=0.151047 
t=121 V=3.56256 A=1.30077 W=4.63407 mAh_cumul=43.0023 Wh_cumul=0.152334 
t=122 V=3.56278 A=1.30077 W=4.63436 mAh_cumul=43.3636 Wh_cumul=0.153621  r_start 
t=123 V=3.54953 A=1.10569 W=3.92468 mAh_cumul=43.6707 Wh_cumul=0.154711 
t=124 V=3.54918 A=1.10569 W=3.92429 mAh_cumul=43.9779 Wh_cumul=0.155801 
t=125 V=3.54904 A=1.10569 W=3.92414 mAh_cumul=44.285 Wh_cumul=0.156891 
t=126 V=3.54897 A=1.1057 W=3.9241 mAh_cumul=44.5921 Wh_cumul=0.157982 
t=127 V=3.54894 A=1.10568 W=3.92399 mAh_cumul=44.8993 Wh_cumul=0.159072 
t=128 V=3.54893 A=1.1057 W=3.92405 mAh_cumul=45.2064 Wh_cumul=0.160162 
t=129 V=3.54894 A=1.1057 W=3.92406 mAh_cumul=45.5135 Wh_cumul=0.161252 
t=130 V=3.54893 A=1.10569 W=3.92402 mAh_cumul=45.8207 Wh_cumul=0.162342 
t=131 V=3.54894 A=1.1057 W=3.92406 mAh_cumul=46.1278 Wh_cumul=0.163432 
t=132 V=3.54901 A=1.10569 W=3.9241 mAh_cumul=46.435 Wh_cumul=0.164522  r_2 
t=133 V=3.58942 A=1.69102 W=6.06978 mAh_cumul=46.9047 Wh_cumul=0.166208 
t=134 V=3.59088 A=1.69102 W=6.07225 mAh_cumul=47.3744 Wh_cumul=0.167894 
t=135 V=3.59173 A=1.69101 W=6.07365 mAh_cumul=47.8441 Wh_cumul=0.169582 
t=136 V=3.59243 A=1.69101 W=6.07484 mAh_cumul=48.3139 Wh_cumul=0.171269 
t=137 V=3.59305 A=1.69101 W=6.07588 mAh_cumul=48.7836 Wh_cumul=0.172957 
t=138 V=3.59363 A=1.69102 W=6.0769 mAh_cumul=49.2533 Wh_cumul=0.174645 
t=139 V=3.59414 A=1.69102 W=6.07776 mAh_cumul=49.723 Wh_cumul=0.176333 
t=140 V=3.5946 A=1.69101 W=6.0785 mAh_cumul=50.1928 Wh_cumul=0.178021 
t=141 V=3.59507 A=1.69102 W=6.07934 mAh_cumul=50.6625 Wh_cumul=0.17971 
t=142 V=3.59546 A=1.69102 W=6.07999 mAh_cumul=51.1322 Wh_cumul=0.181399  r_3 
