0 errors cleared
t=0 V=4.18806 A=0.00964881 W=0.0404098 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.18793 A=0.00964125 W=0.0403769 mAh_cumul=0.00535625 Wh_cumul=2.24316e-05 
t=3 V=4.11139 A=1.30006 W=5.34505 mAh_cumul=0.366484 Wh_cumul=0.00150717 
t=4 V=4.10808 A=1.3 W=5.3405 mAh_cumul=0.727595 Wh_cumul=0.00299064 
t=5 V=4.1061 A=1.3 W=5.33793 mAh_cumul=1.08871 Wh_cumul=0.0044734 
t=6 V=4.10444 A=1.29999 W=5.33573 mAh_cumul=1.44981 Wh_cumul=0.00595555 
t=7 V=4.10295 A=1.29999 W=5.33379 mAh_cumul=1.81092 Wh_cumul=0.00743716 
t=8 V=4.10155 A=1.29998 W=5.33193 mAh_cumul=2.17203 Wh_cumul=0.00891825 
t=9 V=4.10028 A=1.29999 W=5.33032 mAh_cumul=2.53314 Wh_cumul=0.0103989 
t=10 V=4.09902 A=1.29999 W=5.32869 mAh_cumul=2.89425 Wh_cumul=0.0118791 
t=11 V=4.09785 A=1.29999 W=5.32716 mAh_cumul=3.25535 Wh_cumul=0.0133589 
t=12 V=4.09675 A=1.3 W=5.32578 mAh_cumul=3.61646 Wh_cumul=0.0148382 
t=13 V=4.09569 A=1.29998 W=5.32432 mAh_cumul=3.97757 Wh_cumul=0.0163172 
t=14 V=4.09461 A=1.29999 W=5.32295 mAh_cumul=4.33868 Wh_cumul=0.0177958 
t=15 V=4.09364 A=1.29999 W=5.32169 mAh_cumul=4.69979 Wh_cumul=0.0192741 
t=16 V=4.09264 A=1.3 W=5.32043 mAh_cumul=5.0609 Wh_cumul=0.020752 
t=17 V=4.09172 A=1.29999 W=5.3192 mAh_cumul=5.42201 Wh_cumul=0.0222295 
t=18 V=4.09076 A=1.29999 W=5.31795 mAh_cumul=5.78311 Wh_cumul=0.0237067 
t=19 V=4.08986 A=1.3 W=5.31682 mAh_cumul=6.14423 Wh_cumul=0.0251836 
t=20 V=4.089 A=1.29999 W=5.31566 mAh_cumul=6.50533 Wh_cumul=0.0266602 
t=21 V=4.08813 A=1.29999 W=5.31453 mAh_cumul=6.86644 Wh_cumul=0.0281364 
t=22 V=4.08732 A=1.29999 W=5.31348 mAh_cumul=7.22755 Wh_cumul=0.0296124 
t=23 V=4.08651 A=1.29999 W=5.31242 mAh_cumul=7.58866 Wh_cumul=0.0310881 
t=24 V=4.08572 A=1.3 W=5.31144 mAh_cumul=7.94977 Wh_cumul=0.0325635 
t=25 V=4.08492 A=1.29999 W=5.31036 mAh_cumul=8.31088 Wh_cumul=0.0340386 
t=26 V=4.08416 A=1.29999 W=5.30937 mAh_cumul=8.67199 Wh_cumul=0.0355134 
t=27 V=4.08343 A=1.29998 W=5.30838 mAh_cumul=9.03309 Wh_cumul=0.0369879 
t=28 V=4.08272 A=1.29999 W=5.3075 mAh_cumul=9.3942 Wh_cumul=0.0384623 
t=29 V=4.08199 A=1.29999 W=5.30655 mAh_cumul=9.75531 Wh_cumul=0.0399363 
t=30 V=4.0813 A=1.29999 W=5.30565 mAh_cumul=10.1164 Wh_cumul=0.0414101 
t=31 V=4.08062 A=1.29999 W=5.30477 mAh_cumul=10.4775 Wh_cumul=0.0428836 
t=32 V=4.0799 A=1.29999 W=5.30383 mAh_cumul=10.8386 Wh_cumul=0.0443569 
t=33 V=4.07927 A=1.29999 W=5.30301 mAh_cumul=11.1997 Wh_cumul=0.04583 
t=34 V=4.07861 A=1.29999 W=5.30215 mAh_cumul=11.5609 Wh_cumul=0.0473028 
t=35 V=4.07795 A=1.30001 W=5.30138 mAh_cumul=11.922 Wh_cumul=0.0487754 
t=36 V=4.07735 A=1.29998 W=5.30047 mAh_cumul=12.2831 Wh_cumul=0.0502478 
t=37 V=4.07676 A=1.3 W=5.29979 mAh_cumul=12.6442 Wh_cumul=0.0517199 
t=38 V=4.07615 A=1.3 W=5.299 mAh_cumul=13.0053 Wh_cumul=0.0531919 
t=39 V=4.07555 A=1.29999 W=5.29817 mAh_cumul=13.3664 Wh_cumul=0.0546636 
t=40 V=4.07502 A=1.3 W=5.29753 mAh_cumul=13.7275 Wh_cumul=0.0561351 
t=41 V=4.07448 A=1.29999 W=5.29678 mAh_cumul=14.0886 Wh_cumul=0.0576064 
t=42 V=4.07394 A=1.30001 W=5.29616 mAh_cumul=14.4497 Wh_cumul=0.0590776 
t=43 V=4.0734 A=1.29999 W=5.29538 mAh_cumul=14.8108 Wh_cumul=0.0605485 
t=44 V=4.07288 A=1.3 W=5.29474 mAh_cumul=15.172 Wh_cumul=0.0620193 
t=45 V=4.07235 A=1.3 W=5.29406 mAh_cumul=15.5331 Wh_cumul=0.0634899 
t=46 V=4.07181 A=1.3 W=5.29335 mAh_cumul=15.8942 Wh_cumul=0.0649602 
t=47 V=4.0713 A=1.30002 W=5.29277 mAh_cumul=16.2553 Wh_cumul=0.0664305 
t=48 V=4.07079 A=1.3 W=5.29203 mAh_cumul=16.6164 Wh_cumul=0.0679005 
t=49 V=4.07028 A=1.30001 W=5.2914 mAh_cumul=16.9775 Wh_cumul=0.0693703 
t=50 V=4.06977 A=1.3 W=5.2907 mAh_cumul=17.3386 Wh_cumul=0.0708399 
t=51 V=4.06923 A=1.3 W=5.29 mAh_cumul=17.6997 Wh_cumul=0.0723094 
t=52 V=4.06876 A=1.3 W=5.28939 mAh_cumul=18.0609 Wh_cumul=0.0737787 
t=53 V=4.06825 A=1.3 W=5.28873 mAh_cumul=18.422 Wh_cumul=0.0752477 
t=54 V=4.06777 A=1.29999 W=5.28806 mAh_cumul=18.7831 Wh_cumul=0.0767167 
t=55 V=4.0673 A=1.29999 W=5.28745 mAh_cumul=19.1442 Wh_cumul=0.0781854 
t=56 V=4.06682 A=1.3 W=5.28687 mAh_cumul=19.5053 Wh_cumul=0.079654 
