0 errors cleared
t=0 V=3.33038 A=0.00767634 W=0.0255651 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.33163 A=0.00768927 W=0.0256178 mAh_cumul=0.00427182 Wh_cumul=1.42321e-05 
t=3 V=3.43808 A=1.3011 W=4.47329 mAh_cumul=0.365688 Wh_cumul=0.00125681 
t=4 V=3.46464 A=1.30089 W=4.50712 mAh_cumul=0.727047 Wh_cumul=0.00250879 
t=5 V=3.47202 A=1.30085 W=4.51658 mAh_cumul=1.08839 Wh_cumul=0.00376339 
t=6 V=3.47683 A=1.30081 W=4.5227 mAh_cumul=1.44973 Wh_cumul=0.0050197 
t=7 V=3.48061 A=1.30081 W=4.52761 mAh_cumul=1.81107 Wh_cumul=0.00627737 
t=8 V=3.48388 A=1.3008 W=4.53183 mAh_cumul=2.1724 Wh_cumul=0.00753621 
t=9 V=3.48676 A=1.3008 W=4.53558 mAh_cumul=2.53373 Wh_cumul=0.00879609 
t=10 V=3.48944 A=1.30079 W=4.53903 mAh_cumul=2.89506 Wh_cumul=0.0100569 
t=11 V=3.4919 A=1.3008 W=4.54226 mAh_cumul=3.2564 Wh_cumul=0.0113187 
t=12 V=3.49422 A=1.30081 W=4.54532 mAh_cumul=3.61773 Wh_cumul=0.0125813 
t=13 V=3.49633 A=1.30079 W=4.54799 mAh_cumul=3.97906 Wh_cumul=0.0138446 
t=14 V=3.49834 A=1.30079 W=4.55061 mAh_cumul=4.34039 Wh_cumul=0.0151086 
t=15 V=3.50025 A=1.30079 W=4.55309 mAh_cumul=4.70172 Wh_cumul=0.0163734 
t=16 V=3.50207 A=1.30078 W=4.55542 mAh_cumul=5.06305 Wh_cumul=0.0176388 
t=17 V=3.50382 A=1.30078 W=4.5577 mAh_cumul=5.42438 Wh_cumul=0.0189048 
t=18 V=3.50542 A=1.30078 W=4.55978 mAh_cumul=5.78571 Wh_cumul=0.0201714 
t=19 V=3.50695 A=1.30079 W=4.56181 mAh_cumul=6.14704 Wh_cumul=0.0214386 
