0 errors cleared
t=0 V=3.64878 A=0.00841742 W=0.0307133 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.64875 A=0.00841383 W=0.0307 mAh_cumul=0.00467435 Wh_cumul=1.70555e-05 
t=3 V=3.73977 A=1.30107 W=4.8657 mAh_cumul=0.366083 Wh_cumul=0.00136864 
t=4 V=3.74284 A=1.30087 W=4.86895 mAh_cumul=0.727435 Wh_cumul=0.00272113 
t=5 V=3.74465 A=1.30084 W=4.87119 mAh_cumul=1.08878 Wh_cumul=0.00407423 
t=6 V=3.74616 A=1.30082 W=4.87308 mAh_cumul=1.45012 Wh_cumul=0.00542787 
t=7 V=3.7475 A=1.3008 W=4.87475 mAh_cumul=1.81145 Wh_cumul=0.00678196 
t=8 V=3.74877 A=1.3008 W=4.8764 mAh_cumul=2.17279 Wh_cumul=0.00813652 
t=9 V=3.74995 A=1.30079 W=4.8779 mAh_cumul=2.53412 Wh_cumul=0.00949149 
t=10 V=3.75106 A=1.30079 W=4.87934 mAh_cumul=2.89545 Wh_cumul=0.0108469 
t=11 V=3.75213 A=1.30077 W=4.88066 mAh_cumul=3.25677 Wh_cumul=0.0122026 
t=12 V=3.75313 A=1.30078 W=4.882 mAh_cumul=3.6181 Wh_cumul=0.0135587 
t=13 V=3.75413 A=1.30078 W=4.8833 mAh_cumul=3.97943 Wh_cumul=0.0149152 
t=14 V=3.75505 A=1.30078 W=4.88449 mAh_cumul=4.34075 Wh_cumul=0.016272 
t=15 V=3.75593 A=1.30077 W=4.8856 mAh_cumul=4.70208 Wh_cumul=0.0176291 
t=16 V=3.7568 A=1.30077 W=4.88673 mAh_cumul=5.0634 Wh_cumul=0.0189865 
t=17 V=3.75765 A=1.30078 W=4.88788 mAh_cumul=5.42473 Wh_cumul=0.0203443 
t=18 V=3.7585 A=1.30077 W=4.88894 mAh_cumul=5.78606 Wh_cumul=0.0217023 
t=19 V=3.75926 A=1.30078 W=4.88997 mAh_cumul=6.14739 Wh_cumul=0.0230606 
t=20 V=3.76008 A=1.30076 W=4.89096 mAh_cumul=6.50871 Wh_cumul=0.0244192 
t=21 V=3.76084 A=1.30076 W=4.89195 mAh_cumul=6.87003 Wh_cumul=0.0257781 
t=22 V=3.76155 A=1.30077 W=4.89291 mAh_cumul=7.23135 Wh_cumul=0.0271373 
t=23 V=3.76226 A=1.30076 W=4.8938 mAh_cumul=7.59268 Wh_cumul=0.0284966 
t=24 V=3.76299 A=1.30077 W=4.89478 mAh_cumul=7.954 Wh_cumul=0.0298563 
t=25 V=3.76369 A=1.30077 W=4.8957 mAh_cumul=8.31533 Wh_cumul=0.0312162 
t=26 V=3.76436 A=1.30077 W=4.89657 mAh_cumul=8.67665 Wh_cumul=0.0325764 
t=27 V=3.765 A=1.30077 W=4.8974 mAh_cumul=9.03798 Wh_cumul=0.0339368 
t=28 V=3.76564 A=1.30078 W=4.89827 mAh_cumul=9.3993 Wh_cumul=0.0352974 
t=29 V=3.76626 A=1.30076 W=4.899 mAh_cumul=9.76063 Wh_cumul=0.0366582 
t=30 V=3.7669 A=1.30077 W=4.89987 mAh_cumul=10.122 Wh_cumul=0.0380193 
t=31 V=3.7675 A=1.30077 W=4.90065 mAh_cumul=10.4833 Wh_cumul=0.0393806 
t=32 V=3.76811 A=1.30077 W=4.90144 mAh_cumul=10.8446 Wh_cumul=0.0407421 
t=33 V=3.76873 A=1.30077 W=4.90225 mAh_cumul=11.2059 Wh_cumul=0.0421038 
t=34 V=3.76931 A=1.30077 W=4.90301 mAh_cumul=11.5673 Wh_cumul=0.0434658 
t=35 V=3.76985 A=1.30076 W=4.90367 mAh_cumul=11.9286 Wh_cumul=0.0448279 
t=36 V=3.77039 A=1.30077 W=4.90441 mAh_cumul=12.2899 Wh_cumul=0.0461903 
t=37 V=3.77092 A=1.30077 W=4.9051 mAh_cumul=12.6512 Wh_cumul=0.0475528 
t=38 V=3.77142 A=1.30077 W=4.90575 mAh_cumul=13.0125 Wh_cumul=0.0489155 
t=39 V=3.77196 A=1.30077 W=4.90645 mAh_cumul=13.3739 Wh_cumul=0.0502784 
t=40 V=3.7725 A=1.30076 W=4.90712 mAh_cumul=13.7352 Wh_cumul=0.0516415 
t=41 V=3.773 A=1.30076 W=4.90777 mAh_cumul=14.0965 Wh_cumul=0.0530048 
t=42 V=3.7735 A=1.30076 W=4.90842 mAh_cumul=14.4578 Wh_cumul=0.0543682 
t=43 V=3.77397 A=1.30075 W=4.90899 mAh_cumul=14.8192 Wh_cumul=0.0557318 
t=44 V=3.77445 A=1.30077 W=4.90969 mAh_cumul=15.1805 Wh_cumul=0.0570956 
t=45 V=3.77495 A=1.30075 W=4.91027 mAh_cumul=15.5418 Wh_cumul=0.0584596 
t=46 V=3.77539 A=1.30076 W=4.91088 mAh_cumul=15.9031 Wh_cumul=0.0598237 
t=47 V=3.77587 A=1.30076 W=4.9115 mAh_cumul=16.2644 Wh_cumul=0.061188 
t=48 V=3.77628 A=1.30077 W=4.91207 mAh_cumul=16.6258 Wh_cumul=0.0625525 
t=49 V=3.77673 A=1.30077 W=4.91266 mAh_cumul=16.9871 Wh_cumul=0.0639171 
t=50 V=3.77719 A=1.30077 W=4.91326 mAh_cumul=17.3484 Wh_cumul=0.0652819 
t=51 V=3.77762 A=1.30075 W=4.91374 mAh_cumul=17.7097 Wh_cumul=0.0666468 
t=52 V=3.77807 A=1.30077 W=4.9144 mAh_cumul=18.0711 Wh_cumul=0.0680119 
t=53 V=3.77849 A=1.30078 W=4.91498 mAh_cumul=18.4324 Wh_cumul=0.0693772 
t=54 V=3.77891 A=1.30075 W=4.91542 mAh_cumul=18.7937 Wh_cumul=0.0707426 
t=55 V=3.7793 A=1.30077 W=4.916 mAh_cumul=19.155 Wh_cumul=0.0721082 
t=56 V=3.77969 A=1.30076 W=4.91647 mAh_cumul=19.5164 Wh_cumul=0.0734738 
t=57 V=3.78006 A=1.30077 W=4.91699 mAh_cumul=19.8777 Wh_cumul=0.0748397 
t=58 V=3.78045 A=1.30077 W=4.9175 mAh_cumul=20.239 Wh_cumul=0.0762056 
t=59 V=3.78079 A=1.30076 W=4.9179 mAh_cumul=20.6003 Wh_cumul=0.0775717 
t=60 V=3.78117 A=1.30076 W=4.91839 mAh_cumul=20.9617 Wh_cumul=0.078938 
t=61 V=3.78154 A=1.30077 W=4.91891 mAh_cumul=21.323 Wh_cumul=0.0803043 
t=62 V=3.78188 A=1.30077 W=4.91936 mAh_cumul=21.6843 Wh_cumul=0.0816708 
t=63 V=3.78227 A=1.30077 W=4.91986 mAh_cumul=22.0456 Wh_cumul=0.0830374 
t=64 V=3.78267 A=1.30077 W=4.92038 mAh_cumul=22.407 Wh_cumul=0.0844042 
t=65 V=3.78301 A=1.30076 W=4.92079 mAh_cumul=22.7683 Wh_cumul=0.0857711 
t=66 V=3.7834 A=1.30076 W=4.9213 mAh_cumul=23.1296 Wh_cumul=0.0871381 
t=67 V=3.78375 A=1.30077 W=4.92179 mAh_cumul=23.4909 Wh_cumul=0.0885053 
t=68 V=3.78413 A=1.30077 W=4.92228 mAh_cumul=23.8523 Wh_cumul=0.0898726 
t=69 V=3.78446 A=1.30078 W=4.92275 mAh_cumul=24.2136 Wh_cumul=0.09124 
t=70 V=3.78481 A=1.30077 W=4.92317 mAh_cumul=24.5749 Wh_cumul=0.0926076 
t=71 V=3.78517 A=1.30077 W=4.92364 mAh_cumul=24.9362 Wh_cumul=0.0939752 
t=72 V=3.78549 A=1.30078 W=4.92409 mAh_cumul=25.2976 Wh_cumul=0.095343 
t=73 V=3.78582 A=1.30077 W=4.92448 mAh_cumul=25.6589 Wh_cumul=0.0967109 
t=74 V=3.78615 A=1.30076 W=4.92487 mAh_cumul=26.0202 Wh_cumul=0.098079 
t=75 V=3.78648 A=1.30077 W=4.92534 mAh_cumul=26.3815 Wh_cumul=0.0994471 
t=76 V=3.7868 A=1.30076 W=4.92572 mAh_cumul=26.7429 Wh_cumul=0.100815 
t=77 V=3.78711 A=1.30077 W=4.92616 mAh_cumul=27.1042 Wh_cumul=0.102184 
t=78 V=3.78745 A=1.30077 W=4.9266 mAh_cumul=27.4655 Wh_cumul=0.103552 
t=79 V=3.78778 A=1.30076 W=4.92699 mAh_cumul=27.8268 Wh_cumul=0.104921 
t=80 V=3.78808 A=1.30076 W=4.92738 mAh_cumul=28.1881 Wh_cumul=0.10629 
t=81 V=3.78837 A=1.30077 W=4.9278 mAh_cumul=28.5495 Wh_cumul=0.107658 
t=82 V=3.78869 A=1.30077 W=4.92821 mAh_cumul=28.9108 Wh_cumul=0.109027 
t=83 V=3.78898 A=1.30076 W=4.92855 mAh_cumul=29.2721 Wh_cumul=0.110396 
t=84 V=3.78932 A=1.30076 W=4.929 mAh_cumul=29.6334 Wh_cumul=0.111766 
t=85 V=3.78959 A=1.30076 W=4.92935 mAh_cumul=29.9948 Wh_cumul=0.113135 
t=86 V=3.78988 A=1.30077 W=4.92976 mAh_cumul=30.3561 Wh_cumul=0.114504 
t=87 V=3.79018 A=1.30077 W=4.93015 mAh_cumul=30.7174 Wh_cumul=0.115874 
t=88 V=3.79051 A=1.30076 W=4.93054 mAh_cumul=31.0787 Wh_cumul=0.117243 
t=89 V=3.79077 A=1.30077 W=4.93092 mAh_cumul=31.4401 Wh_cumul=0.118613 
t=90 V=3.79105 A=1.30078 W=4.93132 mAh_cumul=31.8014 Wh_cumul=0.119983 
t=91 V=3.79135 A=1.30076 W=4.93164 mAh_cumul=32.1627 Wh_cumul=0.121353 
t=92 V=3.7916 A=1.30078 W=4.93204 mAh_cumul=32.524 Wh_cumul=0.122723 
t=93 V=3.79187 A=1.30076 W=4.93231 mAh_cumul=32.8854 Wh_cumul=0.124093 
t=94 V=3.79214 A=1.30078 W=4.93274 mAh_cumul=33.2467 Wh_cumul=0.125463 
t=95 V=3.79247 A=1.30077 W=4.93313 mAh_cumul=33.608 Wh_cumul=0.126833 
t=96 V=3.79273 A=1.30078 W=4.93351 mAh_cumul=33.9693 Wh_cumul=0.128204 
t=97 V=3.79295 A=1.30076 W=4.93372 mAh_cumul=34.3307 Wh_cumul=0.129574 
t=98 V=3.79327 A=1.30076 W=4.93413 mAh_cumul=34.692 Wh_cumul=0.130945 
t=99 V=3.79352 A=1.30077 W=4.9345 mAh_cumul=35.0533 Wh_cumul=0.132316 
t=100 V=3.79376 A=1.30076 W=4.93477 mAh_cumul=35.4146 Wh_cumul=0.133686 
t=101 V=3.79406 A=1.30076 W=4.93516 mAh_cumul=35.776 Wh_cumul=0.135057 
t=102 V=3.79429 A=1.30077 W=4.9355 mAh_cumul=36.1373 Wh_cumul=0.136428 
t=103 V=3.79453 A=1.30076 W=4.93577 mAh_cumul=36.4986 Wh_cumul=0.137799 
t=104 V=3.79481 A=1.30076 W=4.93614 mAh_cumul=36.8599 Wh_cumul=0.13917 
t=105 V=3.79505 A=1.30077 W=4.93649 mAh_cumul=37.2212 Wh_cumul=0.140542 
t=106 V=3.79527 A=1.30077 W=4.93677 mAh_cumul=37.5826 Wh_cumul=0.141913 
t=107 V=3.79553 A=1.30076 W=4.93707 mAh_cumul=37.9439 Wh_cumul=0.143284 
t=108 V=3.79577 A=1.30077 W=4.93742 mAh_cumul=38.3052 Wh_cumul=0.144656 
t=109 V=3.796 A=1.30076 W=4.93768 mAh_cumul=38.6665 Wh_cumul=0.146027 
t=110 V=3.79627 A=1.30077 W=4.93807 mAh_cumul=39.0279 Wh_cumul=0.147399 
t=111 V=3.79648 A=1.30077 W=4.93835 mAh_cumul=39.3892 Wh_cumul=0.148771 
t=112 V=3.79671 A=1.30077 W=4.93865 mAh_cumul=39.7505 Wh_cumul=0.150143 
t=113 V=3.79693 A=1.30076 W=4.93889 mAh_cumul=40.1118 Wh_cumul=0.151515 
t=114 V=3.79721 A=1.30078 W=4.93933 mAh_cumul=40.4732 Wh_cumul=0.152887 
t=115 V=3.79739 A=1.30077 W=4.93953 mAh_cumul=40.8345 Wh_cumul=0.154259 
t=116 V=3.79765 A=1.30076 W=4.93983 mAh_cumul=41.1958 Wh_cumul=0.155631 
t=117 V=3.79789 A=1.30075 W=4.94011 mAh_cumul=41.5571 Wh_cumul=0.157003 
t=118 V=3.79812 A=1.30078 W=4.94052 mAh_cumul=41.9185 Wh_cumul=0.158376 
t=119 V=3.79833 A=1.30076 W=4.94072 mAh_cumul=42.2798 Wh_cumul=0.159748 
t=120 V=3.79855 A=1.30076 W=4.941 mAh_cumul=42.6411 Wh_cumul=0.16112 
t=121 V=3.79876 A=1.30077 W=4.94131 mAh_cumul=43.0024 Wh_cumul=0.162493 
t=122 V=3.79899 A=1.30076 W=4.94157 mAh_cumul=43.3638 Wh_cumul=0.163866 
t=123 V=3.79922 A=1.30076 W=4.94187 mAh_cumul=43.7251 Wh_cumul=0.165238 
t=124 V=3.79942 A=1.30076 W=4.94213 mAh_cumul=44.0864 Wh_cumul=0.166611 
t=125 V=3.79963 A=1.30077 W=4.94244 mAh_cumul=44.4477 Wh_cumul=0.167984 
t=126 V=3.79984 A=1.30077 W=4.94272 mAh_cumul=44.809 Wh_cumul=0.169357 
t=127 V=3.80006 A=1.30078 W=4.94304 mAh_cumul=45.1704 Wh_cumul=0.17073 
t=128 V=3.80027 A=1.30077 W=4.94328 mAh_cumul=45.5317 Wh_cumul=0.172103 
t=129 V=3.80049 A=1.30077 W=4.94356 mAh_cumul=45.893 Wh_cumul=0.173477 
t=130 V=3.80067 A=1.30077 W=4.9438 mAh_cumul=46.2544 Wh_cumul=0.17485 
t=131 V=3.80088 A=1.30076 W=4.94403 mAh_cumul=46.6157 Wh_cumul=0.176223 
t=132 V=3.80109 A=1.30077 W=4.94434 mAh_cumul=46.977 Wh_cumul=0.177597 
t=133 V=3.80126 A=1.30077 W=4.94456 mAh_cumul=47.3383 Wh_cumul=0.17897 
t=134 V=3.80149 A=1.30076 W=4.94483 mAh_cumul=47.6996 Wh_cumul=0.180344 
t=135 V=3.80168 A=1.30077 W=4.94511 mAh_cumul=48.061 Wh_cumul=0.181717 
t=136 V=3.80187 A=1.30076 W=4.94532 mAh_cumul=48.4223 Wh_cumul=0.183091 
t=137 V=3.80207 A=1.30076 W=4.94558 mAh_cumul=48.7836 Wh_cumul=0.184465 
t=138 V=3.80229 A=1.30076 W=4.94587 mAh_cumul=49.1449 Wh_cumul=0.185839 
t=139 V=3.80243 A=1.30077 W=4.94609 mAh_cumul=49.5063 Wh_cumul=0.187213 
t=140 V=3.80261 A=1.30077 W=4.94632 mAh_cumul=49.8676 Wh_cumul=0.188586 
t=141 V=3.80284 A=1.30075 W=4.94654 mAh_cumul=50.2289 Wh_cumul=0.189961 
