0 errors cleared
t=0 V=3.34696 A=0.00772362 W=0.0258506 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.34808 A=0.00772177 W=0.0258531 mAh_cumul=0.00428987 Wh_cumul=1.43628e-05 
t=3 V=3.45525 A=1.30109 W=4.49559 mAh_cumul=0.365704 Wh_cumul=0.00126314 
t=4 V=3.47905 A=1.30088 W=4.52583 mAh_cumul=0.727059 Wh_cumul=0.00252031 
t=5 V=3.48569 A=1.30085 W=4.53436 mAh_cumul=1.08841 Wh_cumul=0.00377986 
t=6 V=3.49012 A=1.30082 W=4.54002 mAh_cumul=1.44975 Wh_cumul=0.00504097 
t=7 V=3.49364 A=1.30081 W=4.54456 mAh_cumul=1.81108 Wh_cumul=0.00630335 
t=8 V=3.49661 A=1.3008 W=4.54839 mAh_cumul=2.17241 Wh_cumul=0.00756679 
t=9 V=3.4992 A=1.30079 W=4.55172 mAh_cumul=2.53375 Wh_cumul=0.00883116 
t=10 V=3.50162 A=1.3008 W=4.55491 mAh_cumul=2.89508 Wh_cumul=0.0100964 
t=11 V=3.50384 A=1.30078 W=4.55772 mAh_cumul=3.25641 Wh_cumul=0.0113624 
t=12 V=3.50581 A=1.30078 W=4.56029 mAh_cumul=3.61773 Wh_cumul=0.0126292 
t=13 V=3.50769 A=1.30077 W=4.5627 mAh_cumul=3.97906 Wh_cumul=0.0138966 
t=14 V=3.50951 A=1.30078 W=4.5651 mAh_cumul=4.34039 Wh_cumul=0.0151647 
t=15 V=3.51128 A=1.30078 W=4.5674 mAh_cumul=4.70171 Wh_cumul=0.0164334 
t=16 V=3.51293 A=1.30078 W=4.56955 mAh_cumul=5.06304 Wh_cumul=0.0177027 
t=17 V=3.51446 A=1.30077 W=4.5715 mAh_cumul=5.42437 Wh_cumul=0.0189726 
t=18 V=3.51601 A=1.30077 W=4.57352 mAh_cumul=5.78569 Wh_cumul=0.020243 
t=19 V=3.5174 A=1.30077 W=4.57533 mAh_cumul=6.14702 Wh_cumul=0.0215139 
t=20 V=3.51876 A=1.30078 W=4.57713 mAh_cumul=6.50835 Wh_cumul=0.0227854 
t=21 V=3.52011 A=1.30077 W=4.57885 mAh_cumul=6.86967 Wh_cumul=0.0240573 
t=22 V=3.52134 A=1.30077 W=4.58045 mAh_cumul=7.231 Wh_cumul=0.0253296 
t=23 V=3.52255 A=1.30077 W=4.58203 mAh_cumul=7.59232 Wh_cumul=0.0266024 
t=24 V=3.52372 A=1.30077 W=4.58355 mAh_cumul=7.95365 Wh_cumul=0.0278756 
t=25 V=3.52483 A=1.30077 W=4.58499 mAh_cumul=8.31497 Wh_cumul=0.0291492 
t=26 V=3.52592 A=1.30077 W=4.58641 mAh_cumul=8.6763 Wh_cumul=0.0304232 
t=27 V=3.52696 A=1.30078 W=4.5878 mAh_cumul=9.03762 Wh_cumul=0.0316976 
t=28 V=3.52793 A=1.30077 W=4.58903 mAh_cumul=9.39895 Wh_cumul=0.0329723 
t=29 V=3.52889 A=1.30076 W=4.59024 mAh_cumul=9.76027 Wh_cumul=0.0342474 
t=30 V=3.52981 A=1.30075 W=4.5914 mAh_cumul=10.1216 Wh_cumul=0.0355228 
t=31 V=3.53073 A=1.30076 W=4.59263 mAh_cumul=10.4829 Wh_cumul=0.0367985 
t=32 V=3.53161 A=1.30076 W=4.59378 mAh_cumul=10.8442 Wh_cumul=0.0380746 
t=33 V=3.53241 A=1.30077 W=4.59485 mAh_cumul=11.2056 Wh_cumul=0.0393509 
t=34 V=3.53323 A=1.30077 W=4.59592 mAh_cumul=11.5669 Wh_cumul=0.0406276 
t=35 V=3.534 A=1.30076 W=4.59689 mAh_cumul=11.9282 Wh_cumul=0.0419045 
t=36 V=3.53476 A=1.30075 W=4.59784 mAh_cumul=12.2895 Wh_cumul=0.0431817 
t=37 V=3.53547 A=1.30077 W=4.59883 mAh_cumul=12.6509 Wh_cumul=0.0444591 
t=38 V=3.53617 A=1.30076 W=4.59971 mAh_cumul=13.0122 Wh_cumul=0.0457368 
t=39 V=3.53687 A=1.30077 W=4.60065 mAh_cumul=13.3735 Wh_cumul=0.0470148 
t=40 V=3.53749 A=1.30076 W=4.60143 mAh_cumul=13.7348 Wh_cumul=0.0482929 
t=41 V=3.53812 A=1.30077 W=4.60228 mAh_cumul=14.0961 Wh_cumul=0.0495714 
t=42 V=3.53873 A=1.30076 W=4.60304 mAh_cumul=14.4575 Wh_cumul=0.05085 
t=43 V=3.53934 A=1.30076 W=4.60383 mAh_cumul=14.8188 Wh_cumul=0.0521288 
t=44 V=3.5399 A=1.30076 W=4.60456 mAh_cumul=15.1801 Wh_cumul=0.0534079 
t=45 V=3.54048 A=1.30076 W=4.60531 mAh_cumul=15.5414 Wh_cumul=0.0546871 
t=46 V=3.54104 A=1.30077 W=4.60608 mAh_cumul=15.9028 Wh_cumul=0.0559666 
t=47 V=3.54157 A=1.30076 W=4.60673 mAh_cumul=16.2641 Wh_cumul=0.0572462 
t=48 V=3.54206 A=1.30077 W=4.60741 mAh_cumul=16.6254 Wh_cumul=0.0585261 
t=49 V=3.54259 A=1.30076 W=4.60806 mAh_cumul=16.9867 Wh_cumul=0.0598061 
t=50 V=3.54303 A=1.30076 W=4.60863 mAh_cumul=17.3481 Wh_cumul=0.0610863 
t=51 V=3.54348 A=1.30077 W=4.60925 mAh_cumul=17.7094 Wh_cumul=0.0623666 
t=52 V=3.54395 A=1.30077 W=4.60986 mAh_cumul=18.0707 Wh_cumul=0.0636471 
t=53 V=3.54443 A=1.30078 W=4.61052 mAh_cumul=18.432 Wh_cumul=0.0649278 
t=54 V=3.54487 A=1.30077 W=4.61106 mAh_cumul=18.7934 Wh_cumul=0.0662087 
t=55 V=3.54526 A=1.30077 W=4.61157 mAh_cumul=19.1547 Wh_cumul=0.0674897 
t=56 V=3.54565 A=1.30077 W=4.61208 mAh_cumul=19.516 Wh_cumul=0.0687708 
t=57 V=3.54606 A=1.30077 W=4.61261 mAh_cumul=19.8773 Wh_cumul=0.0700521 
t=58 V=3.54647 A=1.30076 W=4.61311 mAh_cumul=20.2387 Wh_cumul=0.0713335 
t=59 V=3.54684 A=1.30076 W=4.61359 mAh_cumul=20.6 Wh_cumul=0.0726151 
t=60 V=3.54717 A=1.30076 W=4.61402 mAh_cumul=20.9613 Wh_cumul=0.0738967 
t=61 V=3.54758 A=1.30077 W=4.61459 mAh_cumul=21.3226 Wh_cumul=0.0751786 
t=62 V=3.54791 A=1.30076 W=4.61498 mAh_cumul=21.6839 Wh_cumul=0.0764605 
t=63 V=3.54826 A=1.30075 W=4.6154 mAh_cumul=22.0453 Wh_cumul=0.0777425 
t=64 V=3.54861 A=1.30076 W=4.61589 mAh_cumul=22.4066 Wh_cumul=0.0790247 
t=65 V=3.54893 A=1.30077 W=4.61634 mAh_cumul=22.7679 Wh_cumul=0.0803071 
t=66 V=3.54926 A=1.30076 W=4.61674 mAh_cumul=23.1292 Wh_cumul=0.0815895 
t=67 V=3.54962 A=1.30075 W=4.61717 mAh_cumul=23.4906 Wh_cumul=0.082872 
t=68 V=3.54994 A=1.30077 W=4.61766 mAh_cumul=23.8519 Wh_cumul=0.0841547 
t=69 V=3.55024 A=1.30077 W=4.61805 mAh_cumul=24.2132 Wh_cumul=0.0854375 
t=70 V=3.55054 A=1.30077 W=4.61844 mAh_cumul=24.5745 Wh_cumul=0.0867204 
t=71 V=3.55085 A=1.30077 W=4.61884 mAh_cumul=24.9359 Wh_cumul=0.0880034 
t=72 V=3.55113 A=1.30076 W=4.61917 mAh_cumul=25.2972 Wh_cumul=0.0892865 
t=73 V=3.55141 A=1.30076 W=4.61953 mAh_cumul=25.6585 Wh_cumul=0.0905697 
t=74 V=3.5517 A=1.30077 W=4.61994 mAh_cumul=26.0198 Wh_cumul=0.091853 
t=75 V=3.55198 A=1.30076 W=4.62027 mAh_cumul=26.3811 Wh_cumul=0.0931364 
t=76 V=3.55225 A=1.30076 W=4.62062 mAh_cumul=26.7425 Wh_cumul=0.09442 
t=77 V=3.55248 A=1.30076 W=4.62092 mAh_cumul=27.1038 Wh_cumul=0.0957035 
t=78 V=3.55276 A=1.30076 W=4.62129 mAh_cumul=27.4651 Wh_cumul=0.0969872 
t=79 V=3.55301 A=1.30076 W=4.62161 mAh_cumul=27.8264 Wh_cumul=0.098271 
t=80 V=3.55323 A=1.30076 W=4.6219 mAh_cumul=28.1878 Wh_cumul=0.0995549 
t=81 V=3.5535 A=1.30076 W=4.62225 mAh_cumul=28.5491 Wh_cumul=0.100839 
t=82 V=3.55376 A=1.30077 W=4.62262 mAh_cumul=28.9104 Wh_cumul=0.102123 
t=83 V=3.554 A=1.30076 W=4.6229 mAh_cumul=29.2717 Wh_cumul=0.103407 
t=84 V=3.55425 A=1.30076 W=4.62323 mAh_cumul=29.633 Wh_cumul=0.104691 
t=85 V=3.55446 A=1.30076 W=4.6235 mAh_cumul=29.9944 Wh_cumul=0.105976 
t=86 V=3.55471 A=1.30076 W=4.62382 mAh_cumul=30.3557 Wh_cumul=0.10726 
t=87 V=3.55492 A=1.30077 W=4.62413 mAh_cumul=30.717 Wh_cumul=0.108544 
t=88 V=3.55515 A=1.30076 W=4.6244 mAh_cumul=31.0783 Wh_cumul=0.109829 
t=89 V=3.55539 A=1.30076 W=4.62471 mAh_cumul=31.4397 Wh_cumul=0.111114 
t=90 V=3.55556 A=1.30076 W=4.62493 mAh_cumul=31.801 Wh_cumul=0.112398 
t=91 V=3.5558 A=1.30076 W=4.62524 mAh_cumul=32.1623 Wh_cumul=0.113683 
t=92 V=3.55604 A=1.30076 W=4.62555 mAh_cumul=32.5236 Wh_cumul=0.114968 
t=93 V=3.55622 A=1.30077 W=4.62582 mAh_cumul=32.885 Wh_cumul=0.116253 
t=94 V=3.55638 A=1.30077 W=4.62603 mAh_cumul=33.2463 Wh_cumul=0.117538 
t=95 V=3.55665 A=1.30077 W=4.62638 mAh_cumul=33.6076 Wh_cumul=0.118823 
t=96 V=3.55684 A=1.30077 W=4.62663 mAh_cumul=33.9689 Wh_cumul=0.120108 
t=97 V=3.55701 A=1.30076 W=4.62682 mAh_cumul=34.3302 Wh_cumul=0.121393 
t=98 V=3.55724 A=1.30077 W=4.62715 mAh_cumul=34.6916 Wh_cumul=0.122679 
t=99 V=3.55743 A=1.30076 W=4.62736 mAh_cumul=35.0529 Wh_cumul=0.123964 
t=100 V=3.55761 A=1.30076 W=4.6276 mAh_cumul=35.4142 Wh_cumul=0.12525 
t=101 V=3.55779 A=1.30076 W=4.62783 mAh_cumul=35.7755 Wh_cumul=0.126535 
t=102 V=3.558 A=1.30076 W=4.6281 mAh_cumul=36.1369 Wh_cumul=0.127821 
t=103 V=3.55816 A=1.30076 W=4.62831 mAh_cumul=36.4982 Wh_cumul=0.129106 
t=104 V=3.55832 A=1.30076 W=4.62852 mAh_cumul=36.8595 Wh_cumul=0.130392 
t=105 V=3.5585 A=1.30076 W=4.62875 mAh_cumul=37.2208 Wh_cumul=0.131678 
t=106 V=3.55866 A=1.30077 W=4.629 mAh_cumul=37.5822 Wh_cumul=0.132964 
t=107 V=3.55883 A=1.30076 W=4.62918 mAh_cumul=37.9435 Wh_cumul=0.13425 
t=108 V=3.55901 A=1.30076 W=4.62942 mAh_cumul=38.3048 Wh_cumul=0.135535 
t=109 V=3.55918 A=1.30076 W=4.62964 mAh_cumul=38.6661 Wh_cumul=0.136822 
t=110 V=3.55935 A=1.30077 W=4.6299 mAh_cumul=39.0274 Wh_cumul=0.138108 
t=111 V=3.55951 A=1.30076 W=4.63007 mAh_cumul=39.3888 Wh_cumul=0.139394 
t=112 V=3.55967 A=1.30078 W=4.63035 mAh_cumul=39.7501 Wh_cumul=0.14068 
t=113 V=3.55983 A=1.30078 W=4.63056 mAh_cumul=40.1114 Wh_cumul=0.141966 
t=114 V=3.56002 A=1.30076 W=4.63073 mAh_cumul=40.4727 Wh_cumul=0.143253 
t=115 V=3.56017 A=1.30077 W=4.63096 mAh_cumul=40.8341 Wh_cumul=0.144539 
t=116 V=3.56033 A=1.30077 W=4.63117 mAh_cumul=41.1954 Wh_cumul=0.145825 
t=117 V=3.56052 A=1.30077 W=4.63142 mAh_cumul=41.5567 Wh_cumul=0.147112 
t=118 V=3.56068 A=1.30077 W=4.63163 mAh_cumul=41.918 Wh_cumul=0.148398 
t=119 V=3.56084 A=1.30076 W=4.6318 mAh_cumul=42.2794 Wh_cumul=0.149685 
t=120 V=3.56102 A=1.30076 W=4.63203 mAh_cumul=42.6407 Wh_cumul=0.150972 
t=121 V=3.5612 A=1.30076 W=4.63227 mAh_cumul=43.002 Wh_cumul=0.152258 
t=122 V=3.56136 A=1.30077 W=4.63251 mAh_cumul=43.3633 Wh_cumul=0.153545  r_start 
t=123 V=3.54808 A=1.10569 W=3.92308 mAh_cumul=43.6705 Wh_cumul=0.154635 
t=124 V=3.54776 A=1.1057 W=3.92276 mAh_cumul=43.9776 Wh_cumul=0.155725 
t=125 V=3.54765 A=1.1057 W=3.92264 mAh_cumul=44.2848 Wh_cumul=0.156814 
t=126 V=3.54756 A=1.10568 W=3.92247 mAh_cumul=44.5919 Wh_cumul=0.157904 
t=127 V=3.54754 A=1.1057 W=3.92251 mAh_cumul=44.899 Wh_cumul=0.158993 
t=128 V=3.54752 A=1.10569 W=3.92246 mAh_cumul=45.2062 Wh_cumul=0.160083 
t=129 V=3.54753 A=1.1057 W=3.9225 mAh_cumul=45.5133 Wh_cumul=0.161173 
t=130 V=3.54753 A=1.10569 W=3.92247 mAh_cumul=45.8204 Wh_cumul=0.162262 
t=131 V=3.54755 A=1.10569 W=3.92249 mAh_cumul=46.1276 Wh_cumul=0.163352 
t=132 V=3.54758 A=1.10568 W=3.92249 mAh_cumul=46.4347 Wh_cumul=0.164441  r_2 
t=133 V=3.58802 A=1.69101 W=6.06738 mAh_cumul=46.9044 Wh_cumul=0.166127 
t=134 V=3.58948 A=1.69101 W=6.06985 mAh_cumul=47.3742 Wh_cumul=0.167813 
t=135 V=3.59033 A=1.69101 W=6.07128 mAh_cumul=47.8439 Wh_cumul=0.169499 
t=136 V=3.59108 A=1.69102 W=6.07259 mAh_cumul=48.3136 Wh_cumul=0.171186 
t=137 V=3.59164 A=1.69102 W=6.07354 mAh_cumul=48.7833 Wh_cumul=0.172873 
t=138 V=3.59222 A=1.69101 W=6.07448 mAh_cumul=49.2531 Wh_cumul=0.17456 
t=139 V=3.5928 A=1.69101 W=6.07546 mAh_cumul=49.7228 Wh_cumul=0.176248 
t=140 V=3.59327 A=1.69101 W=6.07626 mAh_cumul=50.1925 Wh_cumul=0.177936 
t=141 V=3.59375 A=1.69101 W=6.07707 mAh_cumul=50.6622 Wh_cumul=0.179624 
t=142 V=3.59418 A=1.69102 W=6.07783 mAh_cumul=51.132 Wh_cumul=0.181312  r_3 
t=143 V=3.55437 A=1.10568 W=3.93 mAh_cumul=51.4391 Wh_cumul=0.182404 
t=144 V=3.55343 A=1.10571 W=3.92906 mAh_cumul=51.7462 Wh_cumul=0.183495 
t=145 V=3.55295 A=1.10569 W=3.92846 mAh_cumul=52.0534 Wh_cumul=0.184587 
t=146 V=3.55273 A=1.10569 W=3.92822 mAh_cumul=52.3605 Wh_cumul=0.185678 
t=147 V=3.55249 A=1.10569 W=3.92795 mAh_cumul=52.6676 Wh_cumul=0.186769 
t=148 V=3.55235 A=1.1057 W=3.92783 mAh_cumul=52.9748 Wh_cumul=0.18786 
t=149 V=3.55225 A=1.10569 W=3.92769 mAh_cumul=53.2819 Wh_cumul=0.188951 
t=150 V=3.55216 A=1.1057 W=3.92762 mAh_cumul=53.5891 Wh_cumul=0.190042 
t=151 V=3.55209 A=1.10569 W=3.92751 mAh_cumul=53.8962 Wh_cumul=0.191133 
t=152 V=3.55202 A=1.10569 W=3.92743 mAh_cumul=54.2033 Wh_cumul=0.192224  r_end r=0.0758198 
t=153 V=3.56538 A=1.30077 W=4.63774 mAh_cumul=54.5647 Wh_cumul=0.193512 
t=154 V=3.56578 A=1.30076 W=4.63822 mAh_cumul=54.926 Wh_cumul=0.194801 
t=155 V=3.56608 A=1.30077 W=4.63865 mAh_cumul=55.2873 Wh_cumul=0.196089 
t=156 V=3.56629 A=1.30077 W=4.63892 mAh_cumul=55.6486 Wh_cumul=0.197378 
t=157 V=3.56649 A=1.30076 W=4.63915 mAh_cumul=56.01 Wh_cumul=0.198666 
t=158 V=3.56663 A=1.30077 W=4.63937 mAh_cumul=56.3713 Wh_cumul=0.199955 
t=159 V=3.56685 A=1.30076 W=4.63962 mAh_cumul=56.7326 Wh_cumul=0.201244 
t=160 V=3.56703 A=1.30076 W=4.63985 mAh_cumul=57.0939 Wh_cumul=0.202533 
t=161 V=3.56717 A=1.30075 W=4.64 mAh_cumul=57.4552 Wh_cumul=0.203822 
t=162 V=3.56733 A=1.30077 W=4.64028 mAh_cumul=57.8166 Wh_cumul=0.205111 
t=163 V=3.56747 A=1.30076 W=4.64042 mAh_cumul=58.1779 Wh_cumul=0.2064 
t=164 V=3.56761 A=1.30077 W=4.64064 mAh_cumul=58.5392 Wh_cumul=0.207689 
t=165 V=3.56778 A=1.30078 W=4.6409 mAh_cumul=58.9005 Wh_cumul=0.208978 
t=166 V=3.56793 A=1.30077 W=4.64106 mAh_cumul=59.2619 Wh_cumul=0.210267 
t=167 V=3.56806 A=1.30077 W=4.64123 mAh_cumul=59.6232 Wh_cumul=0.211556 
t=168 V=3.56822 A=1.30076 W=4.6414 mAh_cumul=59.9845 Wh_cumul=0.212845 
t=169 V=3.56836 A=1.30077 W=4.64162 mAh_cumul=60.3458 Wh_cumul=0.214135 
t=170 V=3.5685 A=1.30076 W=4.64176 mAh_cumul=60.7072 Wh_cumul=0.215424 
t=171 V=3.56866 A=1.30076 W=4.64197 mAh_cumul=61.0685 Wh_cumul=0.216714 
t=172 V=3.56879 A=1.30076 W=4.64214 mAh_cumul=61.4298 Wh_cumul=0.218003 
t=173 V=3.56897 A=1.30076 W=4.64237 mAh_cumul=61.7911 Wh_cumul=0.219293 
t=174 V=3.56907 A=1.30076 W=4.6425 mAh_cumul=62.1524 Wh_cumul=0.220582 
t=175 V=3.56921 A=1.30077 W=4.64272 mAh_cumul=62.5138 Wh_cumul=0.221872 
t=176 V=3.56936 A=1.30076 W=4.64288 mAh_cumul=62.8751 Wh_cumul=0.223162 
t=177 V=3.5695 A=1.30076 W=4.64306 mAh_cumul=63.2364 Wh_cumul=0.224451 
t=178 V=3.56966 A=1.30076 W=4.64327 mAh_cumul=63.5977 Wh_cumul=0.225741 
t=179 V=3.56978 A=1.30077 W=4.64346 mAh_cumul=63.9591 Wh_cumul=0.227031 
t=180 V=3.56993 A=1.30076 W=4.64362 mAh_cumul=64.3204 Wh_cumul=0.228321 
t=181 V=3.57007 A=1.30076 W=4.6438 mAh_cumul=64.6817 Wh_cumul=0.229611 
