0 errors cleared
t=0 V=4.18784 A=0.0096274 W=0.040318 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.18778 A=0.00964061 W=0.0403728 mAh_cumul=0.00535589 Wh_cumul=2.24293e-05 
t=3 V=4.11106 A=1.30007 W=5.34467 mAh_cumul=0.366486 Wh_cumul=0.00150706 
t=4 V=4.10782 A=1.3 W=5.34017 mAh_cumul=0.727598 Wh_cumul=0.00299044 
t=5 V=4.10582 A=1.29999 W=5.33752 mAh_cumul=1.08871 Wh_cumul=0.00447308 
t=6 V=4.10419 A=1.3 W=5.33545 mAh_cumul=1.44982 Wh_cumul=0.00595515 
t=7 V=4.10268 A=1.3 W=5.33348 mAh_cumul=1.81093 Wh_cumul=0.00743668 
t=8 V=4.1013 A=1.29998 W=5.33161 mAh_cumul=2.17203 Wh_cumul=0.00891768 
t=9 V=4.10002 A=1.29999 W=5.32998 mAh_cumul=2.53314 Wh_cumul=0.0103982 
t=10 V=4.09878 A=1.3 W=5.32841 mAh_cumul=2.89425 Wh_cumul=0.0118783 
t=11 V=4.0976 A=1.29999 W=5.32684 mAh_cumul=3.25536 Wh_cumul=0.013358 
t=12 V=4.0965 A=1.29999 W=5.32541 mAh_cumul=3.61647 Wh_cumul=0.0148373 
t=13 V=4.09542 A=1.29998 W=5.32396 mAh_cumul=3.97758 Wh_cumul=0.0163162 
t=14 V=4.09438 A=1.3 W=5.32269 mAh_cumul=4.33869 Wh_cumul=0.0177947 
t=15 V=4.09339 A=1.29998 W=5.32133 mAh_cumul=4.69979 Wh_cumul=0.0192729 
t=16 V=4.09242 A=1.29998 W=5.32006 mAh_cumul=5.0609 Wh_cumul=0.0207506 
t=17 V=4.0915 A=1.29999 W=5.31891 mAh_cumul=5.42201 Wh_cumul=0.0222281 
t=18 V=4.09054 A=1.29999 W=5.31766 mAh_cumul=5.78311 Wh_cumul=0.0237053 
t=19 V=4.08965 A=1.29999 W=5.3165 mAh_cumul=6.14422 Wh_cumul=0.0251821 
t=20 V=4.08876 A=1.29999 W=5.31535 mAh_cumul=6.50533 Wh_cumul=0.0266585 
t=21 V=4.08793 A=1.29999 W=5.31427 mAh_cumul=6.86644 Wh_cumul=0.0281347 
t=22 V=4.08708 A=1.29999 W=5.31316 mAh_cumul=7.22755 Wh_cumul=0.0296106 
t=23 V=4.0863 A=1.29999 W=5.31215 mAh_cumul=7.58866 Wh_cumul=0.0310862 
t=24 V=4.0855 A=1.3 W=5.31115 mAh_cumul=7.94977 Wh_cumul=0.0325615 
t=25 V=4.08472 A=1.29999 W=5.3101 mAh_cumul=8.31088 Wh_cumul=0.0340366 
t=26 V=4.08399 A=1.29997 W=5.30906 mAh_cumul=8.67198 Wh_cumul=0.0355113 
t=27 V=4.08324 A=1.29999 W=5.30817 mAh_cumul=9.03309 Wh_cumul=0.0369858 
t=28 V=4.08254 A=1.29999 W=5.30726 mAh_cumul=9.39419 Wh_cumul=0.03846 
t=29 V=4.0819 A=1.29999 W=5.30643 mAh_cumul=9.7553 Wh_cumul=0.039934 
t=30 V=4.08124 A=1.29999 W=5.30557 mAh_cumul=10.1164 Wh_cumul=0.0414078 
t=31 V=4.08059 A=1.30001 W=5.30481 mAh_cumul=10.4775 Wh_cumul=0.0428814 
t=32 V=4.07991 A=1.3 W=5.30388 mAh_cumul=10.8386 Wh_cumul=0.0443547 
t=33 V=4.07926 A=1.3 W=5.30304 mAh_cumul=11.1997 Wh_cumul=0.0458277 
t=34 V=4.07858 A=1.3 W=5.30215 mAh_cumul=11.5609 Wh_cumul=0.0473005 
t=35 V=4.07797 A=1.3 W=5.30136 mAh_cumul=11.922 Wh_cumul=0.0487731 
t=36 V=4.07735 A=1.3 W=5.30056 mAh_cumul=12.2831 Wh_cumul=0.0502455 
t=37 V=4.07672 A=1.3 W=5.29974 mAh_cumul=12.6442 Wh_cumul=0.0517177 
t=38 V=4.07615 A=1.30001 W=5.29904 mAh_cumul=13.0053 Wh_cumul=0.0531896 
t=39 V=4.07557 A=1.3 W=5.29824 mAh_cumul=13.3664 Wh_cumul=0.0546614 
t=40 V=4.075 A=1.30001 W=5.29754 mAh_cumul=13.7275 Wh_cumul=0.0561329 
t=41 V=4.0744 A=1.29999 W=5.29668 mAh_cumul=14.0886 Wh_cumul=0.0576042 
t=42 V=4.07385 A=1.3 W=5.29601 mAh_cumul=14.4498 Wh_cumul=0.0590753 
t=43 V=4.07327 A=1.29999 W=5.29521 mAh_cumul=14.8109 Wh_cumul=0.0605462 
t=44 V=4.07272 A=1.29999 W=5.2945 mAh_cumul=15.172 Wh_cumul=0.0620169 
t=45 V=4.07218 A=1.29999 W=5.29379 mAh_cumul=15.5331 Wh_cumul=0.0634874 
t=46 V=4.07166 A=1.29999 W=5.29312 mAh_cumul=15.8942 Wh_cumul=0.0649577 
t=47 V=4.07114 A=1.30001 W=5.29252 mAh_cumul=16.2553 Wh_cumul=0.0664278 
t=48 V=4.07061 A=1.3 W=5.29179 mAh_cumul=16.6164 Wh_cumul=0.0678978 
t=49 V=4.07013 A=1.30001 W=5.29121 mAh_cumul=16.9775 Wh_cumul=0.0693676 
t=50 V=4.06962 A=1.30001 W=5.29055 mAh_cumul=17.3386 Wh_cumul=0.0708372 
t=51 V=4.06909 A=1.29999 W=5.28978 mAh_cumul=17.6997 Wh_cumul=0.0723066 
t=52 V=4.06859 A=1.3 W=5.28917 mAh_cumul=18.0609 Wh_cumul=0.0737758 
t=53 V=4.06809 A=1.30001 W=5.28856 mAh_cumul=18.422 Wh_cumul=0.0752448 
t=54 V=4.06761 A=1.3 W=5.28789 mAh_cumul=18.7831 Wh_cumul=0.0767137 
t=55 V=4.06715 A=1.3 W=5.2873 mAh_cumul=19.1442 Wh_cumul=0.0781824 
t=56 V=4.06669 A=1.3 W=5.2867 mAh_cumul=19.5053 Wh_cumul=0.0796509 
t=57 V=4.06623 A=1.29999 W=5.28606 mAh_cumul=19.8664 Wh_cumul=0.0811192 
t=58 V=4.06583 A=1.30001 W=5.28562 mAh_cumul=20.2275 Wh_cumul=0.0825875 
t=59 V=4.06538 A=1.30001 W=5.28503 mAh_cumul=20.5886 Wh_cumul=0.0840555 
t=60 V=4.06494 A=1.30001 W=5.28446 mAh_cumul=20.9498 Wh_cumul=0.0855234 
t=61 V=4.0645 A=1.3 W=5.28385 mAh_cumul=21.3109 Wh_cumul=0.0869912 
t=62 V=4.06405 A=1.3 W=5.28327 mAh_cumul=21.672 Wh_cumul=0.0884587 
t=63 V=4.06362 A=1.29999 W=5.28267 mAh_cumul=22.0331 Wh_cumul=0.0899262 
t=64 V=4.06319 A=1.30001 W=5.28219 mAh_cumul=22.3942 Wh_cumul=0.0913934 
t=65 V=4.06279 A=1.3 W=5.28163 mAh_cumul=22.7553 Wh_cumul=0.0928605 
t=66 V=4.06238 A=1.3 W=5.28109 mAh_cumul=23.1164 Wh_cumul=0.0943275 
t=67 V=4.06196 A=1.3 W=5.28055 mAh_cumul=23.4775 Wh_cumul=0.0957943 
t=68 V=4.06158 A=1.3 W=5.28005 mAh_cumul=23.8386 Wh_cumul=0.097261 
t=69 V=4.06122 A=1.29999 W=5.27955 mAh_cumul=24.1998 Wh_cumul=0.0987276 
t=70 V=4.06082 A=1.3 W=5.27907 mAh_cumul=24.5609 Wh_cumul=0.100194 
t=71 V=4.06041 A=1.29999 W=5.27849 mAh_cumul=24.922 Wh_cumul=0.10166 
t=72 V=4.06003 A=1.29999 W=5.278 mAh_cumul=25.2831 Wh_cumul=0.103126 
t=73 V=4.05967 A=1.29999 W=5.27753 mAh_cumul=25.6442 Wh_cumul=0.104592 
t=74 V=4.05927 A=1.29999 W=5.27701 mAh_cumul=26.0053 Wh_cumul=0.106058 
t=75 V=4.05888 A=1.3 W=5.27654 mAh_cumul=26.3664 Wh_cumul=0.107524 
t=76 V=4.05847 A=1.29999 W=5.27597 mAh_cumul=26.7275 Wh_cumul=0.108989 
t=77 V=4.0581 A=1.3 W=5.27553 mAh_cumul=27.0886 Wh_cumul=0.110455 
t=78 V=4.05774 A=1.3 W=5.27506 mAh_cumul=27.4497 Wh_cumul=0.11192 
t=79 V=4.05741 A=1.30001 W=5.27467 mAh_cumul=27.8109 Wh_cumul=0.113385 
t=80 V=4.05704 A=1.3 W=5.27415 mAh_cumul=28.172 Wh_cumul=0.11485 
t=81 V=4.05668 A=1.3 W=5.27368 mAh_cumul=28.5331 Wh_cumul=0.116315 
t=82 V=4.05635 A=1.30001 W=5.2733 mAh_cumul=28.8942 Wh_cumul=0.11778 
t=83 V=4.05601 A=1.30001 W=5.27285 mAh_cumul=29.2553 Wh_cumul=0.119245 
t=84 V=4.05567 A=1.3 W=5.27237 mAh_cumul=29.6164 Wh_cumul=0.120709 
t=85 V=4.05538 A=1.3 W=5.27199 mAh_cumul=29.9775 Wh_cumul=0.122174 
t=86 V=4.05506 A=1.3 W=5.27158 mAh_cumul=30.3386 Wh_cumul=0.123638 
t=87 V=4.05476 A=1.30001 W=5.27123 mAh_cumul=30.6997 Wh_cumul=0.125102 
t=88 V=4.05441 A=1.3 W=5.27073 mAh_cumul=31.0609 Wh_cumul=0.126566 
t=89 V=4.05413 A=1.30001 W=5.27041 mAh_cumul=31.422 Wh_cumul=0.12803 
t=90 V=4.05382 A=1.29999 W=5.26993 mAh_cumul=31.7831 Wh_cumul=0.129494 
t=91 V=4.05347 A=1.30001 W=5.26955 mAh_cumul=32.1442 Wh_cumul=0.130958 
t=92 V=4.05315 A=1.3 W=5.2691 mAh_cumul=32.5053 Wh_cumul=0.132422 
t=93 V=4.05284 A=1.3 W=5.26869 mAh_cumul=32.8664 Wh_cumul=0.133885 
t=94 V=4.05251 A=1.30001 W=5.2683 mAh_cumul=33.2275 Wh_cumul=0.135349 
t=95 V=4.05221 A=1.30001 W=5.26791 mAh_cumul=33.5886 Wh_cumul=0.136812 
t=96 V=4.05188 A=1.3 W=5.26744 mAh_cumul=33.9498 Wh_cumul=0.138275 
t=97 V=4.05159 A=1.3 W=5.26707 mAh_cumul=34.3109 Wh_cumul=0.139738 
t=98 V=4.05128 A=1.3 W=5.26666 mAh_cumul=34.672 Wh_cumul=0.141201 
t=99 V=4.05098 A=1.30001 W=5.26631 mAh_cumul=35.0331 Wh_cumul=0.142664 
t=100 V=4.05067 A=1.3 W=5.26587 mAh_cumul=35.3942 Wh_cumul=0.144127 
t=101 V=4.05035 A=1.30001 W=5.2655 mAh_cumul=35.7553 Wh_cumul=0.145589 
t=102 V=4.05006 A=1.3 W=5.26508 mAh_cumul=36.1164 Wh_cumul=0.147052 
t=103 V=4.04979 A=1.3 W=5.26473 mAh_cumul=36.4775 Wh_cumul=0.148514 
t=104 V=4.04946 A=1.30001 W=5.26434 mAh_cumul=36.8387 Wh_cumul=0.149977 
t=105 V=4.04916 A=1.30002 W=5.26399 mAh_cumul=37.1998 Wh_cumul=0.151439 
t=106 V=4.04885 A=1.30001 W=5.26355 mAh_cumul=37.5609 Wh_cumul=0.152901 
t=107 V=4.04856 A=1.3 W=5.26313 mAh_cumul=37.922 Wh_cumul=0.154363 
t=108 V=4.04829 A=1.3 W=5.26278 mAh_cumul=38.2831 Wh_cumul=0.155825 
t=109 V=4.04801 A=1.30001 W=5.26245 mAh_cumul=38.6442 Wh_cumul=0.157287 
t=110 V=4.04771 A=1.30001 W=5.26206 mAh_cumul=39.0053 Wh_cumul=0.158748 
t=111 V=4.04743 A=1.3 W=5.26166 mAh_cumul=39.3664 Wh_cumul=0.16021 
t=112 V=4.04714 A=1.29999 W=5.26124 mAh_cumul=39.7276 Wh_cumul=0.161671 
t=113 V=4.04686 A=1.3 W=5.26092 mAh_cumul=40.0887 Wh_cumul=0.163133 
t=114 V=4.04658 A=1.29999 W=5.26051 mAh_cumul=40.4498 Wh_cumul=0.164594 
t=115 V=4.04628 A=1.30001 W=5.2602 mAh_cumul=40.8109 Wh_cumul=0.166055 
t=116 V=4.046 A=1.30001 W=5.25984 mAh_cumul=41.172 Wh_cumul=0.167516 
t=117 V=4.0457 A=1.3 W=5.25941 mAh_cumul=41.5331 Wh_cumul=0.168977 
t=118 V=4.04541 A=1.3 W=5.25903 mAh_cumul=41.8942 Wh_cumul=0.170438 
t=119 V=4.04518 A=1.30001 W=5.25877 mAh_cumul=42.2553 Wh_cumul=0.171899 
t=120 V=4.04487 A=1.3 W=5.25833 mAh_cumul=42.6164 Wh_cumul=0.173359 
t=121 V=4.04461 A=1.30001 W=5.25803 mAh_cumul=42.9776 Wh_cumul=0.17482 
