0 errors cleared
t=0 V=3.3196 A=0.00760358 W=0.0252408 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.32113 A=0.00760694 W=0.0252636 mAh_cumul=0.00422608 Wh_cumul=1.40354e-05 
t=3 V=3.42917 A=1.30104 W=4.46149 mAh_cumul=0.365626 Wh_cumul=0.00125334 
t=4 V=3.4582 A=1.30083 W=4.49853 mAh_cumul=0.726968 Wh_cumul=0.00250293 
t=5 V=3.46644 A=1.30078 W=4.50908 mAh_cumul=1.0883 Wh_cumul=0.00375545 
t=6 V=3.47164 A=1.30077 W=4.51581 mAh_cumul=1.44962 Wh_cumul=0.00500984 
t=7 V=3.47561 A=1.30077 W=4.52097 mAh_cumul=1.81095 Wh_cumul=0.00626567 
t=8 V=3.479 A=1.30075 W=4.52531 mAh_cumul=2.17226 Wh_cumul=0.0075227 
t=9 V=3.48201 A=1.30076 W=4.52926 mAh_cumul=2.53359 Wh_cumul=0.00878082 
t=10 V=3.48482 A=1.30075 W=4.53288 mAh_cumul=2.89491 Wh_cumul=0.01004 
t=11 V=3.48742 A=1.30074 W=4.53623 mAh_cumul=3.25622 Wh_cumul=0.0113 
t=12 V=3.4898 A=1.30073 W=4.53929 mAh_cumul=3.61754 Wh_cumul=0.0125609 
t=13 V=3.49207 A=1.30074 W=4.54228 mAh_cumul=3.97885 Wh_cumul=0.0138227 
t=14 V=3.49421 A=1.30074 W=4.54506 mAh_cumul=4.34017 Wh_cumul=0.0150852 
t=15 V=3.49617 A=1.30073 W=4.54757 mAh_cumul=4.70148 Wh_cumul=0.0163484 
t=16 V=3.49811 A=1.30074 W=4.55013 mAh_cumul=5.0628 Wh_cumul=0.0176123 
t=17 V=3.49998 A=1.30073 W=4.55253 mAh_cumul=5.42411 Wh_cumul=0.0188769 
t=18 V=3.5017 A=1.30072 W=4.55473 mAh_cumul=5.78543 Wh_cumul=0.0201421 
t=19 V=3.50337 A=1.30073 W=4.55694 mAh_cumul=6.14674 Wh_cumul=0.0214079 
t=20 V=3.50501 A=1.30073 W=4.55907 mAh_cumul=6.50805 Wh_cumul=0.0226744 
t=21 V=3.50656 A=1.30073 W=4.56109 mAh_cumul=6.86937 Wh_cumul=0.0239413 
t=22 V=3.50809 A=1.30073 W=4.56308 mAh_cumul=7.23068 Wh_cumul=0.0252088 
t=23 V=3.50955 A=1.30072 W=4.56494 mAh_cumul=7.59199 Wh_cumul=0.0264769 
t=24 V=3.51092 A=1.30073 W=4.56676 mAh_cumul=7.95331 Wh_cumul=0.0277454 
t=25 V=3.51218 A=1.30073 W=4.5684 mAh_cumul=8.31462 Wh_cumul=0.0290144 
t=26 V=3.51344 A=1.30071 W=4.56997 mAh_cumul=8.67593 Wh_cumul=0.0302839 
t=27 V=3.51471 A=1.30071 W=4.57162 mAh_cumul=9.03724 Wh_cumul=0.0315538 
t=28 V=3.51595 A=1.30072 W=4.57327 mAh_cumul=9.39855 Wh_cumul=0.0328241 
t=29 V=3.51712 A=1.30073 W=4.57482 mAh_cumul=9.75986 Wh_cumul=0.0340949 
t=30 V=3.51826 A=1.30071 W=4.57624 mAh_cumul=10.1212 Wh_cumul=0.0353661 
t=31 V=3.51941 A=1.30071 W=4.57773 mAh_cumul=10.4825 Wh_cumul=0.0366377 
t=32 V=3.5205 A=1.30072 W=4.57918 mAh_cumul=10.8438 Wh_cumul=0.0379097 
