0 errors cleared
t=0 V=3.64931 A=0.00836014 W=0.0305087 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.64928 A=0.00836743 W=0.0305351 mAh_cumul=0.00464857 Wh_cumul=1.69639e-05 
t=3 V=3.73797 A=1.301 W=4.8631 mAh_cumul=0.366037 Wh_cumul=0.00136782 
t=4 V=3.74091 A=1.30082 W=4.86625 mAh_cumul=0.727376 Wh_cumul=0.00271956 
t=5 V=3.74271 A=1.30078 W=4.86844 mAh_cumul=1.0887 Wh_cumul=0.00407191 
t=6 V=3.7442 A=1.30075 W=4.87027 mAh_cumul=1.45002 Wh_cumul=0.00542476 
t=7 V=3.74552 A=1.30074 W=4.87195 mAh_cumul=1.81134 Wh_cumul=0.00677808 
t=8 V=3.74674 A=1.30074 W=4.87353 mAh_cumul=2.17266 Wh_cumul=0.00813184 
t=9 V=3.74791 A=1.30073 W=4.87502 mAh_cumul=2.53397 Wh_cumul=0.00948601 
t=10 V=3.749 A=1.30072 W=4.8764 mAh_cumul=2.89528 Wh_cumul=0.0108406 
t=11 V=3.75001 A=1.30071 W=4.87768 mAh_cumul=3.25659 Wh_cumul=0.0121955 
t=12 V=3.75104 A=1.30072 W=4.87905 mAh_cumul=3.6179 Wh_cumul=0.0135508 
t=13 V=3.75199 A=1.30071 W=4.88025 mAh_cumul=3.97921 Wh_cumul=0.0149064 
t=14 V=3.7529 A=1.30073 W=4.88151 mAh_cumul=4.34052 Wh_cumul=0.0162624 
t=15 V=3.75376 A=1.30073 W=4.88263 mAh_cumul=4.70184 Wh_cumul=0.0176187 
t=16 V=3.75462 A=1.30072 W=4.88371 mAh_cumul=5.06315 Wh_cumul=0.0189752 
t=17 V=3.75544 A=1.30073 W=4.88481 mAh_cumul=5.42446 Wh_cumul=0.0203321 
t=18 V=3.75626 A=1.30072 W=4.88584 mAh_cumul=5.78577 Wh_cumul=0.0216893 
t=19 V=3.75704 A=1.30073 W=4.88689 mAh_cumul=6.14709 Wh_cumul=0.0230468 
t=20 V=3.75782 A=1.30073 W=4.88791 mAh_cumul=6.5084 Wh_cumul=0.0244045 
t=21 V=3.75856 A=1.30073 W=4.88887 mAh_cumul=6.86972 Wh_cumul=0.0257626 
t=22 V=3.75928 A=1.30072 W=4.88977 mAh_cumul=7.23103 Wh_cumul=0.0271208 
t=23 V=3.76 A=1.30072 W=4.89071 mAh_cumul=7.59234 Wh_cumul=0.0284794 
t=24 V=3.76073 A=1.30073 W=4.89169 mAh_cumul=7.95365 Wh_cumul=0.0298382 
t=25 V=3.76136 A=1.30072 W=4.89248 mAh_cumul=8.31496 Wh_cumul=0.0311972 
t=26 V=3.76203 A=1.30071 W=4.89331 mAh_cumul=8.67627 Wh_cumul=0.0325564 
t=27 V=3.76267 A=1.30072 W=4.89418 mAh_cumul=9.03758 Wh_cumul=0.0339159 
t=28 V=3.76331 A=1.30072 W=4.89501 mAh_cumul=9.39889 Wh_cumul=0.0352756 
t=29 V=3.76389 A=1.30072 W=4.89577 mAh_cumul=9.7602 Wh_cumul=0.0366356 
t=30 V=3.76453 A=1.3007 W=4.89652 mAh_cumul=10.1215 Wh_cumul=0.0379957 
t=31 V=3.76508 A=1.30072 W=4.89731 mAh_cumul=10.4828 Wh_cumul=0.0393561 
t=32 V=3.76566 A=1.30072 W=4.89807 mAh_cumul=10.8441 Wh_cumul=0.0407167 
t=33 V=3.76625 A=1.30072 W=4.89884 mAh_cumul=11.2054 Wh_cumul=0.0420775 
t=34 V=3.76676 A=1.3007 W=4.89942 mAh_cumul=11.5667 Wh_cumul=0.0434384 
t=35 V=3.76735 A=1.30071 W=4.90023 mAh_cumul=11.9281 Wh_cumul=0.0447996 
t=36 V=3.76791 A=1.3007 W=4.90092 mAh_cumul=12.2894 Wh_cumul=0.046161 
t=37 V=3.76844 A=1.30071 W=4.90165 mAh_cumul=12.6507 Wh_cumul=0.0475225 
t=38 V=3.769 A=1.3007 W=4.90234 mAh_cumul=13.012 Wh_cumul=0.0488843 
t=39 V=3.76954 A=1.3007 W=4.90304 mAh_cumul=13.3733 Wh_cumul=0.0502462 
t=40 V=3.77 A=1.30072 W=4.90371 mAh_cumul=13.7346 Wh_cumul=0.0516084 
t=41 V=3.77047 A=1.30071 W=4.90429 mAh_cumul=14.0959 Wh_cumul=0.0529707 
t=42 V=3.77092 A=1.30072 W=4.90491 mAh_cumul=14.4572 Wh_cumul=0.0543332 
t=43 V=3.77139 A=1.30072 W=4.90552 mAh_cumul=14.8185 Wh_cumul=0.0556958 
t=44 V=3.77188 A=1.30071 W=4.90612 mAh_cumul=15.1798 Wh_cumul=0.0570586 
t=45 V=3.77234 A=1.30071 W=4.90672 mAh_cumul=15.5411 Wh_cumul=0.0584216 
t=46 V=3.7728 A=1.30072 W=4.90736 mAh_cumul=15.9025 Wh_cumul=0.0597847 
t=47 V=3.77324 A=1.30071 W=4.90789 mAh_cumul=16.2638 Wh_cumul=0.061148 
t=48 V=3.7737 A=1.3007 W=4.90845 mAh_cumul=16.6251 Wh_cumul=0.0625115 
t=49 V=3.77411 A=1.30069 W=4.90895 mAh_cumul=16.9864 Wh_cumul=0.0638751 
t=50 V=3.77458 A=1.30069 W=4.90956 mAh_cumul=17.3477 Wh_cumul=0.0652389 
t=51 V=3.77498 A=1.30071 W=4.91015 mAh_cumul=17.709 Wh_cumul=0.0666028 
t=52 V=3.77541 A=1.30071 W=4.91071 mAh_cumul=18.0703 Wh_cumul=0.0679669 
t=53 V=3.77583 A=1.30071 W=4.91126 mAh_cumul=18.4316 Wh_cumul=0.0693311 
t=54 V=3.77619 A=1.3007 W=4.91169 mAh_cumul=18.7929 Wh_cumul=0.0706955 
t=55 V=3.77663 A=1.30071 W=4.9123 mAh_cumul=19.1542 Wh_cumul=0.07206 
t=56 V=3.77701 A=1.3007 W=4.91276 mAh_cumul=19.5155 Wh_cumul=0.0734247 
t=57 V=3.77739 A=1.30072 W=4.91333 mAh_cumul=19.8768 Wh_cumul=0.0747895 
t=58 V=3.77781 A=1.30071 W=4.91384 mAh_cumul=20.2381 Wh_cumul=0.0761544 
t=59 V=3.77822 A=1.3007 W=4.91433 mAh_cumul=20.5994 Wh_cumul=0.0775195 
t=60 V=3.77855 A=1.30071 W=4.9148 mAh_cumul=20.9607 Wh_cumul=0.0788848 
t=61 V=3.77894 A=1.3007 W=4.91527 mAh_cumul=21.3221 Wh_cumul=0.0802501 
t=62 V=3.77931 A=1.3007 W=4.91575 mAh_cumul=21.6834 Wh_cumul=0.0816156 
t=63 V=3.77968 A=1.30071 W=4.91627 mAh_cumul=22.0447 Wh_cumul=0.0829812 
t=64 V=3.78003 A=1.30072 W=4.91676 mAh_cumul=22.406 Wh_cumul=0.084347 
t=65 V=3.7804 A=1.30069 W=4.91713 mAh_cumul=22.7673 Wh_cumul=0.0857129 
t=66 V=3.78077 A=1.30071 W=4.91769 mAh_cumul=23.1286 Wh_cumul=0.0870789 
t=67 V=3.78113 A=1.30071 W=4.91815 mAh_cumul=23.4899 Wh_cumul=0.088445 
t=68 V=3.78146 A=1.30072 W=4.91862 mAh_cumul=23.8512 Wh_cumul=0.0898113 
t=69 V=3.78181 A=1.3007 W=4.919 mAh_cumul=24.2125 Wh_cumul=0.0911777 
t=70 V=3.78214 A=1.3007 W=4.91943 mAh_cumul=24.5738 Wh_cumul=0.0925442 
t=71 V=3.78253 A=1.30069 W=4.9199 mAh_cumul=24.9351 Wh_cumul=0.0939109 
