0 errors cleared
t=0 V=4.18783 A=0.0095899 W=0.0401609 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.18775 A=0.00958182 W=0.0401263 mAh_cumul=0.00532323 Wh_cumul=2.22924e-05 
t=3 V=4.11016 A=1.29994 W=5.34296 mAh_cumul=0.366418 Wh_cumul=0.00150645 
t=4 V=4.10698 A=1.29988 W=5.33858 mAh_cumul=0.727495 Wh_cumul=0.00298939 
t=5 V=4.10494 A=1.29987 W=5.33589 mAh_cumul=1.08857 Wh_cumul=0.00447158 
t=6 V=4.10325 A=1.29986 W=5.33365 mAh_cumul=1.44964 Wh_cumul=0.00595315 
t=7 V=4.10179 A=1.29986 W=5.33175 mAh_cumul=1.81071 Wh_cumul=0.00743419 
t=8 V=4.10045 A=1.29986 W=5.33001 mAh_cumul=2.17179 Wh_cumul=0.00891475 
t=9 V=4.09907 A=1.29985 W=5.32818 mAh_cumul=2.53286 Wh_cumul=0.0103948 
t=10 V=4.09787 A=1.29984 W=5.32658 mAh_cumul=2.89392 Wh_cumul=0.0118744 
t=11 V=4.0967 A=1.29985 W=5.3251 mAh_cumul=3.25499 Wh_cumul=0.0133536 
t=12 V=4.0956 A=1.29986 W=5.32371 mAh_cumul=3.61606 Wh_cumul=0.0148324 
t=13 V=4.09451 A=1.29983 W=5.32217 mAh_cumul=3.97713 Wh_cumul=0.0163108 
t=14 V=4.09349 A=1.29983 W=5.32084 mAh_cumul=4.33819 Wh_cumul=0.0177888 
t=15 V=4.09249 A=1.29984 W=5.31958 mAh_cumul=4.69926 Wh_cumul=0.0192665 
t=16 V=4.09153 A=1.29984 W=5.31833 mAh_cumul=5.06033 Wh_cumul=0.0207438 
t=17 V=4.09057 A=1.29986 W=5.31717 mAh_cumul=5.4214 Wh_cumul=0.0222208 
t=18 V=4.08963 A=1.29985 W=5.31591 mAh_cumul=5.78247 Wh_cumul=0.0236974 
t=19 V=4.08873 A=1.29986 W=5.31478 mAh_cumul=6.14354 Wh_cumul=0.0251737 
t=20 V=4.08783 A=1.29984 W=5.31352 mAh_cumul=6.50461 Wh_cumul=0.0266497 
t=21 V=4.08702 A=1.29986 W=5.31255 mAh_cumul=6.86568 Wh_cumul=0.0281254 
t=22 V=4.08619 A=1.29985 W=5.31143 mAh_cumul=7.22675 Wh_cumul=0.0296008 
t=23 V=4.08542 A=1.29985 W=5.31043 mAh_cumul=7.58782 Wh_cumul=0.0310759 
t=24 V=4.08468 A=1.29987 W=5.30955 mAh_cumul=7.94889 Wh_cumul=0.0325508 
t=25 V=4.08396 A=1.29987 W=5.30862 mAh_cumul=8.30997 Wh_cumul=0.0340254 
t=26 V=4.08323 A=1.29986 W=5.30763 mAh_cumul=8.67104 Wh_cumul=0.0354998 
t=27 V=4.08245 A=1.29985 W=5.30657 mAh_cumul=9.03211 Wh_cumul=0.0369738 
