0 errors cleared
t=0 V=3.33861 A=0.00764523 W=0.0255244 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.33982 A=0.0076544 W=0.0255643 mAh_cumul=0.00425244 Wh_cumul=1.42024e-05 
t=3 V=3.44764 A=1.30104 W=4.48552 mAh_cumul=0.365652 Wh_cumul=0.00126018 
t=4 V=3.47321 A=1.30083 W=4.51806 mAh_cumul=0.726994 Wh_cumul=0.00251519 
t=5 V=3.48015 A=1.30078 W=4.52691 mAh_cumul=1.08832 Wh_cumul=0.00377267 
t=6 V=3.48477 A=1.30076 W=4.53285 mAh_cumul=1.44964 Wh_cumul=0.00503179 
t=7 V=3.48843 A=1.30075 W=4.53758 mAh_cumul=1.81096 Wh_cumul=0.00629223 
t=8 V=3.49158 A=1.30075 W=4.54167 mAh_cumul=2.17228 Wh_cumul=0.00755381 
t=9 V=3.49439 A=1.30074 W=4.54529 mAh_cumul=2.5336 Wh_cumul=0.00881639 
t=10 V=3.49689 A=1.30074 W=4.54854 mAh_cumul=2.89492 Wh_cumul=0.0100799 
t=11 V=3.49929 A=1.30073 W=4.55163 mAh_cumul=3.25623 Wh_cumul=0.0113442 
t=12 V=3.50143 A=1.30073 W=4.55442 mAh_cumul=3.61754 Wh_cumul=0.0126093 
t=13 V=3.50348 A=1.30073 W=4.55708 mAh_cumul=3.97886 Wh_cumul=0.0138752 
t=14 V=3.50543 A=1.30073 W=4.55962 mAh_cumul=4.34017 Wh_cumul=0.0151417 
t=15 V=3.50724 A=1.30072 W=4.56194 mAh_cumul=4.70148 Wh_cumul=0.016409 
t=16 V=3.50899 A=1.30072 W=4.56421 mAh_cumul=5.06279 Wh_cumul=0.0176768 
t=17 V=3.51068 A=1.30072 W=4.56641 mAh_cumul=5.42411 Wh_cumul=0.0189452 
t=18 V=3.51214 A=1.30072 W=4.56831 mAh_cumul=5.78542 Wh_cumul=0.0202142 
t=19 V=3.51363 A=1.30072 W=4.57025 mAh_cumul=6.14673 Wh_cumul=0.0214837 
t=20 V=3.5151 A=1.30071 W=4.57213 mAh_cumul=6.50804 Wh_cumul=0.0227538 
t=21 V=3.51651 A=1.30072 W=4.57399 mAh_cumul=6.86935 Wh_cumul=0.0240243 
t=22 V=3.51786 A=1.30073 W=4.57579 mAh_cumul=7.23066 Wh_cumul=0.0252954 
t=23 V=3.51918 A=1.30072 W=4.57747 mAh_cumul=7.59197 Wh_cumul=0.0265669 
t=24 V=3.52042 A=1.30073 W=4.57912 mAh_cumul=7.95329 Wh_cumul=0.0278389 
t=25 V=3.52166 A=1.30072 W=4.58069 mAh_cumul=8.3146 Wh_cumul=0.0291113 
t=26 V=3.5228 A=1.30073 W=4.58221 mAh_cumul=8.67591 Wh_cumul=0.0303841 
t=27 V=3.52392 A=1.30072 W=4.58363 mAh_cumul=9.03722 Wh_cumul=0.0316573 
t=28 V=3.525 A=1.30072 W=4.58504 mAh_cumul=9.39853 Wh_cumul=0.032931 
t=29 V=3.52608 A=1.30072 W=4.58644 mAh_cumul=9.75984 Wh_cumul=0.034205 
t=30 V=3.52703 A=1.30072 W=4.58768 mAh_cumul=10.1212 Wh_cumul=0.0354793 
t=31 V=3.52801 A=1.30072 W=4.58895 mAh_cumul=10.4825 Wh_cumul=0.036754 
t=32 V=3.52893 A=1.30072 W=4.59015 mAh_cumul=10.8438 Wh_cumul=0.0380291 
t=33 V=3.52983 A=1.30072 W=4.59132 mAh_cumul=11.2051 Wh_cumul=0.0393045 
t=34 V=3.53075 A=1.30073 W=4.59255 mAh_cumul=11.5664 Wh_cumul=0.0405802 
t=35 V=3.53159 A=1.30072 W=4.59361 mAh_cumul=11.9277 Wh_cumul=0.0418562 
t=36 V=3.5324 A=1.30073 W=4.5947 mAh_cumul=12.289 Wh_cumul=0.0431325 
t=37 V=3.53317 A=1.30073 W=4.5957 mAh_cumul=12.6503 Wh_cumul=0.0444091 
t=38 V=3.53398 A=1.30072 W=4.59672 mAh_cumul=13.0117 Wh_cumul=0.0456859 
t=39 V=3.53469 A=1.30071 W=4.59761 mAh_cumul=13.373 Wh_cumul=0.046963 
t=40 V=3.53543 A=1.30071 W=4.59857 mAh_cumul=13.7343 Wh_cumul=0.0482404 
t=41 V=3.53611 A=1.30073 W=4.59952 mAh_cumul=14.0956 Wh_cumul=0.0495181 
t=42 V=3.53676 A=1.30072 W=4.60033 mAh_cumul=14.4569 Wh_cumul=0.0507959 
t=43 V=3.53741 A=1.30072 W=4.60118 mAh_cumul=14.8182 Wh_cumul=0.052074 
t=44 V=3.53805 A=1.30072 W=4.60201 mAh_cumul=15.1795 Wh_cumul=0.0533524 
t=45 V=3.53864 A=1.30071 W=4.60274 mAh_cumul=15.5408 Wh_cumul=0.0546309 
t=46 V=3.53925 A=1.30072 W=4.60357 mAh_cumul=15.9021 Wh_cumul=0.0559097 
t=47 V=3.53981 A=1.30072 W=4.6043 mAh_cumul=16.2634 Wh_cumul=0.0571887 
t=48 V=3.54038 A=1.30073 W=4.60508 mAh_cumul=16.6248 Wh_cumul=0.0584678 
t=49 V=3.54097 A=1.30071 W=4.60578 mAh_cumul=16.9861 Wh_cumul=0.0597472 
t=50 V=3.54147 A=1.30072 W=4.60646 mAh_cumul=17.3474 Wh_cumul=0.0610268 
t=51 V=3.54199 A=1.30072 W=4.60714 mAh_cumul=17.7087 Wh_cumul=0.0623066 
t=52 V=3.54249 A=1.30071 W=4.60775 mAh_cumul=18.07 Wh_cumul=0.0635865 
t=53 V=3.54292 A=1.30071 W=4.60831 mAh_cumul=18.4313 Wh_cumul=0.0648666 
t=54 V=3.5434 A=1.30073 W=4.60901 mAh_cumul=18.7926 Wh_cumul=0.0661469 
t=55 V=3.5439 A=1.30071 W=4.60959 mAh_cumul=19.1539 Wh_cumul=0.0674273 
t=56 V=3.54429 A=1.30072 W=4.61013 mAh_cumul=19.5152 Wh_cumul=0.0687079 
t=57 V=3.5448 A=1.30073 W=4.61083 mAh_cumul=19.8766 Wh_cumul=0.0699887 
t=58 V=3.54517 A=1.30072 W=4.61127 mAh_cumul=20.2379 Wh_cumul=0.0712696 
t=59 V=3.54561 A=1.30072 W=4.61185 mAh_cumul=20.5992 Wh_cumul=0.0725506 
t=60 V=3.54596 A=1.30071 W=4.61227 mAh_cumul=20.9605 Wh_cumul=0.0738318 
t=61 V=3.54638 A=1.30072 W=4.61285 mAh_cumul=21.3218 Wh_cumul=0.0751132 
t=62 V=3.54675 A=1.30072 W=4.61333 mAh_cumul=21.6831 Wh_cumul=0.0763947 
t=63 V=3.54714 A=1.30072 W=4.61384 mAh_cumul=22.0444 Wh_cumul=0.0776763 
t=64 V=3.54748 A=1.30071 W=4.61424 mAh_cumul=22.4057 Wh_cumul=0.078958 
t=65 V=3.54787 A=1.30072 W=4.61479 mAh_cumul=22.767 Wh_cumul=0.0802399 
t=66 V=3.5482 A=1.30073 W=4.61525 mAh_cumul=23.1284 Wh_cumul=0.0815219 
t=67 V=3.54858 A=1.30072 W=4.61571 mAh_cumul=23.4897 Wh_cumul=0.0828041 
t=68 V=3.54889 A=1.30071 W=4.61608 mAh_cumul=23.851 Wh_cumul=0.0840863 
t=69 V=3.54921 A=1.30071 W=4.61649 mAh_cumul=24.2123 Wh_cumul=0.0853687 
t=70 V=3.54957 A=1.30072 W=4.617 mAh_cumul=24.5736 Wh_cumul=0.0866512 
t=71 V=3.54989 A=1.30072 W=4.61741 mAh_cumul=24.9349 Wh_cumul=0.0879338 
t=72 V=3.5502 A=1.30072 W=4.61782 mAh_cumul=25.2962 Wh_cumul=0.0892165 
t=73 V=3.55048 A=1.30072 W=4.61818 mAh_cumul=25.6575 Wh_cumul=0.0904993 
t=74 V=3.55078 A=1.30071 W=4.61854 mAh_cumul=26.0188 Wh_cumul=0.0917823 
t=75 V=3.55108 A=1.30072 W=4.61896 mAh_cumul=26.3801 Wh_cumul=0.0930653 
t=76 V=3.55135 A=1.30071 W=4.61928 mAh_cumul=26.7415 Wh_cumul=0.0943484 
t=77 V=3.55165 A=1.30071 W=4.61967 mAh_cumul=27.1028 Wh_cumul=0.0956317 
t=78 V=3.55194 A=1.3007 W=4.62001 mAh_cumul=27.4641 Wh_cumul=0.096915 
t=79 V=3.55221 A=1.30072 W=4.62043 mAh_cumul=27.8254 Wh_cumul=0.0981985 
t=80 V=3.55246 A=1.30071 W=4.62072 mAh_cumul=28.1867 Wh_cumul=0.099482 
t=81 V=3.55275 A=1.30071 W=4.6211 mAh_cumul=28.548 Wh_cumul=0.100766 
t=82 V=3.55298 A=1.3007 W=4.62136 mAh_cumul=28.9093 Wh_cumul=0.102049 
t=83 V=3.55323 A=1.30071 W=4.62172 mAh_cumul=29.2706 Wh_cumul=0.103333 
t=84 V=3.55348 A=1.30071 W=4.62205 mAh_cumul=29.6319 Wh_cumul=0.104617 
t=85 V=3.55373 A=1.30071 W=4.62237 mAh_cumul=29.9932 Wh_cumul=0.105901 
t=86 V=3.55396 A=1.30072 W=4.62271 mAh_cumul=30.3545 Wh_cumul=0.107185 
t=87 V=3.55421 A=1.30072 W=4.62303 mAh_cumul=30.7158 Wh_cumul=0.108469 
t=88 V=3.55443 A=1.30071 W=4.62328 mAh_cumul=31.0772 Wh_cumul=0.109754 
t=89 V=3.55464 A=1.30072 W=4.62359 mAh_cumul=31.4385 Wh_cumul=0.111038 
t=90 V=3.55491 A=1.30072 W=4.62394 mAh_cumul=31.7998 Wh_cumul=0.112322 
t=91 V=3.55512 A=1.30071 W=4.62418 mAh_cumul=32.1611 Wh_cumul=0.113607 
t=92 V=3.55538 A=1.30072 W=4.62455 mAh_cumul=32.5224 Wh_cumul=0.114891 
t=93 V=3.55555 A=1.30072 W=4.62477 mAh_cumul=32.8837 Wh_cumul=0.116176 
t=94 V=3.55577 A=1.30071 W=4.62503 mAh_cumul=33.245 Wh_cumul=0.117461 
t=95 V=3.55599 A=1.30071 W=4.62531 mAh_cumul=33.6063 Wh_cumul=0.118746 
t=96 V=3.55616 A=1.30072 W=4.62557 mAh_cumul=33.9676 Wh_cumul=0.12003 
t=97 V=3.55641 A=1.30072 W=4.62589 mAh_cumul=34.3289 Wh_cumul=0.121315 
t=98 V=3.55659 A=1.30072 W=4.62613 mAh_cumul=34.6903 Wh_cumul=0.1226 
t=99 V=3.5568 A=1.30071 W=4.62637 mAh_cumul=35.0516 Wh_cumul=0.123886 
t=100 V=3.55701 A=1.30071 W=4.62664 mAh_cumul=35.4129 Wh_cumul=0.125171 
t=101 V=3.55719 A=1.3007 W=4.62684 mAh_cumul=35.7742 Wh_cumul=0.126456 
t=102 V=3.55742 A=1.30072 W=4.62721 mAh_cumul=36.1355 Wh_cumul=0.127741 
t=103 V=3.55762 A=1.30071 W=4.62743 mAh_cumul=36.4968 Wh_cumul=0.129027 
t=104 V=3.55779 A=1.30072 W=4.62769 mAh_cumul=36.8581 Wh_cumul=0.130312 
t=105 V=3.55797 A=1.30072 W=4.62792 mAh_cumul=37.2194 Wh_cumul=0.131598 
t=106 V=3.55814 A=1.30071 W=4.62811 mAh_cumul=37.5807 Wh_cumul=0.132883 
t=107 V=3.55834 A=1.30071 W=4.62837 mAh_cumul=37.942 Wh_cumul=0.134169 
