0 errors cleared
t=0 V=3.32951 A=0.00761361 W=0.0253496 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.33079 A=0.00761761 W=0.0253727 mAh_cumul=0.00423201 Wh_cumul=1.40959e-05 
t=3 V=3.43871 A=1.30102 W=4.47383 mAh_cumul=0.365626 Wh_cumul=0.00125683 
t=4 V=3.46582 A=1.30082 W=4.50841 mAh_cumul=0.726965 Wh_cumul=0.00250916 
t=5 V=3.47341 A=1.30077 W=4.51811 mAh_cumul=1.08829 Wh_cumul=0.00376419 
t=6 V=3.47812 A=1.30076 W=4.5242 mAh_cumul=1.44961 Wh_cumul=0.00502091 
t=7 V=3.48195 A=1.30073 W=4.52908 mAh_cumul=1.81093 Wh_cumul=0.00627899 
t=8 V=3.48522 A=1.30074 W=4.53337 mAh_cumul=2.17224 Wh_cumul=0.00753826 
t=9 V=3.48817 A=1.30075 W=4.53724 mAh_cumul=2.53356 Wh_cumul=0.0087986 
t=10 V=3.49085 A=1.30072 W=4.54062 mAh_cumul=2.89487 Wh_cumul=0.0100599 
t=11 V=3.49332 A=1.30073 W=4.54387 mAh_cumul=3.25619 Wh_cumul=0.0113221 
t=12 V=3.49561 A=1.30072 W=4.54681 mAh_cumul=3.6175 Wh_cumul=0.0125851 
t=13 V=3.49775 A=1.30073 W=4.54963 mAh_cumul=3.97881 Wh_cumul=0.0138489 
t=14 V=3.49983 A=1.30072 W=4.5523 mAh_cumul=4.34012 Wh_cumul=0.0151134 
t=15 V=3.50169 A=1.30072 W=4.55472 mAh_cumul=4.70143 Wh_cumul=0.0163786 
t=16 V=3.50354 A=1.30071 W=4.55709 mAh_cumul=5.06274 Wh_cumul=0.0176444 
t=17 V=3.50531 A=1.30073 W=4.55946 mAh_cumul=5.42406 Wh_cumul=0.018911 
t=18 V=3.50699 A=1.30072 W=4.56161 mAh_cumul=5.78537 Wh_cumul=0.0201781 
t=19 V=3.50864 A=1.30072 W=4.56376 mAh_cumul=6.14668 Wh_cumul=0.0214458 
t=20 V=3.51019 A=1.30072 W=4.56577 mAh_cumul=6.50799 Wh_cumul=0.0227141 
t=21 V=3.51162 A=1.30071 W=4.5676 mAh_cumul=6.8693 Wh_cumul=0.0239828 
t=22 V=3.51298 A=1.30071 W=4.56937 mAh_cumul=7.23061 Wh_cumul=0.0252521 
t=23 V=3.51437 A=1.30072 W=4.57121 mAh_cumul=7.59192 Wh_cumul=0.0265219 
t=24 V=3.51572 A=1.30072 W=4.57297 mAh_cumul=7.95323 Wh_cumul=0.0277922 
t=25 V=3.517 A=1.30072 W=4.57463 mAh_cumul=8.31454 Wh_cumul=0.0290629 
t=26 V=3.51828 A=1.30072 W=4.5763 mAh_cumul=8.67585 Wh_cumul=0.0303341 
t=27 V=3.5195 A=1.30072 W=4.57788 mAh_cumul=9.03716 Wh_cumul=0.0316057 
t=28 V=3.52069 A=1.30071 W=4.5794 mAh_cumul=9.39847 Wh_cumul=0.0328778 
t=29 V=3.5218 A=1.30072 W=4.58088 mAh_cumul=9.75978 Wh_cumul=0.0341502 
t=30 V=3.52289 A=1.30072 W=4.58229 mAh_cumul=10.1211 Wh_cumul=0.0354231 
t=31 V=3.52396 A=1.30072 W=4.58369 mAh_cumul=10.4824 Wh_cumul=0.0366963 
t=32 V=3.52496 A=1.30073 W=4.58502 mAh_cumul=10.8437 Wh_cumul=0.03797 
t=33 V=3.52594 A=1.30072 W=4.58626 mAh_cumul=11.205 Wh_cumul=0.0392439 
t=34 V=3.52692 A=1.30072 W=4.58754 mAh_cumul=11.5663 Wh_cumul=0.0405182 
t=35 V=3.52781 A=1.30072 W=4.58869 mAh_cumul=11.9277 Wh_cumul=0.0417929 
t=36 V=3.52877 A=1.30072 W=4.58994 mAh_cumul=12.289 Wh_cumul=0.0430679 
t=37 V=3.52966 A=1.30071 W=4.59106 mAh_cumul=12.6503 Wh_cumul=0.0443431 
t=38 V=3.53046 A=1.30071 W=4.5921 mAh_cumul=13.0116 Wh_cumul=0.0456187 
t=39 V=3.53131 A=1.30072 W=4.59325 mAh_cumul=13.3729 Wh_cumul=0.0468946 
t=40 V=3.53211 A=1.30071 W=4.59425 mAh_cumul=13.7342 Wh_cumul=0.0481708 
t=41 V=3.53286 A=1.30071 W=4.59523 mAh_cumul=14.0955 Wh_cumul=0.0494473 
t=42 V=3.53361 A=1.30071 W=4.5962 mAh_cumul=14.4568 Wh_cumul=0.050724 
t=43 V=3.53432 A=1.3007 W=4.59709 mAh_cumul=14.8181 Wh_cumul=0.052001 
t=44 V=3.53502 A=1.30071 W=4.59804 mAh_cumul=15.1794 Wh_cumul=0.0532782 
