0 errors cleared
t=0 V=3.65073 A=0.00834474 W=0.0304644 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.65071 A=0.00834201 W=0.0304543 mAh_cumul=0.00463445 Wh_cumul=1.6919e-05 
t=3 V=3.74051 A=1.30102 W=4.86648 mAh_cumul=0.366029 Wh_cumul=0.00136872 
t=4 V=3.74346 A=1.30082 W=4.86957 mAh_cumul=0.727368 Wh_cumul=0.00272138 
t=5 V=3.74521 A=1.30078 W=4.87169 mAh_cumul=1.0887 Wh_cumul=0.00407462 
t=6 V=3.74667 A=1.30077 W=4.87356 mAh_cumul=1.45002 Wh_cumul=0.00542839 
t=7 V=3.74803 A=1.30075 W=4.87525 mAh_cumul=1.81134 Wh_cumul=0.00678263 
t=8 V=3.74927 A=1.30074 W=4.87683 mAh_cumul=2.17266 Wh_cumul=0.0081373 
t=9 V=3.75038 A=1.30073 W=4.87823 mAh_cumul=2.53397 Wh_cumul=0.00949236 
t=10 V=3.75147 A=1.30074 W=4.87969 mAh_cumul=2.89529 Wh_cumul=0.0108478 
t=11 V=3.75248 A=1.30073 W=4.88096 mAh_cumul=3.2566 Wh_cumul=0.0122037 
t=12 V=3.75345 A=1.30072 W=4.88219 mAh_cumul=3.61791 Wh_cumul=0.0135598 
t=13 V=3.75442 A=1.30073 W=4.88349 mAh_cumul=3.97923 Wh_cumul=0.0149163 
t=14 V=3.75531 A=1.30072 W=4.88461 mAh_cumul=4.34054 Wh_cumul=0.0162732 
t=15 V=3.7562 A=1.30074 W=4.88584 mAh_cumul=4.70185 Wh_cumul=0.0176304 
t=16 V=3.75707 A=1.30074 W=4.88697 mAh_cumul=5.06317 Wh_cumul=0.0189878 
t=17 V=3.75789 A=1.30074 W=4.88804 mAh_cumul=5.42449 Wh_cumul=0.0203456 
t=18 V=3.75872 A=1.30073 W=4.88908 mAh_cumul=5.7858 Wh_cumul=0.0217037 
t=19 V=3.75948 A=1.30073 W=4.89007 mAh_cumul=6.14712 Wh_cumul=0.0230621 
