0 errors cleared
t=0 V=4.18831 A=0.00957476 W=0.0401021 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.18825 A=0.00957264 W=0.0400926 mAh_cumul=0.00531813 Wh_cumul=2.22737e-05 
t=3 V=4.11118 A=1.29992 W=5.34421 mAh_cumul=0.366407 Wh_cumul=0.00150678 
t=4 V=4.10815 A=1.29987 W=5.34006 mAh_cumul=0.727482 Wh_cumul=0.00299013 
t=5 V=4.1063 A=1.29985 W=5.33757 mAh_cumul=1.08855 Wh_cumul=0.00447278 
t=6 V=4.10465 A=1.29983 W=5.33535 mAh_cumul=1.44962 Wh_cumul=0.00595483 
t=7 V=4.10323 A=1.29984 W=5.33354 mAh_cumul=1.81068 Wh_cumul=0.00743637 
t=8 V=4.10197 A=1.29986 W=5.33199 mAh_cumul=2.17175 Wh_cumul=0.00891747 
t=9 V=4.10075 A=1.29984 W=5.33032 mAh_cumul=2.53282 Wh_cumul=0.0103981 
t=10 V=4.09953 A=1.29985 W=5.32877 mAh_cumul=2.89389 Wh_cumul=0.0118783 
t=11 V=4.09843 A=1.29984 W=5.3273 mAh_cumul=3.25496 Wh_cumul=0.0133581 
t=12 V=4.09739 A=1.29985 W=5.32599 mAh_cumul=3.61603 Wh_cumul=0.0148376 
t=13 V=4.09642 A=1.29984 W=5.32469 mAh_cumul=3.97709 Wh_cumul=0.0163167 
t=14 V=4.09539 A=1.29984 W=5.32335 mAh_cumul=4.33816 Wh_cumul=0.0177954 
t=15 V=4.09448 A=1.29984 W=5.32217 mAh_cumul=4.69923 Wh_cumul=0.0192738 
t=16 V=4.09354 A=1.29983 W=5.32091 mAh_cumul=5.06029 Wh_cumul=0.0207518 
t=17 V=4.09264 A=1.29985 W=5.31982 mAh_cumul=5.42136 Wh_cumul=0.0222295 
t=18 V=4.09178 A=1.29985 W=5.3187 mAh_cumul=5.78243 Wh_cumul=0.0237069 
t=19 V=4.09095 A=1.29984 W=5.31758 mAh_cumul=6.1435 Wh_cumul=0.025184 
t=20 V=4.09008 A=1.29985 W=5.31649 mAh_cumul=6.50457 Wh_cumul=0.0266608 
t=21 V=4.08926 A=1.29985 W=5.31542 mAh_cumul=6.86563 Wh_cumul=0.0281373 
t=22 V=4.08851 A=1.29984 W=5.31441 mAh_cumul=7.2267 Wh_cumul=0.0296136 
t=23 V=4.08774 A=1.29986 W=5.31349 mAh_cumul=7.58777 Wh_cumul=0.0310895 
t=24 V=4.08698 A=1.29984 W=5.31242 mAh_cumul=7.94884 Wh_cumul=0.0325652 
t=25 V=4.0863 A=1.29985 W=5.31158 mAh_cumul=8.30991 Wh_cumul=0.0340406 
t=26 V=4.08562 A=1.29985 W=5.31069 mAh_cumul=8.67098 Wh_cumul=0.0355158 
t=27 V=4.08496 A=1.29985 W=5.30984 mAh_cumul=9.03205 Wh_cumul=0.0369908 
t=28 V=4.08433 A=1.29984 W=5.30898 mAh_cumul=9.39312 Wh_cumul=0.0384655 
t=29 V=4.08366 A=1.29985 W=5.30815 mAh_cumul=9.75418 Wh_cumul=0.03994 
t=30 V=4.08303 A=1.29984 W=5.30729 mAh_cumul=10.1153 Wh_cumul=0.0414142 
t=31 V=4.08241 A=1.29983 W=5.30644 mAh_cumul=10.4763 Wh_cumul=0.0428882 
t=32 V=4.08177 A=1.29984 W=5.30565 mAh_cumul=10.8374 Wh_cumul=0.044362 
t=33 V=4.08111 A=1.29983 W=5.30475 mAh_cumul=11.1984 Wh_cumul=0.0458356 
t=34 V=4.08053 A=1.29983 W=5.304 mAh_cumul=11.5595 Wh_cumul=0.0473089 
t=35 V=4.07994 A=1.29985 W=5.30331 mAh_cumul=11.9206 Wh_cumul=0.0487821 
t=36 V=4.07933 A=1.29986 W=5.30256 mAh_cumul=12.2817 Wh_cumul=0.050255 
t=37 V=4.07873 A=1.29984 W=5.3017 mAh_cumul=12.6427 Wh_cumul=0.0517277 
t=38 V=4.07814 A=1.29985 W=5.30097 mAh_cumul=13.0038 Wh_cumul=0.0532002 
t=39 V=4.07763 A=1.29984 W=5.30027 mAh_cumul=13.3649 Wh_cumul=0.0546725 
t=40 V=4.07708 A=1.29984 W=5.29955 mAh_cumul=13.7259 Wh_cumul=0.0561446 
t=41 V=4.07652 A=1.29983 W=5.29878 mAh_cumul=14.087 Wh_cumul=0.0576164 
t=42 V=4.076 A=1.29985 W=5.29819 mAh_cumul=14.4481 Wh_cumul=0.0590882 
t=43 V=4.0755 A=1.29984 W=5.2975 mAh_cumul=14.8091 Wh_cumul=0.0605597 
t=44 V=4.07499 A=1.29985 W=5.29688 mAh_cumul=15.1702 Wh_cumul=0.0620311 
t=45 V=4.07449 A=1.29984 W=5.29619 mAh_cumul=15.5313 Wh_cumul=0.0635022 
t=46 V=4.07398 A=1.29984 W=5.29552 mAh_cumul=15.8923 Wh_cumul=0.0649732 
t=47 V=4.07347 A=1.29984 W=5.29486 mAh_cumul=16.2534 Wh_cumul=0.066444 
t=48 V=4.07297 A=1.29985 W=5.29425 mAh_cumul=16.6145 Wh_cumul=0.0679146 
t=49 V=4.07248 A=1.29985 W=5.29361 mAh_cumul=16.9755 Wh_cumul=0.0693851 
t=50 V=4.07201 A=1.29984 W=5.29296 mAh_cumul=17.3366 Wh_cumul=0.0708553 
t=51 V=4.07157 A=1.29984 W=5.29239 mAh_cumul=17.6977 Wh_cumul=0.0723254 
t=52 V=4.07111 A=1.29983 W=5.29175 mAh_cumul=18.0587 Wh_cumul=0.0737954 
t=53 V=4.07066 A=1.29984 W=5.29121 mAh_cumul=18.4198 Wh_cumul=0.0752651 
t=54 V=4.0702 A=1.29984 W=5.29061 mAh_cumul=18.7809 Wh_cumul=0.0767348 
t=55 V=4.06974 A=1.29984 W=5.29001 mAh_cumul=19.1419 Wh_cumul=0.0782042 
t=56 V=4.06932 A=1.29985 W=5.28951 mAh_cumul=19.503 Wh_cumul=0.0796735 
t=57 V=4.06888 A=1.29985 W=5.28893 mAh_cumul=19.8641 Wh_cumul=0.0811427 
t=58 V=4.06839 A=1.29985 W=5.2883 mAh_cumul=20.2251 Wh_cumul=0.0826116 
t=59 V=4.068 A=1.29985 W=5.28779 mAh_cumul=20.5862 Wh_cumul=0.0840805 
t=60 V=4.06755 A=1.29985 W=5.2872 mAh_cumul=20.9473 Wh_cumul=0.0855491 
t=61 V=4.06717 A=1.29985 W=5.28671 mAh_cumul=21.3083 Wh_cumul=0.0870177 
t=62 V=4.06673 A=1.29985 W=5.28614 mAh_cumul=21.6694 Wh_cumul=0.088486 
t=63 V=4.06635 A=1.29984 W=5.2856 mAh_cumul=22.0305 Wh_cumul=0.0899543 
t=64 V=4.066 A=1.29985 W=5.28519 mAh_cumul=22.3915 Wh_cumul=0.0914224 
t=65 V=4.0656 A=1.29986 W=5.28471 mAh_cumul=22.7526 Wh_cumul=0.0928903 
t=66 V=4.06519 A=1.29985 W=5.28414 mAh_cumul=23.1137 Wh_cumul=0.0943582 
t=67 V=4.06484 A=1.29985 W=5.28368 mAh_cumul=23.4748 Wh_cumul=0.0958258 
t=68 V=4.06445 A=1.29984 W=5.28313 mAh_cumul=23.8358 Wh_cumul=0.0972934 
t=69 V=4.06407 A=1.29984 W=5.28264 mAh_cumul=24.1969 Wh_cumul=0.0987608 
t=70 V=4.0637 A=1.29984 W=5.28216 mAh_cumul=24.558 Wh_cumul=0.100228 
t=71 V=4.06332 A=1.29984 W=5.28167 mAh_cumul=24.919 Wh_cumul=0.101695 
t=72 V=4.06293 A=1.29984 W=5.28116 mAh_cumul=25.2801 Wh_cumul=0.103162 
t=73 V=4.06258 A=1.29985 W=5.28074 mAh_cumul=25.6412 Wh_cumul=0.104629 
t=74 V=4.06222 A=1.29985 W=5.28028 mAh_cumul=26.0022 Wh_cumul=0.106096 
t=75 V=4.06186 A=1.29985 W=5.27981 mAh_cumul=26.3633 Wh_cumul=0.107562 
t=76 V=4.06153 A=1.29985 W=5.27938 mAh_cumul=26.7244 Wh_cumul=0.109029 
t=77 V=4.0612 A=1.29985 W=5.27895 mAh_cumul=27.0854 Wh_cumul=0.110495 
t=78 V=4.06084 A=1.29985 W=5.27848 mAh_cumul=27.4465 Wh_cumul=0.111962 
t=79 V=4.06052 A=1.29985 W=5.27807 mAh_cumul=27.8076 Wh_cumul=0.113428 
t=80 V=4.0602 A=1.29984 W=5.27761 mAh_cumul=28.1686 Wh_cumul=0.114894 
t=81 V=4.05988 A=1.29983 W=5.27715 mAh_cumul=28.5297 Wh_cumul=0.11636 
t=82 V=4.05956 A=1.29984 W=5.27678 mAh_cumul=28.8908 Wh_cumul=0.117825 
