0 errors cleared
t=0 V=3.33897 A=0.00763784 W=0.0255025 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.3402 A=0.00764971 W=0.0255516 mAh_cumul=0.00424984 Wh_cumul=1.41953e-05 
t=3 V=3.45003 A=1.30104 W=4.48863 mAh_cumul=0.36565 Wh_cumul=0.00126104 
t=4 V=3.47611 A=1.30083 W=4.52183 mAh_cumul=0.726992 Wh_cumul=0.0025171 
t=5 V=3.48319 A=1.30078 W=4.53086 mAh_cumul=1.08832 Wh_cumul=0.00377567 
t=6 V=3.4878 A=1.30077 W=4.53683 mAh_cumul=1.44964 Wh_cumul=0.0050359 
t=7 V=3.49144 A=1.30077 W=4.54156 mAh_cumul=1.81097 Wh_cumul=0.00629745 
t=8 V=3.49463 A=1.30076 W=4.54567 mAh_cumul=2.17229 Wh_cumul=0.00756013 
t=9 V=3.49737 A=1.30076 W=4.54924 mAh_cumul=2.53361 Wh_cumul=0.00882381 
t=10 V=3.49991 A=1.30074 W=4.55247 mAh_cumul=2.89493 Wh_cumul=0.0100884 
t=11 V=3.50223 A=1.30074 W=4.55549 mAh_cumul=3.25625 Wh_cumul=0.0113538 
t=12 V=3.50443 A=1.30074 W=4.55835 mAh_cumul=3.61756 Wh_cumul=0.01262 
t=13 V=3.50647 A=1.30074 W=4.56101 mAh_cumul=3.97888 Wh_cumul=0.013887 
t=14 V=3.50843 A=1.30074 W=4.56356 mAh_cumul=4.3402 Wh_cumul=0.0151546 
t=15 V=3.51029 A=1.30074 W=4.56597 mAh_cumul=4.70151 Wh_cumul=0.0164229 
t=16 V=3.51199 A=1.30074 W=4.56819 mAh_cumul=5.06283 Wh_cumul=0.0176919 
t=17 V=3.51359 A=1.30074 W=4.57027 mAh_cumul=5.42415 Wh_cumul=0.0189614 
t=18 V=3.51522 A=1.30073 W=4.57235 mAh_cumul=5.78546 Wh_cumul=0.0202315 
t=19 V=3.51674 A=1.30072 W=4.57429 mAh_cumul=6.14677 Wh_cumul=0.0215021 
