0 errors cleared
t=0 V=3.40461 A=0.00780691 W=0.0265795 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.40462 A=0.00781277 W=0.0265995 mAh_cumul=0.00434043 Wh_cumul=1.47775e-05 
t=3 V=3.45149 A=0.428154 W=1.47777 mAh_cumul=0.123272 Wh_cumul=0.000425269 
t=4 V=3.45153 A=0.394506 W=1.36165 mAh_cumul=0.232857 Wh_cumul=0.000803505 
t=5 V=3.45153 A=0.378776 W=1.30736 mAh_cumul=0.338073 Wh_cumul=0.00116666 
t=6 V=3.45153 A=0.367392 W=1.26806 mAh_cumul=0.440126 Wh_cumul=0.0015189 
t=7 V=3.45151 A=0.35834 W=1.23681 mAh_cumul=0.539665 Wh_cumul=0.00186246 
t=8 V=3.45153 A=0.350497 W=1.20975 mAh_cumul=0.637025 Wh_cumul=0.0021985 
t=9 V=3.45153 A=0.343525 W=1.18569 mAh_cumul=0.732449 Wh_cumul=0.00252786 
t=10 V=3.45153 A=0.337557 W=1.16509 mAh_cumul=0.826215 Wh_cumul=0.00285149 
t=11 V=3.45153 A=0.331869 W=1.14546 mAh_cumul=0.9184 Wh_cumul=0.00316968 
t=12 V=3.45157 A=0.326569 W=1.12718 mAh_cumul=1.00911 Wh_cumul=0.00348278 
t=13 V=3.45152 A=0.321626 W=1.1101 mAh_cumul=1.09845 Wh_cumul=0.00379114 
t=14 V=3.45151 A=0.316979 W=1.09406 mAh_cumul=1.1865 Wh_cumul=0.00409505 
t=15 V=3.4515 A=0.31277 W=1.07953 mAh_cumul=1.27338 Wh_cumul=0.00439491 
t=16 V=3.45155 A=0.308771 W=1.06574 mAh_cumul=1.35915 Wh_cumul=0.00469095 
t=17 V=3.45152 A=0.304764 W=1.0519 mAh_cumul=1.44381 Wh_cumul=0.00498315 
t=18 V=3.4515 A=0.301165 W=1.03947 mAh_cumul=1.52747 Wh_cumul=0.00527189 
t=19 V=3.45148 A=0.297653 W=1.02734 mAh_cumul=1.61015 Wh_cumul=0.00555726 
t=20 V=3.45148 A=0.294149 W=1.01525 mAh_cumul=1.69186 Wh_cumul=0.00583928 
t=21 V=3.45151 A=0.290895 W=1.00403 mAh_cumul=1.77266 Wh_cumul=0.00611817 
t=22 V=3.45148 A=0.28782 W=0.993405 mAh_cumul=1.85261 Wh_cumul=0.00639412 
t=23 V=3.45149 A=0.284756 W=0.982832 mAh_cumul=1.93171 Wh_cumul=0.00666713 
t=24 V=3.45149 A=0.28175 W=0.972457 mAh_cumul=2.00997 Wh_cumul=0.00693725 
t=25 V=3.45152 A=0.279342 W=0.964154 mAh_cumul=2.08757 Wh_cumul=0.00720507 
t=26 V=3.4515 A=0.276525 W=0.954426 mAh_cumul=2.16438 Wh_cumul=0.00747019 
t=27 V=3.45152 A=0.274147 W=0.946224 mAh_cumul=2.24053 Wh_cumul=0.00773303 
t=28 V=3.45153 A=0.271641 W=0.937577 mAh_cumul=2.31599 Wh_cumul=0.00799347 
t=29 V=3.45149 A=0.269113 W=0.928841 mAh_cumul=2.39074 Wh_cumul=0.00825148 
t=30 V=3.45151 A=0.266569 W=0.920066 mAh_cumul=2.46479 Wh_cumul=0.00850706 
t=31 V=3.45152 A=0.264519 W=0.912993 mAh_cumul=2.53827 Wh_cumul=0.00876067 
t=32 V=3.4515 A=0.262254 W=0.90517 mAh_cumul=2.61112 Wh_cumul=0.0090121 
t=33 V=3.45152 A=0.2601 W=0.89774 mAh_cumul=2.68337 Wh_cumul=0.00926147 
t=34 V=3.45151 A=0.25778 W=0.88973 mAh_cumul=2.75497 Wh_cumul=0.00950862 
t=35 V=3.45147 A=0.255729 W=0.882641 mAh_cumul=2.82601 Wh_cumul=0.0097538 
t=36 V=3.45148 A=0.253756 W=0.875834 mAh_cumul=2.8965 Wh_cumul=0.00999709 
t=37 V=3.45152 A=0.252165 W=0.870353 mAh_cumul=2.96654 Wh_cumul=0.0102389 
t=38 V=3.45151 A=0.250354 W=0.864099 mAh_cumul=3.03608 Wh_cumul=0.0104789 
t=39 V=3.45154 A=0.248642 W=0.858198 mAh_cumul=3.10515 Wh_cumul=0.0107173 
t=40 V=3.45152 A=0.246827 W=0.851928 mAh_cumul=3.17371 Wh_cumul=0.0109539 
t=41 V=3.45149 A=0.244912 W=0.845311 mAh_cumul=3.24175 Wh_cumul=0.0111887 
t=42 V=3.45147 A=0.243218 W=0.83946 mAh_cumul=3.30931 Wh_cumul=0.0114219 
t=43 V=3.45151 A=0.241835 W=0.834696 mAh_cumul=3.37648 Wh_cumul=0.0116538 
t=44 V=3.45154 A=0.240313 W=0.82945 mAh_cumul=3.44324 Wh_cumul=0.0118842 
t=45 V=3.45151 A=0.238604 W=0.823544 mAh_cumul=3.50951 Wh_cumul=0.0121129 
t=46 V=3.45151 A=0.237019 W=0.818073 mAh_cumul=3.57535 Wh_cumul=0.0123402 
t=47 V=3.45152 A=0.235426 W=0.812578 mAh_cumul=3.64075 Wh_cumul=0.0125659 
t=48 V=3.45148 A=0.233999 W=0.807643 mAh_cumul=3.70575 Wh_cumul=0.0127902 
t=49 V=3.45151 A=0.232619 W=0.802887 mAh_cumul=3.77037 Wh_cumul=0.0130133 
t=50 V=3.45151 A=0.2315 W=0.799025 mAh_cumul=3.83467 Wh_cumul=0.0132352 
t=51 V=3.45155 A=0.230114 W=0.79425 mAh_cumul=3.89859 Wh_cumul=0.0134558 
t=52 V=3.45154 A=0.228935 W=0.790178 mAh_cumul=3.96218 Wh_cumul=0.0136753 
t=53 V=3.45156 A=0.227508 W=0.785258 mAh_cumul=4.02538 Wh_cumul=0.0138935 
t=54 V=3.45152 A=0.22613 W=0.780492 mAh_cumul=4.0882 Wh_cumul=0.0141103 
t=55 V=3.45151 A=0.224585 W=0.775157 mAh_cumul=4.15058 Wh_cumul=0.0143256 
t=56 V=3.45152 A=0.223095 W=0.770017 mAh_cumul=4.21255 Wh_cumul=0.0145395 
t=57 V=3.45149 A=0.221919 W=0.765951 mAh_cumul=4.2742 Wh_cumul=0.0147522 
t=58 V=3.45148 A=0.220604 W=0.76141 mAh_cumul=4.33547 Wh_cumul=0.0149637 
t=59 V=3.4515 A=0.219647 W=0.758112 mAh_cumul=4.39649 Wh_cumul=0.0151743 
t=60 V=3.45153 A=0.218649 W=0.754674 mAh_cumul=4.45722 Wh_cumul=0.015384 
t=61 V=3.45151 A=0.217548 W=0.750869 mAh_cumul=4.51765 Wh_cumul=0.0155925 
t=62 V=3.45152 A=0.216325 W=0.74665 mAh_cumul=4.57774 Wh_cumul=0.0157999 
t=63 V=3.45151 A=0.215065 W=0.742299 mAh_cumul=4.63748 Wh_cumul=0.0160061 
t=64 V=3.4515 A=0.214056 W=0.738814 mAh_cumul=4.69694 Wh_cumul=0.0162114 
t=65 V=3.45152 A=0.212995 W=0.735157 mAh_cumul=4.75611 Wh_cumul=0.0164156 
t=66 V=3.45151 A=0.211862 W=0.731244 mAh_cumul=4.81496 Wh_cumul=0.0166187 
t=67 V=3.45151 A=0.211148 W=0.728779 mAh_cumul=4.87361 Wh_cumul=0.0168211 
t=68 V=3.45153 A=0.210177 W=0.725432 mAh_cumul=4.93199 Wh_cumul=0.0170226 
