0 errors cleared
t=0 V=3.64858 A=0.00837117 W=0.0305429 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.64859 A=0.00836578 W=0.0305233 mAh_cumul=0.00464766 Wh_cumul=1.69574e-05 
t=3 V=3.74049 A=1.30102 W=4.86645 mAh_cumul=0.366042 Wh_cumul=0.00136875 
t=4 V=3.74367 A=1.30083 W=4.86988 mAh_cumul=0.727384 Wh_cumul=0.00272149 
t=5 V=3.74546 A=1.30076 W=4.87194 mAh_cumul=1.08871 Wh_cumul=0.00407481 
t=6 V=3.747 A=1.30076 W=4.87395 mAh_cumul=1.45003 Wh_cumul=0.00542869 
t=7 V=3.74844 A=1.30075 W=4.87578 mAh_cumul=1.81135 Wh_cumul=0.00678307 
t=8 V=3.74964 A=1.30075 W=4.87734 mAh_cumul=2.17267 Wh_cumul=0.00813789 
t=9 V=3.7508 A=1.30075 W=4.87885 mAh_cumul=2.53399 Wh_cumul=0.00949313 
t=10 V=3.75199 A=1.30073 W=4.88033 mAh_cumul=2.8953 Wh_cumul=0.0108488 
t=11 V=3.75309 A=1.30073 W=4.88176 mAh_cumul=3.25661 Wh_cumul=0.0122048 
t=12 V=3.7541 A=1.30073 W=4.88307 mAh_cumul=3.61793 Wh_cumul=0.0135612 
t=13 V=3.75504 A=1.30072 W=4.88426 mAh_cumul=3.97924 Wh_cumul=0.014918 
t=14 V=3.75599 A=1.30071 W=4.88545 mAh_cumul=4.34055 Wh_cumul=0.016275 
t=15 V=3.7569 A=1.30072 W=4.88667 mAh_cumul=4.70186 Wh_cumul=0.0176324 
t=16 V=3.75783 A=1.30072 W=4.88788 mAh_cumul=5.06317 Wh_cumul=0.0189902 
t=17 V=3.7587 A=1.30072 W=4.88902 mAh_cumul=5.42448 Wh_cumul=0.0203482 
t=18 V=3.75955 A=1.30072 W=4.89012 mAh_cumul=5.78579 Wh_cumul=0.0217066 
t=19 V=3.76038 A=1.30072 W=4.8912 mAh_cumul=6.1471 Wh_cumul=0.0230653 
t=20 V=3.76117 A=1.30071 W=4.89219 mAh_cumul=6.50841 Wh_cumul=0.0244242 
t=21 V=3.7619 A=1.30072 W=4.89318 mAh_cumul=6.86972 Wh_cumul=0.0257834 
t=22 V=3.76266 A=1.30072 W=4.89417 mAh_cumul=7.23103 Wh_cumul=0.0271429 
t=23 V=3.76339 A=1.30072 W=4.89512 mAh_cumul=7.59234 Wh_cumul=0.0285027 
t=24 V=3.76413 A=1.30072 W=4.89608 mAh_cumul=7.95366 Wh_cumul=0.0298627 
t=25 V=3.7648 A=1.30071 W=4.89691 mAh_cumul=8.31496 Wh_cumul=0.031223 
t=26 V=3.7655 A=1.30071 W=4.89782 mAh_cumul=8.67627 Wh_cumul=0.0325835 
t=27 V=3.76614 A=1.3007 W=4.89862 mAh_cumul=9.03758 Wh_cumul=0.0339442 
t=28 V=3.7668 A=1.3007 W=4.89948 mAh_cumul=9.39888 Wh_cumul=0.0353052 
t=29 V=3.76744 A=1.3007 W=4.90031 mAh_cumul=9.76019 Wh_cumul=0.0366664 
t=30 V=3.76809 A=1.30072 W=4.90123 mAh_cumul=10.1215 Wh_cumul=0.0380278 
t=31 V=3.76876 A=1.30071 W=4.90206 mAh_cumul=10.4828 Wh_cumul=0.0393895 
t=32 V=3.76937 A=1.30071 W=4.90286 mAh_cumul=10.8441 Wh_cumul=0.0407514 
t=33 V=3.76996 A=1.30071 W=4.90362 mAh_cumul=11.2054 Wh_cumul=0.0421135 
t=34 V=3.77049 A=1.3007 W=4.90428 mAh_cumul=11.5667 Wh_cumul=0.0434758 
t=35 V=3.77106 A=1.30071 W=4.90506 mAh_cumul=11.928 Wh_cumul=0.0448383 
t=36 V=3.7716 A=1.30071 W=4.90576 mAh_cumul=12.2893 Wh_cumul=0.046201 
t=37 V=3.77217 A=1.30069 W=4.90642 mAh_cumul=12.6507 Wh_cumul=0.0475639 
t=38 V=3.77273 A=1.3007 W=4.90719 mAh_cumul=13.012 Wh_cumul=0.048927 
t=39 V=3.77324 A=1.30069 W=4.90782 mAh_cumul=13.3733 Wh_cumul=0.0502903 
