0 errors cleared
t=0 V=3.3452 A=0.00766254 W=0.0256327 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.34639 A=0.00766137 W=0.0256379 mAh_cumul=0.00425632 Wh_cumul=1.42433e-05 
t=3 V=3.45394 A=1.30103 W=4.49368 mAh_cumul=0.365654 Wh_cumul=0.00126249 
t=4 V=3.47903 A=1.30083 W=4.52563 mAh_cumul=0.726995 Wh_cumul=0.00251961 
t=5 V=3.48589 A=1.30079 W=4.53441 mAh_cumul=1.08833 Wh_cumul=0.00377916 
t=6 V=3.49049 A=1.30076 W=4.54029 mAh_cumul=1.44965 Wh_cumul=0.00504036 
t=7 V=3.49409 A=1.30075 W=4.54494 mAh_cumul=1.81097 Wh_cumul=0.00630284 
t=8 V=3.49708 A=1.30076 W=4.54886 mAh_cumul=2.17229 Wh_cumul=0.00756641 
t=9 V=3.49977 A=1.30075 W=4.55233 mAh_cumul=2.53361 Wh_cumul=0.00883095 
t=10 V=3.50222 A=1.30074 W=4.55548 mAh_cumul=2.89493 Wh_cumul=0.0100964 
t=11 V=3.50447 A=1.30074 W=4.5584 mAh_cumul=3.25624 Wh_cumul=0.0113626 
t=12 V=3.50657 A=1.30075 W=4.56117 mAh_cumul=3.61756 Wh_cumul=0.0126296 
t=13 V=3.50853 A=1.30072 W=4.56362 mAh_cumul=3.97887 Wh_cumul=0.0138972 
t=14 V=3.51044 A=1.30073 W=4.56613 mAh_cumul=4.34019 Wh_cumul=0.0151656 
t=15 V=3.51209 A=1.30073 W=4.56828 mAh_cumul=4.7015 Wh_cumul=0.0164346 
t=16 V=3.5137 A=1.30072 W=4.57034 mAh_cumul=5.06281 Wh_cumul=0.0177041 
t=17 V=3.51531 A=1.30073 W=4.57247 mAh_cumul=5.42413 Wh_cumul=0.0189743 
t=18 V=3.51679 A=1.30072 W=4.57436 mAh_cumul=5.78544 Wh_cumul=0.0202449 
t=19 V=3.51828 A=1.30071 W=4.57626 mAh_cumul=6.14675 Wh_cumul=0.0215161 
