0 errors cleared
t=0 V=4.18811 A=0.00957387 W=0.0400964 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.188 A=0.00957119 W=0.0400841 mAh_cumul=0.00531733 Wh_cumul=2.2269e-05 
t=3 V=4.11255 A=1.29992 W=5.34599 mAh_cumul=0.366406 Wh_cumul=0.00150727 
t=4 V=4.10934 A=1.29987 W=5.34161 mAh_cumul=0.727481 Wh_cumul=0.00299105 
t=5 V=4.10744 A=1.29986 W=5.3391 mAh_cumul=1.08855 Wh_cumul=0.00447413 
t=6 V=4.10578 A=1.29986 W=5.33694 mAh_cumul=1.44963 Wh_cumul=0.00595661 
t=7 V=4.10427 A=1.29984 W=5.33489 mAh_cumul=1.81069 Wh_cumul=0.00743853 
t=8 V=4.10292 A=1.29986 W=5.33322 mAh_cumul=2.17176 Wh_cumul=0.00891998 
t=9 V=4.10166 A=1.29985 W=5.33154 mAh_cumul=2.53283 Wh_cumul=0.010401 
t=10 V=4.10047 A=1.29985 W=5.33 mAh_cumul=2.8939 Wh_cumul=0.0118815 
t=11 V=4.09929 A=1.29985 W=5.32846 mAh_cumul=3.25497 Wh_cumul=0.0133616 
t=12 V=4.09818 A=1.29986 W=5.32706 mAh_cumul=3.61605 Wh_cumul=0.0148414 
t=13 V=4.09711 A=1.29985 W=5.32563 mAh_cumul=3.97711 Wh_cumul=0.0163207 
t=14 V=4.09611 A=1.29985 W=5.32433 mAh_cumul=4.33818 Wh_cumul=0.0177997 
t=15 V=4.09511 A=1.29985 W=5.32303 mAh_cumul=4.69925 Wh_cumul=0.0192783 
t=16 V=4.09418 A=1.29985 W=5.32182 mAh_cumul=5.06032 Wh_cumul=0.0207566 
t=17 V=4.09322 A=1.29985 W=5.32057 mAh_cumul=5.42139 Wh_cumul=0.0222345 
t=18 V=4.09236 A=1.29985 W=5.31945 mAh_cumul=5.78246 Wh_cumul=0.0237122 
t=19 V=4.09145 A=1.29985 W=5.31827 mAh_cumul=6.14353 Wh_cumul=0.0251895 
t=20 V=4.09061 A=1.29985 W=5.31718 mAh_cumul=6.5046 Wh_cumul=0.0266665 
t=21 V=4.08975 A=1.29985 W=5.31606 mAh_cumul=6.86567 Wh_cumul=0.0281431 
t=22 V=4.08894 A=1.29986 W=5.31505 mAh_cumul=7.22674 Wh_cumul=0.0296195 
t=23 V=4.08811 A=1.29986 W=5.31397 mAh_cumul=7.58781 Wh_cumul=0.0310956 
t=24 V=4.08734 A=1.29987 W=5.31301 mAh_cumul=7.94889 Wh_cumul=0.0325715 
t=25 V=4.08658 A=1.29986 W=5.31198 mAh_cumul=8.30996 Wh_cumul=0.034047 
t=26 V=4.08588 A=1.29985 W=5.31103 mAh_cumul=8.67103 Wh_cumul=0.0355223 
t=27 V=4.08517 A=1.29986 W=5.31015 mAh_cumul=9.0321 Wh_cumul=0.0369974 
t=28 V=4.08452 A=1.29986 W=5.3093 mAh_cumul=9.39318 Wh_cumul=0.0384722 
t=29 V=4.08386 A=1.29986 W=5.30845 mAh_cumul=9.75425 Wh_cumul=0.0399467 
t=30 V=4.08318 A=1.29986 W=5.30756 mAh_cumul=10.1153 Wh_cumul=0.0414211 
t=31 V=4.08252 A=1.29986 W=5.3067 mAh_cumul=10.4764 Wh_cumul=0.0428951 
t=32 V=4.08185 A=1.29985 W=5.30579 mAh_cumul=10.8375 Wh_cumul=0.044369 
t=33 V=4.08123 A=1.29986 W=5.30503 mAh_cumul=11.1985 Wh_cumul=0.0458426 
t=34 V=4.08057 A=1.29986 W=5.30417 mAh_cumul=11.5596 Wh_cumul=0.047316 
t=35 V=4.07996 A=1.29987 W=5.30342 mAh_cumul=11.9207 Wh_cumul=0.0487891 
t=36 V=4.07936 A=1.29985 W=5.30256 mAh_cumul=12.2818 Wh_cumul=0.0502621 
t=37 V=4.07874 A=1.29986 W=5.30179 mAh_cumul=12.6428 Wh_cumul=0.0517348 
t=38 V=4.07812 A=1.29987 W=5.30103 mAh_cumul=13.0039 Wh_cumul=0.0532073 
t=39 V=4.07754 A=1.29986 W=5.30023 mAh_cumul=13.365 Wh_cumul=0.0546796 
t=40 V=4.07696 A=1.29986 W=5.29948 mAh_cumul=13.726 Wh_cumul=0.0561517 
t=41 V=4.07646 A=1.29985 W=5.29879 mAh_cumul=14.0871 Wh_cumul=0.0576236 
t=42 V=4.0759 A=1.29985 W=5.29806 mAh_cumul=14.4482 Wh_cumul=0.0590952 
t=43 V=4.07533 A=1.29985 W=5.29732 mAh_cumul=14.8093 Wh_cumul=0.0605667 
t=44 V=4.07481 A=1.29987 W=5.29672 mAh_cumul=15.1703 Wh_cumul=0.062038 
t=45 V=4.07429 A=1.29986 W=5.29601 mAh_cumul=15.5314 Wh_cumul=0.0635091 
t=46 V=4.07374 A=1.29985 W=5.29525 mAh_cumul=15.8925 Wh_cumul=0.06498 
t=47 V=4.07322 A=1.29986 W=5.29462 mAh_cumul=16.2535 Wh_cumul=0.0664508 
t=48 V=4.07269 A=1.29986 W=5.29393 mAh_cumul=16.6146 Wh_cumul=0.0679213 
t=49 V=4.07221 A=1.29987 W=5.29334 mAh_cumul=16.9757 Wh_cumul=0.0693917 
t=50 V=4.07173 A=1.29986 W=5.29268 mAh_cumul=17.3368 Wh_cumul=0.0708619 
