0 errors cleared
t=0 V=3.64956 A=0.00831495 W=0.0303459 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.64958 A=0.00830364 W=0.0303048 mAh_cumul=0.00461313 Wh_cumul=1.6836e-05 
t=3 V=3.73646 A=1.30108 W=4.86143 mAh_cumul=0.366024 Wh_cumul=0.00136723 
t=4 V=3.73942 A=1.30082 W=4.86431 mAh_cumul=0.727363 Wh_cumul=0.00271843 
t=5 V=3.74115 A=1.30078 W=4.86641 mAh_cumul=1.08869 Wh_cumul=0.00407021 
t=6 V=3.74269 A=1.30076 W=4.86834 mAh_cumul=1.45001 Wh_cumul=0.00542253 
t=7 V=3.74395 A=1.30075 W=4.86994 mAh_cumul=1.81133 Wh_cumul=0.00677529 
t=8 V=3.74516 A=1.30073 W=4.87144 mAh_cumul=2.17265 Wh_cumul=0.00812847 
t=9 V=3.74629 A=1.30073 W=4.87291 mAh_cumul=2.53396 Wh_cumul=0.00948206 
t=10 V=3.74735 A=1.30073 W=4.87429 mAh_cumul=2.89527 Wh_cumul=0.010836 
t=11 V=3.74838 A=1.30073 W=4.87563 mAh_cumul=3.25659 Wh_cumul=0.0121904 
t=12 V=3.74934 A=1.30071 W=4.8768 mAh_cumul=3.6179 Wh_cumul=0.013545 
t=13 V=3.75028 A=1.30071 W=4.87803 mAh_cumul=3.9792 Wh_cumul=0.0149 
t=14 V=3.75116 A=1.30072 W=4.87921 mAh_cumul=4.34052 Wh_cumul=0.0162554 
t=15 V=3.75202 A=1.30072 W=4.88033 mAh_cumul=4.70183 Wh_cumul=0.017611 
t=16 V=3.75284 A=1.30071 W=4.88136 mAh_cumul=5.06314 Wh_cumul=0.018967 
t=17 V=3.75365 A=1.30071 W=4.88241 mAh_cumul=5.42444 Wh_cumul=0.0203232 
t=18 V=3.75442 A=1.30071 W=4.88341 mAh_cumul=5.78575 Wh_cumul=0.0216797 
t=19 V=3.75518 A=1.30071 W=4.8844 mAh_cumul=6.14706 Wh_cumul=0.0230365 
t=20 V=3.75593 A=1.30071 W=4.88538 mAh_cumul=6.50837 Wh_cumul=0.0243935 
t=21 V=3.75664 A=1.3007 W=4.88626 mAh_cumul=6.86967 Wh_cumul=0.0257508 
t=22 V=3.75734 A=1.3007 W=4.88717 mAh_cumul=7.23098 Wh_cumul=0.0271084 
t=23 V=3.75807 A=1.3007 W=4.88812 mAh_cumul=7.59229 Wh_cumul=0.0284662 
t=24 V=3.75874 A=1.3007 W=4.88899 mAh_cumul=7.95359 Wh_cumul=0.0298242 
t=25 V=3.75938 A=1.3007 W=4.88983 mAh_cumul=8.3149 Wh_cumul=0.0311825 
t=26 V=3.76002 A=1.30071 W=4.8907 mAh_cumul=8.6762 Wh_cumul=0.032541 
t=27 V=3.76063 A=1.30071 W=4.89149 mAh_cumul=9.03751 Wh_cumul=0.0338998 
t=28 V=3.76124 A=1.3007 W=4.89224 mAh_cumul=9.39882 Wh_cumul=0.0352587 
t=29 V=3.76186 A=1.30071 W=4.89309 mAh_cumul=9.76013 Wh_cumul=0.0366179 
t=30 V=3.76242 A=1.3007 W=4.89378 mAh_cumul=10.1214 Wh_cumul=0.0379773 
t=31 V=3.76299 A=1.30072 W=4.8946 mAh_cumul=10.4827 Wh_cumul=0.0393369 
t=32 V=3.76355 A=1.30071 W=4.89529 mAh_cumul=10.8441 Wh_cumul=0.0406967 
t=33 V=3.76409 A=1.30071 W=4.89599 mAh_cumul=11.2054 Wh_cumul=0.0420567 
t=34 V=3.76461 A=1.3007 W=4.89663 mAh_cumul=11.5667 Wh_cumul=0.0434169 
t=35 V=3.76515 A=1.3007 W=4.89733 mAh_cumul=11.928 Wh_cumul=0.0447773 
t=36 V=3.76567 A=1.30072 W=4.89808 mAh_cumul=12.2893 Wh_cumul=0.0461378 
t=37 V=3.76614 A=1.3007 W=4.89862 mAh_cumul=12.6506 Wh_cumul=0.0474986 
t=38 V=3.76664 A=1.30071 W=4.89931 mAh_cumul=13.0119 Wh_cumul=0.0488595 
t=39 V=3.76715 A=1.3007 W=4.89993 mAh_cumul=13.3732 Wh_cumul=0.0502206 
t=40 V=3.76762 A=1.3007 W=4.90054 mAh_cumul=13.7345 Wh_cumul=0.0515818 
t=41 V=3.7681 A=1.3007 W=4.90117 mAh_cumul=14.0958 Wh_cumul=0.0529433 
t=42 V=3.76852 A=1.3007 W=4.90171 mAh_cumul=14.4571 Wh_cumul=0.0543049 
t=43 V=3.76896 A=1.3007 W=4.90229 mAh_cumul=14.8184 Wh_cumul=0.0556666 
t=44 V=3.76941 A=1.3007 W=4.90287 mAh_cumul=15.1797 Wh_cumul=0.0570285 
t=45 V=3.76984 A=1.30071 W=4.90347 mAh_cumul=15.541 Wh_cumul=0.0583906 
t=46 V=3.77024 A=1.3007 W=4.90395 mAh_cumul=15.9023 Wh_cumul=0.0597528 
t=47 V=3.77062 A=1.30072 W=4.90452 mAh_cumul=16.2637 Wh_cumul=0.0611152 
t=48 V=3.77106 A=1.3007 W=4.90502 mAh_cumul=16.625 Wh_cumul=0.0624777 
t=49 V=3.77147 A=1.30072 W=4.90563 mAh_cumul=16.9863 Wh_cumul=0.0638403 
t=50 V=3.77192 A=1.30072 W=4.90621 mAh_cumul=17.3476 Wh_cumul=0.0652032 
t=51 V=3.77232 A=1.30071 W=4.90669 mAh_cumul=17.7089 Wh_cumul=0.0665662 
t=52 V=3.77272 A=1.30071 W=4.90721 mAh_cumul=18.0702 Wh_cumul=0.0679293 
t=53 V=3.77309 A=1.30072 W=4.90773 mAh_cumul=18.4315 Wh_cumul=0.0692925 
t=54 V=3.77347 A=1.30071 W=4.90819 mAh_cumul=18.7928 Wh_cumul=0.0706559 
t=55 V=3.77387 A=1.30072 W=4.90875 mAh_cumul=19.1541 Wh_cumul=0.0720195 
t=56 V=3.77427 A=1.30072 W=4.90927 mAh_cumul=19.5154 Wh_cumul=0.0733831 
t=57 V=3.77467 A=1.30071 W=4.90975 mAh_cumul=19.8767 Wh_cumul=0.074747 
t=58 V=3.77503 A=1.30071 W=4.91022 mAh_cumul=20.2381 Wh_cumul=0.0761109 
t=59 V=3.77537 A=1.30071 W=4.91066 mAh_cumul=20.5994 Wh_cumul=0.077475 
t=60 V=3.7757 A=1.3007 W=4.91105 mAh_cumul=20.9607 Wh_cumul=0.0788392 
t=61 V=3.77606 A=1.3007 W=4.91152 mAh_cumul=21.322 Wh_cumul=0.0802035 
t=62 V=3.77638 A=1.30069 W=4.9119 mAh_cumul=21.6833 Wh_cumul=0.0815679 
t=63 V=3.7768 A=1.30069 W=4.91245 mAh_cumul=22.0446 Wh_cumul=0.0829325 
t=64 V=3.77716 A=1.30069 W=4.91291 mAh_cumul=22.4059 Wh_cumul=0.0842972 
t=65 V=3.77752 A=1.3007 W=4.91342 mAh_cumul=22.7672 Wh_cumul=0.085662 
t=66 V=3.77783 A=1.30069 W=4.91379 mAh_cumul=23.1285 Wh_cumul=0.0870269 
t=67 V=3.77817 A=1.3007 W=4.91427 mAh_cumul=23.4898 Wh_cumul=0.088392 
t=68 V=3.77851 A=1.3007 W=4.91471 mAh_cumul=23.8511 Wh_cumul=0.0897572 
t=69 V=3.77882 A=1.3007 W=4.91511 mAh_cumul=24.2124 Wh_cumul=0.0911225 
t=70 V=3.77916 A=1.3007 W=4.91555 mAh_cumul=24.5737 Wh_cumul=0.092488 
t=71 V=3.77951 A=1.30071 W=4.91605 mAh_cumul=24.935 Wh_cumul=0.0938535 
t=72 V=3.77985 A=1.3007 W=4.91645 mAh_cumul=25.2963 Wh_cumul=0.0952192 
t=73 V=3.78014 A=1.30071 W=4.91687 mAh_cumul=25.6576 Wh_cumul=0.096585 
t=74 V=3.78046 A=1.30071 W=4.91728 mAh_cumul=26.0189 Wh_cumul=0.0979509 
t=75 V=3.78077 A=1.3007 W=4.91765 mAh_cumul=26.3803 Wh_cumul=0.0993169 
t=76 V=3.78108 A=1.30071 W=4.91809 mAh_cumul=26.7416 Wh_cumul=0.100683 
t=77 V=3.78138 A=1.3007 W=4.91844 mAh_cumul=27.1029 Wh_cumul=0.102049 
t=78 V=3.78168 A=1.3007 W=4.91883 mAh_cumul=27.4642 Wh_cumul=0.103416 
t=79 V=3.78201 A=1.30071 W=4.9193 mAh_cumul=27.8255 Wh_cumul=0.104782 
t=80 V=3.78231 A=1.3007 W=4.91965 mAh_cumul=28.1868 Wh_cumul=0.106149 
t=81 V=3.7826 A=1.3007 W=4.92003 mAh_cumul=28.5481 Wh_cumul=0.107515 
t=82 V=3.78293 A=1.30071 W=4.92049 mAh_cumul=28.9094 Wh_cumul=0.108882 
t=83 V=3.78321 A=1.3007 W=4.92082 mAh_cumul=29.2707 Wh_cumul=0.110249 
t=84 V=3.78348 A=1.30071 W=4.92121 mAh_cumul=29.632 Wh_cumul=0.111616 
t=85 V=3.78379 A=1.30071 W=4.92161 mAh_cumul=29.9933 Wh_cumul=0.112983 
