0 errors cleared
t=0 V=3.30579 A=0.00754704 W=0.0249489 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.30661 A=0.00753961 W=0.0249305 mAh_cumul=0.00418867 Wh_cumul=1.38503e-05 
t=3 V=3.41191 A=1.3011 W=4.43924 mAh_cumul=0.365605 Wh_cumul=0.00124697 
t=4 V=3.44415 A=1.30084 W=4.48029 mAh_cumul=0.72695 Wh_cumul=0.0024915 
t=5 V=3.45269 A=1.30079 W=4.49122 mAh_cumul=1.08828 Wh_cumul=0.00373906 
t=6 V=3.45808 A=1.30077 W=4.49817 mAh_cumul=1.44961 Wh_cumul=0.00498855 
t=7 V=3.46235 A=1.30076 W=4.50369 mAh_cumul=1.81093 Wh_cumul=0.00623957 
t=8 V=3.46574 A=1.30075 W=4.50806 mAh_cumul=2.17225 Wh_cumul=0.00749181 
t=9 V=3.46895 A=1.30075 W=4.51224 mAh_cumul=2.53357 Wh_cumul=0.00874521 
t=10 V=3.47182 A=1.30075 W=4.51597 mAh_cumul=2.89489 Wh_cumul=0.00999965 
t=11 V=3.47448 A=1.30074 W=4.5194 mAh_cumul=3.2562 Wh_cumul=0.011255 
t=12 V=3.47699 A=1.30073 W=4.52263 mAh_cumul=3.61752 Wh_cumul=0.0125113 
t=13 V=3.4793 A=1.30073 W=4.52563 mAh_cumul=3.97883 Wh_cumul=0.0137684 
t=14 V=3.48145 A=1.30072 W=4.52839 mAh_cumul=4.34014 Wh_cumul=0.0150263 
t=15 V=3.48362 A=1.30072 W=4.53121 mAh_cumul=4.70145 Wh_cumul=0.016285 
t=16 V=3.48562 A=1.30073 W=4.53385 mAh_cumul=5.06277 Wh_cumul=0.0175444 
t=17 V=3.48759 A=1.30074 W=4.53645 mAh_cumul=5.42408 Wh_cumul=0.0188045 
t=18 V=3.48946 A=1.30072 W=4.53881 mAh_cumul=5.78539 Wh_cumul=0.0200653 
t=19 V=3.49126 A=1.30072 W=4.54115 mAh_cumul=6.14671 Wh_cumul=0.0213267 
t=20 V=3.49299 A=1.30074 W=4.54347 mAh_cumul=6.50802 Wh_cumul=0.0225888 
t=21 V=3.49469 A=1.30072 W=4.54561 mAh_cumul=6.86933 Wh_cumul=0.0238515 
t=22 V=3.49628 A=1.30071 W=4.54765 mAh_cumul=7.23064 Wh_cumul=0.0251147 
t=23 V=3.49787 A=1.30072 W=4.54975 mAh_cumul=7.59195 Wh_cumul=0.0263785 
t=24 V=3.49939 A=1.30073 W=4.55176 mAh_cumul=7.95327 Wh_cumul=0.0276429 
t=25 V=3.50072 A=1.30072 W=4.55346 mAh_cumul=8.31458 Wh_cumul=0.0289078 
t=26 V=3.50217 A=1.30071 W=4.55531 mAh_cumul=8.67589 Wh_cumul=0.0301731 
t=27 V=3.50356 A=1.30071 W=4.55712 mAh_cumul=9.03719 Wh_cumul=0.031439 
t=28 V=3.50488 A=1.30073 W=4.5589 mAh_cumul=9.39851 Wh_cumul=0.0327054 
t=29 V=3.5062 A=1.30072 W=4.56058 mAh_cumul=9.75982 Wh_cumul=0.0339722 
t=30 V=3.50751 A=1.30071 W=4.56225 mAh_cumul=10.1211 Wh_cumul=0.0352395 
t=31 V=3.50875 A=1.30072 W=4.5639 mAh_cumul=10.4824 Wh_cumul=0.0365072 
t=32 V=3.51001 A=1.30072 W=4.56554 mAh_cumul=10.8437 Wh_cumul=0.0377754 
t=33 V=3.51119 A=1.30071 W=4.56704 mAh_cumul=11.2051 Wh_cumul=0.0390441 
t=34 V=3.51234 A=1.30072 W=4.56857 mAh_cumul=11.5664 Wh_cumul=0.0403131 
t=35 V=3.51345 A=1.30072 W=4.57001 mAh_cumul=11.9277 Wh_cumul=0.0415825 
t=36 V=3.51458 A=1.30072 W=4.57148 mAh_cumul=12.289 Wh_cumul=0.0428524 
t=37 V=3.51564 A=1.30072 W=4.57286 mAh_cumul=12.6503 Wh_cumul=0.0441226 
t=38 V=3.51668 A=1.30071 W=4.57418 mAh_cumul=13.0116 Wh_cumul=0.0453933 
t=39 V=3.5177 A=1.30071 W=4.57551 mAh_cumul=13.3729 Wh_cumul=0.0466642 
t=40 V=3.51871 A=1.30072 W=4.57686 mAh_cumul=13.7342 Wh_cumul=0.0479356 
t=41 V=3.51972 A=1.30072 W=4.57817 mAh_cumul=14.0955 Wh_cumul=0.0492073 
t=42 V=3.52069 A=1.30071 W=4.5794 mAh_cumul=14.4568 Wh_cumul=0.0504793 
t=43 V=3.52161 A=1.30071 W=4.58059 mAh_cumul=14.8182 Wh_cumul=0.0517517 
t=44 V=3.52247 A=1.30071 W=4.58171 mAh_cumul=15.1795 Wh_cumul=0.0530244 
t=45 V=3.52335 A=1.3007 W=4.58282 mAh_cumul=15.5408 Wh_cumul=0.0542974 
t=46 V=3.52423 A=1.30069 W=4.58393 mAh_cumul=15.9021 Wh_cumul=0.0555707 
t=47 V=3.52505 A=1.30071 W=4.58507 mAh_cumul=16.2634 Wh_cumul=0.0568444 
t=48 V=3.5259 A=1.3007 W=4.58614 mAh_cumul=16.6247 Wh_cumul=0.0581183 
t=49 V=3.52666 A=1.3007 W=4.58713 mAh_cumul=16.986 Wh_cumul=0.0593925 
t=50 V=3.5274 A=1.3007 W=4.58809 mAh_cumul=17.3473 Wh_cumul=0.060667 
t=51 V=3.52818 A=1.30071 W=4.58914 mAh_cumul=17.7086 Wh_cumul=0.0619417 
t=52 V=3.52892 A=1.30072 W=4.59014 mAh_cumul=18.0699 Wh_cumul=0.0632168 
t=53 V=3.52965 A=1.30072 W=4.59109 mAh_cumul=18.4312 Wh_cumul=0.0644921 
t=54 V=3.53034 A=1.30071 W=4.59195 mAh_cumul=18.7925 Wh_cumul=0.0657676 
t=55 V=3.53103 A=1.30071 W=4.59285 mAh_cumul=19.1538 Wh_cumul=0.0670434 
t=56 V=3.5317 A=1.30072 W=4.59375 mAh_cumul=19.5152 Wh_cumul=0.0683195 
t=57 V=3.53233 A=1.30071 W=4.59454 mAh_cumul=19.8765 Wh_cumul=0.0695957 
t=58 V=3.53296 A=1.30071 W=4.59536 mAh_cumul=20.2378 Wh_cumul=0.0708722 
t=59 V=3.53358 A=1.30071 W=4.59616 mAh_cumul=20.5991 Wh_cumul=0.0721489 
t=60 V=3.53418 A=1.30072 W=4.59698 mAh_cumul=20.9604 Wh_cumul=0.0734258 
t=61 V=3.53478 A=1.3007 W=4.59769 mAh_cumul=21.3217 Wh_cumul=0.074703 
t=62 V=3.53534 A=1.30071 W=4.59845 mAh_cumul=21.683 Wh_cumul=0.0759803 
t=63 V=3.53588 A=1.30071 W=4.59915 mAh_cumul=22.0443 Wh_cumul=0.0772579 
t=64 V=3.53645 A=1.3007 W=4.59986 mAh_cumul=22.4056 Wh_cumul=0.0785356 
t=65 V=3.53696 A=1.30071 W=4.60056 mAh_cumul=22.7669 Wh_cumul=0.0798135 
t=66 V=3.53747 A=1.3007 W=4.60119 mAh_cumul=23.1282 Wh_cumul=0.0810917 
t=67 V=3.53794 A=1.30071 W=4.60183 mAh_cumul=23.4895 Wh_cumul=0.0823699 
t=68 V=3.53845 A=1.30071 W=4.6025 mAh_cumul=23.8509 Wh_cumul=0.0836484 
t=69 V=3.53894 A=1.30071 W=4.60313 mAh_cumul=24.2122 Wh_cumul=0.0849271 
t=70 V=3.53941 A=1.3007 W=4.60371 mAh_cumul=24.5735 Wh_cumul=0.0862059 
t=71 V=3.53986 A=1.30071 W=4.60433 mAh_cumul=24.9348 Wh_cumul=0.0874849 
t=72 V=3.5403 A=1.30071 W=4.6049 mAh_cumul=25.2961 Wh_cumul=0.088764 
t=73 V=3.54072 A=1.3007 W=4.60541 mAh_cumul=25.6574 Wh_cumul=0.0900433 
t=74 V=3.5412 A=1.30071 W=4.60607 mAh_cumul=26.0187 Wh_cumul=0.0913227 
t=75 V=3.54162 A=1.30071 W=4.60662 mAh_cumul=26.38 Wh_cumul=0.0926024 
t=76 V=3.54199 A=1.30072 W=4.60714 mAh_cumul=26.7413 Wh_cumul=0.0938821 
t=77 V=3.54238 A=1.30071 W=4.60761 mAh_cumul=27.1026 Wh_cumul=0.095162 
t=78 V=3.54275 A=1.3007 W=4.60805 mAh_cumul=27.4639 Wh_cumul=0.096442 
t=79 V=3.54312 A=1.3007 W=4.60854 mAh_cumul=27.8252 Wh_cumul=0.0977222 
t=80 V=3.5435 A=1.3007 W=4.60903 mAh_cumul=28.1865 Wh_cumul=0.0990025 
t=81 V=3.54388 A=1.3007 W=4.60952 mAh_cumul=28.5478 Wh_cumul=0.100283 
t=82 V=3.54424 A=1.30071 W=4.61003 mAh_cumul=28.9092 Wh_cumul=0.101563 
t=83 V=3.54457 A=1.3007 W=4.61042 mAh_cumul=29.2705 Wh_cumul=0.102844 
t=84 V=3.54494 A=1.30071 W=4.61094 mAh_cumul=29.6318 Wh_cumul=0.104125 
t=85 V=3.54524 A=1.30071 W=4.61133 mAh_cumul=29.9931 Wh_cumul=0.105406 
t=86 V=3.54556 A=1.30071 W=4.61175 mAh_cumul=30.3544 Wh_cumul=0.106687 
t=87 V=3.54588 A=1.30072 W=4.6122 mAh_cumul=30.7157 Wh_cumul=0.107968 
t=88 V=3.5462 A=1.30071 W=4.61258 mAh_cumul=31.077 Wh_cumul=0.109249 
t=89 V=3.54651 A=1.30071 W=4.61298 mAh_cumul=31.4383 Wh_cumul=0.110531 
t=90 V=3.54681 A=1.30071 W=4.61337 mAh_cumul=31.7996 Wh_cumul=0.111812 
t=91 V=3.54709 A=1.30071 W=4.61374 mAh_cumul=32.1609 Wh_cumul=0.113094 
t=92 V=3.54737 A=1.30071 W=4.6141 mAh_cumul=32.5222 Wh_cumul=0.114376 
t=93 V=3.54766 A=1.30071 W=4.61448 mAh_cumul=32.8835 Wh_cumul=0.115657 
t=94 V=3.54793 A=1.30071 W=4.61483 mAh_cumul=33.2449 Wh_cumul=0.116939 
t=95 V=3.54823 A=1.30072 W=4.61525 mAh_cumul=33.6062 Wh_cumul=0.118221 
t=96 V=3.54849 A=1.30071 W=4.61556 mAh_cumul=33.9675 Wh_cumul=0.119503 
t=97 V=3.54874 A=1.30071 W=4.61588 mAh_cumul=34.3288 Wh_cumul=0.120785 
t=98 V=3.54902 A=1.3007 W=4.61621 mAh_cumul=34.6901 Wh_cumul=0.122068 
t=99 V=3.54926 A=1.3007 W=4.61652 mAh_cumul=35.0514 Wh_cumul=0.12335 
t=100 V=3.5495 A=1.3007 W=4.61683 mAh_cumul=35.4127 Wh_cumul=0.124633 
t=101 V=3.54977 A=1.3007 W=4.61719 mAh_cumul=35.774 Wh_cumul=0.125915 
t=102 V=3.54995 A=1.3007 W=4.61742 mAh_cumul=36.1353 Wh_cumul=0.127198 
t=103 V=3.55017 A=1.30071 W=4.61774 mAh_cumul=36.4966 Wh_cumul=0.12848 
t=104 V=3.55038 A=1.3007 W=4.61798 mAh_cumul=36.8579 Wh_cumul=0.129763 
t=105 V=3.55059 A=1.30071 W=4.61829 mAh_cumul=37.2192 Wh_cumul=0.131046 
t=106 V=3.55082 A=1.30071 W=4.61859 mAh_cumul=37.5805 Wh_cumul=0.132329 
t=107 V=3.55104 A=1.30072 W=4.61891 mAh_cumul=37.9419 Wh_cumul=0.133612 
t=108 V=3.55125 A=1.30072 W=4.61918 mAh_cumul=38.3032 Wh_cumul=0.134895 
t=109 V=3.5515 A=1.30072 W=4.61951 mAh_cumul=38.6645 Wh_cumul=0.136178 
t=110 V=3.55171 A=1.30071 W=4.61974 mAh_cumul=39.0258 Wh_cumul=0.137462 
t=111 V=3.55196 A=1.30071 W=4.62007 mAh_cumul=39.3871 Wh_cumul=0.138745 
t=112 V=3.55218 A=1.30071 W=4.62036 mAh_cumul=39.7484 Wh_cumul=0.140028 
t=113 V=3.55237 A=1.3007 W=4.62057 mAh_cumul=40.1097 Wh_cumul=0.141312 
t=114 V=3.55261 A=1.30071 W=4.62092 mAh_cumul=40.471 Wh_cumul=0.142596 
t=115 V=3.55281 A=1.30071 W=4.62118 mAh_cumul=40.8323 Wh_cumul=0.143879 
t=116 V=3.55301 A=1.3007 W=4.6214 mAh_cumul=41.1936 Wh_cumul=0.145163 
t=117 V=3.55318 A=1.30072 W=4.62169 mAh_cumul=41.5549 Wh_cumul=0.146447 
t=118 V=3.55337 A=1.30071 W=4.6219 mAh_cumul=41.9162 Wh_cumul=0.147731 
t=119 V=3.55356 A=1.30071 W=4.62215 mAh_cumul=42.2776 Wh_cumul=0.149014 
t=120 V=3.55377 A=1.30071 W=4.62242 mAh_cumul=42.6389 Wh_cumul=0.150298 
t=121 V=3.55394 A=1.3007 W=4.62261 mAh_cumul=43.0002 Wh_cumul=0.151583 
t=122 V=3.55417 A=1.30072 W=4.62298 mAh_cumul=43.3615 Wh_cumul=0.152867  r_start 
t=123 V=3.54107 A=1.10571 W=3.9154 mAh_cumul=43.6686 Wh_cumul=0.153954 
t=124 V=3.5408 A=1.10571 W=3.9151 mAh_cumul=43.9758 Wh_cumul=0.155042 
t=125 V=3.54066 A=1.1057 W=3.91491 mAh_cumul=44.2829 Wh_cumul=0.156129 
t=126 V=3.54062 A=1.10571 W=3.9149 mAh_cumul=44.59 Wh_cumul=0.157217 
t=127 V=3.54058 A=1.10569 W=3.91478 mAh_cumul=44.8972 Wh_cumul=0.158304 
t=128 V=3.5406 A=1.1057 W=3.91484 mAh_cumul=45.2043 Wh_cumul=0.159392 
t=129 V=3.54063 A=1.10569 W=3.91484 mAh_cumul=45.5115 Wh_cumul=0.160479 
t=130 V=3.54065 A=1.1057 W=3.9149 mAh_cumul=45.8186 Wh_cumul=0.161567 
t=131 V=3.54068 A=1.1057 W=3.91493 mAh_cumul=46.1257 Wh_cumul=0.162654 
t=132 V=3.54078 A=1.1057 W=3.91504 mAh_cumul=46.4329 Wh_cumul=0.163742  r_2 
t=133 V=3.58098 A=1.69094 W=6.05522 mAh_cumul=46.9026 Wh_cumul=0.165424 
t=134 V=3.58227 A=1.69095 W=6.05744 mAh_cumul=47.3723 Wh_cumul=0.167106 
t=135 V=3.58316 A=1.69094 W=6.05891 mAh_cumul=47.842 Wh_cumul=0.168789 
t=136 V=3.58387 A=1.69095 W=6.06014 mAh_cumul=48.3117 Wh_cumul=0.170473 
t=137 V=3.58444 A=1.69094 W=6.06107 mAh_cumul=48.7814 Wh_cumul=0.172156 
t=138 V=3.58505 A=1.69095 W=6.06214 mAh_cumul=49.2511 Wh_cumul=0.17384 
t=139 V=3.58561 A=1.69094 W=6.06305 mAh_cumul=49.7208 Wh_cumul=0.175524 
t=140 V=3.58608 A=1.69094 W=6.06385 mAh_cumul=50.1905 Wh_cumul=0.177209 
t=141 V=3.58656 A=1.69095 W=6.06469 mAh_cumul=50.6602 Wh_cumul=0.178893 
t=142 V=3.587 A=1.69094 W=6.0654 mAh_cumul=51.1299 Wh_cumul=0.180578  r_3 
t=143 V=3.54755 A=1.10568 W=3.92246 mAh_cumul=51.4371 Wh_cumul=0.181668 
t=144 V=3.54671 A=1.10569 W=3.92156 mAh_cumul=51.7442 Wh_cumul=0.182757 
t=145 V=3.54634 A=1.10569 W=3.92115 mAh_cumul=52.0513 Wh_cumul=0.183846 
t=146 V=3.54607 A=1.10569 W=3.92085 mAh_cumul=52.3585 Wh_cumul=0.184935 
t=147 V=3.54586 A=1.1057 W=3.92066 mAh_cumul=52.6656 Wh_cumul=0.186025 
t=148 V=3.54572 A=1.1057 W=3.9205 mAh_cumul=52.9728 Wh_cumul=0.187114 
