0 errors cleared
t=0 V=4.18846 A=0.00952733 W=0.0399048 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.18845 A=0.00951601 W=0.0398573 mAh_cumul=0.00528667 Wh_cumul=2.2143e-05 
t=3 V=4.11255 A=1.30002 W=5.3464 mAh_cumul=0.366403 Wh_cumul=0.00150725 
t=4 V=4.1094 A=1.29994 W=5.34197 mAh_cumul=0.727498 Wh_cumul=0.00299113 
t=5 V=4.10744 A=1.29994 W=5.33943 mAh_cumul=1.08859 Wh_cumul=0.00447431 
t=6 V=4.10586 A=1.29993 W=5.33733 mAh_cumul=1.44968 Wh_cumul=0.0059569 
t=7 V=4.10437 A=1.29992 W=5.33535 mAh_cumul=1.81077 Wh_cumul=0.00743894 
t=8 V=4.10301 A=1.29991 W=5.33354 mAh_cumul=2.17186 Wh_cumul=0.00892048 
t=9 V=4.1018 A=1.29993 W=5.33205 mAh_cumul=2.53295 Wh_cumul=0.0104016 
t=10 V=4.10062 A=1.29992 W=5.33048 mAh_cumul=2.89404 Wh_cumul=0.0118823 
t=11 V=4.09945 A=1.29992 W=5.32896 mAh_cumul=3.25513 Wh_cumul=0.0133626 
t=12 V=4.09832 A=1.29991 W=5.32745 mAh_cumul=3.61621 Wh_cumul=0.0148424 
t=13 V=4.09736 A=1.29992 W=5.32624 mAh_cumul=3.9773 Wh_cumul=0.0163219 
t=14 V=4.09636 A=1.29993 W=5.32498 mAh_cumul=4.3384 Wh_cumul=0.0178011 
t=15 V=4.09538 A=1.29992 W=5.32367 mAh_cumul=4.69948 Wh_cumul=0.0192799 
t=16 V=4.09443 A=1.29993 W=5.32247 mAh_cumul=5.06058 Wh_cumul=0.0207583 
t=17 V=4.09348 A=1.29992 W=5.3212 mAh_cumul=5.42166 Wh_cumul=0.0222365 
t=18 V=4.09261 A=1.29992 W=5.32007 mAh_cumul=5.78275 Wh_cumul=0.0237142 
t=19 V=4.09178 A=1.29993 W=5.31903 mAh_cumul=6.14385 Wh_cumul=0.0251918 
t=20 V=4.09095 A=1.29993 W=5.31795 mAh_cumul=6.50494 Wh_cumul=0.026669 
t=21 V=4.09009 A=1.29993 W=5.31683 mAh_cumul=6.86603 Wh_cumul=0.0281459 
t=22 V=4.08928 A=1.29992 W=5.31574 mAh_cumul=7.22712 Wh_cumul=0.0296225 
t=23 V=4.08847 A=1.29993 W=5.31472 mAh_cumul=7.58821 Wh_cumul=0.0310988 
t=24 V=4.08773 A=1.29993 W=5.31376 mAh_cumul=7.9493 Wh_cumul=0.0325748 
t=25 V=4.08696 A=1.29994 W=5.3128 mAh_cumul=8.3104 Wh_cumul=0.0340506 
t=26 V=4.08626 A=1.29993 W=5.31185 mAh_cumul=8.67149 Wh_cumul=0.0355261 
t=27 V=4.08557 A=1.29992 W=5.31091 mAh_cumul=9.03258 Wh_cumul=0.0370014 
t=28 V=4.08488 A=1.29992 W=5.31002 mAh_cumul=9.39366 Wh_cumul=0.0384764 
t=29 V=4.08416 A=1.29992 W=5.30908 mAh_cumul=9.75475 Wh_cumul=0.0399511 
t=30 V=4.08349 A=1.29991 W=5.30817 mAh_cumul=10.1158 Wh_cumul=0.0414256 
t=31 V=4.08283 A=1.29993 W=5.30739 mAh_cumul=10.4769 Wh_cumul=0.0428999 
t=32 V=4.08219 A=1.29994 W=5.3066 mAh_cumul=10.838 Wh_cumul=0.0443739 
t=33 V=4.08156 A=1.29992 W=5.3057 mAh_cumul=11.1991 Wh_cumul=0.0458477 
t=34 V=4.08092 A=1.29991 W=5.30483 mAh_cumul=11.5602 Wh_cumul=0.0473213 
t=35 V=4.08032 A=1.29993 W=5.30413 mAh_cumul=11.9213 Wh_cumul=0.0487947 
t=36 V=4.07974 A=1.29992 W=5.30334 mAh_cumul=12.2824 Wh_cumul=0.0502678 
t=37 V=4.07913 A=1.29993 W=5.30258 mAh_cumul=12.6435 Wh_cumul=0.0517408 
t=38 V=4.07855 A=1.29994 W=5.30187 mAh_cumul=13.0046 Wh_cumul=0.0532135 
t=39 V=4.07796 A=1.29993 W=5.30106 mAh_cumul=13.3657 Wh_cumul=0.054686 
t=40 V=4.07744 A=1.29994 W=5.30043 mAh_cumul=13.7268 Wh_cumul=0.0561584 
t=41 V=4.07685 A=1.29993 W=5.29962 mAh_cumul=14.0878 Wh_cumul=0.0576305 
t=42 V=4.07632 A=1.29993 W=5.29893 mAh_cumul=14.4489 Wh_cumul=0.0591024 
