0 errors cleared
t=0 V=3.28374 A=0.00751341 W=0.0246721 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.28469 A=0.00749882 W=0.0246313 mAh_cumul=0.00416601 Wh_cumul=1.36841e-05 
t=3 V=3.39058 A=1.30109 W=4.41145 mAh_cumul=0.36558 Wh_cumul=0.00123909 
t=4 V=3.4261 A=1.30082 W=4.45674 mAh_cumul=0.726919 Wh_cumul=0.00247707 
t=5 V=3.43565 A=1.30077 W=4.46899 mAh_cumul=1.08824 Wh_cumul=0.00371846 
t=6 V=3.44168 A=1.30077 W=4.47683 mAh_cumul=1.44957 Wh_cumul=0.00496202 
t=7 V=3.44634 A=1.30076 W=4.48286 mAh_cumul=1.81089 Wh_cumul=0.00620726 
t=8 V=3.45029 A=1.30075 W=4.48796 mAh_cumul=2.17221 Wh_cumul=0.00745392 
t=9 V=3.45376 A=1.30074 W=4.49244 mAh_cumul=2.53353 Wh_cumul=0.00870182 
t=10 V=3.45688 A=1.30075 W=4.49654 mAh_cumul=2.89485 Wh_cumul=0.00995086 
t=11 V=3.45975 A=1.30073 W=4.5002 mAh_cumul=3.25616 Wh_cumul=0.0112009 
t=12 V=3.46244 A=1.30074 W=4.50373 mAh_cumul=3.61748 Wh_cumul=0.0124519 
t=13 V=3.46482 A=1.30073 W=4.5068 mAh_cumul=3.97879 Wh_cumul=0.0137038 
t=14 V=3.46721 A=1.30073 W=4.5099 mAh_cumul=4.3401 Wh_cumul=0.0149566 
t=15 V=3.46948 A=1.30073 W=4.51286 mAh_cumul=4.70142 Wh_cumul=0.0162102 
t=16 V=3.47166 A=1.30071 W=4.51562 mAh_cumul=5.06273 Wh_cumul=0.0174645 
t=17 V=3.47375 A=1.30072 W=4.51838 mAh_cumul=5.42404 Wh_cumul=0.0187196 
t=18 V=3.47573 A=1.30072 W=4.52095 mAh_cumul=5.78535 Wh_cumul=0.0199754 
t=19 V=3.4777 A=1.30072 W=4.52351 mAh_cumul=6.14666 Wh_cumul=0.021232 
t=20 V=3.47958 A=1.30073 W=4.52599 mAh_cumul=6.50797 Wh_cumul=0.0224892 
t=21 V=3.48134 A=1.30072 W=4.52825 mAh_cumul=6.86929 Wh_cumul=0.023747 
t=22 V=3.48312 A=1.30073 W=4.5306 mAh_cumul=7.2306 Wh_cumul=0.0250055 
t=23 V=3.48485 A=1.30072 W=4.53281 mAh_cumul=7.59191 Wh_cumul=0.0262646 
t=24 V=3.48645 A=1.30072 W=4.5349 mAh_cumul=7.95322 Wh_cumul=0.0275243 
t=25 V=3.48808 A=1.30071 W=4.53698 mAh_cumul=8.31453 Wh_cumul=0.0287846 
t=26 V=3.4897 A=1.30072 W=4.53912 mAh_cumul=8.67584 Wh_cumul=0.0300455 
t=27 V=3.49122 A=1.30072 W=4.5411 mAh_cumul=9.03715 Wh_cumul=0.0313069 
t=28 V=3.49273 A=1.30072 W=4.54306 mAh_cumul=9.39846 Wh_cumul=0.0325688 
