0 errors cleared
t=0 V=3.64933 A=0.00832032 W=0.0303636 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.64932 A=0.00831215 W=0.0303337 mAh_cumul=0.00461786 Wh_cumul=1.68521e-05 
t=3 V=3.7381 A=1.30109 W=4.8636 mAh_cumul=0.366032 Wh_cumul=0.00136785 
t=4 V=3.74112 A=1.30082 W=4.86652 mAh_cumul=0.727371 Wh_cumul=0.00271967 
t=5 V=3.74291 A=1.30078 W=4.8687 mAh_cumul=1.0887 Wh_cumul=0.00407208 
t=6 V=3.74437 A=1.30077 W=4.87056 mAh_cumul=1.45002 Wh_cumul=0.00542502 
t=7 V=3.74566 A=1.30075 W=4.87217 mAh_cumul=1.81134 Wh_cumul=0.0067784 
t=8 V=3.74688 A=1.30075 W=4.87375 mAh_cumul=2.17266 Wh_cumul=0.00813222 
t=9 V=3.74804 A=1.30074 W=4.87523 mAh_cumul=2.53398 Wh_cumul=0.00948645 
t=10 V=3.74911 A=1.30074 W=4.87662 mAh_cumul=2.8953 Wh_cumul=0.0108411 
t=11 V=3.75011 A=1.30072 W=4.87784 mAh_cumul=3.25661 Wh_cumul=0.012196 
t=12 V=3.7511 A=1.30072 W=4.87913 mAh_cumul=3.61792 Wh_cumul=0.0135513 
t=13 V=3.75203 A=1.30072 W=4.88034 mAh_cumul=3.97923 Wh_cumul=0.014907 
t=14 V=3.75295 A=1.30073 W=4.88157 mAh_cumul=4.34054 Wh_cumul=0.016263 
t=15 V=3.75379 A=1.30072 W=4.88263 mAh_cumul=4.70185 Wh_cumul=0.0176193 
t=16 V=3.75471 A=1.30071 W=4.88379 mAh_cumul=5.06316 Wh_cumul=0.0189759 
t=17 V=3.75552 A=1.30072 W=4.88488 mAh_cumul=5.42447 Wh_cumul=0.0203328 
t=18 V=3.75619 A=1.30071 W=4.88571 mAh_cumul=5.78578 Wh_cumul=0.0216899 
t=19 V=3.75698 A=1.30073 W=4.88682 mAh_cumul=6.1471 Wh_cumul=0.0230474 
t=20 V=3.75773 A=1.30071 W=4.88772 mAh_cumul=6.5084 Wh_cumul=0.0244051 
t=21 V=3.75853 A=1.30071 W=4.88876 mAh_cumul=6.86971 Wh_cumul=0.0257631 
t=22 V=3.75922 A=1.30072 W=4.88969 mAh_cumul=7.23102 Wh_cumul=0.0271213 
t=23 V=3.75994 A=1.3007 W=4.89055 mAh_cumul=7.59233 Wh_cumul=0.0284798 
t=24 V=3.76058 A=1.30071 W=4.89142 mAh_cumul=7.95364 Wh_cumul=0.0298385 
t=25 V=3.76119 A=1.30071 W=4.89222 mAh_cumul=8.31495 Wh_cumul=0.0311975 
t=26 V=3.76184 A=1.30071 W=4.89306 mAh_cumul=8.67625 Wh_cumul=0.0325567 
t=27 V=3.76243 A=1.30071 W=4.89383 mAh_cumul=9.03756 Wh_cumul=0.0339161 
t=28 V=3.76307 A=1.30072 W=4.8947 mAh_cumul=9.39887 Wh_cumul=0.0352757 
t=29 V=3.7637 A=1.30071 W=4.89548 mAh_cumul=9.76018 Wh_cumul=0.0366356 
t=30 V=3.76427 A=1.3007 W=4.89619 mAh_cumul=10.1215 Wh_cumul=0.0379956 
t=31 V=3.7648 A=1.30071 W=4.89691 mAh_cumul=10.4828 Wh_cumul=0.0393559 
t=32 V=3.76538 A=1.30071 W=4.89767 mAh_cumul=10.8441 Wh_cumul=0.0407163 
t=33 V=3.76592 A=1.30072 W=4.89841 mAh_cumul=11.2054 Wh_cumul=0.042077 
t=34 V=3.76648 A=1.3007 W=4.89906 mAh_cumul=11.5667 Wh_cumul=0.0434378 
t=35 V=3.76699 A=1.30071 W=4.89976 mAh_cumul=11.928 Wh_cumul=0.0447989 
t=36 V=3.76751 A=1.30072 W=4.90048 mAh_cumul=12.2893 Wh_cumul=0.0461601 
t=37 V=3.76803 A=1.30071 W=4.90111 mAh_cumul=12.6506 Wh_cumul=0.0475215 
t=38 V=3.76848 A=1.30072 W=4.90174 mAh_cumul=13.012 Wh_cumul=0.0488831 
t=39 V=3.76898 A=1.3007 W=4.90231 mAh_cumul=13.3733 Wh_cumul=0.0502449 
t=40 V=3.76944 A=1.30071 W=4.90295 mAh_cumul=13.7346 Wh_cumul=0.0516068 
t=41 V=3.76991 A=1.30071 W=4.90356 mAh_cumul=14.0959 Wh_cumul=0.0529689 
t=42 V=3.7703 A=1.3007 W=4.90403 mAh_cumul=14.4572 Wh_cumul=0.0543312 
t=43 V=3.77076 A=1.30071 W=4.90467 mAh_cumul=14.8185 Wh_cumul=0.0556936 
t=44 V=3.7712 A=1.30071 W=4.90524 mAh_cumul=15.1798 Wh_cumul=0.0570561 
t=45 V=3.77165 A=1.30071 W=4.90582 mAh_cumul=15.5411 Wh_cumul=0.0584189 
t=46 V=3.77211 A=1.30071 W=4.90642 mAh_cumul=15.9024 Wh_cumul=0.0597818 
t=47 V=3.77253 A=1.30072 W=4.90701 mAh_cumul=16.2637 Wh_cumul=0.0611448 
t=48 V=3.77296 A=1.30071 W=4.90753 mAh_cumul=16.625 Wh_cumul=0.062508 
t=49 V=3.77338 A=1.30071 W=4.90807 mAh_cumul=16.9863 Wh_cumul=0.0638714 
t=50 V=3.77381 A=1.30071 W=4.90863 mAh_cumul=17.3477 Wh_cumul=0.0652349 
t=51 V=3.77424 A=1.30071 W=4.90919 mAh_cumul=17.709 Wh_cumul=0.0665985 
t=52 V=3.77463 A=1.3007 W=4.90966 mAh_cumul=18.0703 Wh_cumul=0.0679623 
t=53 V=3.77503 A=1.30071 W=4.91022 mAh_cumul=18.4316 Wh_cumul=0.0693263 
t=54 V=3.77544 A=1.30071 W=4.91075 mAh_cumul=18.7929 Wh_cumul=0.0706904 
t=55 V=3.77579 A=1.3007 W=4.91117 mAh_cumul=19.1542 Wh_cumul=0.0720546 
t=56 V=3.77616 A=1.30071 W=4.91169 mAh_cumul=19.5155 Wh_cumul=0.073419 
t=57 V=3.77656 A=1.30072 W=4.91225 mAh_cumul=19.8768 Wh_cumul=0.0747835 
t=58 V=3.77694 A=1.30072 W=4.91274 mAh_cumul=20.2381 Wh_cumul=0.0761481 
t=59 V=3.77732 A=1.30071 W=4.9132 mAh_cumul=20.5994 Wh_cumul=0.0775129 
t=60 V=3.7777 A=1.30071 W=4.91369 mAh_cumul=20.9607 Wh_cumul=0.0788778 
t=61 V=3.77804 A=1.3007 W=4.9141 mAh_cumul=21.322 Wh_cumul=0.0802428 
t=62 V=3.77837 A=1.3007 W=4.91453 mAh_cumul=21.6834 Wh_cumul=0.081608 
t=63 V=3.77876 A=1.3007 W=4.91503 mAh_cumul=22.0447 Wh_cumul=0.0829733 
t=64 V=3.77909 A=1.3007 W=4.91546 mAh_cumul=22.406 Wh_cumul=0.0843387 
t=65 V=3.77945 A=1.30071 W=4.91597 mAh_cumul=22.7673 Wh_cumul=0.0857042 
t=66 V=3.7798 A=1.30072 W=4.91646 mAh_cumul=23.1286 Wh_cumul=0.0870699 
t=67 V=3.78012 A=1.30071 W=4.91684 mAh_cumul=23.4899 Wh_cumul=0.0884357 
t=68 V=3.78047 A=1.30071 W=4.9173 mAh_cumul=23.8512 Wh_cumul=0.0898016 
t=69 V=3.78077 A=1.30071 W=4.91769 mAh_cumul=24.2125 Wh_cumul=0.0911676 
t=70 V=3.78112 A=1.30071 W=4.91814 mAh_cumul=24.5738 Wh_cumul=0.0925338 
t=71 V=3.78145 A=1.30069 W=4.91849 mAh_cumul=24.9351 Wh_cumul=0.0939 
t=72 V=3.78178 A=1.3007 W=4.91896 mAh_cumul=25.2964 Wh_cumul=0.0952664 
