0 errors cleared
t=0 V=3.2999 A=0.0075249 W=0.0248314 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.30077 A=0.00753824 W=0.024882 mAh_cumul=0.00418791 Wh_cumul=1.38233e-05 
t=3 V=3.40632 A=1.3011 W=4.43196 mAh_cumul=0.365605 Wh_cumul=0.00124492 
t=4 V=3.4389 A=1.30083 W=4.47342 mAh_cumul=0.726946 Wh_cumul=0.00248754 
t=5 V=3.44753 A=1.30078 W=4.48448 mAh_cumul=1.08827 Wh_cumul=0.00373323 
t=6 V=3.45315 A=1.30077 W=4.49175 mAh_cumul=1.4496 Wh_cumul=0.00498094 
t=7 V=3.45746 A=1.30076 W=4.49733 mAh_cumul=1.81092 Wh_cumul=0.0062302 
t=8 V=3.46108 A=1.30075 W=4.502 mAh_cumul=2.17224 Wh_cumul=0.00748075 
t=9 V=3.46425 A=1.30074 W=4.50609 mAh_cumul=2.53356 Wh_cumul=0.00873244 
t=10 V=3.46713 A=1.30075 W=4.50987 mAh_cumul=2.89488 Wh_cumul=0.00998519 
t=11 V=3.46983 A=1.30074 W=4.51335 mAh_cumul=3.25619 Wh_cumul=0.0112389 
t=12 V=3.47238 A=1.30073 W=4.51663 mAh_cumul=3.61751 Wh_cumul=0.0124935 
t=13 V=3.47475 A=1.30074 W=4.51975 mAh_cumul=3.97882 Wh_cumul=0.013749 
t=14 V=3.47699 A=1.30072 W=4.52259 mAh_cumul=4.34014 Wh_cumul=0.0150053 
t=15 V=3.4792 A=1.30073 W=4.5255 mAh_cumul=4.70145 Wh_cumul=0.0162624 
t=16 V=3.48122 A=1.30073 W=4.52813 mAh_cumul=5.06276 Wh_cumul=0.0175202 
t=17 V=3.48319 A=1.30072 W=4.53065 mAh_cumul=5.42407 Wh_cumul=0.0187787 
t=18 V=3.48512 A=1.30072 W=4.53317 mAh_cumul=5.78539 Wh_cumul=0.0200379 
t=19 V=3.48693 A=1.30072 W=4.53552 mAh_cumul=6.1467 Wh_cumul=0.0212978 
t=20 V=3.48875 A=1.30072 W=4.53789 mAh_cumul=6.50801 Wh_cumul=0.0225583 
t=21 V=3.49052 A=1.30072 W=4.54019 mAh_cumul=6.86932 Wh_cumul=0.0238195 
t=22 V=3.49216 A=1.30072 W=4.54232 mAh_cumul=7.23063 Wh_cumul=0.0250812 
t=23 V=3.49377 A=1.30072 W=4.54442 mAh_cumul=7.59194 Wh_cumul=0.0263435 
t=24 V=3.49536 A=1.30071 W=4.54645 mAh_cumul=7.95325 Wh_cumul=0.0276064 
t=25 V=3.49689 A=1.30072 W=4.54847 mAh_cumul=8.31456 Wh_cumul=0.0288699 
t=26 V=3.49836 A=1.30072 W=4.55039 mAh_cumul=8.67587 Wh_cumul=0.0301339 
t=27 V=3.49978 A=1.30072 W=4.55223 mAh_cumul=9.03718 Wh_cumul=0.0313984 
t=28 V=3.50102 A=1.30073 W=4.55388 mAh_cumul=9.3985 Wh_cumul=0.0326634 
t=29 V=3.50243 A=1.30071 W=4.55565 mAh_cumul=9.7598 Wh_cumul=0.0339288 
t=30 V=3.50375 A=1.30071 W=4.55736 mAh_cumul=10.1211 Wh_cumul=0.0351948 
t=31 V=3.50507 A=1.30072 W=4.55911 mAh_cumul=10.4824 Wh_cumul=0.0364612 
t=32 V=3.5063 A=1.30073 W=4.56075 mAh_cumul=10.8437 Wh_cumul=0.0377281 
t=33 V=3.50757 A=1.3007 W=4.5623 mAh_cumul=11.205 Wh_cumul=0.0389954 
t=34 V=3.5088 A=1.30071 W=4.56393 mAh_cumul=11.5664 Wh_cumul=0.0402631 
t=35 V=3.51 A=1.30072 W=4.56553 mAh_cumul=11.9277 Wh_cumul=0.0415313 
t=36 V=3.51118 A=1.30072 W=4.56706 mAh_cumul=12.289 Wh_cumul=0.0428 
t=37 V=3.51229 A=1.30071 W=4.56847 mAh_cumul=12.6503 Wh_cumul=0.044069 
t=38 V=3.51339 A=1.30072 W=4.56994 mAh_cumul=13.0116 Wh_cumul=0.0453384 
t=39 V=3.51446 A=1.30071 W=4.57129 mAh_cumul=13.3729 Wh_cumul=0.0466082 
t=40 V=3.51552 A=1.30072 W=4.57271 mAh_cumul=13.7342 Wh_cumul=0.0478784 
t=41 V=3.51656 A=1.30071 W=4.57402 mAh_cumul=14.0955 Wh_cumul=0.049149 
t=42 V=3.51755 A=1.30071 W=4.57531 mAh_cumul=14.4568 Wh_cumul=0.0504199 
t=43 V=3.5185 A=1.30071 W=4.57655 mAh_cumul=14.8181 Wh_cumul=0.0516912 
t=44 V=3.51948 A=1.30072 W=4.57786 mAh_cumul=15.1794 Wh_cumul=0.0529628 
t=45 V=3.52046 A=1.30072 W=4.57913 mAh_cumul=15.5408 Wh_cumul=0.0542348 
t=46 V=3.52141 A=1.30071 W=4.58033 mAh_cumul=15.9021 Wh_cumul=0.0555071 
t=47 V=3.52225 A=1.30072 W=4.58146 mAh_cumul=16.2634 Wh_cumul=0.0567797 
t=48 V=3.52315 A=1.30072 W=4.58263 mAh_cumul=16.6247 Wh_cumul=0.0580527 
t=49 V=3.52399 A=1.30071 W=4.58369 mAh_cumul=16.986 Wh_cumul=0.0593259 
t=50 V=3.52483 A=1.30072 W=4.58482 mAh_cumul=17.3473 Wh_cumul=0.0605995 
t=51 V=3.52563 A=1.30071 W=4.58582 mAh_cumul=17.7086 Wh_cumul=0.0618733 
t=52 V=3.52642 A=1.30072 W=4.58689 mAh_cumul=18.0699 Wh_cumul=0.0631474 
t=53 V=3.52722 A=1.30072 W=4.58793 mAh_cumul=18.4312 Wh_cumul=0.0644219 
t=54 V=3.52797 A=1.3007 W=4.58883 mAh_cumul=18.7925 Wh_cumul=0.0656965 
t=55 V=3.52871 A=1.30071 W=4.58983 mAh_cumul=19.1539 Wh_cumul=0.0669715 
t=56 V=3.52943 A=1.30071 W=4.59076 mAh_cumul=19.5152 Wh_cumul=0.0682467 
t=57 V=3.53013 A=1.3007 W=4.59164 mAh_cumul=19.8765 Wh_cumul=0.0695222 
t=58 V=3.53082 A=1.30071 W=4.59257 mAh_cumul=20.2378 Wh_cumul=0.0707979 
t=59 V=3.53153 A=1.30071 W=4.5935 mAh_cumul=20.5991 Wh_cumul=0.0720738 
t=60 V=3.53215 A=1.30071 W=4.5943 mAh_cumul=20.9604 Wh_cumul=0.07335 
t=61 V=3.53279 A=1.30071 W=4.59514 mAh_cumul=21.3217 Wh_cumul=0.0746265 
t=62 V=3.5334 A=1.30072 W=4.59596 mAh_cumul=21.683 Wh_cumul=0.0759031 
t=63 V=3.53402 A=1.30072 W=4.59677 mAh_cumul=22.0443 Wh_cumul=0.07718 
t=64 V=3.53462 A=1.30071 W=4.59752 mAh_cumul=22.4056 Wh_cumul=0.0784571 
t=65 V=3.53519 A=1.30071 W=4.59826 mAh_cumul=22.7669 Wh_cumul=0.0797344 
t=66 V=3.53575 A=1.30071 W=4.59899 mAh_cumul=23.1282 Wh_cumul=0.0810119 
t=67 V=3.53629 A=1.30071 W=4.59969 mAh_cumul=23.4896 Wh_cumul=0.0822896 
t=68 V=3.53684 A=1.30071 W=4.6004 mAh_cumul=23.8509 Wh_cumul=0.0835675 
t=69 V=3.53734 A=1.30071 W=4.60105 mAh_cumul=24.2122 Wh_cumul=0.0848455 
t=70 V=3.53786 A=1.30072 W=4.60177 mAh_cumul=24.5735 Wh_cumul=0.0861238 
t=71 V=3.53834 A=1.30072 W=4.60239 mAh_cumul=24.9348 Wh_cumul=0.0874022 
t=72 V=3.53881 A=1.30072 W=4.603 mAh_cumul=25.2961 Wh_cumul=0.0886809 
