0 errors cleared
t=0 V=4.18867 A=0.00951121 W=0.0398393 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.18863 A=0.00951287 W=0.0398459 mAh_cumul=0.00528493 Wh_cumul=2.21366e-05 
t=3 V=4.11309 A=1.29999 W=5.34698 mAh_cumul=0.366393 Wh_cumul=0.00150741 
t=4 V=4.10999 A=1.29992 W=5.34266 mAh_cumul=0.727482 Wh_cumul=0.00299148 
t=5 V=4.10813 A=1.29991 W=5.3402 mAh_cumul=1.08857 Wh_cumul=0.00447487 
t=6 V=4.10659 A=1.29989 W=5.33812 mAh_cumul=1.44965 Wh_cumul=0.00595768 
t=7 V=4.1051 A=1.2999 W=5.33622 mAh_cumul=1.81073 Wh_cumul=0.00743996 
t=8 V=4.10379 A=1.29989 W=5.33448 mAh_cumul=2.17181 Wh_cumul=0.00892176 
t=9 V=4.10255 A=1.2999 W=5.3329 mAh_cumul=2.5329 Wh_cumul=0.0104031 
t=10 V=4.1014 A=1.29989 W=5.33137 mAh_cumul=2.89398 Wh_cumul=0.0118841 
t=11 V=4.10027 A=1.2999 W=5.32994 mAh_cumul=3.25506 Wh_cumul=0.0133646 
t=12 V=4.09919 A=1.2999 W=5.32854 mAh_cumul=3.61614 Wh_cumul=0.0148447 
t=13 V=4.09816 A=1.2999 W=5.3272 mAh_cumul=3.97723 Wh_cumul=0.0163245 
t=14 V=4.09718 A=1.29989 W=5.32588 mAh_cumul=4.33831 Wh_cumul=0.0178039 
t=15 V=4.09625 A=1.2999 W=5.32472 mAh_cumul=4.69939 Wh_cumul=0.019283 
t=16 V=4.09528 A=1.2999 W=5.32345 mAh_cumul=5.06047 Wh_cumul=0.0207618 
t=17 V=4.09439 A=1.2999 W=5.3223 mAh_cumul=5.42156 Wh_cumul=0.0222402 
t=18 V=4.09351 A=1.29989 W=5.32111 mAh_cumul=5.78264 Wh_cumul=0.0237183 
t=19 V=4.09266 A=1.2999 W=5.32005 mAh_cumul=6.14372 Wh_cumul=0.0251961 
t=20 V=4.09185 A=1.29989 W=5.31895 mAh_cumul=6.5048 Wh_cumul=0.0266735 
t=21 V=4.09107 A=1.29991 W=5.31802 mAh_cumul=6.86589 Wh_cumul=0.0281508 
t=22 V=4.09025 A=1.2999 W=5.31692 mAh_cumul=7.22697 Wh_cumul=0.0296277 
t=23 V=4.08946 A=1.2999 W=5.31589 mAh_cumul=7.58805 Wh_cumul=0.0311043 
t=24 V=4.08869 A=1.29991 W=5.31493 mAh_cumul=7.94914 Wh_cumul=0.0325807 
t=25 V=4.08795 A=1.2999 W=5.31393 mAh_cumul=8.31022 Wh_cumul=0.0340568 
t=26 V=4.08726 A=1.2999 W=5.31303 mAh_cumul=8.67131 Wh_cumul=0.0355326 
t=27 V=4.08656 A=1.2999 W=5.31212 mAh_cumul=9.03239 Wh_cumul=0.0370082 
t=28 V=4.08588 A=1.2999 W=5.31124 mAh_cumul=9.39347 Wh_cumul=0.0384836 
t=29 V=4.08522 A=1.2999 W=5.31038 mAh_cumul=9.75456 Wh_cumul=0.0399587 
t=30 V=4.08454 A=1.29991 W=5.30953 mAh_cumul=10.1156 Wh_cumul=0.0414335 
t=31 V=4.08385 A=1.29991 W=5.30864 mAh_cumul=10.4767 Wh_cumul=0.0429082 
t=32 V=4.08324 A=1.29989 W=5.30776 mAh_cumul=10.8378 Wh_cumul=0.0443825 
t=33 V=4.08263 A=1.2999 W=5.30701 mAh_cumul=11.1989 Wh_cumul=0.0458567 
t=34 V=4.08198 A=1.29991 W=5.30621 mAh_cumul=11.56 Wh_cumul=0.0473307 
t=35 V=4.08139 A=1.29991 W=5.30544 mAh_cumul=11.9211 Wh_cumul=0.0488044 
t=36 V=4.08079 A=1.2999 W=5.30462 mAh_cumul=12.2821 Wh_cumul=0.0502779 
t=37 V=4.08025 A=1.2999 W=5.30392 mAh_cumul=12.6432 Wh_cumul=0.0517512 
t=38 V=4.07964 A=1.2999 W=5.30312 mAh_cumul=13.0043 Wh_cumul=0.0532243 
t=39 V=4.07909 A=1.29989 W=5.30237 mAh_cumul=13.3654 Wh_cumul=0.0546972 
t=40 V=4.07851 A=1.2999 W=5.30166 mAh_cumul=13.7265 Wh_cumul=0.0561699 
t=41 V=4.07798 A=1.29991 W=5.30101 mAh_cumul=14.0876 Wh_cumul=0.0576424 
t=42 V=4.07744 A=1.2999 W=5.30026 mAh_cumul=14.4486 Wh_cumul=0.0591147 
t=43 V=4.07696 A=1.2999 W=5.29964 mAh_cumul=14.8097 Wh_cumul=0.0605868 
t=44 V=4.07644 A=1.2999 W=5.29896 mAh_cumul=15.1708 Wh_cumul=0.0620587 
t=45 V=4.07595 A=1.2999 W=5.29833 mAh_cumul=15.5319 Wh_cumul=0.0635305 
t=46 V=4.07546 A=1.2999 W=5.29769 mAh_cumul=15.893 Wh_cumul=0.065002 
t=47 V=4.07497 A=1.2999 W=5.29705 mAh_cumul=16.2541 Wh_cumul=0.0664734 
t=48 V=4.07448 A=1.29991 W=5.29646 mAh_cumul=16.6152 Wh_cumul=0.0679447 
t=49 V=4.07398 A=1.29992 W=5.29585 mAh_cumul=16.9762 Wh_cumul=0.0694158 
t=50 V=4.07346 A=1.29989 W=5.29505 mAh_cumul=17.3373 Wh_cumul=0.0708866 
t=51 V=4.07297 A=1.29991 W=5.29449 mAh_cumul=17.6984 Wh_cumul=0.0723573 
t=52 V=4.07251 A=1.2999 W=5.29386 mAh_cumul=18.0595 Wh_cumul=0.0738278 
t=53 V=4.07205 A=1.29991 W=5.2933 mAh_cumul=18.4206 Wh_cumul=0.0752982 
t=54 V=4.0716 A=1.29991 W=5.29271 mAh_cumul=18.7817 Wh_cumul=0.0767684 
t=55 V=4.07119 A=1.2999 W=5.29214 mAh_cumul=19.1427 Wh_cumul=0.0782384 
t=56 V=4.07074 A=1.2999 W=5.29155 mAh_cumul=19.5038 Wh_cumul=0.0797083 
t=57 V=4.07031 A=1.29991 W=5.29104 mAh_cumul=19.8649 Wh_cumul=0.081178 
t=58 V=4.06989 A=1.29991 W=5.29049 mAh_cumul=20.226 Wh_cumul=0.0826476 
t=59 V=4.06942 A=1.29991 W=5.28988 mAh_cumul=20.5871 Wh_cumul=0.084117 
t=60 V=4.069 A=1.2999 W=5.28929 mAh_cumul=20.9482 Wh_cumul=0.0855863 
t=61 V=4.06858 A=1.2999 W=5.28875 mAh_cumul=21.3093 Wh_cumul=0.0870554 
t=62 V=4.06816 A=1.2999 W=5.2882 mAh_cumul=21.6703 Wh_cumul=0.0885243 
t=63 V=4.06774 A=1.2999 W=5.28766 mAh_cumul=22.0314 Wh_cumul=0.0899931 
t=64 V=4.06735 A=1.2999 W=5.28715 mAh_cumul=22.3925 Wh_cumul=0.0914617 
t=65 V=4.06696 A=1.2999 W=5.28664 mAh_cumul=22.7536 Wh_cumul=0.0929303 
t=66 V=4.06656 A=1.2999 W=5.28612 mAh_cumul=23.1147 Wh_cumul=0.0943986 
t=67 V=4.06618 A=1.29991 W=5.28567 mAh_cumul=23.4758 Wh_cumul=0.0958669 
t=68 V=4.06584 A=1.29991 W=5.28523 mAh_cumul=23.8368 Wh_cumul=0.097335 
t=69 V=4.06544 A=1.29991 W=5.28471 mAh_cumul=24.1979 Wh_cumul=0.098803 
t=70 V=4.0651 A=1.29991 W=5.28426 mAh_cumul=24.559 Wh_cumul=0.100271 
t=71 V=4.06473 A=1.29992 W=5.28382 mAh_cumul=24.9201 Wh_cumul=0.101739 
t=72 V=4.06437 A=1.29992 W=5.28336 mAh_cumul=25.2812 Wh_cumul=0.103206 
t=73 V=4.06394 A=1.29991 W=5.28276 mAh_cumul=25.6423 Wh_cumul=0.104674 
t=74 V=4.06358 A=1.29992 W=5.28233 mAh_cumul=26.0034 Wh_cumul=0.106141 
t=75 V=4.06325 A=1.2999 W=5.28182 mAh_cumul=26.3645 Wh_cumul=0.107608 
t=76 V=4.06287 A=1.29992 W=5.28141 mAh_cumul=26.7255 Wh_cumul=0.109075 
t=77 V=4.0625 A=1.29991 W=5.28088 mAh_cumul=27.0866 Wh_cumul=0.110542 
t=78 V=4.0622 A=1.29991 W=5.28049 mAh_cumul=27.4477 Wh_cumul=0.112009 
t=79 V=4.06186 A=1.29991 W=5.28005 mAh_cumul=27.8088 Wh_cumul=0.113476 
t=80 V=4.06146 A=1.29991 W=5.27953 mAh_cumul=28.1699 Wh_cumul=0.114942 
t=81 V=4.06116 A=1.29991 W=5.27914 mAh_cumul=28.531 Wh_cumul=0.116408 
t=82 V=4.06084 A=1.2999 W=5.27869 mAh_cumul=28.8921 Wh_cumul=0.117875 
t=83 V=4.06055 A=1.2999 W=5.27831 mAh_cumul=29.2531 Wh_cumul=0.119341 
t=84 V=4.06025 A=1.29992 W=5.278 mAh_cumul=29.6142 Wh_cumul=0.120807 
t=85 V=4.05996 A=1.29991 W=5.27758 mAh_cumul=29.9753 Wh_cumul=0.122273 
t=86 V=4.0597 A=1.2999 W=5.2772 mAh_cumul=30.3364 Wh_cumul=0.123739 
t=87 V=4.05938 A=1.29991 W=5.27683 mAh_cumul=30.6975 Wh_cumul=0.125205 
t=88 V=4.05904 A=1.29991 W=5.27639 mAh_cumul=31.0586 Wh_cumul=0.12667 
t=89 V=4.0587 A=1.29991 W=5.27594 mAh_cumul=31.4197 Wh_cumul=0.128136 
t=90 V=4.05838 A=1.29991 W=5.27553 mAh_cumul=31.7807 Wh_cumul=0.129601 
t=91 V=4.05807 A=1.29991 W=5.27513 mAh_cumul=32.1418 Wh_cumul=0.131067 
t=92 V=4.05773 A=1.29992 W=5.27472 mAh_cumul=32.5029 Wh_cumul=0.132532 
t=93 V=4.05744 A=1.29991 W=5.27431 mAh_cumul=32.864 Wh_cumul=0.133997 
t=94 V=4.05714 A=1.29992 W=5.27396 mAh_cumul=33.2251 Wh_cumul=0.135462 
t=95 V=4.05685 A=1.29992 W=5.27358 mAh_cumul=33.5862 Wh_cumul=0.136927 
t=96 V=4.05653 A=1.29992 W=5.27316 mAh_cumul=33.9473 Wh_cumul=0.138392 
t=97 V=4.05625 A=1.29992 W=5.2728 mAh_cumul=34.3084 Wh_cumul=0.139856 
t=98 V=4.05593 A=1.29991 W=5.27234 mAh_cumul=34.6694 Wh_cumul=0.141321 
t=99 V=4.05566 A=1.29992 W=5.27203 mAh_cumul=35.0305 Wh_cumul=0.142785 
t=100 V=4.05536 A=1.2999 W=5.27156 mAh_cumul=35.3916 Wh_cumul=0.14425 
t=101 V=4.05506 A=1.29991 W=5.27121 mAh_cumul=35.7527 Wh_cumul=0.145714 
t=102 V=4.05479 A=1.29991 W=5.27086 mAh_cumul=36.1138 Wh_cumul=0.147178 
t=103 V=4.05447 A=1.29992 W=5.27049 mAh_cumul=36.4749 Wh_cumul=0.148642 
t=104 V=4.05417 A=1.29991 W=5.27006 mAh_cumul=36.836 Wh_cumul=0.150106 
