0 errors cleared
t=0 V=3.62641 A=0.00831187 W=0.0301422 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.62643 A=0.00831742 W=0.0301625 mAh_cumul=0.00462079 Wh_cumul=1.6757e-05 
t=3 V=3.68291 A=1.45074 W=5.34294 mAh_cumul=0.407604 Wh_cumul=0.00150091 
t=4 V=3.68654 A=1.4505 W=5.34733 mAh_cumul=0.810521 Wh_cumul=0.00298628 
t=5 V=3.6886 A=1.45046 W=5.35017 mAh_cumul=1.21343 Wh_cumul=0.00447243 
t=6 V=3.69029 A=1.45044 W=5.35254 mAh_cumul=1.61633 Wh_cumul=0.00595925 
t=7 V=3.69182 A=1.45041 W=5.35465 mAh_cumul=2.01922 Wh_cumul=0.00744666 
t=8 V=3.69309 A=1.45041 W=5.35649 mAh_cumul=2.42211 Wh_cumul=0.00893457 
t=9 V=3.69435 A=1.4504 W=5.35829 mAh_cumul=2.825 Wh_cumul=0.010423 
t=10 V=3.69551 A=1.45039 W=5.35993 mAh_cumul=3.22788 Wh_cumul=0.0119119 
t=11 V=3.69658 A=1.45039 W=5.36148 mAh_cumul=3.63077 Wh_cumul=0.0134012 
t=12 V=3.69764 A=1.45039 W=5.36302 mAh_cumul=4.03366 Wh_cumul=0.0148909 
t=13 V=3.69861 A=1.45038 W=5.36439 mAh_cumul=4.43654 Wh_cumul=0.016381 
t=14 V=3.69961 A=1.45038 W=5.36584 mAh_cumul=4.83942 Wh_cumul=0.0178715 
t=15 V=3.70057 A=1.45039 W=5.36727 mAh_cumul=5.24231 Wh_cumul=0.0193624 
t=16 V=3.70146 A=1.45038 W=5.36852 mAh_cumul=5.64519 Wh_cumul=0.0208537 
t=17 V=3.70233 A=1.45038 W=5.36979 mAh_cumul=6.04808 Wh_cumul=0.0223453 
t=18 V=3.70317 A=1.45039 W=5.37104 mAh_cumul=6.45096 Wh_cumul=0.0238372 
t=19 V=3.704 A=1.45037 W=5.37217 mAh_cumul=6.85384 Wh_cumul=0.0253295 
t=20 V=3.70478 A=1.45038 W=5.37334 mAh_cumul=7.25673 Wh_cumul=0.0268221 
t=21 V=3.70558 A=1.45038 W=5.3745 mAh_cumul=7.65961 Wh_cumul=0.028315 
t=22 V=3.70635 A=1.4504 W=5.37569 mAh_cumul=8.0625 Wh_cumul=0.0298083 
t=23 V=3.70711 A=1.45038 W=5.37672 mAh_cumul=8.46538 Wh_cumul=0.0313018 
t=24 V=3.70781 A=1.45038 W=5.37773 mAh_cumul=8.86827 Wh_cumul=0.0327956 
t=25 V=3.70851 A=1.45038 W=5.37875 mAh_cumul=9.27115 Wh_cumul=0.0342897 
t=26 V=3.7092 A=1.45037 W=5.37971 mAh_cumul=9.67403 Wh_cumul=0.0357841 
t=27 V=3.70991 A=1.45038 W=5.38078 mAh_cumul=10.0769 Wh_cumul=0.0372787 
t=28 V=3.71057 A=1.45036 W=5.38166 mAh_cumul=10.4798 Wh_cumul=0.0387736 
t=29 V=3.71122 A=1.45038 W=5.38268 mAh_cumul=10.8827 Wh_cumul=0.0402688 
t=30 V=3.71188 A=1.45036 W=5.38356 mAh_cumul=11.2856 Wh_cumul=0.0417643 
t=31 V=3.71249 A=1.45039 W=5.38456 mAh_cumul=11.6884 Wh_cumul=0.04326 
t=32 V=3.71312 A=1.45037 W=5.3854 mAh_cumul=12.0913 Wh_cumul=0.0447559 
t=33 V=3.71371 A=1.45038 W=5.38629 mAh_cumul=12.4942 Wh_cumul=0.0462521 
t=34 V=3.71427 A=1.45038 W=5.3871 mAh_cumul=12.8971 Wh_cumul=0.0477485 
t=35 V=3.71484 A=1.45039 W=5.38797 mAh_cumul=13.3 Wh_cumul=0.0492452 
t=36 V=3.71541 A=1.45038 W=5.38876 mAh_cumul=13.7029 Wh_cumul=0.0507421 
t=37 V=3.71595 A=1.45038 W=5.38954 mAh_cumul=14.1057 Wh_cumul=0.0522391 
t=38 V=3.7165 A=1.45038 W=5.39034 mAh_cumul=14.5086 Wh_cumul=0.0537365 
t=39 V=3.71706 A=1.45037 W=5.39111 mAh_cumul=14.9115 Wh_cumul=0.055234 
t=40 V=3.71763 A=1.45037 W=5.39194 mAh_cumul=15.3144 Wh_cumul=0.0567318 
t=41 V=3.71817 A=1.45038 W=5.39276 mAh_cumul=15.7173 Wh_cumul=0.0582297 
t=42 V=3.7187 A=1.45037 W=5.39349 mAh_cumul=16.1201 Wh_cumul=0.0597279 
t=43 V=3.71922 A=1.45037 W=5.39425 mAh_cumul=16.523 Wh_cumul=0.0612263 
t=44 V=3.71976 A=1.45037 W=5.39503 mAh_cumul=16.9259 Wh_cumul=0.062725 
t=45 V=3.72025 A=1.45037 W=5.39574 mAh_cumul=17.3288 Wh_cumul=0.0642238 
t=46 V=3.72076 A=1.45037 W=5.39648 mAh_cumul=17.7317 Wh_cumul=0.0657228 
t=47 V=3.72124 A=1.45039 W=5.39725 mAh_cumul=18.1346 Wh_cumul=0.067222 
t=48 V=3.72174 A=1.45037 W=5.3979 mAh_cumul=18.5374 Wh_cumul=0.0687214 
t=49 V=3.72224 A=1.45037 W=5.39863 mAh_cumul=18.9403 Wh_cumul=0.0702211 
t=50 V=3.72272 A=1.45037 W=5.39932 mAh_cumul=19.3432 Wh_cumul=0.0717209 
t=51 V=3.72319 A=1.45037 W=5.4 mAh_cumul=19.7461 Wh_cumul=0.0732209 
t=52 V=3.72366 A=1.45036 W=5.40065 mAh_cumul=20.149 Wh_cumul=0.0747211 
t=53 V=3.72414 A=1.45038 W=5.40142 mAh_cumul=20.5518 Wh_cumul=0.0762215 
t=54 V=3.72457 A=1.45039 W=5.40208 mAh_cumul=20.9547 Wh_cumul=0.077722 
t=55 V=3.72502 A=1.45038 W=5.40269 mAh_cumul=21.3576 Wh_cumul=0.0792228 
t=56 V=3.72549 A=1.45037 W=5.40334 mAh_cumul=21.7605 Wh_cumul=0.0807237 
t=57 V=3.72595 A=1.45037 W=5.40401 mAh_cumul=22.1634 Wh_cumul=0.0822248 
t=58 V=3.72635 A=1.45037 W=5.40459 mAh_cumul=22.5662 Wh_cumul=0.0837261 
t=59 V=3.72679 A=1.45037 W=5.40522 mAh_cumul=22.9691 Wh_cumul=0.0852275 
t=60 V=3.72724 A=1.45037 W=5.40588 mAh_cumul=23.372 Wh_cumul=0.0867292 
t=61 V=3.72767 A=1.45038 W=5.40654 mAh_cumul=23.7749 Wh_cumul=0.088231 
t=62 V=3.72811 A=1.45037 W=5.40714 mAh_cumul=24.1778 Wh_cumul=0.089733 
t=63 V=3.72853 A=1.45037 W=5.40775 mAh_cumul=24.5807 Wh_cumul=0.0912351 
t=64 V=3.72894 A=1.45036 W=5.40831 mAh_cumul=24.9835 Wh_cumul=0.0927374 
t=65 V=3.72936 A=1.45036 W=5.40891 mAh_cumul=25.3864 Wh_cumul=0.0942399 
t=66 V=3.72974 A=1.45037 W=5.4095 mAh_cumul=25.7893 Wh_cumul=0.0957425 
t=67 V=3.73015 A=1.45037 W=5.4101 mAh_cumul=26.1922 Wh_cumul=0.0972454 
t=68 V=3.73058 A=1.45036 W=5.41068 mAh_cumul=26.595 Wh_cumul=0.0987483 
t=69 V=3.73096 A=1.45038 W=5.41131 mAh_cumul=26.9979 Wh_cumul=0.100251 
t=70 V=3.73135 A=1.45038 W=5.41188 mAh_cumul=27.4008 Wh_cumul=0.101755 
t=71 V=3.73174 A=1.45038 W=5.41244 mAh_cumul=27.8037 Wh_cumul=0.103258 
t=72 V=3.73215 A=1.45038 W=5.41304 mAh_cumul=28.2066 Wh_cumul=0.104762 
