0 errors cleared
t=0 V=3.1786 A=0.00727662 W=0.0231295 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.18103 A=0.00728454 W=0.0231723 mAh_cumul=0.00404697 Wh_cumul=1.28735e-05 
t=3 V=3.24979 A=1.45074 W=4.7146 mAh_cumul=0.40703 Wh_cumul=0.00132248 
t=4 V=3.29112 A=1.45052 W=4.77384 mAh_cumul=0.809953 Wh_cumul=0.00264855 
t=5 V=3.30381 A=1.45045 W=4.79201 mAh_cumul=1.21286 Wh_cumul=0.00397966 
t=6 V=3.3113 A=1.45043 W=4.80281 mAh_cumul=1.61575 Wh_cumul=0.00531378 
t=7 V=3.31672 A=1.45042 W=4.81064 mAh_cumul=2.01865 Wh_cumul=0.00665007 
t=8 V=3.32135 A=1.45042 W=4.81735 mAh_cumul=2.42154 Wh_cumul=0.00798822 
t=9 V=3.32539 A=1.45041 W=4.82318 mAh_cumul=2.82443 Wh_cumul=0.00932799 
t=10 V=3.32895 A=1.4504 W=4.82831 mAh_cumul=3.22732 Wh_cumul=0.0106692 
t=11 V=3.33206 A=1.4504 W=4.83282 mAh_cumul=3.63021 Wh_cumul=0.0120116 
t=12 V=3.33496 A=1.4504 W=4.83703 mAh_cumul=4.0331 Wh_cumul=0.0133553 
t=13 V=3.33762 A=1.4504 W=4.84088 mAh_cumul=4.43599 Wh_cumul=0.0146999 
t=14 V=3.34005 A=1.45039 W=4.84438 mAh_cumul=4.83887 Wh_cumul=0.0160456 
t=15 V=3.34238 A=1.45039 W=4.84775 mAh_cumul=5.24176 Wh_cumul=0.0173922 
t=16 V=3.34459 A=1.4504 W=4.85099 mAh_cumul=5.64465 Wh_cumul=0.0187397 
t=17 V=3.34666 A=1.4504 W=4.854 mAh_cumul=6.04754 Wh_cumul=0.020088 
t=18 V=3.34858 A=1.45039 W=4.85675 mAh_cumul=6.45042 Wh_cumul=0.0214371 
t=19 V=3.35029 A=1.45039 W=4.85923 mAh_cumul=6.85331 Wh_cumul=0.0227869 
t=20 V=3.35201 A=1.45039 W=4.86172 mAh_cumul=7.2562 Wh_cumul=0.0241374 
t=21 V=3.35369 A=1.4504 W=4.86419 mAh_cumul=7.65909 Wh_cumul=0.0254886 
t=22 V=3.35535 A=1.4504 W=4.8666 mAh_cumul=8.06197 Wh_cumul=0.0268404 
t=23 V=3.35685 A=1.45039 W=4.86874 mAh_cumul=8.46486 Wh_cumul=0.0281928 
t=24 V=3.35831 A=1.45039 W=4.87086 mAh_cumul=8.86775 Wh_cumul=0.0295458 
t=25 V=3.35973 A=1.45039 W=4.87292 mAh_cumul=9.27063 Wh_cumul=0.0308994 
t=26 V=3.36108 A=1.45039 W=4.87488 mAh_cumul=9.67352 Wh_cumul=0.0322536 
t=27 V=3.36241 A=1.45039 W=4.87681 mAh_cumul=10.0764 Wh_cumul=0.0336082 
t=28 V=3.36361 A=1.45039 W=4.87855 mAh_cumul=10.4793 Wh_cumul=0.0349634 
t=29 V=3.36481 A=1.45039 W=4.88029 mAh_cumul=10.8822 Wh_cumul=0.036319 
t=30 V=3.366 A=1.45038 W=4.88198 mAh_cumul=11.2851 Wh_cumul=0.0376751 
t=31 V=3.3671 A=1.45038 W=4.88357 mAh_cumul=11.6879 Wh_cumul=0.0390317 
t=32 V=3.3682 A=1.45038 W=4.88517 mAh_cumul=12.0908 Wh_cumul=0.0403887 
t=33 V=3.36924 A=1.45038 W=4.88668 mAh_cumul=12.4937 Wh_cumul=0.0417461 
t=34 V=3.37021 A=1.45038 W=4.88809 mAh_cumul=12.8966 Wh_cumul=0.0431039 
t=35 V=3.37121 A=1.45039 W=4.88957 mAh_cumul=13.2995 Wh_cumul=0.0444621 
t=36 V=3.37213 A=1.45039 W=4.8909 mAh_cumul=13.7024 Wh_cumul=0.0458207 
t=37 V=3.37303 A=1.45038 W=4.89218 mAh_cumul=14.1052 Wh_cumul=0.0471796 
t=38 V=3.3739 A=1.45038 W=4.89344 mAh_cumul=14.5081 Wh_cumul=0.0485389 
