0 errors cleared
t=0 V=4.18955 A=0.00957825 W=0.0401286 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.18943 A=0.00958171 W=0.0401419 mAh_cumul=0.00532317 Wh_cumul=2.23011e-05 
t=3 V=4.14261 A=1.44976 W=6.00579 mAh_cumul=0.408034 Wh_cumul=0.00169058 
t=4 V=4.13785 A=1.4497 W=5.99864 mAh_cumul=0.810729 Wh_cumul=0.00335687 
t=5 V=4.13513 A=1.44969 W=5.99466 mAh_cumul=1.21342 Wh_cumul=0.00502205 
t=6 V=4.13287 A=1.44969 W=5.99138 mAh_cumul=1.61611 Wh_cumul=0.00668632 
t=7 V=4.13087 A=1.44968 W=5.98844 mAh_cumul=2.0188 Wh_cumul=0.00834978 
t=8 V=4.12909 A=1.44969 W=5.9859 mAh_cumul=2.42149 Wh_cumul=0.0100125 
t=9 V=4.12744 A=1.44967 W=5.98343 mAh_cumul=2.82418 Wh_cumul=0.0116746 
t=10 V=4.12587 A=1.44967 W=5.98115 mAh_cumul=3.22686 Wh_cumul=0.013336 
t=11 V=4.12443 A=1.44968 W=5.9791 mAh_cumul=3.62955 Wh_cumul=0.0149969 
t=12 V=4.12301 A=1.44969 W=5.97709 mAh_cumul=4.03225 Wh_cumul=0.0166572 
t=13 V=4.12167 A=1.44969 W=5.97514 mAh_cumul=4.43494 Wh_cumul=0.0183169 
t=14 V=4.12038 A=1.44969 W=5.97327 mAh_cumul=4.83763 Wh_cumul=0.0199762 
t=15 V=4.11915 A=1.44969 W=5.97149 mAh_cumul=5.24032 Wh_cumul=0.0216349 
t=16 V=4.11796 A=1.44968 W=5.96972 mAh_cumul=5.64301 Wh_cumul=0.0232932 
t=17 V=4.11682 A=1.44969 W=5.96811 mAh_cumul=6.0457 Wh_cumul=0.024951 
t=18 V=4.11566 A=1.44968 W=5.96639 mAh_cumul=6.44839 Wh_cumul=0.0266083 
t=19 V=4.11458 A=1.44968 W=5.96482 mAh_cumul=6.85108 Wh_cumul=0.0282652 
t=20 V=4.11351 A=1.44968 W=5.96327 mAh_cumul=7.25377 Wh_cumul=0.0299217 
t=21 V=4.11248 A=1.4497 W=5.96186 mAh_cumul=7.65646 Wh_cumul=0.0315778 
t=22 V=4.11146 A=1.44968 W=5.9603 mAh_cumul=8.05915 Wh_cumul=0.0332334 
t=23 V=4.11048 A=1.44969 W=5.95892 mAh_cumul=8.46184 Wh_cumul=0.0348887 
t=24 V=4.1095 A=1.44969 W=5.9575 mAh_cumul=8.86453 Wh_cumul=0.0365435 
