0 errors cleared
t=0 V=3.64798 A=0.00829404 W=0.0302565 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.64669 A=0.00829181 W=0.0302377 mAh_cumul=0.00460656 Wh_cumul=1.67987e-05 
t=3 V=3.69931 A=1.45069 W=5.36655 mAh_cumul=0.407576 Wh_cumul=0.00150751 
t=4 V=3.70256 A=1.45051 W=5.3706 mAh_cumul=0.810495 Wh_cumul=0.00299934 
t=5 V=3.70412 A=1.45048 W=5.37275 mAh_cumul=1.21341 Wh_cumul=0.00449177 
t=6 V=3.70535 A=1.45047 W=5.3745 mAh_cumul=1.61631 Wh_cumul=0.00598469 
t=7 V=3.70645 A=1.45045 W=5.37602 mAh_cumul=2.01922 Wh_cumul=0.00747803 
t=8 V=3.70739 A=1.45045 W=5.37738 mAh_cumul=2.42212 Wh_cumul=0.00897175 
t=9 V=3.70825 A=1.45046 W=5.37867 mAh_cumul=2.82503 Wh_cumul=0.0104658 
t=10 V=3.70903 A=1.45046 W=5.3798 mAh_cumul=3.22793 Wh_cumul=0.0119602 
t=11 V=3.70982 A=1.45046 W=5.38095 mAh_cumul=3.63084 Wh_cumul=0.0134549 
t=12 V=3.71055 A=1.45046 W=5.382 mAh_cumul=4.03374 Wh_cumul=0.0149499 
t=13 V=3.71124 A=1.45045 W=5.38297 mAh_cumul=4.43665 Wh_cumul=0.0164452 
t=14 V=3.71191 A=1.45046 W=5.38398 mAh_cumul=4.83955 Wh_cumul=0.0179407 
t=15 V=3.71257 A=1.45045 W=5.3849 mAh_cumul=5.24245 Wh_cumul=0.0194365 
t=16 V=3.71322 A=1.45045 W=5.38584 mAh_cumul=5.64536 Wh_cumul=0.0209326 
t=17 V=3.71384 A=1.45045 W=5.38674 mAh_cumul=6.04826 Wh_cumul=0.0224289 
t=18 V=3.71449 A=1.45045 W=5.38768 mAh_cumul=6.45116 Wh_cumul=0.0239255 
t=19 V=3.7151 A=1.45044 W=5.38853 mAh_cumul=6.85406 Wh_cumul=0.0254223 
t=20 V=3.71568 A=1.45045 W=5.38941 mAh_cumul=7.25696 Wh_cumul=0.0269194 
t=21 V=3.71626 A=1.45045 W=5.39025 mAh_cumul=7.65987 Wh_cumul=0.0284167 
t=22 V=3.71685 A=1.45046 W=5.39114 mAh_cumul=8.06277 Wh_cumul=0.0299142 
t=23 V=3.71738 A=1.45044 W=5.39184 mAh_cumul=8.46567 Wh_cumul=0.0314119 
t=24 V=3.71794 A=1.45046 W=5.39272 mAh_cumul=8.86858 Wh_cumul=0.0329099 
t=25 V=3.71848 A=1.45044 W=5.39343 mAh_cumul=9.27148 Wh_cumul=0.0344081 
t=26 V=3.719 A=1.45045 W=5.39422 mAh_cumul=9.67438 Wh_cumul=0.0359065 
t=27 V=3.71954 A=1.45045 W=5.39501 mAh_cumul=10.0773 Wh_cumul=0.0374051 
t=28 V=3.72002 A=1.45045 W=5.3957 mAh_cumul=10.4802 Wh_cumul=0.0389039 
t=29 V=3.72054 A=1.45045 W=5.39646 mAh_cumul=10.8831 Wh_cumul=0.0404029 
t=30 V=3.72103 A=1.45046 W=5.39721 mAh_cumul=11.286 Wh_cumul=0.0419021 
t=31 V=3.72155 A=1.45045 W=5.39792 mAh_cumul=11.6889 Wh_cumul=0.0434016 
t=32 V=3.72201 A=1.45045 W=5.39859 mAh_cumul=12.0918 Wh_cumul=0.0449012 
t=33 V=3.72247 A=1.45046 W=5.39929 mAh_cumul=12.4947 Wh_cumul=0.046401 
t=34 V=3.72294 A=1.45046 W=5.39998 mAh_cumul=12.8976 Wh_cumul=0.047901 
t=35 V=3.72341 A=1.45046 W=5.40066 mAh_cumul=13.3005 Wh_cumul=0.0494012 
t=36 V=3.72386 A=1.45046 W=5.40131 mAh_cumul=13.7034 Wh_cumul=0.0509015 
t=37 V=3.72429 A=1.45045 W=5.4019 mAh_cumul=14.1063 Wh_cumul=0.052402 
t=38 V=3.72477 A=1.45045 W=5.40259 mAh_cumul=14.5092 Wh_cumul=0.0539028 
t=39 V=3.72518 A=1.45045 W=5.40319 mAh_cumul=14.9121 Wh_cumul=0.0554037 
t=40 V=3.72558 A=1.45045 W=5.40377 mAh_cumul=15.315 Wh_cumul=0.0569047 
t=41 V=3.72597 A=1.45046 W=5.40437 mAh_cumul=15.7179 Wh_cumul=0.0584059 
t=42 V=3.72637 A=1.45047 W=5.40499 mAh_cumul=16.1208 Wh_cumul=0.0599073 
t=43 V=3.72675 A=1.45046 W=5.4055 mAh_cumul=16.5238 Wh_cumul=0.0614088 
