0 errors cleared
t=0 V=3.18453 A=0.00723658 W=0.0230451 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.18682 A=0.00724124 W=0.0230765 mAh_cumul=0.00402291 Wh_cumul=1.28203e-05 
t=3 V=3.25472 A=1.45081 W=4.72198 mAh_cumul=0.407026 Wh_cumul=0.00132448 
t=4 V=3.2952 A=1.45059 W=4.77998 mAh_cumul=0.809967 Wh_cumul=0.00265225 
t=5 V=3.30719 A=1.45054 W=4.79721 mAh_cumul=1.2129 Wh_cumul=0.00398481 
t=6 V=3.31441 A=1.45053 W=4.80765 mAh_cumul=1.61582 Wh_cumul=0.00532027 
t=7 V=3.31959 A=1.45052 W=4.81513 mAh_cumul=2.01874 Wh_cumul=0.00665781 
t=8 V=3.32407 A=1.45051 W=4.8216 mAh_cumul=2.42166 Wh_cumul=0.00799714 
t=9 V=3.32791 A=1.4505 W=4.82713 mAh_cumul=2.82458 Wh_cumul=0.00933801 
t=10 V=3.33128 A=1.45051 W=4.83205 mAh_cumul=3.2275 Wh_cumul=0.0106802 
t=11 V=3.33439 A=1.45049 W=4.8365 mAh_cumul=3.63041 Wh_cumul=0.0120237 
t=12 V=3.33714 A=1.4505 W=4.84052 mAh_cumul=4.03333 Wh_cumul=0.0133683 
t=13 V=3.33975 A=1.4505 W=4.84431 mAh_cumul=4.43625 Wh_cumul=0.014714 
t=14 V=3.34216 A=1.45049 W=4.84777 mAh_cumul=4.83916 Wh_cumul=0.0160606 
t=15 V=3.3444 A=1.4505 W=4.85105 mAh_cumul=5.24208 Wh_cumul=0.0174081 
t=16 V=3.34654 A=1.45049 W=4.85412 mAh_cumul=5.64499 Wh_cumul=0.0187564 
t=17 V=3.34858 A=1.45049 W=4.85708 mAh_cumul=6.0479 Wh_cumul=0.0201056 
t=18 V=3.35042 A=1.45048 W=4.85972 mAh_cumul=6.45081 Wh_cumul=0.0214555 
t=19 V=3.35222 A=1.45048 W=4.86233 mAh_cumul=6.85373 Wh_cumul=0.0228062 
t=20 V=3.35393 A=1.45048 W=4.86481 mAh_cumul=7.25664 Wh_cumul=0.0241575 
t=21 V=3.35565 A=1.45048 W=4.8673 mAh_cumul=7.65955 Wh_cumul=0.0255096 
t=22 V=3.3572 A=1.45048 W=4.86955 mAh_cumul=8.06246 Wh_cumul=0.0268622 
t=23 V=3.35868 A=1.45046 W=4.87163 mAh_cumul=8.46536 Wh_cumul=0.0282154 
