0 errors cleared
t=0 V=4.18966 A=0.00954386 W=0.0399855 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.18954 A=0.00954272 W=0.0399796 mAh_cumul=0.00530151 Wh_cumul=2.22109e-05 
t=3 V=4.14171 A=1.44978 W=6.00457 mAh_cumul=0.408018 Wh_cumul=0.00169015 
t=4 V=4.13681 A=1.44972 W=5.99722 mAh_cumul=0.810718 Wh_cumul=0.00335604 
t=5 V=4.13392 A=1.44972 W=5.99303 mAh_cumul=1.21342 Wh_cumul=0.00502077 
t=6 V=4.1316 A=1.44971 W=5.98962 mAh_cumul=1.61612 Wh_cumul=0.00668455 
t=7 V=4.12957 A=1.44971 W=5.98668 mAh_cumul=2.01881 Wh_cumul=0.00834752 
t=8 V=4.12774 A=1.4497 W=5.98398 mAh_cumul=2.42151 Wh_cumul=0.0100097 
t=9 V=4.1261 A=1.44971 W=5.98165 mAh_cumul=2.8242 Wh_cumul=0.0116713 
t=10 V=4.12448 A=1.4497 W=5.97926 mAh_cumul=3.2269 Wh_cumul=0.0133322 
t=11 V=4.12296 A=1.4497 W=5.97706 mAh_cumul=3.62959 Wh_cumul=0.0149925 
t=12 V=4.12154 A=1.4497 W=5.975 mAh_cumul=4.03229 Wh_cumul=0.0166522 
t=13 V=4.12018 A=1.44969 W=5.97298 mAh_cumul=4.43498 Wh_cumul=0.0183114 
t=14 V=4.11882 A=1.4497 W=5.97105 mAh_cumul=4.83767 Wh_cumul=0.01997 
t=15 V=4.11758 A=1.44969 W=5.96921 mAh_cumul=5.24037 Wh_cumul=0.0216281 
t=16 V=4.11638 A=1.44969 W=5.96747 mAh_cumul=5.64306 Wh_cumul=0.0232858 
t=17 V=4.11516 A=1.44971 W=5.96579 mAh_cumul=6.04575 Wh_cumul=0.0249429 
t=18 V=4.11398 A=1.44969 W=5.964 mAh_cumul=6.44845 Wh_cumul=0.0265996 
t=19 V=4.11289 A=1.4497 W=5.96246 mAh_cumul=6.85114 Wh_cumul=0.0282558 
t=20 V=4.11179 A=1.44969 W=5.96082 mAh_cumul=7.25383 Wh_cumul=0.0299116 
t=21 V=4.11071 A=1.44969 W=5.95926 mAh_cumul=7.65652 Wh_cumul=0.031567 
t=22 V=4.10967 A=1.4497 W=5.95779 mAh_cumul=8.05922 Wh_cumul=0.0332219 
t=23 V=4.10864 A=1.4497 W=5.9563 mAh_cumul=8.46191 Wh_cumul=0.0348764 
t=24 V=4.1077 A=1.4497 W=5.95493 mAh_cumul=8.86461 Wh_cumul=0.0365306 
t=25 V=4.10683 A=1.44969 W=5.95363 mAh_cumul=9.2673 Wh_cumul=0.0381844 
t=26 V=4.10598 A=1.4497 W=5.95244 mAh_cumul=9.66999 Wh_cumul=0.0398378 
t=27 V=4.10506 A=1.4497 W=5.95111 mAh_cumul=10.0727 Wh_cumul=0.0414909 
t=28 V=4.10415 A=1.4497 W=5.94979 mAh_cumul=10.4754 Wh_cumul=0.0431436 
t=29 V=4.10329 A=1.4497 W=5.94854 mAh_cumul=10.8781 Wh_cumul=0.044796 
t=30 V=4.10243 A=1.4497 W=5.94729 mAh_cumul=11.2808 Wh_cumul=0.046448 
t=31 V=4.10158 A=1.4497 W=5.94606 mAh_cumul=11.6835 Wh_cumul=0.0480997 
t=32 V=4.1008 A=1.4497 W=5.94493 mAh_cumul=12.0862 Wh_cumul=0.0497511 
t=33 V=4.09995 A=1.44971 W=5.94374 mAh_cumul=12.4889 Wh_cumul=0.0514021 
t=34 V=4.09913 A=1.44972 W=5.94259 mAh_cumul=12.8916 Wh_cumul=0.0530528 
t=35 V=4.09836 A=1.44972 W=5.94147 mAh_cumul=13.2943 Wh_cumul=0.0547032 
t=36 V=4.0976 A=1.44971 W=5.94033 mAh_cumul=13.697 Wh_cumul=0.0563533 
t=37 V=4.09686 A=1.44971 W=5.93926 mAh_cumul=14.0997 Wh_cumul=0.0580031 
t=38 V=4.09613 A=1.44971 W=5.9382 mAh_cumul=14.5023 Wh_cumul=0.0596526 
t=39 V=4.09539 A=1.44971 W=5.93713 mAh_cumul=14.905 Wh_cumul=0.0613018 
t=40 V=4.09471 A=1.44971 W=5.93614 mAh_cumul=15.3077 Wh_cumul=0.0629508 
t=41 V=4.094 A=1.44972 W=5.93515 mAh_cumul=15.7104 Wh_cumul=0.0645994 
t=42 V=4.0933 A=1.44971 W=5.9341 mAh_cumul=16.1131 Wh_cumul=0.0662478 
t=43 V=4.09262 A=1.44971 W=5.93311 mAh_cumul=16.5158 Wh_cumul=0.0678959 
t=44 V=4.09199 A=1.44972 W=5.93224 mAh_cumul=16.9185 Wh_cumul=0.0695437 
t=45 V=4.09135 A=1.44971 W=5.93127 mAh_cumul=17.3212 Wh_cumul=0.0711913 
t=46 V=4.09069 A=1.44971 W=5.93031 mAh_cumul=17.7239 Wh_cumul=0.0728386 
t=47 V=4.09002 A=1.4497 W=5.9293 mAh_cumul=18.1266 Wh_cumul=0.0744856 
t=48 V=4.08938 A=1.44971 W=5.92842 mAh_cumul=18.5293 Wh_cumul=0.0761324 
t=49 V=4.08876 A=1.44971 W=5.92752 mAh_cumul=18.932 Wh_cumul=0.0777789 
t=50 V=4.08815 A=1.44972 W=5.92667 mAh_cumul=19.3347 Wh_cumul=0.0794252 
t=51 V=4.08755 A=1.44972 W=5.9258 mAh_cumul=19.7374 Wh_cumul=0.0810713 
t=52 V=4.08697 A=1.44971 W=5.92492 mAh_cumul=20.1401 Wh_cumul=0.0827171 
t=53 V=4.08641 A=1.44972 W=5.92415 mAh_cumul=20.5428 Wh_cumul=0.0843627 
t=54 V=4.08586 A=1.44972 W=5.92335 mAh_cumul=20.9455 Wh_cumul=0.0860081 
t=55 V=4.08531 A=1.4497 W=5.92247 mAh_cumul=21.3482 Wh_cumul=0.0876532 
t=56 V=4.08471 A=1.44971 W=5.92164 mAh_cumul=21.7509 Wh_cumul=0.0892981 
t=57 V=4.08418 A=1.44972 W=5.92092 mAh_cumul=22.1536 Wh_cumul=0.0909428 
t=58 V=4.08364 A=1.44972 W=5.92013 mAh_cumul=22.5563 Wh_cumul=0.0925873 
t=59 V=4.08311 A=1.44972 W=5.91937 mAh_cumul=22.959 Wh_cumul=0.0942316 
t=60 V=4.08261 A=1.44972 W=5.91864 mAh_cumul=23.3617 Wh_cumul=0.0958756 
t=61 V=4.0821 A=1.44972 W=5.9179 mAh_cumul=23.7644 Wh_cumul=0.0975195 
t=62 V=4.08159 A=1.44971 W=5.91712 mAh_cumul=24.1671 Wh_cumul=0.0991631 
t=63 V=4.08107 A=1.44972 W=5.91641 mAh_cumul=24.5698 Wh_cumul=0.100807 
t=64 V=4.08059 A=1.44971 W=5.91567 mAh_cumul=24.9725 Wh_cumul=0.10245 
t=65 V=4.0801 A=1.44971 W=5.91496 mAh_cumul=25.3752 Wh_cumul=0.104093 
t=66 V=4.07962 A=1.44971 W=5.91427 mAh_cumul=25.7779 Wh_cumul=0.105736 
t=67 V=4.07911 A=1.44972 W=5.91357 mAh_cumul=26.1806 Wh_cumul=0.107378 
t=68 V=4.07869 A=1.44972 W=5.91296 mAh_cumul=26.5833 Wh_cumul=0.109021 
t=69 V=4.07819 A=1.44971 W=5.91219 mAh_cumul=26.986 Wh_cumul=0.110663 
t=70 V=4.07773 A=1.44972 W=5.91157 mAh_cumul=27.3887 Wh_cumul=0.112305 
t=71 V=4.07726 A=1.44972 W=5.91089 mAh_cumul=27.7914 Wh_cumul=0.113947 
t=72 V=4.07685 A=1.44971 W=5.91025 mAh_cumul=28.1941 Wh_cumul=0.115589 
t=73 V=4.07641 A=1.44972 W=5.90965 mAh_cumul=28.5968 Wh_cumul=0.11723 
t=74 V=4.07598 A=1.44971 W=5.90899 mAh_cumul=28.9995 Wh_cumul=0.118872 
t=75 V=4.07557 A=1.44972 W=5.90844 mAh_cumul=29.4022 Wh_cumul=0.120513 
t=76 V=4.07512 A=1.44973 W=5.90782 mAh_cumul=29.8049 Wh_cumul=0.122154 
t=77 V=4.07472 A=1.44973 W=5.90724 mAh_cumul=30.2076 Wh_cumul=0.123795 
t=78 V=4.07427 A=1.44973 W=5.90659 mAh_cumul=30.6103 Wh_cumul=0.125436 
t=79 V=4.07386 A=1.44973 W=5.906 mAh_cumul=31.013 Wh_cumul=0.127076 
t=80 V=4.07344 A=1.44973 W=5.90539 mAh_cumul=31.4157 Wh_cumul=0.128717 
t=81 V=4.07301 A=1.44972 W=5.90472 mAh_cumul=31.8184 Wh_cumul=0.130357 
t=82 V=4.07261 A=1.44971 W=5.9041 mAh_cumul=32.2211 Wh_cumul=0.131997 
t=83 V=4.07221 A=1.44971 W=5.90352 mAh_cumul=32.6238 Wh_cumul=0.133637 
t=84 V=4.07183 A=1.44973 W=5.90305 mAh_cumul=33.0265 Wh_cumul=0.135277 
t=85 V=4.07144 A=1.44972 W=5.90245 mAh_cumul=33.4292 Wh_cumul=0.136916 
t=86 V=4.07105 A=1.44973 W=5.90192 mAh_cumul=33.8319 Wh_cumul=0.138556 
t=87 V=4.07069 A=1.44973 W=5.9014 mAh_cumul=34.2346 Wh_cumul=0.140195 
t=88 V=4.07029 A=1.44972 W=5.90078 mAh_cumul=34.6373 Wh_cumul=0.141834 
t=89 V=4.0699 A=1.44972 W=5.90022 mAh_cumul=35.04 Wh_cumul=0.143473 
t=90 V=4.06956 A=1.44973 W=5.89976 mAh_cumul=35.4427 Wh_cumul=0.145112 
t=91 V=4.06915 A=1.44973 W=5.89917 mAh_cumul=35.8454 Wh_cumul=0.14675 
t=92 V=4.06877 A=1.44973 W=5.89862 mAh_cumul=36.2481 Wh_cumul=0.148389 
t=93 V=4.06842 A=1.44972 W=5.89807 mAh_cumul=36.6508 Wh_cumul=0.150027 
t=94 V=4.06808 A=1.44971 W=5.89754 mAh_cumul=37.0535 Wh_cumul=0.151665 
t=95 V=4.06771 A=1.44972 W=5.89704 mAh_cumul=37.4562 Wh_cumul=0.153303 
