0 errors cleared
t=0 V=3.17955 A=0.00722618 W=0.022976 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.18194 A=0.00723077 W=0.0230079 mAh_cumul=0.00401709 Wh_cumul=1.27822e-05 
t=3 V=3.24987 A=1.45079 W=4.71488 mAh_cumul=0.407014 Wh_cumul=0.00132247 
t=4 V=3.29194 A=1.45057 W=4.77519 mAh_cumul=0.80995 Wh_cumul=0.00264891 
t=5 V=3.30478 A=1.45053 W=4.79368 mAh_cumul=1.21288 Wh_cumul=0.00398049 
t=6 V=3.31242 A=1.45051 W=4.8047 mAh_cumul=1.61579 Wh_cumul=0.00531513 
t=7 V=3.31784 A=1.4505 W=4.81253 mAh_cumul=2.01871 Wh_cumul=0.00665194 
t=8 V=3.32259 A=1.45051 W=4.81945 mAh_cumul=2.42163 Wh_cumul=0.00799068 
t=9 V=3.32656 A=1.45051 W=4.82521 mAh_cumul=2.82455 Wh_cumul=0.00933101 
t=10 V=3.33003 A=1.45048 W=4.83014 mAh_cumul=3.22746 Wh_cumul=0.0106727 
t=11 V=3.33317 A=1.4505 W=4.83476 mAh_cumul=3.63038 Wh_cumul=0.0120157 
t=12 V=3.33612 A=1.45048 W=4.83898 mAh_cumul=4.03329 Wh_cumul=0.0133599 
t=13 V=3.33877 A=1.4505 W=4.84289 mAh_cumul=4.43621 Wh_cumul=0.0147051 
t=14 V=3.34117 A=1.45049 W=4.84633 mAh_cumul=4.83912 Wh_cumul=0.0160513 
t=15 V=3.34355 A=1.45047 W=4.84972 mAh_cumul=5.24203 Wh_cumul=0.0173985 
t=16 V=3.34573 A=1.45048 W=4.85291 mAh_cumul=5.64494 Wh_cumul=0.0187465 
t=17 V=3.34781 A=1.45047 W=4.8559 mAh_cumul=6.04785 Wh_cumul=0.0200954 
t=18 V=3.34975 A=1.45046 W=4.85868 mAh_cumul=6.45075 Wh_cumul=0.021445 
t=19 V=3.35157 A=1.45047 W=4.86135 mAh_cumul=6.85366 Wh_cumul=0.0227954 
t=20 V=3.35334 A=1.45047 W=4.86392 mAh_cumul=7.25657 Wh_cumul=0.0241465 
t=21 V=3.35506 A=1.45047 W=4.86641 mAh_cumul=7.65948 Wh_cumul=0.0254982 
t=22 V=3.35667 A=1.45046 W=4.86872 mAh_cumul=8.06238 Wh_cumul=0.0268507 
t=23 V=3.3582 A=1.45046 W=4.87093 mAh_cumul=8.46529 Wh_cumul=0.0282037 
t=24 V=3.35969 A=1.45047 W=4.87313 mAh_cumul=8.8682 Wh_cumul=0.0295573 
t=25 V=3.36107 A=1.45047 W=4.87513 mAh_cumul=9.27111 Wh_cumul=0.0309115 
t=26 V=3.3624 A=1.45047 W=4.87706 mAh_cumul=9.67401 Wh_cumul=0.0322663 
t=27 V=3.36372 A=1.45047 W=4.87897 mAh_cumul=10.0769 Wh_cumul=0.0336216 
t=28 V=3.36497 A=1.45046 W=4.88075 mAh_cumul=10.4798 Wh_cumul=0.0349773 
t=29 V=3.36618 A=1.45046 W=4.88251 mAh_cumul=10.8827 Wh_cumul=0.0363336 
t=30 V=3.36728 A=1.45045 W=4.88407 mAh_cumul=11.2856 Wh_cumul=0.0376903 
t=31 V=3.36832 A=1.45046 W=4.88561 mAh_cumul=11.6885 Wh_cumul=0.0390474 
t=32 V=3.36937 A=1.45047 W=4.88717 mAh_cumul=12.0915 Wh_cumul=0.0404049 
t=33 V=3.37043 A=1.45046 W=4.88867 mAh_cumul=12.4944 Wh_cumul=0.0417629 
t=34 V=3.3714 A=1.45047 W=4.89011 mAh_cumul=12.8973 Wh_cumul=0.0431212 
t=35 V=3.37239 A=1.45046 W=4.89152 mAh_cumul=13.3002 Wh_cumul=0.04448 
t=36 V=3.37331 A=1.45045 W=4.89282 mAh_cumul=13.7031 Wh_cumul=0.0458391 
t=37 V=3.37424 A=1.45046 W=4.8942 mAh_cumul=14.106 Wh_cumul=0.0471986 
t=38 V=3.3751 A=1.45046 W=4.89545 mAh_cumul=14.5089 Wh_cumul=0.0485585 
t=39 V=3.37595 A=1.45046 W=4.89668 mAh_cumul=14.9118 Wh_cumul=0.0499187 
t=40 V=3.37677 A=1.45045 W=4.89784 mAh_cumul=15.3147 Wh_cumul=0.0512792 
t=41 V=3.37755 A=1.45046 W=4.899 mAh_cumul=15.7176 Wh_cumul=0.05264 
t=42 V=3.37831 A=1.45046 W=4.9001 mAh_cumul=16.1205 Wh_cumul=0.0540011 
t=43 V=3.37908 A=1.45046 W=4.90122 mAh_cumul=16.5234 Wh_cumul=0.0553626 
t=44 V=3.37984 A=1.45047 W=4.90236 mAh_cumul=16.9263 Wh_cumul=0.0567244 
t=45 V=3.38049 A=1.45046 W=4.90327 mAh_cumul=17.3292 Wh_cumul=0.0580864 
t=46 V=3.38115 A=1.45046 W=4.90422 mAh_cumul=17.7321 Wh_cumul=0.0594487 
t=47 V=3.38182 A=1.45046 W=4.90519 mAh_cumul=18.135 Wh_cumul=0.0608112 
t=48 V=3.38248 A=1.45045 W=4.90612 mAh_cumul=18.5379 Wh_cumul=0.062174 
t=49 V=3.38311 A=1.45045 W=4.90703 mAh_cumul=18.9408 Wh_cumul=0.0635371 
t=50 V=3.38373 A=1.45046 W=4.90797 mAh_cumul=19.3437 Wh_cumul=0.0649004 
t=51 V=3.38434 A=1.45046 W=4.90885 mAh_cumul=19.7467 Wh_cumul=0.066264 
t=52 V=3.38491 A=1.45046 W=4.90968 mAh_cumul=20.1496 Wh_cumul=0.0676278 
t=53 V=3.38547 A=1.45047 W=4.91052 mAh_cumul=20.5525 Wh_cumul=0.0689918 
