0 errors cleared
t=0 V=3.62585 A=0.00826943 W=0.0299837 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.62584 A=0.00826118 W=0.0299537 mAh_cumul=0.00458954 Wh_cumul=1.6641e-05 
t=3 V=3.68239 A=1.45077 W=5.3423 mAh_cumul=0.407581 Wh_cumul=0.00150061 
t=4 V=3.686 A=1.45055 W=5.34673 mAh_cumul=0.810512 Wh_cumul=0.00298582 
t=5 V=3.68804 A=1.45052 W=5.34958 mAh_cumul=1.21343 Wh_cumul=0.00447181 
t=6 V=3.68973 A=1.45051 W=5.35199 mAh_cumul=1.61635 Wh_cumul=0.00595847 
t=7 V=3.69121 A=1.4505 W=5.3541 mAh_cumul=2.01927 Wh_cumul=0.00744572 
t=8 V=3.69252 A=1.45048 W=5.35593 mAh_cumul=2.42218 Wh_cumul=0.00893348 
t=9 V=3.69377 A=1.45048 W=5.35774 mAh_cumul=2.82509 Wh_cumul=0.0104217 
t=10 V=3.69492 A=1.45048 W=5.35941 mAh_cumul=3.228 Wh_cumul=0.0119105 
t=11 V=3.69602 A=1.45047 W=5.36097 mAh_cumul=3.63091 Wh_cumul=0.0133996 
t=12 V=3.69706 A=1.45048 W=5.36251 mAh_cumul=4.03382 Wh_cumul=0.0148892 
t=13 V=3.6981 A=1.45048 W=5.36402 mAh_cumul=4.43673 Wh_cumul=0.0163792 
t=14 V=3.69904 A=1.45048 W=5.36538 mAh_cumul=4.83965 Wh_cumul=0.0178696 
t=15 V=3.69998 A=1.45048 W=5.36675 mAh_cumul=5.24256 Wh_cumul=0.0193604 
t=16 V=3.70091 A=1.45048 W=5.3681 mAh_cumul=5.64547 Wh_cumul=0.0208515 
t=17 V=3.7018 A=1.45048 W=5.36939 mAh_cumul=6.04838 Wh_cumul=0.022343 
t=18 V=3.70261 A=1.45048 W=5.37056 mAh_cumul=6.45129 Wh_cumul=0.0238348 
t=19 V=3.70344 A=1.45047 W=5.37173 mAh_cumul=6.8542 Wh_cumul=0.025327 
t=20 V=3.70424 A=1.45049 W=5.37296 mAh_cumul=7.25711 Wh_cumul=0.0268195 
t=21 V=3.70506 A=1.45047 W=5.37408 mAh_cumul=7.66002 Wh_cumul=0.0283123 
t=22 V=3.70583 A=1.45046 W=5.37516 mAh_cumul=8.06293 Wh_cumul=0.0298054 
t=23 V=3.70657 A=1.45046 W=5.37623 mAh_cumul=8.46583 Wh_cumul=0.0312988 
t=24 V=3.7073 A=1.45047 W=5.37733 mAh_cumul=8.86874 Wh_cumul=0.0327925 
t=25 V=3.708 A=1.45046 W=5.37831 mAh_cumul=9.27165 Wh_cumul=0.0342864 
t=26 V=3.70868 A=1.45046 W=5.37929 mAh_cumul=9.67455 Wh_cumul=0.0357807 
t=27 V=3.70941 A=1.45046 W=5.38035 mAh_cumul=10.0775 Wh_cumul=0.0372752 
t=28 V=3.71004 A=1.45046 W=5.38126 mAh_cumul=10.4804 Wh_cumul=0.03877 
t=29 V=3.71076 A=1.45046 W=5.38231 mAh_cumul=10.8833 Wh_cumul=0.0402651 
t=30 V=3.71135 A=1.45045 W=5.38313 mAh_cumul=11.2862 Wh_cumul=0.0417604 
t=31 V=3.71198 A=1.45046 W=5.38408 mAh_cumul=11.6891 Wh_cumul=0.043256 
t=32 V=3.71259 A=1.45046 W=5.38496 mAh_cumul=12.092 Wh_cumul=0.0447518 
t=33 V=3.7132 A=1.45045 W=5.38581 mAh_cumul=12.4949 Wh_cumul=0.0462479 
t=34 V=3.71384 A=1.45046 W=5.38678 mAh_cumul=12.8978 Wh_cumul=0.0477442 
t=35 V=3.71442 A=1.45045 W=5.38758 mAh_cumul=13.3007 Wh_cumul=0.0492407 
t=36 V=3.71504 A=1.45045 W=5.38848 mAh_cumul=13.7036 Wh_cumul=0.0507375 
t=37 V=3.71562 A=1.45046 W=5.38936 mAh_cumul=14.1065 Wh_cumul=0.0522346 
t=38 V=3.71618 A=1.45045 W=5.39013 mAh_cumul=14.5094 Wh_cumul=0.0537319 
t=39 V=3.71673 A=1.45045 W=5.39093 mAh_cumul=14.9123 Wh_cumul=0.0552293 
t=40 V=3.7173 A=1.45045 W=5.39176 mAh_cumul=15.3152 Wh_cumul=0.056727 
t=41 V=3.71783 A=1.45046 W=5.39256 mAh_cumul=15.7181 Wh_cumul=0.058225 
t=42 V=3.71837 A=1.45046 W=5.39335 mAh_cumul=16.121 Wh_cumul=0.0597231 
t=43 V=3.7189 A=1.45045 W=5.39408 mAh_cumul=16.5239 Wh_cumul=0.0612215 
t=44 V=3.71943 A=1.45046 W=5.39488 mAh_cumul=16.9268 Wh_cumul=0.0627201 
t=45 V=3.71994 A=1.45046 W=5.39562 mAh_cumul=17.3297 Wh_cumul=0.0642188 
t=46 V=3.72042 A=1.45045 W=5.39628 mAh_cumul=17.7326 Wh_cumul=0.0657178 
t=47 V=3.72097 A=1.45046 W=5.39712 mAh_cumul=18.1355 Wh_cumul=0.067217 
t=48 V=3.72145 A=1.45046 W=5.39781 mAh_cumul=18.5384 Wh_cumul=0.0687164 
t=49 V=3.72193 A=1.45046 W=5.39851 mAh_cumul=18.9414 Wh_cumul=0.070216 
t=50 V=3.7224 A=1.45045 W=5.39916 mAh_cumul=19.3443 Wh_cumul=0.0717158 
t=51 V=3.72287 A=1.45045 W=5.39984 mAh_cumul=19.7472 Wh_cumul=0.0732157 
t=52 V=3.72334 A=1.45045 W=5.40052 mAh_cumul=20.1501 Wh_cumul=0.0747159 
t=53 V=3.72379 A=1.45046 W=5.40121 mAh_cumul=20.553 Wh_cumul=0.0762162 
t=54 V=3.72423 A=1.45046 W=5.40185 mAh_cumul=20.9559 Wh_cumul=0.0777167 
t=55 V=3.72471 A=1.45047 W=5.40258 mAh_cumul=21.3588 Wh_cumul=0.0792174 
t=56 V=3.72514 A=1.45046 W=5.40317 mAh_cumul=21.7617 Wh_cumul=0.0807183 
t=57 V=3.72552 A=1.45045 W=5.40368 mAh_cumul=22.1646 Wh_cumul=0.0822193 
t=58 V=3.72596 A=1.45046 W=5.40436 mAh_cumul=22.5675 Wh_cumul=0.0837205 
t=59 V=3.72635 A=1.45045 W=5.40488 mAh_cumul=22.9704 Wh_cumul=0.0852219 
t=60 V=3.72676 A=1.45046 W=5.40552 mAh_cumul=23.3733 Wh_cumul=0.0867234 
t=61 V=3.72717 A=1.45046 W=5.40611 mAh_cumul=23.7762 Wh_cumul=0.0882251 
t=62 V=3.7276 A=1.45046 W=5.40673 mAh_cumul=24.1791 Wh_cumul=0.089727 
t=63 V=3.72803 A=1.45045 W=5.40732 mAh_cumul=24.582 Wh_cumul=0.091229 
t=64 V=3.72845 A=1.45046 W=5.40797 mAh_cumul=24.9849 Wh_cumul=0.0927312 
t=65 V=3.72886 A=1.45045 W=5.40852 mAh_cumul=25.3878 Wh_cumul=0.0942336 
t=66 V=3.72925 A=1.45046 W=5.40913 mAh_cumul=25.7907 Wh_cumul=0.0957361 
t=67 V=3.72966 A=1.45046 W=5.40972 mAh_cumul=26.1936 Wh_cumul=0.0972388 
t=68 V=3.73007 A=1.45046 W=5.41032 mAh_cumul=26.5965 Wh_cumul=0.0987417 
t=69 V=3.73046 A=1.45046 W=5.41088 mAh_cumul=26.9994 Wh_cumul=0.100245 
t=70 V=3.73088 A=1.45046 W=5.41149 mAh_cumul=27.4024 Wh_cumul=0.101748 
t=71 V=3.73125 A=1.45046 W=5.41203 mAh_cumul=27.8053 Wh_cumul=0.103251 
t=72 V=3.73163 A=1.45046 W=5.41258 mAh_cumul=28.2082 Wh_cumul=0.104755 
t=73 V=3.73202 A=1.45046 W=5.41315 mAh_cumul=28.6111 Wh_cumul=0.106258 
t=74 V=3.73238 A=1.45046 W=5.41367 mAh_cumul=29.014 Wh_cumul=0.107762 
t=75 V=3.73279 A=1.45047 W=5.4143 mAh_cumul=29.4169 Wh_cumul=0.109266 
t=76 V=3.73315 A=1.45047 W=5.41482 mAh_cumul=29.8198 Wh_cumul=0.11077 
t=77 V=3.73352 A=1.45046 W=5.41532 mAh_cumul=30.2227 Wh_cumul=0.112275 
t=78 V=3.73387 A=1.45046 W=5.41583 mAh_cumul=30.6256 Wh_cumul=0.113779 
t=79 V=3.73423 A=1.45046 W=5.41635 mAh_cumul=31.0285 Wh_cumul=0.115283 
t=80 V=3.73458 A=1.45045 W=5.41682 mAh_cumul=31.4314 Wh_cumul=0.116788 
t=81 V=3.73493 A=1.45046 W=5.41737 mAh_cumul=31.8343 Wh_cumul=0.118293 
t=82 V=3.73529 A=1.45046 W=5.41789 mAh_cumul=32.2372 Wh_cumul=0.119798 
t=83 V=3.73563 A=1.45046 W=5.41838 mAh_cumul=32.6401 Wh_cumul=0.121303 
t=84 V=3.73596 A=1.45045 W=5.41882 mAh_cumul=33.043 Wh_cumul=0.122808 
t=85 V=3.73632 A=1.45045 W=5.41935 mAh_cumul=33.4459 Wh_cumul=0.124314 
t=86 V=3.73668 A=1.45044 W=5.41983 mAh_cumul=33.8488 Wh_cumul=0.125819 
t=87 V=3.73702 A=1.45045 W=5.42036 mAh_cumul=34.2517 Wh_cumul=0.127325 
t=88 V=3.73739 A=1.45044 W=5.42086 mAh_cumul=34.6546 Wh_cumul=0.128831 
t=89 V=3.7377 A=1.45045 W=5.42135 mAh_cumul=35.0575 Wh_cumul=0.130337 
t=90 V=3.73806 A=1.45045 W=5.42187 mAh_cumul=35.4604 Wh_cumul=0.131843 
t=91 V=3.73839 A=1.45044 W=5.42231 mAh_cumul=35.8633 Wh_cumul=0.133349 
t=92 V=3.73871 A=1.45045 W=5.42281 mAh_cumul=36.2662 Wh_cumul=0.134855 
t=93 V=3.73904 A=1.45045 W=5.42329 mAh_cumul=36.6691 Wh_cumul=0.136362 
t=94 V=3.73935 A=1.45046 W=5.42378 mAh_cumul=37.0721 Wh_cumul=0.137868 
t=95 V=3.73968 A=1.45045 W=5.42422 mAh_cumul=37.475 Wh_cumul=0.139375 
t=96 V=3.73999 A=1.45044 W=5.42463 mAh_cumul=37.8779 Wh_cumul=0.140882 
t=97 V=3.7403 A=1.45045 W=5.42512 mAh_cumul=38.2808 Wh_cumul=0.142389 
t=98 V=3.74062 A=1.45045 W=5.42558 mAh_cumul=38.6837 Wh_cumul=0.143896 
t=99 V=3.74093 A=1.45046 W=5.42607 mAh_cumul=39.0866 Wh_cumul=0.145403 
t=100 V=3.74127 A=1.45046 W=5.42656 mAh_cumul=39.4895 Wh_cumul=0.146911 
t=101 V=3.74156 A=1.45046 W=5.42698 mAh_cumul=39.8924 Wh_cumul=0.148418 
t=102 V=3.74186 A=1.45046 W=5.42742 mAh_cumul=40.2953 Wh_cumul=0.149926 
t=103 V=3.7422 A=1.45046 W=5.42791 mAh_cumul=40.6982 Wh_cumul=0.151433 
