0 errors cleared
t=0 V=3.17099 A=0.00715981 W=0.0227037 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.17351 A=0.00715721 W=0.0227135 mAh_cumul=0.00397623 Wh_cumul=1.26186e-05 
t=3 V=3.24067 A=1.45085 W=4.70173 mAh_cumul=0.40699 Wh_cumul=0.00131865 
t=4 V=3.28201 A=1.45064 W=4.76101 mAh_cumul=0.809946 Wh_cumul=0.00264116 
t=5 V=3.2951 A=1.45059 W=4.77984 mAh_cumul=1.21289 Wh_cumul=0.00396889 
t=6 V=3.30294 A=1.45057 W=4.79115 mAh_cumul=1.61582 Wh_cumul=0.00529976 
t=7 V=3.30864 A=1.45056 W=4.79938 mAh_cumul=2.01876 Wh_cumul=0.00663293 
t=8 V=3.31345 A=1.45056 W=4.80636 mAh_cumul=2.42169 Wh_cumul=0.00796803 
t=9 V=3.31754 A=1.45055 W=4.81226 mAh_cumul=2.82462 Wh_cumul=0.00930476 
t=10 V=3.32121 A=1.45055 W=4.81758 mAh_cumul=3.22755 Wh_cumul=0.010643 
t=11 V=3.32457 A=1.45055 W=4.82246 mAh_cumul=3.63048 Wh_cumul=0.0119826 
t=12 V=3.32758 A=1.45055 W=4.82682 mAh_cumul=4.03341 Wh_cumul=0.0133233 
t=13 V=3.33037 A=1.45056 W=4.8309 mAh_cumul=4.43635 Wh_cumul=0.0146653 
t=14 V=3.33297 A=1.45054 W=4.83461 mAh_cumul=4.83927 Wh_cumul=0.0160082 
t=15 V=3.33537 A=1.45054 W=4.83809 mAh_cumul=5.2422 Wh_cumul=0.0173521 
t=16 V=3.33753 A=1.45054 W=4.84122 mAh_cumul=5.64513 Wh_cumul=0.0186969 
t=17 V=3.33967 A=1.45053 W=4.84429 mAh_cumul=6.04805 Wh_cumul=0.0200425 
t=18 V=3.34173 A=1.45053 W=4.84728 mAh_cumul=6.45098 Wh_cumul=0.021389 
t=19 V=3.34371 A=1.45053 W=4.85015 mAh_cumul=6.8539 Wh_cumul=0.0227363 
t=20 V=3.34562 A=1.45053 W=4.85292 mAh_cumul=7.25683 Wh_cumul=0.0240843 
t=21 V=3.34739 A=1.45053 W=4.85549 mAh_cumul=7.65975 Wh_cumul=0.025433 
t=22 V=3.34909 A=1.45053 W=4.85796 mAh_cumul=8.06268 Wh_cumul=0.0267825 
t=23 V=3.3507 A=1.45054 W=4.86032 mAh_cumul=8.46561 Wh_cumul=0.0281326 
t=24 V=3.35225 A=1.45052 W=4.86251 mAh_cumul=8.86853 Wh_cumul=0.0294833 
t=25 V=3.35381 A=1.45054 W=4.86484 mAh_cumul=9.27146 Wh_cumul=0.0308346 
t=26 V=3.35529 A=1.45053 W=4.86695 mAh_cumul=9.67438 Wh_cumul=0.0321865 
t=27 V=3.35662 A=1.45053 W=4.86888 mAh_cumul=10.0773 Wh_cumul=0.033539 
t=28 V=3.35798 A=1.45053 W=4.87085 mAh_cumul=10.4802 Wh_cumul=0.034892 
t=29 V=3.35928 A=1.45053 W=4.87274 mAh_cumul=10.8832 Wh_cumul=0.0362456 
t=30 V=3.3605 A=1.45051 W=4.87444 mAh_cumul=11.2861 Wh_cumul=0.0375996 
t=31 V=3.36172 A=1.45051 W=4.87621 mAh_cumul=11.689 Wh_cumul=0.0389541 
t=32 V=3.36289 A=1.45052 W=4.87794 mAh_cumul=12.0919 Wh_cumul=0.040309 
t=33 V=3.36401 A=1.45052 W=4.87956 mAh_cumul=12.4948 Wh_cumul=0.0416645 
t=34 V=3.36509 A=1.45052 W=4.88113 mAh_cumul=12.8978 Wh_cumul=0.0430204 
t=35 V=3.36615 A=1.45052 W=4.88267 mAh_cumul=13.3007 Wh_cumul=0.0443767 
t=36 V=3.36718 A=1.45053 W=4.8842 mAh_cumul=13.7036 Wh_cumul=0.0457334 
t=37 V=3.36818 A=1.45052 W=4.88561 mAh_cumul=14.1065 Wh_cumul=0.0470905 
t=38 V=3.36912 A=1.45052 W=4.88698 mAh_cumul=14.5095 Wh_cumul=0.048448 
t=39 V=3.37006 A=1.45051 W=4.88831 mAh_cumul=14.9124 Wh_cumul=0.0498058 
t=40 V=3.37095 A=1.45052 W=4.88963 mAh_cumul=15.3153 Wh_cumul=0.0511641 
t=41 V=3.37181 A=1.45051 W=4.89084 mAh_cumul=15.7182 Wh_cumul=0.0525226 
t=42 V=3.37262 A=1.45052 W=4.89205 mAh_cumul=16.1211 Wh_cumul=0.0538815 
t=43 V=3.37348 A=1.45052 W=4.8933 mAh_cumul=16.5241 Wh_cumul=0.0552408 
t=44 V=3.37426 A=1.45052 W=4.89443 mAh_cumul=16.927 Wh_cumul=0.0566004 
t=45 V=3.37503 A=1.45052 W=4.89555 mAh_cumul=17.3299 Wh_cumul=0.0579602 
t=46 V=3.37577 A=1.45053 W=4.89666 mAh_cumul=17.7328 Wh_cumul=0.0593204 
t=47 V=3.37651 A=1.45052 W=4.8977 mAh_cumul=18.1358 Wh_cumul=0.0606809 
t=48 V=3.37721 A=1.45053 W=4.89874 mAh_cumul=18.5387 Wh_cumul=0.0620416 
t=49 V=3.37786 A=1.45053 W=4.89969 mAh_cumul=18.9416 Wh_cumul=0.0634027 
t=50 V=3.37857 A=1.45052 W=4.90068 mAh_cumul=19.3445 Wh_cumul=0.064764 
t=51 V=3.37922 A=1.45051 W=4.90159 mAh_cumul=19.7474 Wh_cumul=0.0661255 
t=52 V=3.37987 A=1.45052 W=4.90257 mAh_cumul=20.1504 Wh_cumul=0.0674874 
t=53 V=3.38045 A=1.45051 W=4.90338 mAh_cumul=20.5533 Wh_cumul=0.0688494 
t=54 V=3.38106 A=1.45052 W=4.9043 mAh_cumul=20.9562 Wh_cumul=0.0702117 
t=55 V=3.38158 A=1.45052 W=4.90505 mAh_cumul=21.3591 Wh_cumul=0.0715742 
t=56 V=3.38221 A=1.45053 W=4.906 mAh_cumul=21.7621 Wh_cumul=0.072937 
t=57 V=3.38279 A=1.45053 W=4.90684 mAh_cumul=22.165 Wh_cumul=0.0743 
t=58 V=3.38331 A=1.45052 W=4.90756 mAh_cumul=22.5679 Wh_cumul=0.0756632 
t=59 V=3.38383 A=1.45053 W=4.90835 mAh_cumul=22.9708 Wh_cumul=0.0770266 
t=60 V=3.38432 A=1.45053 W=4.90906 mAh_cumul=23.3738 Wh_cumul=0.0783903 
t=61 V=3.38479 A=1.45053 W=4.90974 mAh_cumul=23.7767 Wh_cumul=0.0797541 
t=62 V=3.38526 A=1.45052 W=4.91039 mAh_cumul=24.1796 Wh_cumul=0.0811181 
t=63 V=3.38571 A=1.45052 W=4.91104 mAh_cumul=24.5825 Wh_cumul=0.0824823 
t=64 V=3.38619 A=1.45053 W=4.91177 mAh_cumul=24.9854 Wh_cumul=0.0838466 
t=65 V=3.38664 A=1.45053 W=4.91242 mAh_cumul=25.3884 Wh_cumul=0.0852112 
t=66 V=3.38711 A=1.45052 W=4.91307 mAh_cumul=25.7913 Wh_cumul=0.0865759 
t=67 V=3.38752 A=1.45053 W=4.9137 mAh_cumul=26.1942 Wh_cumul=0.0879409 
t=68 V=3.38797 A=1.45053 W=4.91435 mAh_cumul=26.5971 Wh_cumul=0.089306 
t=69 V=3.38841 A=1.45053 W=4.91499 mAh_cumul=27.0001 Wh_cumul=0.0906712 
t=70 V=3.38884 A=1.45052 W=4.91558 mAh_cumul=27.403 Wh_cumul=0.0920367 
t=71 V=3.38925 A=1.45053 W=4.91621 mAh_cumul=27.8059 Wh_cumul=0.0934023 
t=72 V=3.38962 A=1.45053 W=4.91675 mAh_cumul=28.2088 Wh_cumul=0.0947681 
t=73 V=3.39002 A=1.45053 W=4.91733 mAh_cumul=28.6118 Wh_cumul=0.096134 
t=74 V=3.39042 A=1.45053 W=4.91791 mAh_cumul=29.0147 Wh_cumul=0.0975001 
t=75 V=3.39081 A=1.45052 W=4.91844 mAh_cumul=29.4176 Wh_cumul=0.0988663 
t=76 V=3.39119 A=1.45052 W=4.91899 mAh_cumul=29.8205 Wh_cumul=0.100233 
t=77 V=3.39154 A=1.45053 W=4.91953 mAh_cumul=30.2235 Wh_cumul=0.101599 
t=78 V=3.39189 A=1.45053 W=4.92004 mAh_cumul=30.6264 Wh_cumul=0.102966 
t=79 V=3.39226 A=1.45053 W=4.92057 mAh_cumul=31.0293 Wh_cumul=0.104333 
t=80 V=3.39261 A=1.45054 W=4.92112 mAh_cumul=31.4322 Wh_cumul=0.1057 
t=81 V=3.39294 A=1.45052 W=4.92153 mAh_cumul=31.8352 Wh_cumul=0.107067 
t=82 V=3.39327 A=1.45052 W=4.92201 mAh_cumul=32.2381 Wh_cumul=0.108434 
t=83 V=3.39361 A=1.45054 W=4.92257 mAh_cumul=32.641 Wh_cumul=0.109801 
t=84 V=3.39395 A=1.45054 W=4.92306 mAh_cumul=33.0439 Wh_cumul=0.111169 
t=85 V=3.39427 A=1.45052 W=4.92346 mAh_cumul=33.4469 Wh_cumul=0.112537 
t=86 V=3.39461 A=1.45053 W=4.92398 mAh_cumul=33.8498 Wh_cumul=0.113904 
t=87 V=3.3949 A=1.45053 W=4.9244 mAh_cumul=34.2527 Wh_cumul=0.115272 
t=88 V=3.39521 A=1.45052 W=4.92482 mAh_cumul=34.6556 Wh_cumul=0.11664 
t=89 V=3.39554 A=1.45051 W=4.92526 mAh_cumul=35.0586 Wh_cumul=0.118008 
t=90 V=3.39582 A=1.45053 W=4.92574 mAh_cumul=35.4615 Wh_cumul=0.119377 
