0 errors cleared
t=0 V=4.19047 A=0.00950659 W=0.0398371 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.19033 A=0.00948605 W=0.0397497 mAh_cumul=0.00527003 Wh_cumul=2.20832e-05 
t=3 V=4.14343 A=1.44971 W=6.00677 mAh_cumul=0.407967 Wh_cumul=0.00169063 
t=4 V=4.13861 A=1.44964 W=5.99949 mAh_cumul=0.810645 Wh_cumul=0.00335716 
t=5 V=4.13582 A=1.44963 W=5.99541 mAh_cumul=1.21332 Wh_cumul=0.00502255 
t=6 V=4.13357 A=1.44962 W=5.99211 mAh_cumul=1.61599 Wh_cumul=0.00668702 
t=7 V=4.13161 A=1.44961 W=5.98922 mAh_cumul=2.01866 Wh_cumul=0.0083507 
t=8 V=4.12976 A=1.44962 W=5.98658 mAh_cumul=2.42133 Wh_cumul=0.0100136 
t=9 V=4.12812 A=1.44962 W=5.98421 mAh_cumul=2.82401 Wh_cumul=0.0116759 
t=10 V=4.12656 A=1.44964 W=5.98203 mAh_cumul=3.22668 Wh_cumul=0.0133376 
t=11 V=4.12503 A=1.44963 W=5.97977 mAh_cumul=3.62936 Wh_cumul=0.0149986 
t=12 V=4.12361 A=1.44963 W=5.97771 mAh_cumul=4.03203 Wh_cumul=0.0166591 
t=13 V=4.12225 A=1.44964 W=5.97578 mAh_cumul=4.43471 Wh_cumul=0.018319 
t=14 V=4.1209 A=1.44963 W=5.97378 mAh_cumul=4.83739 Wh_cumul=0.0199784 
t=15 V=4.11964 A=1.44962 W=5.97191 mAh_cumul=5.24006 Wh_cumul=0.0216373 
t=16 V=4.11843 A=1.44962 W=5.97016 mAh_cumul=5.64273 Wh_cumul=0.0232957 
t=17 V=4.11721 A=1.44962 W=5.96839 mAh_cumul=6.0454 Wh_cumul=0.0249536 
t=18 V=4.11603 A=1.44963 W=5.96672 mAh_cumul=6.44808 Wh_cumul=0.026611 
t=19 V=4.11485 A=1.44963 W=5.96501 mAh_cumul=6.85075 Wh_cumul=0.0282679 
t=20 V=4.11374 A=1.44961 W=5.96332 mAh_cumul=7.25342 Wh_cumul=0.0299244 
t=21 V=4.11268 A=1.44961 W=5.96178 mAh_cumul=7.65609 Wh_cumul=0.0315805 
t=22 V=4.11162 A=1.44961 W=5.96025 mAh_cumul=8.05876 Wh_cumul=0.0332361 
t=23 V=4.11054 A=1.44962 W=5.95872 mAh_cumul=8.46143 Wh_cumul=0.0348913 
t=24 V=4.10957 A=1.44963 W=5.95736 mAh_cumul=8.86411 Wh_cumul=0.0365461 
t=25 V=4.10858 A=1.44962 W=5.95588 mAh_cumul=9.26678 Wh_cumul=0.0382005 
t=26 V=4.10768 A=1.44963 W=5.95462 mAh_cumul=9.66946 Wh_cumul=0.0398546 
t=27 V=4.10683 A=1.44963 W=5.95338 mAh_cumul=10.0721 Wh_cumul=0.0415083 
t=28 V=4.10595 A=1.44962 W=5.95207 mAh_cumul=10.4748 Wh_cumul=0.0431616 
t=29 V=4.10502 A=1.44961 W=5.95068 mAh_cumul=10.8775 Wh_cumul=0.0448146 
t=30 V=4.10414 A=1.44962 W=5.94944 mAh_cumul=11.2801 Wh_cumul=0.0464672 
t=31 V=4.10325 A=1.44961 W=5.94811 mAh_cumul=11.6828 Wh_cumul=0.0481195 
t=32 V=4.1024 A=1.4496 W=5.94684 mAh_cumul=12.0855 Wh_cumul=0.0497714 
t=33 V=4.10155 A=1.44962 W=5.94569 mAh_cumul=12.4882 Wh_cumul=0.051423 
t=34 V=4.10078 A=1.44962 W=5.94457 mAh_cumul=12.8908 Wh_cumul=0.0530742 
t=35 V=4.09995 A=1.44962 W=5.94337 mAh_cumul=13.2935 Wh_cumul=0.0547252 
t=36 V=4.09911 A=1.44962 W=5.94215 mAh_cumul=13.6962 Wh_cumul=0.0563758 
t=37 V=4.09833 A=1.44963 W=5.94106 mAh_cumul=14.0988 Wh_cumul=0.0580261 
t=38 V=4.09754 A=1.44964 W=5.93996 mAh_cumul=14.5015 Wh_cumul=0.0596761 
t=39 V=4.09682 A=1.44963 W=5.93887 mAh_cumul=14.9042 Wh_cumul=0.0613257 
t=40 V=4.09609 A=1.44963 W=5.93781 mAh_cumul=15.3069 Wh_cumul=0.0629751 
t=41 V=4.09535 A=1.44962 W=5.9367 mAh_cumul=15.7095 Wh_cumul=0.0646242 
t=42 V=4.09463 A=1.44963 W=5.9357 mAh_cumul=16.1122 Wh_cumul=0.066273 
t=43 V=4.09391 A=1.44961 W=5.93457 mAh_cumul=16.5149 Wh_cumul=0.0679215 
t=44 V=4.09321 A=1.44963 W=5.93364 mAh_cumul=16.9176 Wh_cumul=0.0695697 
t=45 V=4.09252 A=1.44962 W=5.9326 mAh_cumul=17.3202 Wh_cumul=0.0712177 
t=46 V=4.09188 A=1.44962 W=5.93167 mAh_cumul=17.7229 Wh_cumul=0.0728654 
t=47 V=4.09122 A=1.44962 W=5.93071 mAh_cumul=18.1256 Wh_cumul=0.0745128 
t=48 V=4.09057 A=1.44962 W=5.92977 mAh_cumul=18.5283 Wh_cumul=0.07616 
t=49 V=4.0899 A=1.44962 W=5.9288 mAh_cumul=18.9309 Wh_cumul=0.0778068 
t=50 V=4.08924 A=1.44963 W=5.92788 mAh_cumul=19.3336 Wh_cumul=0.0794535 
t=51 V=4.0886 A=1.44963 W=5.92696 mAh_cumul=19.7363 Wh_cumul=0.0810999 
t=52 V=4.088 A=1.44962 W=5.92605 mAh_cumul=20.1389 Wh_cumul=0.082746 
t=53 V=4.08741 A=1.44963 W=5.92523 mAh_cumul=20.5416 Wh_cumul=0.0843919 
t=54 V=4.08681 A=1.44963 W=5.92436 mAh_cumul=20.9443 Wh_cumul=0.0860375 
t=55 V=4.08622 A=1.44963 W=5.92351 mAh_cumul=21.347 Wh_cumul=0.087683 
t=56 V=4.08565 A=1.44963 W=5.92268 mAh_cumul=21.7496 Wh_cumul=0.0893281 
t=57 V=4.08511 A=1.44962 W=5.92186 mAh_cumul=22.1523 Wh_cumul=0.0909731 
t=58 V=4.08453 A=1.44963 W=5.92106 mAh_cumul=22.555 Wh_cumul=0.0926178 
t=59 V=4.08399 A=1.44964 W=5.92032 mAh_cumul=22.9577 Wh_cumul=0.0942624 
t=60 V=4.08342 A=1.44964 W=5.91949 mAh_cumul=23.3604 Wh_cumul=0.0959067 
t=61 V=4.08287 A=1.44965 W=5.91873 mAh_cumul=23.763 Wh_cumul=0.0975508 
t=62 V=4.08234 A=1.44962 W=5.91784 mAh_cumul=24.1657 Wh_cumul=0.0991946 
t=63 V=4.08179 A=1.44963 W=5.91709 mAh_cumul=24.5684 Wh_cumul=0.100838 
t=64 V=4.08125 A=1.44964 W=5.91634 mAh_cumul=24.9711 Wh_cumul=0.102482 
t=65 V=4.08075 A=1.44962 W=5.91554 mAh_cumul=25.3737 Wh_cumul=0.104125 
t=66 V=4.08025 A=1.44964 W=5.91489 mAh_cumul=25.7764 Wh_cumul=0.105768 
t=67 V=4.07976 A=1.44963 W=5.91414 mAh_cumul=26.1791 Wh_cumul=0.107411 
t=68 V=4.07925 A=1.44962 W=5.91336 mAh_cumul=26.5818 Wh_cumul=0.109053 
t=69 V=4.07877 A=1.44963 W=5.91271 mAh_cumul=26.9844 Wh_cumul=0.110696 
t=70 V=4.07829 A=1.44962 W=5.91197 mAh_cumul=27.3871 Wh_cumul=0.112338 
t=71 V=4.07778 A=1.44963 W=5.91127 mAh_cumul=27.7898 Wh_cumul=0.11398 
t=72 V=4.07734 A=1.44963 W=5.91063 mAh_cumul=28.1925 Wh_cumul=0.115622 
t=73 V=4.07688 A=1.44964 W=5.91001 mAh_cumul=28.5951 Wh_cumul=0.117263 
t=74 V=4.0764 A=1.44963 W=5.90927 mAh_cumul=28.9978 Wh_cumul=0.118905 
