0 errors cleared
t=0 V=3.58689 A=0.00829414 W=0.0297502 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.58686 A=0.00828364 W=0.0297123 mAh_cumul=0.00460202 Wh_cumul=1.65068e-05 
t=3 V=3.59854 A=0.31005 W=1.11573 mAh_cumul=0.090727 Wh_cumul=0.000326431 
t=4 V=3.59852 A=0.294658 W=1.06033 mAh_cumul=0.172576 Wh_cumul=0.000620968 
t=5 V=3.59855 A=0.28427 W=1.02296 mAh_cumul=0.25154 Wh_cumul=0.000905123 
t=6 V=3.59851 A=0.275673 W=0.992012 mAh_cumul=0.328116 Wh_cumul=0.00118068 
t=7 V=3.59852 A=0.268033 W=0.964522 mAh_cumul=0.40257 Wh_cumul=0.00144861 
t=8 V=3.59852 A=0.261237 W=0.940067 mAh_cumul=0.475136 Wh_cumul=0.00170973 
t=9 V=3.59849 A=0.256524 W=0.923099 mAh_cumul=0.546392 Wh_cumul=0.00196615 
t=10 V=3.59851 A=0.251497 W=0.905014 mAh_cumul=0.616253 Wh_cumul=0.00221754 
t=11 V=3.59851 A=0.2463 W=0.886313 mAh_cumul=0.684669 Wh_cumul=0.00246374 
t=12 V=3.59851 A=0.241848 W=0.870292 mAh_cumul=0.751849 Wh_cumul=0.00270549 
t=13 V=3.59852 A=0.237916 W=0.856145 mAh_cumul=0.817937 Wh_cumul=0.00294331 
t=14 V=3.59853 A=0.233676 W=0.84089 mAh_cumul=0.882847 Wh_cumul=0.00317689 
t=15 V=3.59853 A=0.22983 W=0.82705 mAh_cumul=0.946689 Wh_cumul=0.00340662 
t=16 V=3.59853 A=0.226238 W=0.814124 mAh_cumul=1.00953 Wh_cumul=0.00363277 
t=17 V=3.59854 A=0.22246 W=0.800531 mAh_cumul=1.07133 Wh_cumul=0.00385514 
t=18 V=3.59852 A=0.219377 W=0.789433 mAh_cumul=1.13227 Wh_cumul=0.00407443 
t=19 V=3.59851 A=0.215486 W=0.775429 mAh_cumul=1.19212 Wh_cumul=0.00428982 
t=20 V=3.59853 A=0.212707 W=0.765433 mAh_cumul=1.25121 Wh_cumul=0.00450244 
t=21 V=3.59852 A=0.209957 W=0.755534 mAh_cumul=1.30953 Wh_cumul=0.00471231 
t=22 V=3.59852 A=0.207354 W=0.746168 mAh_cumul=1.36713 Wh_cumul=0.00491958 
t=23 V=3.59853 A=0.204975 W=0.737609 mAh_cumul=1.42406 Wh_cumul=0.00512447 
t=24 V=3.5985 A=0.202418 W=0.728401 mAh_cumul=1.48029 Wh_cumul=0.00532681 
t=25 V=3.59851 A=0.200015 W=0.719756 mAh_cumul=1.53585 Wh_cumul=0.00552674 
t=26 V=3.59851 A=0.197995 W=0.712487 mAh_cumul=1.59085 Wh_cumul=0.00572465 
t=27 V=3.59851 A=0.196027 W=0.705405 mAh_cumul=1.6453 Wh_cumul=0.0059206 
t=28 V=3.59852 A=0.193705 W=0.697051 mAh_cumul=1.69911 Wh_cumul=0.00611423 
t=29 V=3.59853 A=0.191572 W=0.689378 mAh_cumul=1.75232 Wh_cumul=0.00630572 
t=30 V=3.59851 A=0.189845 W=0.683159 mAh_cumul=1.80506 Wh_cumul=0.00649549 
t=31 V=3.59853 A=0.187722 W=0.675523 mAh_cumul=1.8572 Wh_cumul=0.00668313 
t=32 V=3.5985 A=0.186061 W=0.669541 mAh_cumul=1.90889 Wh_cumul=0.00686911 
t=33 V=3.59855 A=0.184428 W=0.663673 mAh_cumul=1.96012 Wh_cumul=0.00705347 
t=34 V=3.59854 A=0.182851 W=0.657997 mAh_cumul=2.01091 Wh_cumul=0.00723624 
t=35 V=3.59852 A=0.180728 W=0.650353 mAh_cumul=2.06111 Wh_cumul=0.0074169 
t=36 V=3.59855 A=0.179406 W=0.645601 mAh_cumul=2.11095 Wh_cumul=0.00759623 
t=37 V=3.59857 A=0.177681 W=0.639398 mAh_cumul=2.1603 Wh_cumul=0.00777384 
t=38 V=3.59856 A=0.17599 W=0.633311 mAh_cumul=2.20919 Wh_cumul=0.00794976 
t=39 V=3.59853 A=0.174327 W=0.627321 mAh_cumul=2.25761 Wh_cumul=0.00812402 
t=40 V=3.59853 A=0.172333 W=0.620145 mAh_cumul=2.30548 Wh_cumul=0.00829628 
t=41 V=3.59853 A=0.170915 W=0.615043 mAh_cumul=2.35296 Wh_cumul=0.00846713 
t=42 V=3.59854 A=0.169617 W=0.610374 mAh_cumul=2.40007 Wh_cumul=0.00863667 
t=43 V=3.59851 A=0.167654 W=0.603305 mAh_cumul=2.44665 Wh_cumul=0.00880426 
t=44 V=3.5985 A=0.166265 W=0.598305 mAh_cumul=2.49283 Wh_cumul=0.00897045 
t=45 V=3.59852 A=0.164828 W=0.593137 mAh_cumul=2.53862 Wh_cumul=0.00913521 
t=46 V=3.59852 A=0.163909 W=0.58983 mAh_cumul=2.58415 Wh_cumul=0.00929906 
t=47 V=3.59852 A=0.162627 W=0.585217 mAh_cumul=2.62932 Wh_cumul=0.00946162 
t=48 V=3.59848 A=0.161563 W=0.581381 mAh_cumul=2.6742 Wh_cumul=0.00962311 
t=49 V=3.59852 A=0.160878 W=0.578923 mAh_cumul=2.71889 Wh_cumul=0.00978392 
t=50 V=3.59851 A=0.159658 W=0.574531 mAh_cumul=2.76324 Wh_cumul=0.00994351 
t=51 V=3.59853 A=0.158873 W=0.571709 mAh_cumul=2.80737 Wh_cumul=0.0101023 
t=52 V=3.59853 A=0.157873 W=0.568111 mAh_cumul=2.85122 Wh_cumul=0.0102601 
t=53 V=3.59852 A=0.157123 W=0.56541 mAh_cumul=2.89487 Wh_cumul=0.0104172 
t=54 V=3.59853 A=0.155442 W=0.559363 mAh_cumul=2.93805 Wh_cumul=0.0105726 
t=55 V=3.59851 A=0.154125 W=0.55462 mAh_cumul=2.98086 Wh_cumul=0.0107266 
t=56 V=3.5985 A=0.153108 W=0.550959 mAh_cumul=3.02339 Wh_cumul=0.0108797 
t=57 V=3.59851 A=0.152151 W=0.547517 mAh_cumul=3.06565 Wh_cumul=0.0110318 
t=58 V=3.59847 A=0.150293 W=0.540825 mAh_cumul=3.1074 Wh_cumul=0.011182 
t=59 V=3.59847 A=0.148952 W=0.535999 mAh_cumul=3.14878 Wh_cumul=0.0113309 
