0 errors cleared
t=0 V=3.17625 A=0.0073473 W=0.0233369 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.17872 A=0.00735415 W=0.0233768 mAh_cumul=0.00408564 Wh_cumul=1.29871e-05 
t=3 V=3.24672 A=1.45066 W=4.70989 mAh_cumul=0.407047 Wh_cumul=0.00132129 
t=4 V=3.28793 A=1.45044 W=4.76895 mAh_cumul=0.809947 Wh_cumul=0.002646 
t=5 V=3.30072 A=1.45039 W=4.78733 mAh_cumul=1.21283 Wh_cumul=0.00397581 
t=6 V=3.30835 A=1.45036 W=4.7983 mAh_cumul=1.61571 Wh_cumul=0.00530867 
t=7 V=3.31395 A=1.45036 W=4.80642 mAh_cumul=2.01859 Wh_cumul=0.00664379 
t=8 V=3.31851 A=1.45035 W=4.813 mAh_cumul=2.42146 Wh_cumul=0.00798073 
t=9 V=3.32253 A=1.45035 W=4.81883 mAh_cumul=2.82434 Wh_cumul=0.0093193 
t=10 V=3.32611 A=1.45034 W=4.82399 mAh_cumul=3.22721 Wh_cumul=0.0106593 
t=11 V=3.32933 A=1.45035 W=4.82869 mAh_cumul=3.63009 Wh_cumul=0.0120006 
t=12 V=3.33225 A=1.45034 W=4.8329 mAh_cumul=4.03296 Wh_cumul=0.0133431 
t=13 V=3.33495 A=1.45034 W=4.83681 mAh_cumul=4.43583 Wh_cumul=0.0146866 
t=14 V=3.33746 A=1.45033 W=4.84042 mAh_cumul=4.8387 Wh_cumul=0.0160312 
t=15 V=3.33978 A=1.45034 W=4.84382 mAh_cumul=5.24157 Wh_cumul=0.0173767 
t=16 V=3.34202 A=1.45034 W=4.84707 mAh_cumul=5.64444 Wh_cumul=0.0187231 
t=17 V=3.3441 A=1.45033 W=4.85005 mAh_cumul=6.04731 Wh_cumul=0.0200703 
t=18 V=3.3461 A=1.45033 W=4.85295 mAh_cumul=6.45018 Wh_cumul=0.0214184 
t=19 V=3.34793 A=1.45032 W=4.85557 mAh_cumul=6.85305 Wh_cumul=0.0227671 
t=20 V=3.34966 A=1.45032 W=4.85808 mAh_cumul=7.25592 Wh_cumul=0.0241166 
t=21 V=3.3513 A=1.45033 W=4.86049 mAh_cumul=7.65879 Wh_cumul=0.0254667 
t=22 V=3.35293 A=1.45034 W=4.86289 mAh_cumul=8.06166 Wh_cumul=0.0268176 
t=23 V=3.35451 A=1.45034 W=4.86518 mAh_cumul=8.46453 Wh_cumul=0.028169 
t=24 V=3.35604 A=1.45033 W=4.86737 mAh_cumul=8.8674 Wh_cumul=0.029521 
t=25 V=3.35738 A=1.45033 W=4.86931 mAh_cumul=9.27027 Wh_cumul=0.0308736 
t=26 V=3.35879 A=1.45034 W=4.87139 mAh_cumul=9.67314 Wh_cumul=0.0322268 
t=27 V=3.36013 A=1.45034 W=4.87333 mAh_cumul=10.076 Wh_cumul=0.0335805 
t=28 V=3.3614 A=1.45032 W=4.87511 mAh_cumul=10.4789 Wh_cumul=0.0349347 
t=29 V=3.36262 A=1.45032 W=4.87688 mAh_cumul=10.8817 Wh_cumul=0.0362894 
t=30 V=3.36379 A=1.45032 W=4.87857 mAh_cumul=11.2846 Wh_cumul=0.0376445 
t=31 V=3.36493 A=1.45033 W=4.88026 mAh_cumul=11.6875 Wh_cumul=0.0390002 
t=32 V=3.36604 A=1.45033 W=4.88187 mAh_cumul=12.0904 Wh_cumul=0.0403562 
t=33 V=3.36712 A=1.45032 W=4.8834 mAh_cumul=12.4932 Wh_cumul=0.0417127 
t=34 V=3.36815 A=1.45033 W=4.88493 mAh_cumul=12.8961 Wh_cumul=0.0430697 
t=35 V=3.36914 A=1.45034 W=4.8864 mAh_cumul=13.299 Wh_cumul=0.044427 
t=36 V=3.37012 A=1.45032 W=4.88775 mAh_cumul=13.7018 Wh_cumul=0.0457847 
t=37 V=3.37102 A=1.45032 W=4.88906 mAh_cumul=14.1047 Wh_cumul=0.0471428 
t=38 V=3.37191 A=1.45031 W=4.89031 mAh_cumul=14.5076 Wh_cumul=0.0485012 
t=39 V=3.37276 A=1.45033 W=4.89162 mAh_cumul=14.9104 Wh_cumul=0.04986 
t=40 V=3.37363 A=1.45033 W=4.89288 mAh_cumul=15.3133 Wh_cumul=0.0512191 
t=41 V=3.37444 A=1.45031 W=4.89398 mAh_cumul=15.7162 Wh_cumul=0.0525785 
t=42 V=3.37524 A=1.45033 W=4.89521 mAh_cumul=16.119 Wh_cumul=0.0539383 
t=43 V=3.376 A=1.45033 W=4.89631 mAh_cumul=16.5219 Wh_cumul=0.0552984 
t=44 V=3.37673 A=1.45032 W=4.89734 mAh_cumul=16.9248 Wh_cumul=0.0566588 
t=45 V=3.37744 A=1.45032 W=4.89837 mAh_cumul=17.3276 Wh_cumul=0.0580194 
t=46 V=3.37811 A=1.45032 W=4.89934 mAh_cumul=17.7305 Wh_cumul=0.0593804 
t=47 V=3.37881 A=1.45031 W=4.90032 mAh_cumul=18.1334 Wh_cumul=0.0607416 
