0 errors cleared
t=0 V=4.19161 A=0.00966638 W=0.0405177 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.19157 A=0.0096672 W=0.0405207 mAh_cumul=0.00537067 Wh_cumul=2.25115e-05 
t=3 V=4.14251 A=1.44978 W=6.00573 mAh_cumul=0.408087 Wh_cumul=0.00169077 
t=4 V=4.13801 A=1.44973 W=5.999 mAh_cumul=0.81079 Wh_cumul=0.00335716 
t=5 V=4.13535 A=1.44972 W=5.9951 mAh_cumul=1.21349 Wh_cumul=0.00502246 
t=6 V=4.13315 A=1.44973 W=5.99195 mAh_cumul=1.61619 Wh_cumul=0.00668689 
t=7 V=4.13119 A=1.44972 W=5.98907 mAh_cumul=2.01889 Wh_cumul=0.00835052 
t=8 V=4.12948 A=1.44973 W=5.98663 mAh_cumul=2.4216 Wh_cumul=0.0100135 
t=9 V=4.12792 A=1.44972 W=5.98433 mAh_cumul=2.8243 Wh_cumul=0.0116758 
t=10 V=4.12646 A=1.44971 W=5.98217 mAh_cumul=3.22699 Wh_cumul=0.0133375 
t=11 V=4.12518 A=1.44971 W=5.98031 mAh_cumul=3.62969 Wh_cumul=0.0149987 
t=12 V=4.12384 A=1.44971 W=5.97837 mAh_cumul=4.03239 Wh_cumul=0.0166594 
t=13 V=4.12257 A=1.44973 W=5.97661 mAh_cumul=4.43509 Wh_cumul=0.0183195 
t=14 V=4.12134 A=1.44973 W=5.97483 mAh_cumul=4.83779 Wh_cumul=0.0199792 
t=15 V=4.12016 A=1.44972 W=5.97308 mAh_cumul=5.24049 Wh_cumul=0.0216384 
t=16 V=4.11902 A=1.44973 W=5.97147 mAh_cumul=5.6432 Wh_cumul=0.0232971 
t=17 V=4.1179 A=1.44973 W=5.96984 mAh_cumul=6.0459 Wh_cumul=0.0249554 
t=18 V=4.1169 A=1.44973 W=5.96839 mAh_cumul=6.4486 Wh_cumul=0.0266133 
t=19 V=4.11581 A=1.44972 W=5.96677 mAh_cumul=6.8513 Wh_cumul=0.0282708 
t=20 V=4.1148 A=1.44972 W=5.96531 mAh_cumul=7.254 Wh_cumul=0.0299278 
t=21 V=4.11379 A=1.44973 W=5.96388 mAh_cumul=7.6567 Wh_cumul=0.0315844 
t=22 V=4.11283 A=1.44973 W=5.96249 mAh_cumul=8.05941 Wh_cumul=0.0332407 
t=23 V=4.11192 A=1.44972 W=5.96113 mAh_cumul=8.46211 Wh_cumul=0.0348965 
t=24 V=4.111 A=1.44973 W=5.95984 mAh_cumul=8.86481 Wh_cumul=0.036552 
t=25 V=4.11009 A=1.44973 W=5.95852 mAh_cumul=9.26751 Wh_cumul=0.0382072 
t=26 V=4.10923 A=1.44972 W=5.95723 mAh_cumul=9.67021 Wh_cumul=0.039862 
t=27 V=4.1084 A=1.44972 W=5.95603 mAh_cumul=10.0729 Wh_cumul=0.0415164 
t=28 V=4.1076 A=1.44973 W=5.95491 mAh_cumul=10.4756 Wh_cumul=0.0431706 
t=29 V=4.10677 A=1.44973 W=5.95371 mAh_cumul=10.8783 Wh_cumul=0.0448244 
t=30 V=4.106 A=1.44972 W=5.95255 mAh_cumul=11.281 Wh_cumul=0.0464779 
t=31 V=4.10521 A=1.44973 W=5.95145 mAh_cumul=11.6837 Wh_cumul=0.048131 
t=32 V=4.10446 A=1.44973 W=5.95036 mAh_cumul=12.0864 Wh_cumul=0.0497839 
t=33 V=4.1037 A=1.44973 W=5.94926 mAh_cumul=12.4891 Wh_cumul=0.0514365 
t=34 V=4.10296 A=1.44973 W=5.94818 mAh_cumul=12.8918 Wh_cumul=0.0530888 
t=35 V=4.10222 A=1.44973 W=5.94711 mAh_cumul=13.2945 Wh_cumul=0.0547407 
t=36 V=4.10156 A=1.44973 W=5.94615 mAh_cumul=13.6972 Wh_cumul=0.0563925 
t=37 V=4.10087 A=1.44974 W=5.9452 mAh_cumul=14.0999 Wh_cumul=0.0580439 
t=38 V=4.10018 A=1.44973 W=5.94415 mAh_cumul=14.5026 Wh_cumul=0.059695 
t=39 V=4.09948 A=1.44974 W=5.94318 mAh_cumul=14.9053 Wh_cumul=0.0613459 
t=40 V=4.0988 A=1.44973 W=5.94215 mAh_cumul=15.3081 Wh_cumul=0.0629965 
t=41 V=4.09815 A=1.44973 W=5.94121 mAh_cumul=15.7108 Wh_cumul=0.0646469 
t=42 V=4.09755 A=1.44973 W=5.94034 mAh_cumul=16.1135 Wh_cumul=0.066297 
t=43 V=4.09691 A=1.44972 W=5.93937 mAh_cumul=16.5162 Wh_cumul=0.0679468 
t=44 V=4.0963 A=1.44973 W=5.93853 mAh_cumul=16.9189 Wh_cumul=0.0695964 
t=45 V=4.09568 A=1.44974 W=5.93767 mAh_cumul=17.3216 Wh_cumul=0.0712457 
t=46 V=4.09512 A=1.44974 W=5.93686 mAh_cumul=17.7243 Wh_cumul=0.0728949 
t=47 V=4.09449 A=1.44973 W=5.9359 mAh_cumul=18.127 Wh_cumul=0.0745437 
t=48 V=4.09387 A=1.44972 W=5.93497 mAh_cumul=18.5297 Wh_cumul=0.0761923 
