0 errors cleared
t=0 V=3.16769 A=0.00731049 W=0.0231574 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.17028 A=0.00732791 W=0.0232315 mAh_cumul=0.00407106 Wh_cumul=1.29064e-05 
t=3 V=3.23817 A=1.45067 W=4.69752 mAh_cumul=0.407035 Wh_cumul=0.00131777 
t=4 V=3.28164 A=1.45044 W=4.75982 mAh_cumul=0.809935 Wh_cumul=0.00263994 
t=5 V=3.29546 A=1.4504 W=4.77974 mAh_cumul=1.21282 Wh_cumul=0.00396765 
t=6 V=3.30366 A=1.45039 W=4.7916 mAh_cumul=1.61571 Wh_cumul=0.00529865 
t=7 V=3.30971 A=1.45037 W=4.8003 mAh_cumul=2.01859 Wh_cumul=0.00663207 
t=8 V=3.31447 A=1.45036 W=4.80717 mAh_cumul=2.42147 Wh_cumul=0.00796739 
t=9 V=3.31866 A=1.45037 W=4.81328 mAh_cumul=2.82435 Wh_cumul=0.00930442 
t=10 V=3.32241 A=1.45035 W=4.81866 mAh_cumul=3.22722 Wh_cumul=0.0106429 
t=11 V=3.32578 A=1.45035 W=4.82355 mAh_cumul=3.6301 Wh_cumul=0.0119828 
t=12 V=3.3289 A=1.45033 W=4.828 mAh_cumul=4.03297 Wh_cumul=0.0133239 
t=13 V=3.33175 A=1.45034 W=4.83217 mAh_cumul=4.43584 Wh_cumul=0.0146662 
t=14 V=3.33436 A=1.45034 W=4.83596 mAh_cumul=4.83871 Wh_cumul=0.0160095 
t=15 V=3.33682 A=1.45034 W=4.83952 mAh_cumul=5.24158 Wh_cumul=0.0173538 
t=16 V=3.33914 A=1.45032 W=4.84282 mAh_cumul=5.64445 Wh_cumul=0.018699 
t=17 V=3.34129 A=1.45033 W=4.84597 mAh_cumul=6.04732 Wh_cumul=0.0200452 
t=18 V=3.34338 A=1.45032 W=4.84897 mAh_cumul=6.45019 Wh_cumul=0.0213921 
t=19 V=3.34536 A=1.45033 W=4.85188 mAh_cumul=6.85306 Wh_cumul=0.0227398 
t=20 V=3.34722 A=1.45032 W=4.85454 mAh_cumul=7.25592 Wh_cumul=0.0240883 
t=21 V=3.34894 A=1.45033 W=4.85707 mAh_cumul=7.65879 Wh_cumul=0.0254375 
t=22 V=3.35057 A=1.45033 W=4.85943 mAh_cumul=8.06166 Wh_cumul=0.0267873 
t=23 V=3.35216 A=1.45033 W=4.86174 mAh_cumul=8.46453 Wh_cumul=0.0281378 
t=24 V=3.35372 A=1.45033 W=4.864 mAh_cumul=8.8674 Wh_cumul=0.0294889 
t=25 V=3.35526 A=1.45033 W=4.86623 mAh_cumul=9.27027 Wh_cumul=0.0308407 
t=26 V=3.35668 A=1.45033 W=4.86829 mAh_cumul=9.67314 Wh_cumul=0.032193 
t=27 V=3.35806 A=1.45033 W=4.8703 mAh_cumul=10.076 Wh_cumul=0.0335458 
t=28 V=3.35943 A=1.45033 W=4.87228 mAh_cumul=10.4789 Wh_cumul=0.0348992 
t=29 V=3.3607 A=1.45033 W=4.87412 mAh_cumul=10.8817 Wh_cumul=0.0362532 
t=30 V=3.36194 A=1.45032 W=4.87589 mAh_cumul=11.2846 Wh_cumul=0.0376076 
t=31 V=3.36315 A=1.45032 W=4.87764 mAh_cumul=11.6875 Wh_cumul=0.0389625 
t=32 V=3.36428 A=1.45032 W=4.87928 mAh_cumul=12.0903 Wh_cumul=0.0403178 
t=33 V=3.36536 A=1.45032 W=4.88085 mAh_cumul=12.4932 Wh_cumul=0.0416736 
t=34 V=3.36648 A=1.45033 W=4.88251 mAh_cumul=12.8961 Wh_cumul=0.0430299 
t=35 V=3.36752 A=1.45032 W=4.88398 mAh_cumul=13.299 Wh_cumul=0.0443865 
t=36 V=3.36852 A=1.45032 W=4.88543 mAh_cumul=13.7018 Wh_cumul=0.0457436 
t=37 V=3.3695 A=1.45032 W=4.88685 mAh_cumul=14.1047 Wh_cumul=0.0471011 
t=38 V=3.37045 A=1.45033 W=4.88826 mAh_cumul=14.5076 Wh_cumul=0.0484589 
t=39 V=3.37136 A=1.45032 W=4.88955 mAh_cumul=14.9104 Wh_cumul=0.0498171 
t=40 V=3.37223 A=1.45032 W=4.89081 mAh_cumul=15.3133 Wh_cumul=0.0511757 
t=41 V=3.37307 A=1.45032 W=4.89203 mAh_cumul=15.7162 Wh_cumul=0.0525346 
t=42 V=3.37393 A=1.45032 W=4.89328 mAh_cumul=16.119 Wh_cumul=0.0538938 
t=43 V=3.37467 A=1.45032 W=4.89435 mAh_cumul=16.5219 Wh_cumul=0.0552534 
t=44 V=3.37548 A=1.45031 W=4.89549 mAh_cumul=16.9248 Wh_cumul=0.0566132 
t=45 V=3.37622 A=1.45032 W=4.8966 mAh_cumul=17.3276 Wh_cumul=0.0579734 
t=46 V=3.37696 A=1.45032 W=4.89767 mAh_cumul=17.7305 Wh_cumul=0.0593339 
t=47 V=3.37766 A=1.45031 W=4.89865 mAh_cumul=18.1333 Wh_cumul=0.0606946 
t=48 V=3.37836 A=1.45031 W=4.89967 mAh_cumul=18.5362 Wh_cumul=0.0620556 
t=49 V=3.37904 A=1.45031 W=4.90066 mAh_cumul=18.9391 Wh_cumul=0.0634169 
t=50 V=3.3797 A=1.45032 W=4.90165 mAh_cumul=19.3419 Wh_cumul=0.0647785 
t=51 V=3.38029 A=1.45031 W=4.90247 mAh_cumul=19.7448 Wh_cumul=0.0661403 
t=52 V=3.38092 A=1.45031 W=4.90338 mAh_cumul=20.1477 Wh_cumul=0.0675023 
t=53 V=3.38151 A=1.45031 W=4.90424 mAh_cumul=20.5505 Wh_cumul=0.0688646 
t=54 V=3.38211 A=1.45031 W=4.90511 mAh_cumul=20.9534 Wh_cumul=0.0702271 
t=55 V=3.38269 A=1.45032 W=4.90598 mAh_cumul=21.3563 Wh_cumul=0.0715899 
t=56 V=3.38328 A=1.45032 W=4.90684 mAh_cumul=21.7591 Wh_cumul=0.0729529 
t=57 V=3.38382 A=1.45032 W=4.90762 mAh_cumul=22.162 Wh_cumul=0.0743162 
t=58 V=3.38433 A=1.45031 W=4.90833 mAh_cumul=22.5649 Wh_cumul=0.0756796 
t=59 V=3.38483 A=1.4503 W=4.90902 mAh_cumul=22.9677 Wh_cumul=0.0770432 
t=60 V=3.38535 A=1.45032 W=4.90984 mAh_cumul=23.3706 Wh_cumul=0.078407 
t=61 V=3.38585 A=1.45032 W=4.91057 mAh_cumul=23.7735 Wh_cumul=0.0797711 
t=62 V=3.38635 A=1.45031 W=4.91126 mAh_cumul=24.1763 Wh_cumul=0.0811353 
t=63 V=3.38685 A=1.45032 W=4.91202 mAh_cumul=24.5792 Wh_cumul=0.0824998 
