0 errors cleared
t=0 V=3.43991 A=0.00795586 W=0.0273674 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.43988 A=0.00795058 W=0.027349 mAh_cumul=0.00441699 Wh_cumul=1.51939e-05 
t=3 V=3.4516 A=0.292706 W=1.0103 mAh_cumul=0.0857242 Wh_cumul=0.000295834 
t=4 V=3.45157 A=0.277485 W=0.957759 mAh_cumul=0.162803 Wh_cumul=0.000561878 
t=5 V=3.4516 A=0.267411 W=0.922996 mAh_cumul=0.237084 Wh_cumul=0.000818266 
t=6 V=3.45157 A=0.259291 W=0.894961 mAh_cumul=0.309109 Wh_cumul=0.00106687 
t=7 V=3.45158 A=0.252784 W=0.872504 mAh_cumul=0.379327 Wh_cumul=0.00130923 
t=8 V=3.45161 A=0.246848 W=0.852023 mAh_cumul=0.447896 Wh_cumul=0.0015459 
t=9 V=3.45156 A=0.240962 W=0.831695 mAh_cumul=0.51483 Wh_cumul=0.00177693 
t=10 V=3.45159 A=0.235866 W=0.814113 mAh_cumul=0.580348 Wh_cumul=0.00200307 
t=11 V=3.45156 A=0.230785 W=0.796568 mAh_cumul=0.644455 Wh_cumul=0.00222434 
t=12 V=3.45153 A=0.226519 W=0.781837 mAh_cumul=0.707377 Wh_cumul=0.00244152 
t=13 V=3.45153 A=0.222421 W=0.767693 mAh_cumul=0.769161 Wh_cumul=0.00265476 
t=14 V=3.45153 A=0.218855 W=0.755385 mAh_cumul=0.829954 Wh_cumul=0.00286459 
t=15 V=3.45156 A=0.215267 W=0.743007 mAh_cumul=0.88975 Wh_cumul=0.00307098 
t=16 V=3.45157 A=0.212 W=0.731733 mAh_cumul=0.948639 Wh_cumul=0.00327424 
t=17 V=3.45153 A=0.208792 W=0.720652 mAh_cumul=1.00664 Wh_cumul=0.00347442 
t=18 V=3.45155 A=0.205304 W=0.708617 mAh_cumul=1.06367 Wh_cumul=0.00367126 
t=19 V=3.45157 A=0.203094 W=0.700993 mAh_cumul=1.12008 Wh_cumul=0.00386598 
t=20 V=3.45155 A=0.200561 W=0.692246 mAh_cumul=1.17579 Wh_cumul=0.00405827 
t=21 V=3.45159 A=0.198226 W=0.684195 mAh_cumul=1.23086 Wh_cumul=0.00424833 
t=22 V=3.45158 A=0.195554 W=0.67497 mAh_cumul=1.28518 Wh_cumul=0.00443582 
t=23 V=3.4516 A=0.193229 W=0.666949 mAh_cumul=1.33885 Wh_cumul=0.00462108 
t=24 V=3.4516 A=0.191162 W=0.659815 mAh_cumul=1.39195 Wh_cumul=0.00480436 
t=25 V=3.4516 A=0.189066 W=0.65258 mAh_cumul=1.44447 Wh_cumul=0.00498564 
t=26 V=3.4516 A=0.187205 W=0.646157 mAh_cumul=1.49647 Wh_cumul=0.00516512 
t=27 V=3.45155 A=0.18488 W=0.638123 mAh_cumul=1.54783 Wh_cumul=0.00534238 
t=28 V=3.45155 A=0.18282 W=0.631012 mAh_cumul=1.59861 Wh_cumul=0.00551766 
t=29 V=3.45157 A=0.180877 W=0.62431 mAh_cumul=1.64885 Wh_cumul=0.00569108 
t=30 V=3.45158 A=0.178981 W=0.617767 mAh_cumul=1.69857 Wh_cumul=0.00586268 
t=31 V=3.45155 A=0.176976 W=0.610842 mAh_cumul=1.74773 Wh_cumul=0.00603236 
t=32 V=3.45157 A=0.175247 W=0.604877 mAh_cumul=1.79641 Wh_cumul=0.00620038 
t=33 V=3.45159 A=0.174007 W=0.600601 mAh_cumul=1.84475 Wh_cumul=0.00636722 
t=34 V=3.45159 A=0.172132 W=0.594129 mAh_cumul=1.89256 Wh_cumul=0.00653225 
t=35 V=3.45156 A=0.170398 W=0.588139 mAh_cumul=1.93989 Wh_cumul=0.00669562 
t=36 V=3.45158 A=0.16907 W=0.583559 mAh_cumul=1.98686 Wh_cumul=0.00685772 
t=37 V=3.45157 A=0.167646 W=0.578642 mAh_cumul=2.03342 Wh_cumul=0.00701846 
t=38 V=3.45157 A=0.166094 W=0.573285 mAh_cumul=2.07956 Wh_cumul=0.0071777 
t=39 V=3.45156 A=0.164678 W=0.568396 mAh_cumul=2.12531 Wh_cumul=0.00733559 
t=40 V=3.45155 A=0.163521 W=0.564401 mAh_cumul=2.17073 Wh_cumul=0.00749237 
t=41 V=3.45154 A=0.162026 W=0.559239 mAh_cumul=2.21574 Wh_cumul=0.00764771 
t=42 V=3.45158 A=0.161327 W=0.556833 mAh_cumul=2.26055 Wh_cumul=0.00780239 
t=43 V=3.45157 A=0.159934 W=0.552023 mAh_cumul=2.30497 Wh_cumul=0.00795573 
t=44 V=3.45153 A=0.158719 W=0.547823 mAh_cumul=2.34906 Wh_cumul=0.0081079 
t=45 V=3.45156 A=0.158571 W=0.547317 mAh_cumul=2.39311 Wh_cumul=0.00825994 
t=46 V=3.45159 A=0.157536 W=0.54375 mAh_cumul=2.43687 Wh_cumul=0.00841098 
t=47 V=3.4516 A=0.156615 W=0.540572 mAh_cumul=2.48037 Wh_cumul=0.00856114 
t=48 V=3.45162 A=0.15533 W=0.53614 mAh_cumul=2.52352 Wh_cumul=0.00871006 
t=49 V=3.45159 A=0.153283 W=0.52907 mAh_cumul=2.5661 Wh_cumul=0.00885703 
t=50 V=3.45158 A=0.15205 W=0.524813 mAh_cumul=2.60834 Wh_cumul=0.00900281 
t=51 V=3.45156 A=0.15062 W=0.519874 mAh_cumul=2.65018 Wh_cumul=0.00914722 
t=52 V=3.45152 A=0.149292 W=0.515284 mAh_cumul=2.69165 Wh_cumul=0.00929035 
t=53 V=3.45151 A=0.148439 W=0.512339 mAh_cumul=2.73288 Wh_cumul=0.00943267 
t=54 V=3.45151 A=0.147478 W=0.509022 mAh_cumul=2.77384 Wh_cumul=0.00957406 
t=55 V=3.45152 A=0.146324 W=0.50504 mAh_cumul=2.81449 Wh_cumul=0.00971435 
t=56 V=3.45154 A=0.145363 W=0.501726 mAh_cumul=2.85487 Wh_cumul=0.00985372 
t=57 V=3.45155 A=0.144468 W=0.498639 mAh_cumul=2.895 Wh_cumul=0.00999223 
t=58 V=3.45153 A=0.144024 W=0.497103 mAh_cumul=2.93501 Wh_cumul=0.0101303 
t=59 V=3.45154 A=0.143748 W=0.496152 mAh_cumul=2.97494 Wh_cumul=0.0102681 
t=60 V=3.45155 A=0.14257 W=0.492087 mAh_cumul=3.01454 Wh_cumul=0.0104048 
t=61 V=3.45152 A=0.141439 W=0.48818 mAh_cumul=3.05383 Wh_cumul=0.0105404 
t=62 V=3.45156 A=0.141435 W=0.488171 mAh_cumul=3.09311 Wh_cumul=0.010676 
t=63 V=3.45155 A=0.140848 W=0.486144 mAh_cumul=3.13224 Wh_cumul=0.0108111 
t=64 V=3.45154 A=0.139842 W=0.48267 mAh_cumul=3.17108 Wh_cumul=0.0109452 
t=65 V=3.45155 A=0.139501 W=0.481495 mAh_cumul=3.20983 Wh_cumul=0.0110789 
t=66 V=3.45159 A=0.13902 W=0.47984 mAh_cumul=3.24845 Wh_cumul=0.0112122 
t=67 V=3.45156 A=0.137561 W=0.4748 mAh_cumul=3.28666 Wh_cumul=0.0113441 
t=68 V=3.45156 A=0.136886 W=0.47247 mAh_cumul=3.32469 Wh_cumul=0.0114753 
t=69 V=3.45156 A=0.136104 W=0.469771 mAh_cumul=3.36249 Wh_cumul=0.0116058 
t=70 V=3.45156 A=0.135792 W=0.468694 mAh_cumul=3.40021 Wh_cumul=0.011736 
t=71 V=3.45157 A=0.135453 W=0.467526 mAh_cumul=3.43784 Wh_cumul=0.0118659 
t=72 V=3.45158 A=0.134675 W=0.464842 mAh_cumul=3.47525 Wh_cumul=0.011995 
t=73 V=3.45158 A=0.13419 W=0.463168 mAh_cumul=3.51252 Wh_cumul=0.0121237 
t=74 V=3.45159 A=0.133486 W=0.460739 mAh_cumul=3.5496 Wh_cumul=0.0122516 
t=75 V=3.45157 A=0.132223 W=0.456377 mAh_cumul=3.58633 Wh_cumul=0.0123784 
t=76 V=3.45157 A=0.13182 W=0.454986 mAh_cumul=3.62295 Wh_cumul=0.0125048 
t=77 V=3.45155 A=0.131332 W=0.453299 mAh_cumul=3.65943 Wh_cumul=0.0126307 
t=78 V=3.45159 A=0.131167 W=0.452735 mAh_cumul=3.69586 Wh_cumul=0.0127565 
t=79 V=3.45157 A=0.130131 W=0.449156 mAh_cumul=3.73201 Wh_cumul=0.0128812 
t=80 V=3.45154 A=0.129134 W=0.445711 mAh_cumul=3.76788 Wh_cumul=0.013005 
t=81 V=3.45156 A=0.128439 W=0.443315 mAh_cumul=3.80356 Wh_cumul=0.0131282 
t=82 V=3.45155 A=0.12795 W=0.441626 mAh_cumul=3.8391 Wh_cumul=0.0132509 
t=83 V=3.45155 A=0.127088 W=0.438651 mAh_cumul=3.8744 Wh_cumul=0.0133727 
t=84 V=3.45155 A=0.127083 W=0.438633 mAh_cumul=3.9097 Wh_cumul=0.0134945 
t=85 V=3.45155 A=0.126424 W=0.436359 mAh_cumul=3.94482 Wh_cumul=0.0136158 
t=86 V=3.45157 A=0.125848 W=0.434373 mAh_cumul=3.97978 Wh_cumul=0.0137364 
t=87 V=3.45156 A=0.125387 W=0.432781 mAh_cumul=4.01461 Wh_cumul=0.0138566 
t=88 V=3.45154 A=0.124873 W=0.431004 mAh_cumul=4.0493 Wh_cumul=0.0139764 
t=89 V=3.45156 A=0.124622 W=0.43014 mAh_cumul=4.08391 Wh_cumul=0.0140958 
t=90 V=3.45154 A=0.123769 W=0.427194 mAh_cumul=4.11829 Wh_cumul=0.0142145 
t=91 V=3.45156 A=0.123101 W=0.42489 mAh_cumul=4.15249 Wh_cumul=0.0143325 
t=92 V=3.45159 A=0.122965 W=0.424425 mAh_cumul=4.18665 Wh_cumul=0.0144504 
t=93 V=3.45159 A=0.12265 W=0.423338 mAh_cumul=4.22072 Wh_cumul=0.014568 
t=94 V=3.45158 A=0.121997 W=0.421082 mAh_cumul=4.2546 Wh_cumul=0.014685 
t=95 V=3.45158 A=0.12177 W=0.420299 mAh_cumul=4.28843 Wh_cumul=0.0148017 
t=96 V=3.45158 A=0.121388 W=0.41898 mAh_cumul=4.32215 Wh_cumul=0.0149181 
t=97 V=3.45159 A=0.121031 W=0.417749 mAh_cumul=4.35577 Wh_cumul=0.0150342 
t=98 V=3.45159 A=0.119812 W=0.413542 mAh_cumul=4.38905 Wh_cumul=0.015149 
t=99 V=3.45158 A=0.119474 W=0.412374 mAh_cumul=4.42224 Wh_cumul=0.0152636 
t=100 V=3.45157 A=0.119423 W=0.412197 mAh_cumul=4.45541 Wh_cumul=0.0153781 
t=101 V=3.45159 A=0.118979 W=0.410667 mAh_cumul=4.48846 Wh_cumul=0.0154922 
t=102 V=3.45162 A=0.118532 W=0.409127 mAh_cumul=4.52138 Wh_cumul=0.0156058 
t=103 V=3.45157 A=0.117924 W=0.407023 mAh_cumul=4.55414 Wh_cumul=0.0157189 
t=104 V=3.45156 A=0.117161 W=0.404388 mAh_cumul=4.58669 Wh_cumul=0.0158312 
t=105 V=3.45157 A=0.116522 W=0.402184 mAh_cumul=4.61905 Wh_cumul=0.0159429 
t=106 V=3.45154 A=0.115998 W=0.400372 mAh_cumul=4.65127 Wh_cumul=0.0160541 
t=107 V=3.45156 A=0.115588 W=0.398959 mAh_cumul=4.68338 Wh_cumul=0.016165 
t=108 V=3.45156 A=0.115626 W=0.39909 mAh_cumul=4.7155 Wh_cumul=0.0162758 
t=109 V=3.45156 A=0.115099 W=0.397271 mAh_cumul=4.74747 Wh_cumul=0.0163862 
t=110 V=3.45155 A=0.114355 W=0.394702 mAh_cumul=4.77924 Wh_cumul=0.0164958 
t=111 V=3.45155 A=0.114124 W=0.393905 mAh_cumul=4.81094 Wh_cumul=0.0166052 
t=112 V=3.45157 A=0.113836 W=0.392913 mAh_cumul=4.84256 Wh_cumul=0.0167144 
