0 errors cleared
t=0 V=3.62591 A=0.00838276 W=0.0303951 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.62589 A=0.00838898 W=0.0304175 mAh_cumul=0.00466054 Wh_cumul=1.68986e-05 
t=3 V=3.6819 A=1.45064 W=5.34111 mAh_cumul=0.407616 Wh_cumul=0.00150054 
t=4 V=3.68535 A=1.45042 W=5.34531 mAh_cumul=0.810511 Wh_cumul=0.00298535 
t=5 V=3.6874 A=1.45037 W=5.34809 mAh_cumul=1.21339 Wh_cumul=0.00447093 
t=6 V=3.68908 A=1.45037 W=5.35053 mAh_cumul=1.61627 Wh_cumul=0.00595719 
t=7 V=3.69051 A=1.45034 W=5.35249 mAh_cumul=2.01914 Wh_cumul=0.00744399 
t=8 V=3.69183 A=1.45035 W=5.35445 mAh_cumul=2.42202 Wh_cumul=0.00893134 
t=9 V=3.69303 A=1.45034 W=5.35615 mAh_cumul=2.82489 Wh_cumul=0.0104192 
t=10 V=3.69421 A=1.45033 W=5.35782 mAh_cumul=3.22776 Wh_cumul=0.0119074 
t=11 V=3.69526 A=1.45033 W=5.35935 mAh_cumul=3.63063 Wh_cumul=0.0133961 
t=12 V=3.69631 A=1.45033 W=5.36087 mAh_cumul=4.0335 Wh_cumul=0.0148853 
t=13 V=3.69728 A=1.45033 W=5.36228 mAh_cumul=4.43637 Wh_cumul=0.0163748 
t=14 V=3.69822 A=1.45032 W=5.3636 mAh_cumul=4.83924 Wh_cumul=0.0178647 
t=15 V=3.69921 A=1.45034 W=5.36511 mAh_cumul=5.24211 Wh_cumul=0.019355 
t=16 V=3.70006 A=1.45034 W=5.36635 mAh_cumul=5.64498 Wh_cumul=0.0208457 
t=17 V=3.70091 A=1.45034 W=5.36758 mAh_cumul=6.04785 Wh_cumul=0.0223366 
t=18 V=3.70176 A=1.45034 W=5.36881 mAh_cumul=6.45072 Wh_cumul=0.023828 
t=19 V=3.70258 A=1.45033 W=5.36996 mAh_cumul=6.85359 Wh_cumul=0.0253196 
t=20 V=3.70334 A=1.45032 W=5.37103 mAh_cumul=7.25646 Wh_cumul=0.0268116 
t=21 V=3.70414 A=1.45034 W=5.37226 mAh_cumul=7.65933 Wh_cumul=0.0283039 
t=22 V=3.70492 A=1.45032 W=5.37332 mAh_cumul=8.0622 Wh_cumul=0.0297965 
t=23 V=3.70562 A=1.45031 W=5.3743 mAh_cumul=8.46506 Wh_cumul=0.0312893 
t=24 V=3.70635 A=1.4503 W=5.37532 mAh_cumul=8.86792 Wh_cumul=0.0327825 
t=25 V=3.70709 A=1.45031 W=5.37643 mAh_cumul=9.27079 Wh_cumul=0.0342759 
t=26 V=3.70777 A=1.45031 W=5.37742 mAh_cumul=9.67365 Wh_cumul=0.0357697 
t=27 V=3.70841 A=1.45031 W=5.37834 mAh_cumul=10.0765 Wh_cumul=0.0372636 
t=28 V=3.70907 A=1.45031 W=5.3793 mAh_cumul=10.4794 Wh_cumul=0.0387579 
t=29 V=3.70972 A=1.45032 W=5.38028 mAh_cumul=10.8822 Wh_cumul=0.0402524 
t=30 V=3.71036 A=1.45031 W=5.38117 mAh_cumul=11.2851 Wh_cumul=0.0417472 
t=31 V=3.71097 A=1.4503 W=5.38202 mAh_cumul=11.688 Wh_cumul=0.0432422 
t=32 V=3.71158 A=1.45031 W=5.38294 mAh_cumul=12.0908 Wh_cumul=0.0447375 
t=33 V=3.71218 A=1.45031 W=5.38381 mAh_cumul=12.4937 Wh_cumul=0.046233 
t=34 V=3.7128 A=1.45029 W=5.38464 mAh_cumul=12.8966 Wh_cumul=0.0477287 
t=35 V=3.71336 A=1.45029 W=5.38545 mAh_cumul=13.2994 Wh_cumul=0.0492246 
t=36 V=3.71392 A=1.45032 W=5.38637 mAh_cumul=13.7023 Wh_cumul=0.0507209 
t=37 V=3.71452 A=1.45031 W=5.38721 mAh_cumul=14.1051 Wh_cumul=0.0522173 
t=38 V=3.71509 A=1.4503 W=5.388 mAh_cumul=14.508 Wh_cumul=0.053714 
t=39 V=3.71564 A=1.4503 W=5.38879 mAh_cumul=14.9109 Wh_cumul=0.0552109 
t=40 V=3.71618 A=1.45031 W=5.38961 mAh_cumul=15.3137 Wh_cumul=0.056708 
t=41 V=3.71666 A=1.4503 W=5.39027 mAh_cumul=15.7166 Wh_cumul=0.0582053 
t=42 V=3.71723 A=1.4503 W=5.3911 mAh_cumul=16.1195 Wh_cumul=0.0597028 
t=43 V=3.71776 A=1.4503 W=5.39187 mAh_cumul=16.5223 Wh_cumul=0.0612005 
