0 errors cleared
t=0 V=3.17574 A=0.0073486 W=0.0233372 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.17818 A=0.00735606 W=0.0233789 mAh_cumul=0.0040867 Wh_cumul=1.29883e-05 
t=3 V=3.24627 A=1.45066 W=4.70923 mAh_cumul=0.407048 Wh_cumul=0.00132111 
t=4 V=3.28661 A=1.45044 W=4.76703 mAh_cumul=0.809948 Wh_cumul=0.00264528 
t=5 V=3.29903 A=1.4504 W=4.78491 mAh_cumul=1.21284 Wh_cumul=0.00397443 
t=6 V=3.30644 A=1.45038 W=4.79559 mAh_cumul=1.61572 Wh_cumul=0.00530654 
t=7 V=3.31196 A=1.45036 W=4.80353 mAh_cumul=2.0186 Wh_cumul=0.00664085 
t=8 V=3.31641 A=1.45036 W=4.80999 mAh_cumul=2.42148 Wh_cumul=0.00797696 
t=9 V=3.32037 A=1.45036 W=4.81573 mAh_cumul=2.82435 Wh_cumul=0.00931466 
t=10 V=3.3239 A=1.45035 W=4.82082 mAh_cumul=3.22723 Wh_cumul=0.0106538 
t=11 V=3.32711 A=1.45035 W=4.82547 mAh_cumul=3.6301 Wh_cumul=0.0119942 
t=12 V=3.33002 A=1.45034 W=4.82966 mAh_cumul=4.03298 Wh_cumul=0.0133358 
t=13 V=3.3327 A=1.45033 W=4.83351 mAh_cumul=4.43585 Wh_cumul=0.0146784 
t=14 V=3.33519 A=1.45035 W=4.83719 mAh_cumul=4.83872 Wh_cumul=0.0160221 
t=15 V=3.33756 A=1.45034 W=4.8406 mAh_cumul=5.24159 Wh_cumul=0.0173667 
t=16 V=3.33975 A=1.45033 W=4.84374 mAh_cumul=5.64446 Wh_cumul=0.0187122 
t=17 V=3.34186 A=1.45033 W=4.8468 mAh_cumul=6.04733 Wh_cumul=0.0200585 
t=18 V=3.34387 A=1.45033 W=4.84971 mAh_cumul=6.4502 Wh_cumul=0.0214056 
t=19 V=3.3457 A=1.45034 W=4.8524 mAh_cumul=6.85307 Wh_cumul=0.0227535 
t=20 V=3.34752 A=1.45033 W=4.85501 mAh_cumul=7.25594 Wh_cumul=0.0241021 
t=21 V=3.3492 A=1.45032 W=4.85741 mAh_cumul=7.65881 Wh_cumul=0.0254514 
t=22 V=3.35074 A=1.45032 W=4.85965 mAh_cumul=8.06168 Wh_cumul=0.0268013 
t=23 V=3.35227 A=1.45033 W=4.8619 mAh_cumul=8.46455 Wh_cumul=0.0281519 
t=24 V=3.35381 A=1.45033 W=4.86413 mAh_cumul=8.86741 Wh_cumul=0.029503 
t=25 V=3.35527 A=1.45033 W=4.86625 mAh_cumul=9.27028 Wh_cumul=0.0308547 
t=26 V=3.35666 A=1.45033 W=4.86826 mAh_cumul=9.67315 Wh_cumul=0.032207 
t=27 V=3.35801 A=1.45033 W=4.87022 mAh_cumul=10.076 Wh_cumul=0.0335599 
t=28 V=3.35931 A=1.45033 W=4.87211 mAh_cumul=10.4789 Wh_cumul=0.0349132 
t=29 V=3.36055 A=1.45034 W=4.87394 mAh_cumul=10.8818 Wh_cumul=0.0362671 
t=30 V=3.3617 A=1.45033 W=4.87557 mAh_cumul=11.2846 Wh_cumul=0.0376214 
t=31 V=3.36288 A=1.45031 W=4.87722 mAh_cumul=11.6875 Wh_cumul=0.0389762 
t=32 V=3.364 A=1.45031 W=4.87884 mAh_cumul=12.0904 Wh_cumul=0.0403314 
t=33 V=3.36508 A=1.45031 W=4.88041 mAh_cumul=12.4932 Wh_cumul=0.0416871 
t=34 V=3.36613 A=1.45032 W=4.88197 mAh_cumul=12.8961 Wh_cumul=0.0430432 
t=35 V=3.36712 A=1.45032 W=4.8834 mAh_cumul=13.299 Wh_cumul=0.0443997 
t=36 V=3.36811 A=1.45033 W=4.88487 mAh_cumul=13.7018 Wh_cumul=0.0457566 
t=37 V=3.36903 A=1.45033 W=4.88621 mAh_cumul=14.1047 Wh_cumul=0.0471139 
t=38 V=3.36997 A=1.45031 W=4.8875 mAh_cumul=14.5076 Wh_cumul=0.0484715 
t=39 V=3.37085 A=1.45033 W=4.88884 mAh_cumul=14.9104 Wh_cumul=0.0498296 
t=40 V=3.37172 A=1.45032 W=4.89007 mAh_cumul=15.3133 Wh_cumul=0.0511879 
t=41 V=3.37255 A=1.45032 W=4.89128 mAh_cumul=15.7162 Wh_cumul=0.0525466 
t=42 V=3.37336 A=1.45032 W=4.89245 mAh_cumul=16.119 Wh_cumul=0.0539056 
t=43 V=3.37412 A=1.45033 W=4.89359 mAh_cumul=16.5219 Wh_cumul=0.0552649 
t=44 V=3.37489 A=1.45032 W=4.89467 mAh_cumul=16.9248 Wh_cumul=0.0566246 
t=45 V=3.37564 A=1.45032 W=4.89576 mAh_cumul=17.3276 Wh_cumul=0.0579845 
t=46 V=3.37632 A=1.45032 W=4.89674 mAh_cumul=17.7305 Wh_cumul=0.0593447 
t=47 V=3.37703 A=1.45032 W=4.89777 mAh_cumul=18.1334 Wh_cumul=0.0607052 
t=48 V=3.37774 A=1.45032 W=4.8988 mAh_cumul=18.5362 Wh_cumul=0.062066 
t=49 V=3.37835 A=1.4503 W=4.89962 mAh_cumul=18.9391 Wh_cumul=0.063427 
t=50 V=3.379 A=1.45031 W=4.9006 mAh_cumul=19.342 Wh_cumul=0.0647883 
t=51 V=3.3796 A=1.45031 W=4.90147 mAh_cumul=19.7448 Wh_cumul=0.0661498 
t=52 V=3.3802 A=1.45032 W=4.90237 mAh_cumul=20.1477 Wh_cumul=0.0675116 
t=53 V=3.38082 A=1.45031 W=4.90324 mAh_cumul=20.5506 Wh_cumul=0.0688736 
t=54 V=3.38137 A=1.45032 W=4.90407 mAh_cumul=20.9534 Wh_cumul=0.0702358 
t=55 V=3.38192 A=1.45032 W=4.90487 mAh_cumul=21.3563 Wh_cumul=0.0715983 
t=56 V=3.38247 A=1.45031 W=4.90563 mAh_cumul=21.7592 Wh_cumul=0.0729609 
t=57 V=3.38305 A=1.45032 W=4.90651 mAh_cumul=22.162 Wh_cumul=0.0743239 
t=58 V=3.38354 A=1.45032 W=4.90722 mAh_cumul=22.5649 Wh_cumul=0.075687 
t=59 V=3.38405 A=1.45031 W=4.90792 mAh_cumul=22.9677 Wh_cumul=0.0770503 
t=60 V=3.38454 A=1.45032 W=4.90867 mAh_cumul=23.3706 Wh_cumul=0.0784138 
t=61 V=3.38504 A=1.45032 W=4.90939 mAh_cumul=23.7735 Wh_cumul=0.0797775 
t=62 V=3.3855 A=1.45033 W=4.91009 mAh_cumul=24.1764 Wh_cumul=0.0811414 
t=63 V=3.38598 A=1.45032 W=4.91075 mAh_cumul=24.5792 Wh_cumul=0.0825055 
t=64 V=3.38643 A=1.45033 W=4.91144 mAh_cumul=24.9821 Wh_cumul=0.0838698 
t=65 V=3.38689 A=1.45032 W=4.91207 mAh_cumul=25.385 Wh_cumul=0.0852343 
t=66 V=3.38735 A=1.4503 W=4.91267 mAh_cumul=25.7878 Wh_cumul=0.0865989 
t=67 V=3.38778 A=1.4503 W=4.9133 mAh_cumul=26.1907 Wh_cumul=0.0879637 
t=68 V=3.38818 A=1.45032 W=4.91395 mAh_cumul=26.5935 Wh_cumul=0.0893287 
t=69 V=3.38861 A=1.45031 W=4.91453 mAh_cumul=26.9964 Wh_cumul=0.0906939 
t=70 V=3.389 A=1.45031 W=4.9151 mAh_cumul=27.3993 Wh_cumul=0.0920592 
t=71 V=3.38937 A=1.4503 W=4.9156 mAh_cumul=27.8021 Wh_cumul=0.0934246 
t=72 V=3.38977 A=1.4503 W=4.91618 mAh_cumul=28.205 Wh_cumul=0.0947902 
t=73 V=3.39015 A=1.45029 W=4.9167 mAh_cumul=28.6079 Wh_cumul=0.096156 
t=74 V=3.39053 A=1.45031 W=4.91732 mAh_cumul=29.0107 Wh_cumul=0.0975219 
t=75 V=3.39089 A=1.45031 W=4.91784 mAh_cumul=29.4136 Wh_cumul=0.098888 
t=76 V=3.39125 A=1.45031 W=4.91836 mAh_cumul=29.8164 Wh_cumul=0.100254 
t=77 V=3.3916 A=1.45031 W=4.91887 mAh_cumul=30.2193 Wh_cumul=0.101621 
t=78 V=3.39195 A=1.45032 W=4.91941 mAh_cumul=30.6222 Wh_cumul=0.102987 
t=79 V=3.39231 A=1.45032 W=4.91994 mAh_cumul=31.025 Wh_cumul=0.104354 
t=80 V=3.39264 A=1.45033 W=4.92045 mAh_cumul=31.4279 Wh_cumul=0.10572 
t=81 V=3.39298 A=1.45033 W=4.92094 mAh_cumul=31.8308 Wh_cumul=0.107087 
t=82 V=3.3933 A=1.45032 W=4.92137 mAh_cumul=32.2336 Wh_cumul=0.108454 
t=83 V=3.39359 A=1.45033 W=4.92183 mAh_cumul=32.6365 Wh_cumul=0.109822 
t=84 V=3.39392 A=1.45032 W=4.92227 mAh_cumul=33.0394 Wh_cumul=0.111189 
t=85 V=3.39422 A=1.45032 W=4.92271 mAh_cumul=33.4422 Wh_cumul=0.112556 
t=86 V=3.39455 A=1.45032 W=4.92318 mAh_cumul=33.8451 Wh_cumul=0.113924 
t=87 V=3.39483 A=1.45032 W=4.92359 mAh_cumul=34.248 Wh_cumul=0.115292 
t=88 V=3.39518 A=1.45032 W=4.9241 mAh_cumul=34.6508 Wh_cumul=0.116659 
t=89 V=3.39543 A=1.45033 W=4.92449 mAh_cumul=35.0537 Wh_cumul=0.118027 
t=90 V=3.39574 A=1.45032 W=4.92491 mAh_cumul=35.4566 Wh_cumul=0.119395 
t=91 V=3.39601 A=1.45032 W=4.9253 mAh_cumul=35.8595 Wh_cumul=0.120763 
t=92 V=3.39632 A=1.45032 W=4.92575 mAh_cumul=36.2623 Wh_cumul=0.122132 
t=93 V=3.39656 A=1.45032 W=4.9261 mAh_cumul=36.6652 Wh_cumul=0.1235 
t=94 V=3.39685 A=1.45031 W=4.92649 mAh_cumul=37.068 Wh_cumul=0.124869 
t=95 V=3.39711 A=1.45033 W=4.92693 mAh_cumul=37.4709 Wh_cumul=0.126237 
t=96 V=3.39738 A=1.45032 W=4.92729 mAh_cumul=37.8738 Wh_cumul=0.127606 
t=97 V=3.39765 A=1.45032 W=4.92768 mAh_cumul=38.2767 Wh_cumul=0.128975 
t=98 V=3.3979 A=1.45032 W=4.92804 mAh_cumul=38.6795 Wh_cumul=0.130344 
t=99 V=3.39815 A=1.45031 W=4.92837 mAh_cumul=39.0824 Wh_cumul=0.131713 
t=100 V=3.39842 A=1.45031 W=4.92876 mAh_cumul=39.4852 Wh_cumul=0.133082 
t=101 V=3.39867 A=1.45032 W=4.92916 mAh_cumul=39.8881 Wh_cumul=0.134451 
t=102 V=3.39896 A=1.45031 W=4.92955 mAh_cumul=40.291 Wh_cumul=0.13582 
t=103 V=3.39919 A=1.45033 W=4.92995 mAh_cumul=40.6938 Wh_cumul=0.13719 
t=104 V=3.39946 A=1.45032 W=4.9303 mAh_cumul=41.0967 Wh_cumul=0.138559 
t=105 V=3.39971 A=1.45032 W=4.93067 mAh_cumul=41.4996 Wh_cumul=0.139929 
t=106 V=3.39997 A=1.45031 W=4.93101 mAh_cumul=41.9024 Wh_cumul=0.141298 
t=107 V=3.40021 A=1.45032 W=4.93139 mAh_cumul=42.3053 Wh_cumul=0.142668 
