0 errors cleared
t=0 V=4.18934 A=0.00965667 W=0.0404551 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.18923 A=0.00967579 W=0.0405341 mAh_cumul=0.00537544 Wh_cumul=2.25189e-05 
t=3 V=4.1404 A=1.44986 W=6.003 mAh_cumul=0.408114 Wh_cumul=0.00169002 
t=4 V=4.13548 A=1.4498 W=5.99562 mAh_cumul=0.810837 Wh_cumul=0.00335547 
t=5 V=4.13271 A=1.44979 W=5.99156 mAh_cumul=1.21356 Wh_cumul=0.00501979 
t=6 V=4.13046 A=1.44979 W=5.9883 mAh_cumul=1.61628 Wh_cumul=0.00668321 
t=7 V=4.1284 A=1.4498 W=5.98535 mAh_cumul=2.019 Wh_cumul=0.00834581 
t=8 V=4.12661 A=1.44979 W=5.98272 mAh_cumul=2.42172 Wh_cumul=0.0100077 
t=9 V=4.12491 A=1.44979 W=5.98025 mAh_cumul=2.82444 Wh_cumul=0.0116689 
t=10 V=4.1233 A=1.44979 W=5.97792 mAh_cumul=3.22716 Wh_cumul=0.0133294 
t=11 V=4.12181 A=1.44979 W=5.97576 mAh_cumul=3.62988 Wh_cumul=0.0149893 
t=12 V=4.12033 A=1.44979 W=5.97361 mAh_cumul=4.03259 Wh_cumul=0.0166487 
t=13 V=4.11889 A=1.44979 W=5.97153 mAh_cumul=4.43531 Wh_cumul=0.0183074 
t=14 V=4.11761 A=1.44979 W=5.96967 mAh_cumul=4.83803 Wh_cumul=0.0199657 
t=15 V=4.11632 A=1.44978 W=5.96776 mAh_cumul=5.24075 Wh_cumul=0.0216234 
t=16 V=4.11504 A=1.44978 W=5.9659 mAh_cumul=5.64347 Wh_cumul=0.0232806 
t=17 V=4.11382 A=1.44978 W=5.96413 mAh_cumul=6.04618 Wh_cumul=0.0249373 
t=18 V=4.1126 A=1.44978 W=5.96237 mAh_cumul=6.4489 Wh_cumul=0.0265935 
t=19 V=4.11146 A=1.44978 W=5.96071 mAh_cumul=6.85162 Wh_cumul=0.0282492 
t=20 V=4.1103 A=1.44978 W=5.95903 mAh_cumul=7.25433 Wh_cumul=0.0299045 
t=21 V=4.10921 A=1.44979 W=5.95749 mAh_cumul=7.65705 Wh_cumul=0.0315594 
t=22 V=4.10814 A=1.44978 W=5.9559 mAh_cumul=8.05977 Wh_cumul=0.0332138 
t=23 V=4.10715 A=1.44978 W=5.95446 mAh_cumul=8.46249 Wh_cumul=0.0348678 
t=24 V=4.10613 A=1.44977 W=5.95294 mAh_cumul=8.8652 Wh_cumul=0.0365214 
t=25 V=4.10508 A=1.44978 W=5.95146 mAh_cumul=9.26792 Wh_cumul=0.0381746 
t=26 V=4.10411 A=1.44978 W=5.95006 mAh_cumul=9.67063 Wh_cumul=0.0398274 
t=27 V=4.1032 A=1.44978 W=5.94874 mAh_cumul=10.0734 Wh_cumul=0.0414798 
t=28 V=4.10226 A=1.44977 W=5.94733 mAh_cumul=10.4761 Wh_cumul=0.0431318 
t=29 V=4.10133 A=1.44978 W=5.94603 mAh_cumul=10.8788 Wh_cumul=0.0447835 
t=30 V=4.10048 A=1.44978 W=5.94479 mAh_cumul=11.2815 Wh_cumul=0.0464349 
t=31 V=4.09954 A=1.44978 W=5.94343 mAh_cumul=11.6842 Wh_cumul=0.0480858 
t=32 V=4.09866 A=1.44978 W=5.94216 mAh_cumul=12.0869 Wh_cumul=0.0497364 
t=33 V=4.09784 A=1.44979 W=5.94101 mAh_cumul=12.4897 Wh_cumul=0.0513867 
t=34 V=4.097 A=1.44979 W=5.93979 mAh_cumul=12.8924 Wh_cumul=0.0530366 
t=35 V=4.09622 A=1.44979 W=5.93866 mAh_cumul=13.2951 Wh_cumul=0.0546863 
t=36 V=4.09544 A=1.44979 W=5.93753 mAh_cumul=13.6978 Wh_cumul=0.0563356 
t=37 V=4.0946 A=1.44979 W=5.93631 mAh_cumul=14.1005 Wh_cumul=0.0579845 
t=38 V=4.09381 A=1.44979 W=5.93516 mAh_cumul=14.5032 Wh_cumul=0.0596332 
t=39 V=4.09307 A=1.4498 W=5.93413 mAh_cumul=14.906 Wh_cumul=0.0612816 
t=40 V=4.09236 A=1.44979 W=5.93306 mAh_cumul=15.3087 Wh_cumul=0.0629296 
