0 errors cleared
t=0 V=3.13495 A=0.00713468 W=0.0223669 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.13641 A=0.00713696 W=0.0223844 mAh_cumul=0.00396498 Wh_cumul=1.24358e-05 
t=3 V=3.20146 A=1.42535 W=4.5632 mAh_cumul=0.399896 Wh_cumul=0.00127999 
t=4 V=3.24723 A=1.4251 W=4.62763 mAh_cumul=0.795757 Wh_cumul=0.00256544 
t=5 V=3.26316 A=1.42506 W=4.6502 mAh_cumul=1.19161 Wh_cumul=0.00385717 
t=6 V=3.27282 A=1.42502 W=4.66383 mAh_cumul=1.58745 Wh_cumul=0.00515268 
t=7 V=3.27996 A=1.42502 W=4.67401 mAh_cumul=1.98328 Wh_cumul=0.00645101 
t=8 V=3.28583 A=1.42502 W=4.68237 mAh_cumul=2.37912 Wh_cumul=0.00775167 
t=9 V=3.29085 A=1.42501 W=4.68949 mAh_cumul=2.77496 Wh_cumul=0.00905431 
t=10 V=3.29512 A=1.425 W=4.69555 mAh_cumul=3.17079 Wh_cumul=0.0103586 
t=11 V=3.29898 A=1.42502 W=4.70111 mAh_cumul=3.56663 Wh_cumul=0.0116645 
t=12 V=3.30257 A=1.425 W=4.70616 mAh_cumul=3.96246 Wh_cumul=0.0129718 
t=13 V=3.30592 A=1.42501 W=4.71097 mAh_cumul=4.3583 Wh_cumul=0.0142804 
t=14 V=3.309 A=1.425 W=4.71532 mAh_cumul=4.75413 Wh_cumul=0.0155902 
t=15 V=3.31183 A=1.42501 W=4.71939 mAh_cumul=5.14997 Wh_cumul=0.0169011 
t=16 V=3.31453 A=1.42499 W=4.72317 mAh_cumul=5.5458 Wh_cumul=0.0182131 
t=17 V=3.31709 A=1.42499 W=4.72682 mAh_cumul=5.94163 Wh_cumul=0.0195261 
t=18 V=3.31947 A=1.42499 W=4.73021 mAh_cumul=6.33746 Wh_cumul=0.0208401 
t=19 V=3.32183 A=1.425 W=4.73361 mAh_cumul=6.7333 Wh_cumul=0.022155 
t=20 V=3.32404 A=1.425 W=4.73676 mAh_cumul=7.12913 Wh_cumul=0.0234707 
t=21 V=3.32612 A=1.42499 W=4.73969 mAh_cumul=7.52496 Wh_cumul=0.0247873 
