0 errors cleared
t=0 V=4.19014 A=0.00951828 W=0.0398829 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.19008 A=0.00952846 W=0.039925 mAh_cumul=0.00529359 Wh_cumul=2.21806e-05 
t=3 V=4.14264 A=1.42435 W=5.90057 mAh_cumul=0.400946 Wh_cumul=0.00166123 
t=4 V=4.1379 A=1.42427 W=5.89349 mAh_cumul=0.796577 Wh_cumul=0.00329831 
t=5 V=4.13513 A=1.42427 W=5.88954 mAh_cumul=1.19221 Wh_cumul=0.00493429 
t=6 V=4.13295 A=1.42426 W=5.8864 mAh_cumul=1.58784 Wh_cumul=0.0065694 
t=7 V=4.131 A=1.42425 W=5.88358 mAh_cumul=1.98346 Wh_cumul=0.00820373 
t=8 V=4.12927 A=1.42424 W=5.88107 mAh_cumul=2.37908 Wh_cumul=0.00983736 
t=9 V=4.12766 A=1.42424 W=5.87878 mAh_cumul=2.7747 Wh_cumul=0.0114704 
t=10 V=4.12615 A=1.42424 W=5.87663 mAh_cumul=3.17033 Wh_cumul=0.0131027 
t=11 V=4.1247 A=1.42425 W=5.8746 mAh_cumul=3.56595 Wh_cumul=0.0147346 
t=12 V=4.12332 A=1.42424 W=5.8726 mAh_cumul=3.96157 Wh_cumul=0.0163659 
t=13 V=4.12205 A=1.42424 W=5.87079 mAh_cumul=4.3572 Wh_cumul=0.0179966 
t=14 V=4.12078 A=1.42424 W=5.86898 mAh_cumul=4.75282 Wh_cumul=0.0196269 
t=15 V=4.11958 A=1.42424 W=5.86727 mAh_cumul=5.14844 Wh_cumul=0.0212567 
t=16 V=4.11839 A=1.42424 W=5.86558 mAh_cumul=5.54406 Wh_cumul=0.022886 
t=17 V=4.11731 A=1.42424 W=5.86404 mAh_cumul=5.93969 Wh_cumul=0.0245149 
t=18 V=4.11618 A=1.42424 W=5.86243 mAh_cumul=6.33531 Wh_cumul=0.0261434 
t=19 V=4.11507 A=1.42425 W=5.86089 mAh_cumul=6.73093 Wh_cumul=0.0277714 
t=20 V=4.11402 A=1.42426 W=5.85943 mAh_cumul=7.12656 Wh_cumul=0.029399 
t=21 V=4.11301 A=1.42425 W=5.85795 mAh_cumul=7.52219 Wh_cumul=0.0310262 
t=22 V=4.11204 A=1.42425 W=5.85657 mAh_cumul=7.91781 Wh_cumul=0.0326531 
t=23 V=4.11109 A=1.42425 W=5.85522 mAh_cumul=8.31344 Wh_cumul=0.0342795 
t=24 V=4.11022 A=1.42425 W=5.85398 mAh_cumul=8.70906 Wh_cumul=0.0359056 
t=25 V=4.10936 A=1.42425 W=5.85276 mAh_cumul=9.10469 Wh_cumul=0.0375314 
t=26 V=4.10847 A=1.42425 W=5.85149 mAh_cumul=9.50031 Wh_cumul=0.0391568 
t=27 V=4.1076 A=1.42425 W=5.85025 mAh_cumul=9.89594 Wh_cumul=0.0407819 
t=28 V=4.10677 A=1.42426 W=5.84911 mAh_cumul=10.2916 Wh_cumul=0.0424066 
t=29 V=4.10591 A=1.42426 W=5.84788 mAh_cumul=10.6872 Wh_cumul=0.044031 
t=30 V=4.10506 A=1.42426 W=5.84667 mAh_cumul=11.0828 Wh_cumul=0.0456551 
t=31 V=4.10428 A=1.42426 W=5.84556 mAh_cumul=11.4784 Wh_cumul=0.0472789 
t=32 V=4.10351 A=1.42426 W=5.84447 mAh_cumul=11.8741 Wh_cumul=0.0489023 
t=33 V=4.10271 A=1.42426 W=5.84333 mAh_cumul=12.2697 Wh_cumul=0.0505255 
t=34 V=4.10194 A=1.42427 W=5.84227 mAh_cumul=12.6653 Wh_cumul=0.0521483 
t=35 V=4.10123 A=1.42427 W=5.84126 mAh_cumul=13.061 Wh_cumul=0.0537709 
t=36 V=4.10049 A=1.42427 W=5.8402 mAh_cumul=13.4566 Wh_cumul=0.0553932 
t=37 V=4.09973 A=1.42426 W=5.83908 mAh_cumul=13.8522 Wh_cumul=0.0570152 
t=38 V=4.09899 A=1.42425 W=5.83799 mAh_cumul=14.2478 Wh_cumul=0.0586368 
t=39 V=4.09831 A=1.42427 W=5.8371 mAh_cumul=14.6435 Wh_cumul=0.0602582 
t=40 V=4.09763 A=1.42427 W=5.83613 mAh_cumul=15.0391 Wh_cumul=0.0618794 
t=41 V=4.09701 A=1.42426 W=5.83521 mAh_cumul=15.4347 Wh_cumul=0.0635003 
t=42 V=4.09637 A=1.42425 W=5.83425 mAh_cumul=15.8304 Wh_cumul=0.0651209 
t=43 V=4.09568 A=1.42426 W=5.83331 mAh_cumul=16.226 Wh_cumul=0.0667413 
t=44 V=4.09502 A=1.42427 W=5.83241 mAh_cumul=16.6216 Wh_cumul=0.0683614 
t=45 V=4.09441 A=1.42427 W=5.83155 mAh_cumul=17.0172 Wh_cumul=0.0699813 
t=46 V=4.09378 A=1.42426 W=5.83061 mAh_cumul=17.4129 Wh_cumul=0.0716009 
t=47 V=4.09319 A=1.42426 W=5.82977 mAh_cumul=17.8085 Wh_cumul=0.0732202 
t=48 V=4.0926 A=1.42427 W=5.82897 mAh_cumul=18.2041 Wh_cumul=0.0748394 
t=49 V=4.092 A=1.42426 W=5.82807 mAh_cumul=18.5998 Wh_cumul=0.0764583 
t=50 V=4.09143 A=1.42427 W=5.8273 mAh_cumul=18.9954 Wh_cumul=0.078077 
t=51 V=4.09088 A=1.42426 W=5.82648 mAh_cumul=19.391 Wh_cumul=0.0796955 
