0 errors cleared
t=0 V=4.16181 A=0.00951583 W=0.0396031 mAh_cumul=0 Wh_cumul=0 
t=1 V=4.16178 A=0.00951173 W=0.0395857 mAh_cumul=0.00264215 Wh_cumul=1.0996e-05 
t=2 V=4.18287 A=0.570284 W=2.38542 mAh_cumul=0.161054 Wh_cumul=0.000673614 
t=3 V=4.18445 A=0.569998 W=2.38513 mAh_cumul=0.319387 Wh_cumul=0.00133615 
t=4 V=4.18542 A=0.569955 W=2.3855 mAh_cumul=0.477708 Wh_cumul=0.00199879 
t=5 V=4.1863 A=0.56994 W=2.38594 mAh_cumul=0.636025 Wh_cumul=0.00266155 
t=6 V=4.18697 A=0.569926 W=2.38626 mAh_cumul=0.794337 Wh_cumul=0.0033244 
t=7 V=4.18761 A=0.569915 W=2.38658 mAh_cumul=0.952647 Wh_cumul=0.00398734 
t=8 V=4.18823 A=0.569911 W=2.38692 mAh_cumul=1.11096 Wh_cumul=0.00465037 
t=9 V=4.18882 A=0.569919 W=2.38729 mAh_cumul=1.26927 Wh_cumul=0.00531351 
t=10 V=4.18939 A=0.569915 W=2.3876 mAh_cumul=1.42758 Wh_cumul=0.00597673 
t=11 V=4.18991 A=0.569905 W=2.38785 mAh_cumul=1.58588 Wh_cumul=0.00664002 
t=12 V=4.19039 A=0.569907 W=2.38813 mAh_cumul=1.74419 Wh_cumul=0.00730339 
t=13 V=4.19089 A=0.569906 W=2.38841 mAh_cumul=1.9025 Wh_cumul=0.00796684 
t=14 V=4.19135 A=0.569889 W=2.3886 mAh_cumul=2.0608 Wh_cumul=0.00863034 
t=15 V=4.19182 A=0.569903 W=2.38893 mAh_cumul=2.21911 Wh_cumul=0.00929393 
t=16 V=4.19228 A=0.569895 W=2.38916 mAh_cumul=2.37741 Wh_cumul=0.00995759 
t=17 V=4.19271 A=0.569899 W=2.38942 mAh_cumul=2.53572 Wh_cumul=0.0106213 
t=18 V=4.19315 A=0.569898 W=2.38967 mAh_cumul=2.69402 Wh_cumul=0.0112851 
t=19 V=4.1936 A=0.569895 W=2.38991 mAh_cumul=2.85233 Wh_cumul=0.011949 
t=20 V=4.194 A=0.569896 W=2.39014 mAh_cumul=3.01063 Wh_cumul=0.0126129 
t=21 V=4.1944 A=0.569895 W=2.39037 mAh_cumul=3.16893 Wh_cumul=0.0132769 
t=22 V=4.19481 A=0.569889 W=2.39058 mAh_cumul=3.32724 Wh_cumul=0.0139409 
t=23 V=4.19519 A=0.569879 W=2.39075 mAh_cumul=3.48554 Wh_cumul=0.014605 
t=24 V=4.19559 A=0.56989 W=2.39102 mAh_cumul=3.64384 Wh_cumul=0.0152692 
t=25 V=4.19596 A=0.569906 W=2.3913 mAh_cumul=3.80215 Wh_cumul=0.0159335 
t=26 V=4.19632 A=0.569898 W=2.39147 mAh_cumul=3.96045 Wh_cumul=0.0165978 
t=27 V=4.19668 A=0.569901 W=2.39169 mAh_cumul=4.11876 Wh_cumul=0.0172621 
t=28 V=4.19705 A=0.569892 W=2.39187 mAh_cumul=4.27706 Wh_cumul=0.0179265 
t=29 V=4.19739 A=0.569894 W=2.39207 mAh_cumul=4.43536 Wh_cumul=0.018591 
t=30 V=4.19773 A=0.56989 W=2.39224 mAh_cumul=4.59367 Wh_cumul=0.0192555 
t=31 V=4.19812 A=0.56989 W=2.39247 mAh_cumul=4.75197 Wh_cumul=0.0199201 
t=32 V=4.19842 A=0.569896 W=2.39266 mAh_cumul=4.91027 Wh_cumul=0.0205847 
t=33 V=4.19882 A=0.569891 W=2.39287 mAh_cumul=5.06858 Wh_cumul=0.0212494 
t=34 V=4.19913 A=0.569887 W=2.39303 mAh_cumul=5.22688 Wh_cumul=0.0219141 
t=35 V=4.19945 A=0.569886 W=2.39321 mAh_cumul=5.38518 Wh_cumul=0.0225789 
t=36 V=4.19977 A=0.569888 W=2.3934 mAh_cumul=5.54348 Wh_cumul=0.0232437 
t=37 V=4.20009 A=0.569896 W=2.39361 mAh_cumul=5.70179 Wh_cumul=0.0239086 
t=38 V=4.20037 A=0.569878 W=2.3937 mAh_cumul=5.86009 Wh_cumul=0.0245735 
t=39 V=4.20072 A=0.569889 W=2.39394 mAh_cumul=6.01839 Wh_cumul=0.0252385 
t=40 V=4.20102 A=0.569895 W=2.39414 mAh_cumul=6.17669 Wh_cumul=0.0259036 
t=41 V=4.20129 A=0.569877 W=2.39422 mAh_cumul=6.33499 Wh_cumul=0.0265686 
t=42 V=4.20163 A=0.569877 W=2.39441 mAh_cumul=6.49329 Wh_cumul=0.0272337 
t=43 V=4.20195 A=0.569886 W=2.39463 mAh_cumul=6.65159 Wh_cumul=0.0278989 
t=44 V=4.20223 A=0.569885 W=2.39479 mAh_cumul=6.8099 Wh_cumul=0.0285641 
t=45 V=4.20251 A=0.569881 W=2.39493 mAh_cumul=6.9682 Wh_cumul=0.0292294 
t=46 V=4.20264 A=0.564183 W=2.37106 mAh_cumul=7.12491 Wh_cumul=0.029888 
t=47 V=4.20265 A=0.55684 W=2.3402 mAh_cumul=7.27959 Wh_cumul=0.0305381 
t=48 V=4.20264 A=0.549893 W=2.311 mAh_cumul=7.43234 Wh_cumul=0.03118 
t=49 V=4.20264 A=0.542958 W=2.28186 mAh_cumul=7.58316 Wh_cumul=0.0318139 
t=50 V=4.20262 A=0.536451 W=2.2545 mAh_cumul=7.73217 Wh_cumul=0.0324401 
t=51 V=4.20266 A=0.530402 W=2.2291 mAh_cumul=7.87951 Wh_cumul=0.0330593 
t=52 V=4.20265 A=0.524927 W=2.20608 mAh_cumul=8.02532 Wh_cumul=0.0336721 
t=53 V=4.20265 A=0.519079 W=2.18151 mAh_cumul=8.16951 Wh_cumul=0.0342781 
t=54 V=4.20265 A=0.513804 W=2.15934 mAh_cumul=8.31223 Wh_cumul=0.0348779 
t=55 V=4.20266 A=0.508355 W=2.13644 mAh_cumul=8.45344 Wh_cumul=0.0354714 
t=56 V=4.20264 A=0.503189 W=2.11472 mAh_cumul=8.59322 Wh_cumul=0.0360588 
t=57 V=4.20266 A=0.498346 W=2.09438 mAh_cumul=8.73165 Wh_cumul=0.0366406 
t=58 V=4.20266 A=0.493329 W=2.07329 mAh_cumul=8.86868 Wh_cumul=0.0372165 
t=59 V=4.20262 A=0.488352 W=2.05236 mAh_cumul=9.00434 Wh_cumul=0.0377866 
t=60 V=4.20265 A=0.483829 W=2.03336 mAh_cumul=9.13873 Wh_cumul=0.0383514 
t=61 V=4.20263 A=0.479104 W=2.0135 mAh_cumul=9.27182 Wh_cumul=0.0389107 
t=62 V=4.20264 A=0.473919 W=1.99171 mAh_cumul=9.40346 Wh_cumul=0.039464 
t=63 V=4.20264 A=0.469438 W=1.97288 mAh_cumul=9.53386 Wh_cumul=0.040012 
t=64 V=4.20262 A=0.465257 W=1.9553 mAh_cumul=9.6631 Wh_cumul=0.0405551 
t=65 V=4.20263 A=0.461602 W=1.93994 mAh_cumul=9.79132 Wh_cumul=0.041094 
t=66 V=4.20265 A=0.457928 W=1.92451 mAh_cumul=9.91852 Wh_cumul=0.0416286 
t=67 V=4.20263 A=0.454076 W=1.90831 mAh_cumul=10.0447 Wh_cumul=0.0421587 
t=68 V=4.20265 A=0.449789 W=1.89031 mAh_cumul=10.1696 Wh_cumul=0.0426838 
t=69 V=4.20264 A=0.445648 W=1.8729 mAh_cumul=10.2934 Wh_cumul=0.043204 
t=70 V=4.20266 A=0.442084 W=1.85793 mAh_cumul=10.4162 Wh_cumul=0.0437201 
t=71 V=4.20263 A=0.43887 W=1.84441 mAh_cumul=10.5381 Wh_cumul=0.0442324 
t=72 V=4.20261 A=0.435196 W=1.82896 mAh_cumul=10.659 Wh_cumul=0.0447405 
t=73 V=4.20264 A=0.432207 W=1.81641 mAh_cumul=10.779 Wh_cumul=0.045245 
t=74 V=4.20263 A=0.428324 W=1.80009 mAh_cumul=10.898 Wh_cumul=0.0457451 
t=75 V=4.20263 A=0.425093 W=1.78651 mAh_cumul=11.0161 Wh_cumul=0.0462413 
t=76 V=4.20263 A=0.42182 W=1.77275 mAh_cumul=11.1333 Wh_cumul=0.0467337 
t=77 V=4.20262 A=0.419048 W=1.7611 mAh_cumul=11.2497 Wh_cumul=0.0472229 
t=78 V=4.20263 A=0.416552 W=1.75061 mAh_cumul=11.3654 Wh_cumul=0.0477092 
t=79 V=4.20264 A=0.413583 W=1.73814 mAh_cumul=11.4803 Wh_cumul=0.048192 
t=80 V=4.20263 A=0.41054 W=1.72535 mAh_cumul=11.5943 Wh_cumul=0.0486713 
t=81 V=4.20264 A=0.406828 W=1.70975 mAh_cumul=11.7073 Wh_cumul=0.0491462 
t=82 V=4.20261 A=0.404262 W=1.69896 mAh_cumul=11.8196 Wh_cumul=0.0496182 
t=83 V=4.20263 A=0.401338 W=1.68668 mAh_cumul=11.9311 Wh_cumul=0.0500867 
t=84 V=4.20261 A=0.398661 W=1.67542 mAh_cumul=12.0418 Wh_cumul=0.0505521 
t=85 V=4.2026 A=0.395598 W=1.66254 mAh_cumul=12.1517 Wh_cumul=0.0510139 
t=86 V=4.20262 A=0.39331 W=1.65293 mAh_cumul=12.261 Wh_cumul=0.051473 
t=87 V=4.20263 A=0.391334 W=1.64463 mAh_cumul=12.3697 Wh_cumul=0.0519299 
t=88 V=4.20262 A=0.389157 W=1.63548 mAh_cumul=12.4778 Wh_cumul=0.0523842 
t=89 V=4.20262 A=0.386421 W=1.62398 mAh_cumul=12.5851 Wh_cumul=0.0528353 
t=90 V=4.20261 A=0.383489 W=1.61165 mAh_cumul=12.6916 Wh_cumul=0.053283 
t=91 V=4.20261 A=0.381004 W=1.60121 mAh_cumul=12.7975 Wh_cumul=0.0537277 
t=92 V=4.20265 A=0.379078 W=1.59313 mAh_cumul=12.9028 Wh_cumul=0.0541703 
t=93 V=4.20265 A=0.376895 W=1.58396 mAh_cumul=13.0075 Wh_cumul=0.0546103 
t=94 V=4.20264 A=0.374662 W=1.57457 mAh_cumul=13.1115 Wh_cumul=0.0550477 
t=95 V=4.20264 A=0.371816 W=1.56261 mAh_cumul=13.2148 Wh_cumul=0.0554817 
t=96 V=4.20264 A=0.369588 W=1.55325 mAh_cumul=13.3175 Wh_cumul=0.0559132 
