0 errors cleared
t=0 V=3.14908 A=0.00711749 W=0.0224135 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.15061 A=0.007103 W=0.0223788 mAh_cumul=0.00394611 Wh_cumul=1.24327e-05 
t=3 V=3.21443 A=1.42548 W=4.58211 mAh_cumul=0.399913 Wh_cumul=0.00128524 
t=4 V=3.26258 A=1.42522 W=4.64989 mAh_cumul=0.795807 Wh_cumul=0.00257688 
t=5 V=3.2785 A=1.42518 W=4.67245 mAh_cumul=1.19169 Wh_cumul=0.00387478 
t=6 V=3.28809 A=1.42515 W=4.68602 mAh_cumul=1.58757 Wh_cumul=0.00517645 
t=7 V=3.29506 A=1.42514 W=4.69592 mAh_cumul=1.98344 Wh_cumul=0.00648088 
t=8 V=3.30068 A=1.42515 W=4.70396 mAh_cumul=2.37931 Wh_cumul=0.00778753 
t=9 V=3.30532 A=1.42514 W=4.71054 mAh_cumul=2.77519 Wh_cumul=0.00909602 
t=10 V=3.30952 A=1.42513 W=4.7165 mAh_cumul=3.17105 Wh_cumul=0.0104062 
t=11 V=3.31329 A=1.42513 W=4.72187 mAh_cumul=3.56692 Wh_cumul=0.0117178 
t=12 V=3.3167 A=1.42512 W=4.7267 mAh_cumul=3.96279 Wh_cumul=0.0130308 
t=13 V=3.31981 A=1.42512 W=4.73113 mAh_cumul=4.35866 Wh_cumul=0.014345 
t=14 V=3.32278 A=1.42512 W=4.73536 mAh_cumul=4.75452 Wh_cumul=0.0156603 
t=15 V=3.32555 A=1.42512 W=4.73931 mAh_cumul=5.15039 Wh_cumul=0.0169768 
t=16 V=3.32812 A=1.42513 W=4.743 mAh_cumul=5.54626 Wh_cumul=0.0182943 
t=17 V=3.3305 A=1.42513 W=4.7464 mAh_cumul=5.94213 Wh_cumul=0.0196128 
t=18 V=3.33278 A=1.42513 W=4.74964 mAh_cumul=6.338 Wh_cumul=0.0209321 
t=19 V=3.33495 A=1.42513 W=4.75274 mAh_cumul=6.73387 Wh_cumul=0.0222523 
t=20 V=3.33702 A=1.42512 W=4.75565 mAh_cumul=7.12973 Wh_cumul=0.0235733 
t=21 V=3.33899 A=1.42513 W=4.75849 mAh_cumul=7.5256 Wh_cumul=0.0248951 
t=22 V=3.34082 A=1.42512 W=4.76107 mAh_cumul=7.92147 Wh_cumul=0.0262176 
t=23 V=3.34266 A=1.42513 W=4.76373 mAh_cumul=8.31734 Wh_cumul=0.0275409 
t=24 V=3.34442 A=1.42512 W=4.7662 mAh_cumul=8.71321 Wh_cumul=0.0288648 
t=25 V=3.34592 A=1.42513 W=4.76837 mAh_cumul=9.10908 Wh_cumul=0.0301894 
t=26 V=3.34746 A=1.42512 W=4.77053 mAh_cumul=9.50494 Wh_cumul=0.0315145 
t=27 V=3.34902 A=1.42512 W=4.77276 mAh_cumul=9.90081 Wh_cumul=0.0328403 
t=28 V=3.3505 A=1.42511 W=4.77483 mAh_cumul=10.2967 Wh_cumul=0.0341666 
t=29 V=3.35192 A=1.4251 W=4.77682 mAh_cumul=10.6925 Wh_cumul=0.0354935 
t=30 V=3.35331 A=1.42511 W=4.77884 mAh_cumul=11.0884 Wh_cumul=0.036821 
t=31 V=3.3547 A=1.4251 W=4.78078 mAh_cumul=11.4843 Wh_cumul=0.038149 
t=32 V=3.35594 A=1.42511 W=4.78258 mAh_cumul=11.8801 Wh_cumul=0.0394775 
t=33 V=3.3572 A=1.42512 W=4.78441 mAh_cumul=12.276 Wh_cumul=0.0408065 
t=34 V=3.3584 A=1.42511 W=4.78609 mAh_cumul=12.6719 Wh_cumul=0.042136 
t=35 V=3.35956 A=1.42513 W=4.78781 mAh_cumul=13.0677 Wh_cumul=0.0434659 
t=36 V=3.3607 A=1.42512 W=4.7894 mAh_cumul=13.4636 Wh_cumul=0.0447963 
t=37 V=3.36177 A=1.4251 W=4.79086 mAh_cumul=13.8595 Wh_cumul=0.0461271 
t=38 V=3.3628 A=1.42511 W=4.79236 mAh_cumul=14.2553 Wh_cumul=0.0474583 
t=39 V=3.36382 A=1.42511 W=4.79381 mAh_cumul=14.6512 Wh_cumul=0.0487899 
t=40 V=3.36482 A=1.42511 W=4.79524 mAh_cumul=15.047 Wh_cumul=0.0501219 
t=41 V=3.36581 A=1.42511 W=4.79665 mAh_cumul=15.4429 Wh_cumul=0.0514543 
t=42 V=3.36674 A=1.4251 W=4.79794 mAh_cumul=15.8388 Wh_cumul=0.0527871 
t=43 V=3.36765 A=1.4251 W=4.79924 mAh_cumul=16.2346 Wh_cumul=0.0541202 
t=44 V=3.36855 A=1.42509 W=4.80049 mAh_cumul=16.6305 Wh_cumul=0.0554537 
t=45 V=3.36943 A=1.4251 W=4.80177 mAh_cumul=17.0263 Wh_cumul=0.0567875 
t=46 V=3.37025 A=1.42511 W=4.80298 mAh_cumul=17.4222 Wh_cumul=0.0581217 
t=47 V=3.37106 A=1.4251 W=4.8041 mAh_cumul=17.8181 Wh_cumul=0.0594561 
t=48 V=3.37184 A=1.4251 W=4.80521 mAh_cumul=18.2139 Wh_cumul=0.0607909 
t=49 V=3.3726 A=1.42511 W=4.80633 mAh_cumul=18.6098 Wh_cumul=0.062126 
t=50 V=3.37338 A=1.4251 W=4.8074 mAh_cumul=19.0057 Wh_cumul=0.0634614 
