0 errors cleared
t=0 V=4.19045 A=0.00950326 W=0.0398229 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.19039 A=0.00949287 W=0.0397788 mAh_cumul=0.00527382 Wh_cumul=2.20993e-05 
t=3 V=4.14415 A=1.42432 W=5.9026 mAh_cumul=0.400918 Wh_cumul=0.00166171 
t=4 V=4.13937 A=1.42425 W=5.8955 mAh_cumul=0.796543 Wh_cumul=0.00329935 
t=5 V=4.13675 A=1.42423 W=5.89168 mAh_cumul=1.19216 Wh_cumul=0.00493593 
t=6 V=4.13449 A=1.42421 W=5.88838 mAh_cumul=1.58778 Wh_cumul=0.00657159 
t=7 V=4.13256 A=1.42421 W=5.88563 mAh_cumul=1.98339 Wh_cumul=0.00820649 
t=8 V=4.13075 A=1.42421 W=5.88306 mAh_cumul=2.379 Wh_cumul=0.00984067 
t=9 V=4.12911 A=1.42421 W=5.88072 mAh_cumul=2.77462 Wh_cumul=0.0114742 
t=10 V=4.12756 A=1.42421 W=5.87851 mAh_cumul=3.17023 Wh_cumul=0.0131071 
t=11 V=4.12608 A=1.4242 W=5.87636 mAh_cumul=3.56584 Wh_cumul=0.0147394 
t=12 V=4.12472 A=1.42421 W=5.87447 mAh_cumul=3.96146 Wh_cumul=0.0163712 
t=13 V=4.12334 A=1.42421 W=5.8725 mAh_cumul=4.35707 Wh_cumul=0.0180025 
t=14 V=4.12209 A=1.42419 W=5.87064 mAh_cumul=4.75268 Wh_cumul=0.0196332 
t=15 V=4.12085 A=1.42422 W=5.869 mAh_cumul=5.1483 Wh_cumul=0.0212635 
t=16 V=4.11966 A=1.42422 W=5.8673 mAh_cumul=5.54391 Wh_cumul=0.0228933 
t=17 V=4.11848 A=1.42422 W=5.86562 mAh_cumul=5.93953 Wh_cumul=0.0245226 
t=18 V=4.11738 A=1.42423 W=5.8641 mAh_cumul=6.33515 Wh_cumul=0.0261516 
t=19 V=4.11626 A=1.42423 W=5.8625 mAh_cumul=6.73077 Wh_cumul=0.02778 
t=20 V=4.11521 A=1.42423 W=5.86101 mAh_cumul=7.12639 Wh_cumul=0.0294081 
t=21 V=4.11418 A=1.42423 W=5.85954 mAh_cumul=7.52201 Wh_cumul=0.0310357 
t=22 V=4.11316 A=1.42422 W=5.85804 mAh_cumul=7.91762 Wh_cumul=0.032663 
t=23 V=4.11217 A=1.42423 W=5.85668 mAh_cumul=8.31324 Wh_cumul=0.0342898 
t=24 V=4.11121 A=1.42423 W=5.85531 mAh_cumul=8.70886 Wh_cumul=0.0359163 
t=25 V=4.11025 A=1.42422 W=5.8539 mAh_cumul=9.10448 Wh_cumul=0.0375424 
t=26 V=4.10935 A=1.42422 W=5.85262 mAh_cumul=9.5001 Wh_cumul=0.0391681 
t=27 V=4.10845 A=1.42421 W=5.8513 mAh_cumul=9.89571 Wh_cumul=0.0407935 
t=28 V=4.10759 A=1.42421 W=5.85007 mAh_cumul=10.2913 Wh_cumul=0.0424185 
t=29 V=4.10673 A=1.42421 W=5.84885 mAh_cumul=10.6869 Wh_cumul=0.0440432 
t=30 V=4.10592 A=1.42422 W=5.84773 mAh_cumul=11.0826 Wh_cumul=0.0456675 
t=31 V=4.10505 A=1.42422 W=5.84649 mAh_cumul=11.4782 Wh_cumul=0.0472916 
t=32 V=4.10426 A=1.42422 W=5.84537 mAh_cumul=11.8738 Wh_cumul=0.0489153 
t=33 V=4.10348 A=1.42421 W=5.84422 mAh_cumul=12.2694 Wh_cumul=0.0505387 
t=34 V=4.10269 A=1.42423 W=5.84317 mAh_cumul=12.665 Wh_cumul=0.0521618 
t=35 V=4.10193 A=1.42422 W=5.84205 mAh_cumul=13.0606 Wh_cumul=0.0537846 
t=36 V=4.10122 A=1.42422 W=5.84104 mAh_cumul=13.4563 Wh_cumul=0.0554071 
t=37 V=4.10049 A=1.42422 W=5.84 mAh_cumul=13.8519 Wh_cumul=0.0570293 
