0 errors cleared
t=0 V=3.62668 A=0.00825366 W=0.0299334 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.62664 A=0.00825369 W=0.0299332 mAh_cumul=0.00458538 Wh_cumul=1.66295e-05 
t=3 V=3.67883 A=1.42535 W=5.24362 mAh_cumul=0.400516 Wh_cumul=0.00147319 
t=4 V=3.68221 A=1.42511 W=5.24755 mAh_cumul=0.79638 Wh_cumul=0.00293084 
t=5 V=3.6842 A=1.42505 W=5.25017 mAh_cumul=1.19223 Wh_cumul=0.00438923 
t=6 V=3.68585 A=1.42505 W=5.25252 mAh_cumul=1.58807 Wh_cumul=0.00584826 
t=7 V=3.68727 A=1.42504 W=5.25451 mAh_cumul=1.98392 Wh_cumul=0.00730784 
t=8 V=3.68849 A=1.42503 W=5.25621 mAh_cumul=2.37976 Wh_cumul=0.0087679 
t=9 V=3.68965 A=1.42502 W=5.25783 mAh_cumul=2.7756 Wh_cumul=0.0102284 
t=10 V=3.69073 A=1.42502 W=5.25936 mAh_cumul=3.17144 Wh_cumul=0.0116893 
t=11 V=3.69169 A=1.42502 W=5.26073 mAh_cumul=3.56728 Wh_cumul=0.0131507 
t=12 V=3.69258 A=1.42502 W=5.262 mAh_cumul=3.96312 Wh_cumul=0.0146123 
t=13 V=3.69347 A=1.42501 W=5.26323 mAh_cumul=4.35895 Wh_cumul=0.0160743 
t=14 V=3.6944 A=1.425 W=5.26452 mAh_cumul=4.75479 Wh_cumul=0.0175367 
t=15 V=3.69529 A=1.425 W=5.26579 mAh_cumul=5.15062 Wh_cumul=0.0189994 
t=16 V=3.69609 A=1.425 W=5.26693 mAh_cumul=5.54645 Wh_cumul=0.0204625 
t=17 V=3.69694 A=1.425 W=5.26814 mAh_cumul=5.94229 Wh_cumul=0.0219258 
t=18 V=3.69776 A=1.425 W=5.26931 mAh_cumul=6.33812 Wh_cumul=0.0233895 
t=19 V=3.69855 A=1.425 W=5.27043 mAh_cumul=6.73395 Wh_cumul=0.0248535 
t=20 V=3.69926 A=1.425 W=5.27145 mAh_cumul=7.12979 Wh_cumul=0.0263178 
t=21 V=3.70001 A=1.425 W=5.27251 mAh_cumul=7.52562 Wh_cumul=0.0277824 
t=22 V=3.70072 A=1.425 W=5.27353 mAh_cumul=7.92145 Wh_cumul=0.0292473 
t=23 V=3.70144 A=1.425 W=5.27455 mAh_cumul=8.31729 Wh_cumul=0.0307124 
t=24 V=3.70211 A=1.42499 W=5.27547 mAh_cumul=8.71312 Wh_cumul=0.0321778 
t=25 V=3.70278 A=1.42498 W=5.27639 mAh_cumul=9.10894 Wh_cumul=0.0336435 
t=26 V=3.70341 A=1.42499 W=5.27732 mAh_cumul=9.50477 Wh_cumul=0.0351094 
t=27 V=3.70405 A=1.42499 W=5.27823 mAh_cumul=9.9006 Wh_cumul=0.0365756 
t=28 V=3.7047 A=1.42499 W=5.27916 mAh_cumul=10.2964 Wh_cumul=0.038042 
t=29 V=3.7053 A=1.42498 W=5.27998 mAh_cumul=10.6923 Wh_cumul=0.0395087 
t=30 V=3.70587 A=1.42498 W=5.28079 mAh_cumul=11.0881 Wh_cumul=0.0409756 
t=31 V=3.70654 A=1.42499 W=5.28178 mAh_cumul=11.4839 Wh_cumul=0.0424427 
t=32 V=3.70712 A=1.42497 W=5.28253 mAh_cumul=11.8797 Wh_cumul=0.0439101 
t=33 V=3.70768 A=1.42497 W=5.28333 mAh_cumul=12.2756 Wh_cumul=0.0453777 
t=34 V=3.70821 A=1.42497 W=5.28409 mAh_cumul=12.6714 Wh_cumul=0.0468455 
t=35 V=3.70874 A=1.42498 W=5.28488 mAh_cumul=13.0672 Wh_cumul=0.0483135 
t=36 V=3.70928 A=1.42497 W=5.28561 mAh_cumul=13.463 Wh_cumul=0.0497818 
t=37 V=3.70982 A=1.42497 W=5.28638 mAh_cumul=13.8589 Wh_cumul=0.0512502 
t=38 V=3.71038 A=1.42498 W=5.28722 mAh_cumul=14.2547 Wh_cumul=0.0527189 
t=39 V=3.71086 A=1.42498 W=5.2879 mAh_cumul=14.6505 Wh_cumul=0.0541877 
t=40 V=3.71138 A=1.42497 W=5.28861 mAh_cumul=15.0464 Wh_cumul=0.0556568 
