0 errors cleared
t=0 V=4.18003 A=0.00951248 W=0.0397625 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.18002 A=0.00950443 W=0.0397287 mAh_cumul=0.00528024 Wh_cumul=2.20715e-05 
t=3 V=4.19143 A=0.500788 W=2.09902 mAh_cumul=0.144388 Wh_cumul=0.000605132 
t=4 V=4.19232 A=0.500506 W=2.09828 mAh_cumul=0.283417 Wh_cumul=0.00118799 
t=5 V=4.19292 A=0.500465 W=2.09841 mAh_cumul=0.422436 Wh_cumul=0.00177088 
t=6 V=4.19342 A=0.500447 W=2.09858 mAh_cumul=0.561449 Wh_cumul=0.00235382 
t=7 V=4.19387 A=0.500426 W=2.09872 mAh_cumul=0.700456 Wh_cumul=0.0029368 
t=8 V=4.19431 A=0.500442 W=2.09901 mAh_cumul=0.839467 Wh_cumul=0.00351986 
t=9 V=4.19462 A=0.500419 W=2.09907 mAh_cumul=0.978473 Wh_cumul=0.00410293 
t=10 V=4.19498 A=0.500411 W=2.09921 mAh_cumul=1.11748 Wh_cumul=0.00468605 
t=11 V=4.19526 A=0.500426 W=2.09942 mAh_cumul=1.25648 Wh_cumul=0.00526922 
t=12 V=4.19554 A=0.50041 W=2.09949 mAh_cumul=1.39549 Wh_cumul=0.00585241 
t=13 V=4.19581 A=0.500419 W=2.09966 mAh_cumul=1.53449 Wh_cumul=0.00643565 
t=14 V=4.19605 A=0.500409 W=2.09974 mAh_cumul=1.67349 Wh_cumul=0.00701891 
t=15 V=4.1963 A=0.500409 W=2.09987 mAh_cumul=1.8125 Wh_cumul=0.00760221 
t=16 V=4.19654 A=0.500411 W=2.09999 mAh_cumul=1.9515 Wh_cumul=0.00818554 
t=17 V=4.19677 A=0.500406 W=2.10009 mAh_cumul=2.0905 Wh_cumul=0.0087689 
t=18 V=4.19701 A=0.50041 W=2.10023 mAh_cumul=2.2295 Wh_cumul=0.00935229 
t=19 V=4.19724 A=0.500407 W=2.10033 mAh_cumul=2.36851 Wh_cumul=0.00993572 
t=20 V=4.19746 A=0.500401 W=2.10041 mAh_cumul=2.50751 Wh_cumul=0.0105192 
