0 errors cleared
t=0 V=3.60348 A=0.00818582 W=0.0294974 mAh_cumul=0 Wh_cumul=0 
t=2 V=3.60349 A=0.00818964 W=0.0295113 mAh_cumul=0.0045498 Wh_cumul=1.63952e-05 
t=3 V=3.63306 A=1.25025 W=4.54223 mAh_cumul=0.351841 Wh_cumul=0.00127813 
t=4 V=3.63549 A=1.24999 W=4.54433 mAh_cumul=0.699061 Wh_cumul=0.00254044 
t=5 V=3.63695 A=1.24995 W=4.54601 mAh_cumul=1.04627 Wh_cumul=0.00380322 
t=6 V=3.63804 A=1.24993 W=4.5473 mAh_cumul=1.39347 Wh_cumul=0.00506636 
t=7 V=3.63899 A=1.24991 W=4.54841 mAh_cumul=1.74067 Wh_cumul=0.0063298 
t=8 V=3.63992 A=1.24991 W=4.54957 mAh_cumul=2.08787 Wh_cumul=0.00759357 
t=9 V=3.64075 A=1.24991 W=4.55061 mAh_cumul=2.43506 Wh_cumul=0.00885763 
t=10 V=3.6415 A=1.24992 W=4.55158 mAh_cumul=2.78226 Wh_cumul=0.010122 
t=11 V=3.64227 A=1.2499 W=4.55247 mAh_cumul=3.12946 Wh_cumul=0.0113865 
t=12 V=3.64297 A=1.24991 W=4.55338 mAh_cumul=3.47666 Wh_cumul=0.0126514 
t=13 V=3.64363 A=1.24989 W=4.55414 mAh_cumul=3.82385 Wh_cumul=0.0139164 
t=14 V=3.64426 A=1.24988 W=4.55489 mAh_cumul=4.17104 Wh_cumul=0.0151817 
t=15 V=3.64489 A=1.24988 W=4.55568 mAh_cumul=4.51822 Wh_cumul=0.0164471 
t=16 V=3.64544 A=1.2499 W=4.55644 mAh_cumul=4.86542 Wh_cumul=0.0177128 
t=17 V=3.64596 A=1.24989 W=4.55705 mAh_cumul=5.21261 Wh_cumul=0.0189786 
t=18 V=3.64647 A=1.2499 W=4.55772 mAh_cumul=5.55981 Wh_cumul=0.0202447 
t=19 V=3.647 A=1.24991 W=4.55842 mAh_cumul=5.907 Wh_cumul=0.0215109 
t=20 V=3.64754 A=1.2499 W=4.55906 mAh_cumul=6.2542 Wh_cumul=0.0227773 
t=21 V=3.64807 A=1.24989 W=4.55969 mAh_cumul=6.60139 Wh_cumul=0.0240439 
t=22 V=3.64858 A=1.2499 W=4.56036 mAh_cumul=6.94858 Wh_cumul=0.0253107 
t=23 V=3.64906 A=1.24989 W=4.56092 mAh_cumul=7.29577 Wh_cumul=0.0265776 
t=24 V=3.64954 A=1.24989 W=4.56152 mAh_cumul=7.64297 Wh_cumul=0.0278447 
t=25 V=3.65001 A=1.24989 W=4.56211 mAh_cumul=7.99016 Wh_cumul=0.0291119 
t=26 V=3.65042 A=1.24988 W=4.56259 mAh_cumul=8.33735 Wh_cumul=0.0303793 
t=27 V=3.65087 A=1.24989 W=4.56319 mAh_cumul=8.68454 Wh_cumul=0.0316469 
t=28 V=3.65133 A=1.2499 W=4.5638 mAh_cumul=9.03173 Wh_cumul=0.0329146 
t=29 V=3.65169 A=1.2499 W=4.56425 mAh_cumul=9.37893 Wh_cumul=0.0341824 
t=30 V=3.65211 A=1.2499 W=4.56477 mAh_cumul=9.72612 Wh_cumul=0.0354504 
t=31 V=3.65252 A=1.24989 W=4.56525 mAh_cumul=10.0733 Wh_cumul=0.0367185 
t=32 V=3.65296 A=1.24988 W=4.56576 mAh_cumul=10.4205 Wh_cumul=0.0379868 
t=33 V=3.65331 A=1.24988 W=4.5662 mAh_cumul=10.7677 Wh_cumul=0.0392552 
t=34 V=3.65368 A=1.24988 W=4.56666 mAh_cumul=11.1149 Wh_cumul=0.0405237 
t=35 V=3.65404 A=1.24989 W=4.56715 mAh_cumul=11.4621 Wh_cumul=0.0417924 
t=36 V=3.65442 A=1.24989 W=4.56762 mAh_cumul=11.8093 Wh_cumul=0.0430612 
t=37 V=3.65478 A=1.24988 W=4.56804 mAh_cumul=12.1565 Wh_cumul=0.04433 
t=38 V=3.65516 A=1.24988 W=4.56851 mAh_cumul=12.5036 Wh_cumul=0.0455991 
t=39 V=3.65548 A=1.24988 W=4.56891 mAh_cumul=12.8508 Wh_cumul=0.0468682 
t=40 V=3.6558 A=1.24989 W=4.56935 mAh_cumul=13.198 Wh_cumul=0.0481375 
t=41 V=3.65612 A=1.24989 W=4.56975 mAh_cumul=13.5452 Wh_cumul=0.0494069 
t=42 V=3.65643 A=1.24989 W=4.57014 mAh_cumul=13.8924 Wh_cumul=0.0506763 
t=43 V=3.65676 A=1.24989 W=4.57055 mAh_cumul=14.2396 Wh_cumul=0.0519459 
t=44 V=3.65702 A=1.24989 W=4.57087 mAh_cumul=14.5868 Wh_cumul=0.0532156 
t=45 V=3.65737 A=1.24988 W=4.57127 mAh_cumul=14.934 Wh_cumul=0.0544854 
t=46 V=3.65763 A=1.24989 W=4.57164 mAh_cumul=15.2812 Wh_cumul=0.0557553 
t=47 V=3.65794 A=1.24988 W=4.57199 mAh_cumul=15.6284 Wh_cumul=0.0570253 
t=48 V=3.65819 A=1.24989 W=4.57234 mAh_cumul=15.9755 Wh_cumul=0.0582954 
t=49 V=3.65848 A=1.24989 W=4.5727 mAh_cumul=16.3227 Wh_cumul=0.0595656 
t=50 V=3.65877 A=1.24989 W=4.57306 mAh_cumul=16.6699 Wh_cumul=0.0608359 
t=51 V=3.65903 A=1.24989 W=4.57339 mAh_cumul=17.0171 Wh_cumul=0.0621063 
t=52 V=3.65928 A=1.24989 W=4.5737 mAh_cumul=17.3643 Wh_cumul=0.0633768 
t=53 V=3.65954 A=1.24989 W=4.57402 mAh_cumul=17.7115 Wh_cumul=0.0646473 
t=54 V=3.65978 A=1.24989 W=4.57432 mAh_cumul=18.0587 Wh_cumul=0.065918 
t=55 V=3.66005 A=1.2499 W=4.5747 mAh_cumul=18.4059 Wh_cumul=0.0671887 
