0 errors cleared
t=0 V=2.69552 A=0.00607461 W=0.0163742 mAh_cumul=0 Wh_cumul=0 
t=2 V=2.69643 A=0.00608038 W=0.0163953 mAh_cumul=0.00337799 Wh_cumul=9.10851e-06 
t=3 V=2.73712 A=1.25027 W=3.42214 mAh_cumul=0.350675 Wh_cumul=0.000959703 
t=4 V=2.76299 A=1.25001 W=3.45377 mAh_cumul=0.6979 Wh_cumul=0.00191908 
t=5 V=2.77792 A=1.24997 W=3.47232 mAh_cumul=1.04511 Wh_cumul=0.00288361 
t=6 V=2.79059 A=1.24994 W=3.48807 mAh_cumul=1.39232 Wh_cumul=0.00385252 
t=7 V=2.80185 A=1.24992 W=3.50209 mAh_cumul=1.73952 Wh_cumul=0.00482532 
t=8 V=2.81255 A=1.24992 W=3.51546 mAh_cumul=2.08672 Wh_cumul=0.00580184 
t=9 V=2.82235 A=1.24992 W=3.52771 mAh_cumul=2.43392 Wh_cumul=0.00678176 
t=10 V=2.83193 A=1.24991 W=3.53966 mAh_cumul=2.78112 Wh_cumul=0.007765 
t=11 V=2.84101 A=1.2499 W=3.55098 mAh_cumul=3.12831 Wh_cumul=0.00875138 
t=12 V=2.84974 A=1.2499 W=3.56189 mAh_cumul=3.47551 Wh_cumul=0.0097408 
t=13 V=2.85814 A=1.24991 W=3.57242 mAh_cumul=3.8227 Wh_cumul=0.0107331 
t=14 V=2.86595 A=1.2499 W=3.58215 mAh_cumul=4.1699 Wh_cumul=0.0117282 
t=15 V=2.87355 A=1.2499 W=3.59165 mAh_cumul=4.51709 Wh_cumul=0.0127259 
t=16 V=2.88089 A=1.2499 W=3.60082 mAh_cumul=4.86429 Wh_cumul=0.0137261 
t=17 V=2.88801 A=1.2499 W=3.60972 mAh_cumul=5.21148 Wh_cumul=0.0147288 
t=18 V=2.89471 A=1.2499 W=3.6181 mAh_cumul=5.55868 Wh_cumul=0.0157338 
t=19 V=2.90124 A=1.24991 W=3.62629 mAh_cumul=5.90587 Wh_cumul=0.0167411 
