0 errors cleared
t=0 V=4.19588 A=0.00954946 W=0.0400684 mAh_cumul=0 Wh_cumul=0 
t=2 V=4.1959 A=0.00955637 W=0.0400976 mAh_cumul=0.00530909 Wh_cumul=2.22764e-05 
t=3 V=4.16745 A=1.24924 W=5.20615 mAh_cumul=0.35232 Wh_cumul=0.00146843 
t=4 V=4.16473 A=1.24916 W=5.20241 mAh_cumul=0.699309 Wh_cumul=0.00291354 
t=5 V=4.16312 A=1.24915 W=5.20036 mAh_cumul=1.0463 Wh_cumul=0.00435809 
t=6 V=4.16184 A=1.24914 W=5.19872 mAh_cumul=1.39328 Wh_cumul=0.00580218 
t=7 V=4.16071 A=1.24915 W=5.19735 mAh_cumul=1.74026 Wh_cumul=0.00724589 
t=8 V=4.15974 A=1.24914 W=5.1961 mAh_cumul=2.08725 Wh_cumul=0.00868925 
t=9 V=4.15881 A=1.24915 W=5.19498 mAh_cumul=2.43423 Wh_cumul=0.0101323 
t=10 V=4.15797 A=1.24914 W=5.19389 mAh_cumul=2.78122 Wh_cumul=0.011575 
t=11 V=4.15717 A=1.24914 W=5.19289 mAh_cumul=3.1282 Wh_cumul=0.0130175 
t=12 V=4.15639 A=1.24914 W=5.19191 mAh_cumul=3.47518 Wh_cumul=0.0144597 
t=13 V=4.15565 A=1.24914 W=5.19099 mAh_cumul=3.82217 Wh_cumul=0.0159016 
t=14 V=4.15498 A=1.24914 W=5.19015 mAh_cumul=4.16915 Wh_cumul=0.0173434 
t=15 V=4.15433 A=1.24915 W=5.18938 mAh_cumul=4.51614 Wh_cumul=0.0187849 
t=16 V=4.15371 A=1.24916 W=5.18865 mAh_cumul=4.86313 Wh_cumul=0.0202261 
t=17 V=4.15314 A=1.24915 W=5.18789 mAh_cumul=5.21011 Wh_cumul=0.0216672 
t=18 V=4.15254 A=1.24915 W=5.18715 mAh_cumul=5.5571 Wh_cumul=0.0231081 
t=19 V=4.15192 A=1.24913 W=5.18629 mAh_cumul=5.90408 Wh_cumul=0.0245487 
t=20 V=4.15137 A=1.24915 W=5.18568 mAh_cumul=6.25106 Wh_cumul=0.0259892 
t=21 V=4.1508 A=1.24914 W=5.18493 mAh_cumul=6.59805 Wh_cumul=0.0274295 
t=22 V=4.1503 A=1.24914 W=5.18431 mAh_cumul=6.94503 Wh_cumul=0.0288695 
t=23 V=4.14977 A=1.24914 W=5.18364 mAh_cumul=7.29201 Wh_cumul=0.0303094 
t=24 V=4.14929 A=1.24915 W=5.18309 mAh_cumul=7.639 Wh_cumul=0.0317492 
t=25 V=4.14882 A=1.24915 W=5.1825 mAh_cumul=7.98599 Wh_cumul=0.0331888 
t=26 V=4.14837 A=1.24915 W=5.18194 mAh_cumul=8.33297 Wh_cumul=0.0346282 
t=27 V=4.14792 A=1.24916 W=5.18142 mAh_cumul=8.67996 Wh_cumul=0.0360675 
t=28 V=4.14748 A=1.24914 W=5.18078 mAh_cumul=9.02695 Wh_cumul=0.0375066 
