0 errors cleared
t=0 V=2.6917 A=0.00611698 W=0.0164651 mAh_cumul=0 Wh_cumul=0 
t=2 V=2.69254 A=0.00612239 W=0.0164848 mAh_cumul=0.00340133 Wh_cumul=9.15821e-06 
t=3 V=2.73392 A=1.25028 W=3.41817 mAh_cumul=0.350701 Wh_cumul=0.000958649 
t=4 V=2.76011 A=1.25002 W=3.45019 mAh_cumul=0.697929 Wh_cumul=0.00191704 
t=5 V=2.7749 A=1.24996 W=3.46851 mAh_cumul=1.04514 Wh_cumul=0.00288051 
t=6 V=2.7872 A=1.24994 W=3.48383 mAh_cumul=1.39235 Wh_cumul=0.00384824 
t=7 V=2.79859 A=1.24993 W=3.49804 mAh_cumul=1.73955 Wh_cumul=0.00481992 
t=8 V=2.80924 A=1.24993 W=3.51135 mAh_cumul=2.08675 Wh_cumul=0.0057953 
t=9 V=2.81906 A=1.24992 W=3.5236 mAh_cumul=2.43395 Wh_cumul=0.00677407 
t=10 V=2.82864 A=1.24991 W=3.53555 mAh_cumul=2.78115 Wh_cumul=0.00775617 
t=11 V=2.83774 A=1.24992 W=3.54695 mAh_cumul=3.12835 Wh_cumul=0.00874143 
t=12 V=2.84641 A=1.24991 W=3.55776 mAh_cumul=3.47555 Wh_cumul=0.0097297 
t=13 V=2.85494 A=1.24991 W=3.56842 mAh_cumul=3.82274 Wh_cumul=0.0107209 
t=14 V=2.86298 A=1.24991 W=3.57847 mAh_cumul=4.16994 Wh_cumul=0.0117149 
t=15 V=2.87065 A=1.24991 W=3.58805 mAh_cumul=4.51714 Wh_cumul=0.0127116 
t=16 V=2.87811 A=1.24991 W=3.59738 mAh_cumul=4.86433 Wh_cumul=0.0137109 
t=17 V=2.88536 A=1.2499 W=3.60641 mAh_cumul=5.21153 Wh_cumul=0.0147127 
t=18 V=2.89221 A=1.24989 W=3.61494 mAh_cumul=5.55872 Wh_cumul=0.0157168 
t=19 V=2.89889 A=1.24991 W=3.62335 mAh_cumul=5.90592 Wh_cumul=0.0167233 
t=20 V=2.90515 A=1.2499 W=3.63115 mAh_cumul=6.25311 Wh_cumul=0.017732 
t=21 V=2.91135 A=1.24991 W=3.63893 mAh_cumul=6.60031 Wh_cumul=0.0187428 
t=22 V=2.91723 A=1.2499 W=3.64625 mAh_cumul=6.9475 Wh_cumul=0.0197556 
t=23 V=2.92289 A=1.24991 W=3.65335 mAh_cumul=7.2947 Wh_cumul=0.0207704 
t=24 V=2.92835 A=1.2499 W=3.66014 mAh_cumul=7.6419 Wh_cumul=0.0217872 
t=25 V=2.93356 A=1.24992 W=3.66672 mAh_cumul=7.9891 Wh_cumul=0.0228057 
t=26 V=2.93862 A=1.24991 W=3.67301 mAh_cumul=8.33629 Wh_cumul=0.023826 
t=27 V=2.94333 A=1.24991 W=3.6789 mAh_cumul=8.68349 Wh_cumul=0.0248479 
t=28 V=2.94801 A=1.24991 W=3.68475 mAh_cumul=9.03069 Wh_cumul=0.0258714 
t=29 V=2.9526 A=1.24989 W=3.69043 mAh_cumul=9.37788 Wh_cumul=0.0268965 
t=30 V=2.95703 A=1.24991 W=3.69602 mAh_cumul=9.72508 Wh_cumul=0.0279232 
t=31 V=2.96124 A=1.2499 W=3.70125 mAh_cumul=10.0723 Wh_cumul=0.0289513 
t=32 V=2.96537 A=1.2499 W=3.70642 mAh_cumul=10.4195 Wh_cumul=0.0299809 
t=33 V=2.96941 A=1.24991 W=3.7115 mAh_cumul=10.7667 Wh_cumul=0.0310119 
t=34 V=2.97334 A=1.2499 W=3.71638 mAh_cumul=11.1139 Wh_cumul=0.0320442 
t=35 V=2.9772 A=1.24989 W=3.72117 mAh_cumul=11.461 Wh_cumul=0.0330779 
t=36 V=2.9809 A=1.2499 W=3.72583 mAh_cumul=11.8082 Wh_cumul=0.0341128 
t=37 V=2.98446 A=1.24989 W=3.73025 mAh_cumul=12.1554 Wh_cumul=0.035149 
t=38 V=2.98807 A=1.2499 W=3.73479 mAh_cumul=12.5026 Wh_cumul=0.0361864 
t=39 V=2.99164 A=1.24988 W=3.73919 mAh_cumul=12.8498 Wh_cumul=0.0372251 
t=40 V=2.99511 A=1.24989 W=3.74356 mAh_cumul=13.197 Wh_cumul=0.038265 
t=41 V=2.99854 A=1.24988 W=3.74782 mAh_cumul=13.5442 Wh_cumul=0.039306 
t=42 V=3.00196 A=1.24989 W=3.75212 mAh_cumul=13.8914 Wh_cumul=0.0403483 
t=43 V=3.00513 A=1.24989 W=3.75608 mAh_cumul=14.2386 Wh_cumul=0.0413916 
t=44 V=3.00833 A=1.2499 W=3.76011 mAh_cumul=14.5858 Wh_cumul=0.0424361 
t=45 V=3.0115 A=1.2499 W=3.76407 mAh_cumul=14.933 Wh_cumul=0.0434817 
t=46 V=3.01472 A=1.24989 W=3.76807 mAh_cumul=15.2802 Wh_cumul=0.0445284 
t=47 V=3.01788 A=1.2499 W=3.77205 mAh_cumul=15.6274 Wh_cumul=0.0455762 
t=48 V=3.02091 A=1.2499 W=3.77584 mAh_cumul=15.9746 Wh_cumul=0.046625 
t=49 V=3.02398 A=1.24991 W=3.7797 mAh_cumul=16.3217 Wh_cumul=0.0476749 
t=50 V=3.02694 A=1.2499 W=3.78337 mAh_cumul=16.6689 Wh_cumul=0.0487259 
t=51 V=3.02991 A=1.2499 W=3.78708 mAh_cumul=17.0161 Wh_cumul=0.0497778 
t=52 V=3.03278 A=1.2499 W=3.79067 mAh_cumul=17.3633 Wh_cumul=0.0508308 
