0 errors cleared
t=0 V=3.603 A=0.00821514 W=0.0295991 mAh_cumul=0 Wh_cumul=0 
t=1 V=3.60301 A=0.00821041 W=0.0295822 mAh_cumul=0.00228067 Wh_cumul=8.21727e-06 
t=2 V=3.63221 A=1.25026 W=4.54121 mAh_cumul=0.349575 Wh_cumul=0.00126966 
t=3 V=3.6346 A=1.25 W=4.54325 mAh_cumul=0.696797 Wh_cumul=0.00253168 
t=4 V=3.63607 A=1.24997 W=4.54498 mAh_cumul=1.04401 Wh_cumul=0.00379417 
t=5 V=3.63727 A=1.24994 W=4.54637 mAh_cumul=1.39122 Wh_cumul=0.00505705 
t=6 V=3.63827 A=1.24994 W=4.54762 mAh_cumul=1.73842 Wh_cumul=0.00632028 
t=7 V=3.63917 A=1.24992 W=4.54867 mAh_cumul=2.08562 Wh_cumul=0.0075838 
t=8 V=3.64004 A=1.24992 W=4.54976 mAh_cumul=2.43282 Wh_cumul=0.00884762 
t=9 V=3.64084 A=1.24992 W=4.55076 mAh_cumul=2.78002 Wh_cumul=0.0101117 
t=10 V=3.64154 A=1.24992 W=4.55163 mAh_cumul=3.12722 Wh_cumul=0.0113761 
t=11 V=3.64227 A=1.24992 W=4.55255 mAh_cumul=3.47442 Wh_cumul=0.0126407 
t=12 V=3.64294 A=1.24991 W=4.55335 mAh_cumul=3.82162 Wh_cumul=0.0139055 
t=13 V=3.64359 A=1.24991 W=4.55416 mAh_cumul=4.16882 Wh_cumul=0.0151705 
t=14 V=3.64418 A=1.24992 W=4.55493 mAh_cumul=4.51602 Wh_cumul=0.0164358 
t=15 V=3.64478 A=1.24991 W=4.55565 mAh_cumul=4.86321 Wh_cumul=0.0177012 
t=16 V=3.64534 A=1.24991 W=4.55635 mAh_cumul=5.21041 Wh_cumul=0.0189669 
t=17 V=3.64584 A=1.24992 W=4.55701 mAh_cumul=5.55761 Wh_cumul=0.0202327 
t=18 V=3.64633 A=1.2499 W=4.55755 mAh_cumul=5.90481 Wh_cumul=0.0214987 
t=19 V=3.64684 A=1.2499 W=4.55819 mAh_cumul=6.252 Wh_cumul=0.0227649 
t=20 V=3.64736 A=1.2499 W=4.55884 mAh_cumul=6.59919 Wh_cumul=0.0240312 
t=21 V=3.64786 A=1.2499 W=4.55946 mAh_cumul=6.94639 Wh_cumul=0.0252977 
t=22 V=3.64837 A=1.24991 W=4.56013 mAh_cumul=7.29359 Wh_cumul=0.0265644 
t=23 V=3.64884 A=1.2499 W=4.56069 mAh_cumul=7.64078 Wh_cumul=0.0278313 
t=24 V=3.64929 A=1.24991 W=4.56128 mAh_cumul=7.98798 Wh_cumul=0.0290983 
