0 errors cleared
t=0 V=2.71171 A=0.00616363 W=0.016714 mAh_cumul=0 Wh_cumul=0 
t=2 V=2.71278 A=0.00616564 W=0.016726 mAh_cumul=0.00342536 Wh_cumul=9.29224e-06 
t=3 V=2.7535 A=1.25028 W=3.44265 mAh_cumul=0.350725 Wh_cumul=0.000965583 
t=4 V=2.77968 A=1.25001 W=3.47463 mAh_cumul=0.69795 Wh_cumul=0.00193076 
t=5 V=2.79463 A=1.24996 W=3.49318 mAh_cumul=1.04516 Wh_cumul=0.00290108 
t=6 V=2.80724 A=1.24994 W=3.50888 mAh_cumul=1.39237 Wh_cumul=0.00387577 
t=7 V=2.81838 A=1.24993 W=3.52278 mAh_cumul=1.73957 Wh_cumul=0.00485432 
t=8 V=2.82901 A=1.24992 W=3.53604 mAh_cumul=2.08677 Wh_cumul=0.00583655 
t=9 V=2.83884 A=1.24993 W=3.54835 mAh_cumul=2.43397 Wh_cumul=0.00682221 
t=10 V=2.84823 A=1.24992 W=3.56006 mAh_cumul=2.78117 Wh_cumul=0.00781111 
t=11 V=2.85704 A=1.24992 W=3.57107 mAh_cumul=3.12837 Wh_cumul=0.00880308 
t=12 V=2.86527 A=1.24992 W=3.58136 mAh_cumul=3.47557 Wh_cumul=0.0097979 
t=13 V=2.87328 A=1.24991 W=3.59134 mAh_cumul=3.82277 Wh_cumul=0.0107955 
t=14 V=2.88091 A=1.24992 W=3.60091 mAh_cumul=4.16997 Wh_cumul=0.0117957 
t=15 V=2.88816 A=1.2499 W=3.60991 mAh_cumul=4.51716 Wh_cumul=0.0127985 
t=16 V=2.89509 A=1.24991 W=3.6186 mAh_cumul=4.86436 Wh_cumul=0.0138037 
t=17 V=2.90165 A=1.2499 W=3.62677 mAh_cumul=5.21156 Wh_cumul=0.0148111 
t=18 V=2.90804 A=1.24991 W=3.63479 mAh_cumul=5.55875 Wh_cumul=0.0158208 
t=19 V=2.91417 A=1.24991 W=3.64245 mAh_cumul=5.90595 Wh_cumul=0.0168326 
t=20 V=2.92002 A=1.24991 W=3.64976 mAh_cumul=6.25315 Wh_cumul=0.0178464 
t=21 V=2.92556 A=1.2499 W=3.65666 mAh_cumul=6.60034 Wh_cumul=0.0188621 
t=22 V=2.93096 A=1.24991 W=3.66344 mAh_cumul=6.94754 Wh_cumul=0.0198797 
t=23 V=2.93614 A=1.2499 W=3.66988 mAh_cumul=7.29473 Wh_cumul=0.0208992 
t=24 V=2.94094 A=1.24991 W=3.67591 mAh_cumul=7.64193 Wh_cumul=0.0219202 
t=25 V=2.94567 A=1.2499 W=3.68179 mAh_cumul=7.98913 Wh_cumul=0.022943 
t=26 V=2.9503 A=1.2499 W=3.68758 mAh_cumul=8.33632 Wh_cumul=0.0239673 
t=27 V=2.9548 A=1.2499 W=3.6932 mAh_cumul=8.68351 Wh_cumul=0.0249932 
t=28 V=2.95909 A=1.24989 W=3.69854 mAh_cumul=9.03071 Wh_cumul=0.0260205 
t=29 V=2.96331 A=1.24989 W=3.70381 mAh_cumul=9.3779 Wh_cumul=0.0270494 
t=30 V=2.9674 A=1.24989 W=3.70892 mAh_cumul=9.72509 Wh_cumul=0.0280796 
t=31 V=2.97139 A=1.2499 W=3.71394 mAh_cumul=10.0723 Wh_cumul=0.0291113 
t=32 V=2.97532 A=1.24989 W=3.71882 mAh_cumul=10.4195 Wh_cumul=0.0301443 
t=33 V=2.97909 A=1.24989 W=3.72353 mAh_cumul=10.7667 Wh_cumul=0.0311786 
t=34 V=2.98275 A=1.2499 W=3.72814 mAh_cumul=11.1139 Wh_cumul=0.0322142 
t=35 V=2.98634 A=1.2499 W=3.73263 mAh_cumul=11.4611 Wh_cumul=0.033251 
t=36 V=2.9899 A=1.24989 W=3.73705 mAh_cumul=11.8082 Wh_cumul=0.0342891 
t=37 V=2.99347 A=1.2499 W=3.74154 mAh_cumul=12.1554 Wh_cumul=0.0353284 
t=38 V=2.99694 A=1.2499 W=3.74588 mAh_cumul=12.5026 Wh_cumul=0.036369 
t=39 V=3.00034 A=1.24989 W=3.75009 mAh_cumul=12.8498 Wh_cumul=0.0374106 
t=40 V=3.00369 A=1.2499 W=3.75431 mAh_cumul=13.197 Wh_cumul=0.0384535 
t=41 V=3.00685 A=1.24989 W=3.75823 mAh_cumul=13.5442 Wh_cumul=0.0394975 
t=42 V=3.01008 A=1.24989 W=3.76227 mAh_cumul=13.8914 Wh_cumul=0.0405425 
t=43 V=3.01335 A=1.2499 W=3.76639 mAh_cumul=14.2386 Wh_cumul=0.0415888 
